gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171133,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Unkn0wn5,WLGaming Esports,1.0,Aphelios,Malphite,Rumble,Jayce,K'Sante,Braum,1759.0,1.0,6.0,4.0,2.0,15.0,14.0,1.0,1.0,0.0,0.0,0.0,0.5117,0.9892,0.0,0.0,12.0,4.0,1.0,26.0,14806.0,10942.0,373.2348,12175.0,284.0,272.0,12.0,9.6873,3464.0,3414.0,89.0,4334.0,3739.0,75.0,-870.0,-325.0,14.0,0.0,0.0,3.0,4.0,2.0,0.0,6275.0,6197.0,144.0,6331.0,6111.0,121.0,-56.0,86.0,23.0,1.0,0.0,3.0,5.0,2.0,0.0,8877.0,8749.0,208.0,8623.0,8938.0,192.0,254.0,-189.0,16.0,1.0,0.0,3.0,5.0,2.0,0.0,10889.0,11186.0,259.0,11344.0,11249.0,245.0,-455.0,-63.0,14.0,1.0,1.0,4.0,7.0,2.0,0.0
LOLTMNT03_336219,complete,LCKC,2026.0,0.0,2.0,16.01,Red,bot,Unkn0wn5,WLGaming Esports,0.0,Kai'Sa,Jayce,Rumble,K'Sante,Braum,Karma,2134.0,1.0,9.0,3.0,12.0,28.0,15.0,2.0,0.0,0.0,0.0,0.0,0.7873,1.209,0.0,0.0,13.0,10.0,2.0,44.0,21898.0,17269.0,485.5389,19940.0,388.0,361.0,27.0,10.9091,3984.0,3821.0,99.0,3357.0,3067.0,69.0,627.0,754.0,30.0,1.0,2.0,0.0,0.0,2.0,3.0,7048.0,5976.0,142.0,5364.0,5044.0,118.0,1684.0,932.0,24.0,2.0,5.0,0.0,0.0,2.0,4.0,10793.0,9348.0,209.0,7477.0,7996.0,179.0,3316.0,1352.0,30.0,3.0,5.0,0.0,0.0,2.0,4.0,13900.0,11959.0,271.0,9367.0,10081.0,216.0,4533.0,1878.0,55.0,5.0,6.0,1.0,0.0,3.0,5.0
LOLTMNT06_166014,complete,LFL,2026.0,0.0,1.0,16.01,Blue,bot,Unkn0wn5,WLGaming Esports,1.0,Yunara,Riven,Malphite,Azir,Dr. Mundo,Braum,1488.0,1.0,8.0,2.0,7.0,22.0,9.0,2.0,0.0,0.0,0.0,1.0,0.8871,1.25,0.0,0.0,11.0,7.0,3.0,30.0,14310.0,10999.0,443.5081,12275.0,258.0,245.0,13.0,10.4032,4079.0,3212.0,85.0,3565.0,3385.0,84.0,514.0,-173.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,7066.0,5689.0,140.0,5956.0,5243.0,121.0,1110.0,446.0,19.0,3.0,4.0,1.0,2.0,2.0,1.0,9992.0,9088.0,222.0,9534.0,7712.0,168.0,458.0,1376.0,54.0,3.0,4.0,1.0,4.0,2.0,1.0,14310.0,13064.0,258.0,12157.0,9728.0,204.0,2153.0,3336.0,54.0,8.0,7.0,2.0,6.0,2.0,3.0
LOLTMNT04_148375,complete,NLC,2026.0,0.0,2.0,16.01,Red,bot,Unkn0wn5,WLGaming Esports,0.0,Corki,Riven,Ryze,Azir,Sylas,Ahri,1399.0,1.0,8.0,4.0,8.0,25.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0722,1.6297,0.0,0.0,5.0,1.0,1.0,11.0,13649.0,10519.0,451.1365,12108.0,217.0,209.0,8.0,9.3066,4014.0,4061.0,99.0,3130.0,2949.0,73.0,884.0,1112.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,8367.0,6596.0,146.0,5249.0,5041.0,104.0,3118.0,1555.0,42.0,4.0,1.0,2.0,2.0,0.0,2.0,10372.0,8598.0,189.0,9209.0,7340.0,140.0,1163.0,1258.0,49.0,5.0,2.0,4.0,5.0,1.0,4.0,,,,,,,,,,,,,,,
LOLTMNT04_149245,complete,LEC,2026.0,0.0,1.0,16.01,Red,bot,Unkn0wn5,WLGaming Esports,0.0,Varus,Naafiri,Akali,Jayce,Corki,Aphelios,1939.0,1.0,4.0,0.0,4.0,16.0,5.0,1.0,0.0,0.0,0.0,0.0,0.4951,0.6498,0.0,0.0,16.0,4.0,6.0,41.0,16458.0,12227.0,378.3497,15487.0,346.0,342.0,4.0,10.7065,3476.0,3593.0,97.0,3585.0,3810.0,100.0,-109.0,-217.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,6137.0,6251.0,157.0,5801.0,6514.0,155.0,336.0,-263.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9401.0,9425.0,227.0,7979.0,9949.0,224.0,1422.0,-524.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,11716.0,12583.0,281.0,10730.0,11995.0,276.0,986.0,588.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0
LOLTMNT01_326059,complete,LCS,2026.0,0.0,2.0,16.01,Blue,bot,Unkn0wn5,WLGaming Esports,1.0,Yunara,Naafiri,Akali,Bel'Veth,Taliyah,Neeko,1563.0,1.0,6.0,2.0,9.0,29.0,13.0,0.0,0.0,0.0,0.0,0.0,1.1132,1.6123,0.0,0.0,12.0,9.0,3.0,30.0,15458.0,11994.0,460.4223,13325.0,288.0,262.0,26.0,11.0557,3635.0,3667.0,91.0,3652.0,3394.0,82.0,-17.0,273.0,9.0,0.0,2.0,1.0,1.0,2.0,2.0,6851.0,6427.0,151.0,5723.0,5058.0,128.0,1128.0,1369.0,23.0,2.0,2.0,1.0,1.0,2.0,3.0,10400.0,9904.0,228.0,7765.0,8195.0,193.0,2635.0,1709.0,35.0,2.0,2.0,1.0,1.0,2.0,3.0,13846.0,13159.0,274.0,9569.0,10262.0,222.0,4277.0,2897.0,52.0,4.0,6.0,2.0,1.0,4.0,5.0
LOLTMNT04_152130,complete,LIT,2026.0,1.0,1.0,16.02,Blue,bot,Unkn0wn5,WLGaming Esports,1.0,Corki,Lee Sin,Nocturne,Jarvan IV,Lulu,Wukong,1108.0,1.0,7.0,0.0,4.0,27.0,3.0,2.0,0.0,0.0,0.0,0.0,1.4621,1.6245,0.0,0.0,8.0,0.0,1.0,10.0,11834.0,9298.0,503.5018,10208.0,201.0,193.0,8.0,10.8845,4276.0,4200.0,95.0,2760.0,3238.0,60.0,1516.0,962.0,35.0,2.0,1.0,0.0,0.0,0.0,1.0,8562.0,7291.0,152.0,4280.0,5717.0,99.0,4282.0,1574.0,53.0,4.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOLTMNT04_152132,complete,TCL,2026.0,0.0,2.0,16.02,Red,bot,Unkn0wn5,WLGaming Esports,0.0,Aphelios,Lee Sin,Nocturne,Jarvan IV,Kassadin,Akali,1318.0,1.0,4.0,1.0,4.0,29.0,9.0,0.0,0.0,0.0,0.0,0.0,1.3202,1.7299,0.0,0.0,10.0,3.0,3.0,19.0,11989.0,9025.0,410.8498,10525.0,188.0,182.0,6.0,8.5584,3584.0,3890.0,72.0,3536.0,3356.0,84.0,48.0,534.0,-12.0,1.0,0.0,0.0,1.0,0.0,1.0,7218.0,6514.0,121.0,5095.0,5015.0,113.0,2123.0,1499.0,8.0,2.0,2.0,0.0,1.0,1.0,3.0,10566.0,9821.0,174.0,7727.0,7984.0,169.0,2839.0,1837.0,5.0,3.0,4.0,1.0,2.0,2.0,4.0,,,,,,,,,,,,,,,
LOLTMNT02_353283,complete,LCK,2026.0,0.0,1.0,16.03,Red,bot,Unkn0wn5,WLGaming Esports,0.0,Corki,Rumble,Ryze,Varus,Braum,Lulu,2510.0,1.0,7.0,2.0,6.0,15.0,10.0,1.0,0.0,0.0,0.0,1.0,0.3586,0.5976,0.0,0.0,12.0,14.0,3.0,55.0,25915.0,20519.0,490.494,22108.0,473.0,461.0,12.0,11.3068,3628.0,3813.0,93.0,3277.0,3487.0,84.0,351.0,326.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7300.0,6788.0,154.0,5351.0,5690.0,133.0,1949.0,1098.0,21.0,1.0,2.0,0.0,0.0,0.0,1.0,10042.0,9995.0,217.0,7408.0,8681.0,193.0,2634.0,1314.0,24.0,2.0,2.0,0.0,0.0,0.0,2.0,12573.0,12716.0,289.0,9993.0,11669.0,267.0,2580.0,1047.0,22.0,2.0,2.0,0.0,0.0,0.0,2.0
LOLTMNT02_353324,complete,RL,2026.0,0.0,2.0,16.03,Blue,bot,Unkn0wn5,WLGaming Esports,1.0,Ezreal,Azir,Jayce,K'Sante,Braum,Alistar,2347.0,1.0,9.0,1.0,6.0,26.0,10.0,2.0,0.0,0.0,0.0,1.0,0.6647,0.9203,0.0,0.0,15.0,7.0,2.0,38.0,23659.0,18596.0,475.3984,21883.0,430.0,421.0,9.0,10.9928,3661.0,3649.0,98.0,3482.0,3723.0,95.0,179.0,-74.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6089.0,6236.0,160.0,6375.0,6153.0,161.0,-286.0,83.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,9309.0,9684.0,231.0,8948.0,8789.0,212.0,361.0,895.0,19.0,1.0,2.0,0.0,0.0,1.0,0.0,12389.0,12785.0,300.0,11479.0,11833.0,284.0,910.0,952.0,16.0,2.0,2.0,0.0,0.0,1.0,0.0
