gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337955,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,bot,Upset,Fnatic,1.0,Yunara,Neeko,Sion,Malphite,Nami,Bard,1933.0,1.0,7.0,0.0,4.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4035,0.4656,0.0,0.0,21.0,12.0,9.0,62.0,18891.0,14672.0,455.4165,15700.0,369.0,337.0,32.0,11.4537,3569.0,3671.0,104.0,3810.0,3545.0,110.0,-241.0,126.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,6023.0,5792.0,154.0,6197.0,5527.0,166.0,-174.0,265.0,-12.0,1.0,0.0,0.0,0.0,0.0,0.0,8521.0,8535.0,212.0,8465.0,7858.0,222.0,56.0,677.0,-10.0,1.0,0.0,0.0,0.0,0.0,0.0,12639.0,11680.0,269.0,10312.0,10105.0,269.0,2327.0,1575.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0
LOLTMNT04_147318,complete,TCL,2026.0,0.0,1.0,16.01,Blue,bot,Upset,Fnatic,1.0,Yunara,Neeko,Irelia,Sylas,Rakan,Renata Glasc,1692.0,0.0,4.0,2.0,3.0,10.0,26.0,0.0,0.0,0.0,0.0,1.0,0.3546,1.2766,0.0,0.0,17.0,14.0,6.0,54.0,13464.0,9737.0,345.2837,13225.0,293.0,285.0,8.0,10.3901,4315.0,3488.0,92.0,3502.0,3705.0,83.0,813.0,-217.0,9.0,2.0,0.0,0.0,0.0,1.0,2.0,6794.0,6042.0,153.0,6300.0,6214.0,131.0,494.0,-172.0,22.0,2.0,0.0,0.0,1.0,3.0,2.0,9111.0,8673.0,216.0,8946.0,9385.0,201.0,165.0,-712.0,15.0,2.0,0.0,0.0,1.0,3.0,2.0,11911.0,10669.0,259.0,13041.0,13045.0,251.0,-1130.0,-2376.0,8.0,3.0,3.0,2.0,4.0,9.0,2.0
LOLTMNT04_148343,complete,TCL,2026.0,0.0,1.0,16.01,Red,bot,Upset,Fnatic,1.0,Corki,Neeko,Yunara,Sylas,Qiyana,Wukong,2270.0,1.0,7.0,0.0,5.0,17.0,10.0,2.0,0.0,0.0,0.0,0.0,0.4493,0.7137,0.0,0.0,21.0,11.0,7.0,45.0,20546.0,15640.0,413.3921,18458.0,364.0,344.0,20.0,9.6211,3538.0,3288.0,92.0,3617.0,3486.0,95.0,-79.0,-198.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5789.0,5409.0,136.0,6150.0,6359.0,152.0,-361.0,-950.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,8293.0,8537.0,208.0,9677.0,9811.0,219.0,-1384.0,-1274.0,-11.0,0.0,0.0,0.0,2.0,0.0,0.0,10010.0,10548.0,253.0,12263.0,13461.0,279.0,-2253.0,-2913.0,-26.0,0.0,0.0,0.0,2.0,1.0,0.0
LOLTMNT01_327617,complete,ROL,2026.0,0.0,1.0,16.02,Blue,bot,Upset,Fnatic,1.0,Aphelios,Neeko,Yunara,Taliyah,Rakan,Nami,1925.0,0.0,3.0,5.0,3.0,11.0,22.0,1.0,0.0,0.0,0.0,1.0,0.3429,1.0286,0.0,0.0,14.0,9.0,5.0,40.0,15548.0,11345.0,353.6104,16010.0,323.0,311.0,12.0,10.0675,4078.0,3995.0,99.0,3501.0,3832.0,96.0,577.0,163.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6794.0,6262.0,152.0,6680.0,7096.0,153.0,114.0,-834.0,-1.0,1.0,2.0,1.0,1.0,3.0,0.0,8728.0,8998.0,215.0,9279.0,9956.0,225.0,-551.0,-958.0,-10.0,1.0,2.0,1.0,1.0,3.0,0.0,12250.0,11393.0,254.0,12683.0,12703.0,281.0,-433.0,-1310.0,-27.0,3.0,2.0,2.0,2.0,4.0,0.0
LOLTMNT04_149470,complete,LIT,2026.0,1.0,1.0,16.02,Blue,bot,Upset,Fnatic,1.0,Yunara,Akali,Yone,Vi,Neeko,Kai'Sa,1710.0,1.0,4.0,0.0,2.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.4211,0.5614,0.0,0.0,15.0,11.0,5.0,42.0,15344.0,11580.0,406.3158,13700.0,319.0,319.0,0.0,11.193,3181.0,3368.0,81.0,3814.0,3916.0,106.0,-633.0,-548.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,5659.0,5607.0,140.0,6410.0,6200.0,165.0,-751.0,-593.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,9276.0,9216.0,212.0,9285.0,9228.0,226.0,-9.0,-12.0,-14.0,1.0,2.0,0.0,1.0,1.0,0.0,12564.0,12055.0,278.0,11500.0,11875.0,294.0,1064.0,180.0,-16.0,3.0,2.0,0.0,1.0,1.0,0.0
LOLTMNT01_331147,complete,LCP,2026.0,0.0,1.0,16.02,Red,bot,Upset,Fnatic,1.0,Kai'Sa,Pantheon,Rumble,Taliyah,Lulu,Gnar,1782.0,1.0,11.0,0.0,7.0,20.0,2.0,4.0,0.0,0.0,0.0,0.0,0.6734,0.7407,0.0,0.0,16.0,4.0,4.0,24.0,18586.0,14675.0,494.1077,14850.0,297.0,280.0,17.0,10.0,3259.0,3501.0,86.0,3520.0,3555.0,96.0,-261.0,-54.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,6496.0,5937.0,140.0,6184.0,5775.0,149.0,312.0,162.0,-9.0,1.0,0.0,0.0,0.0,0.0,0.0,10207.0,9032.0,198.0,8621.0,8898.0,209.0,1586.0,134.0,-11.0,4.0,2.0,0.0,0.0,0.0,0.0,14116.0,13010.0,255.0,10416.0,10690.0,253.0,3700.0,2320.0,2.0,6.0,4.0,0.0,0.0,1.0,2.0
LOLTMNT01_335948,complete,HW,2026.0,0.0,1.0,16.02,Blue,bot,Upset,Fnatic,1.0,Varus,Neeko,Rumble,Vi,Bard,Gnar,2000.0,0.0,7.0,3.0,5.0,15.0,14.0,1.0,0.0,0.0,0.0,0.0,0.45,0.87,0.0,0.0,17.0,12.0,4.0,41.0,17853.0,13497.0,404.91,17750.0,315.0,315.0,0.0,9.45,3225.0,3488.0,86.0,4097.0,3808.0,97.0,-872.0,-320.0,-11.0,0.0,0.0,1.0,1.0,0.0,0.0,6092.0,6395.0,139.0,6302.0,5970.0,141.0,-210.0,425.0,-2.0,1.0,1.0,1.0,1.0,0.0,2.0,8576.0,8852.0,186.0,8979.0,9010.0,204.0,-403.0,-158.0,-18.0,2.0,2.0,2.0,1.0,3.0,2.0,10942.0,11610.0,246.0,11556.0,12397.0,270.0,-614.0,-787.0,-24.0,2.0,3.0,2.0,1.0,4.0,2.0
LOLTMNT01_338321,complete,HW,2026.0,0.0,1.0,16.02,Blue,bot,Upset,Fnatic,1.0,Varus,Jarvan IV,Azir,Yunara,Bard,Neeko,1818.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.033,0.396,0.0,0.0,16.0,8.0,4.0,40.0,12126.0,8142.0,268.7129,12100.0,314.0,314.0,0.0,10.363,3320.0,4242.0,87.0,3544.0,3746.0,82.0,-224.0,496.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5749.0,6497.0,146.0,6443.0,7122.0,148.0,-694.0,-625.0,-2.0,0.0,0.0,0.0,1.0,2.0,0.0,8171.0,9470.0,217.0,9300.0,10317.0,218.0,-1129.0,-847.0,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,9931.0,11956.0,270.0,12551.0,13987.0,280.0,-2620.0,-2031.0,-10.0,0.0,0.0,1.0,3.0,2.0,0.0
LOLTMNT01_338418,complete,LCP,2026.0,0.0,1.0,16.02,Red,bot,Upset,Fnatic,1.0,Yunara,Neeko,Varus,Taliyah,Aphelios,Corki,2005.0,1.0,6.0,1.0,10.0,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.5087,0.6584,1.0,0.0,18.0,11.0,5.0,45.0,18276.0,13910.0,416.2594,15125.0,342.0,316.0,26.0,10.2344,3544.0,3478.0,90.0,3515.0,3674.0,90.0,29.0,-196.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5806.0,5868.0,142.0,6205.0,6343.0,150.0,-399.0,-475.0,-8.0,0.0,0.0,0.0,0.0,1.0,0.0,8679.0,8473.0,200.0,8659.0,9205.0,204.0,20.0,-732.0,-4.0,1.0,0.0,1.0,1.0,1.0,0.0,11613.0,11627.0,264.0,10945.0,11701.0,258.0,668.0,-74.0,6.0,2.0,2.0,1.0,2.0,1.0,0.0
LOLTMNT05_175412,complete,AL,2026.0,0.0,1.0,16.03,Red,bot,Upset,Fnatic,1.0,Corki,Rumble,Aphelios,Varus,Ezreal,Braum,2105.0,0.0,2.0,1.0,5.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3135,0.7981,0.0,1.0,17.0,13.0,4.0,56.0,15623.0,11053.0,315.0499,15458.0,360.0,349.0,11.0,10.2613,3705.0,3842.0,102.0,3804.0,4046.0,107.0,-99.0,-204.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5935.0,5858.0,154.0,6144.0,6491.0,166.0,-209.0,-633.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,8101.0,8729.0,217.0,8346.0,8993.0,224.0,-245.0,-264.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,10477.0,11378.0,273.0,10566.0,11405.0,279.0,-89.0,-27.0,-6.0,0.0,2.0,0.0,0.0,0.0,0.0
LOLTMNT02_352695,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,bot,Upset,Fnatic,1.0,Jhin,Varus,Dr. Mundo,Jarvan IV,Renekton,Alistar,1677.0,0.0,2.0,1.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,1.0,0.1789,0.8945,0.0,0.0,13.0,4.0,4.0,28.0,12524.0,8827.0,315.814,12000.0,301.0,291.0,10.0,10.7692,3418.0,3531.0,90.0,3965.0,4240.0,84.0,-547.0,-709.0,6.0,0.0,1.0,0.0,2.0,2.0,1.0,5733.0,5894.0,150.0,6620.0,7069.0,149.0,-887.0,-1175.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,8607.0,8794.0,220.0,9129.0,10359.0,220.0,-522.0,-1565.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,10815.0,11317.0,277.0,13363.0,13812.0,273.0,-2548.0,-2495.0,4.0,1.0,1.0,1.0,7.0,5.0,1.0
