gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_336225,complete,ROL,2026.0,0.0,1.0,16.02,Red,bot,VK motimotti11,VelbeliKaizokudan,0.0,Varus,Gwen,Lee Sin,Hecarim,Sion,Braum,1992.0,0.0,0.0,5.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0904,0.753,0.0,0.0,10.0,8.0,2.0,32.0,12787.0,8448.0,254.4578,12850.0,318.0,318.0,0.0,9.5783,3461.0,3448.0,96.0,3779.0,3747.0,105.0,-318.0,-299.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5390.0,5266.0,139.0,8794.0,6688.0,166.0,-3404.0,-1422.0,-27.0,0.0,0.0,2.0,3.0,2.0,0.0,7349.0,7590.0,200.0,11681.0,9618.0,239.0,-4332.0,-2028.0,-39.0,0.0,0.0,3.0,4.0,3.0,0.0,9540.0,10118.0,255.0,15067.0,12789.0,302.0,-5527.0,-2671.0,-47.0,0.0,0.0,3.0,5.0,3.0,0.0
LOLTMNT01_336389,complete,LCKC,2026.0,0.0,1.0,16.02,Red,bot,VK motimotti11,VelbeliKaizokudan,0.0,Ashe,Riven,Wukong,Orianna,Rell,Nautilus,2208.0,0.0,3.0,3.0,1.0,12.0,14.0,1.0,0.0,0.0,0.0,1.0,0.3261,0.7065,0.0,0.0,15.0,6.0,6.0,45.0,16172.0,11392.0,309.5652,16050.0,356.0,353.0,3.0,9.6739,3988.0,3476.0,96.0,3327.0,3669.0,88.0,661.0,-193.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6281.0,5429.0,156.0,5037.0,5476.0,131.0,1244.0,-47.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,8432.0,7280.0,206.0,7166.0,7940.0,182.0,1266.0,-660.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,10459.0,9575.0,262.0,10263.0,11039.0,258.0,196.0,-1464.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0
LOLTMNT04_151542,complete,LEC,2026.0,0.0,1.0,16.02,Blue,bot,VK motimotti11,VelbeliKaizokudan,1.0,Ashe,Orianna,K'Sante,Syndra,Ambessa,Taliyah,1607.0,1.0,3.0,5.0,11.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.8587,1.3815,0.0,0.0,8.0,5.0,2.0,21.0,12425.0,8871.0,331.2134,11330.0,209.0,209.0,0.0,7.8034,3438.0,3301.0,79.0,3532.0,2915.0,64.0,-94.0,386.0,15.0,0.0,1.0,2.0,1.0,4.0,1.0,5708.0,5612.0,127.0,6406.0,5177.0,119.0,-698.0,435.0,8.0,0.0,3.0,3.0,2.0,5.0,1.0,7935.0,7334.0,169.0,9393.0,7263.0,189.0,-1458.0,71.0,-20.0,0.0,3.0,3.0,2.0,6.0,1.0,11315.0,10416.0,193.0,12196.0,8828.0,221.0,-881.0,1588.0,-28.0,3.0,9.0,4.0,4.0,8.0,3.0
LOLTMNT01_337197,complete,HW,2026.0,0.0,1.0,16.02,Blue,bot,VK motimotti11,VelbeliKaizokudan,1.0,Ashe,Lee Sin,Swain,Neeko,Orianna,Syndra,1577.0,1.0,6.0,0.0,6.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.799,1.0653,0.0,0.0,11.0,6.0,3.0,31.0,13216.0,9723.0,369.9302,12175.0,244.0,240.0,4.0,9.2834,3738.0,3601.0,89.0,3671.0,3385.0,80.0,67.0,216.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,7004.0,5961.0,147.0,5964.0,5438.0,129.0,1040.0,523.0,18.0,3.0,0.0,0.0,1.0,0.0,0.0,9315.0,7852.0,194.0,9080.0,7821.0,185.0,235.0,31.0,9.0,3.0,2.0,0.0,2.0,0.0,0.0,12342.0,11274.0,237.0,11001.0,9762.0,243.0,1341.0,1512.0,-6.0,5.0,5.0,0.0,2.0,0.0,1.0
LOLTMNT01_337217,complete,HW,2026.0,0.0,1.0,16.02,Blue,bot,VK motimotti11,VelbeliKaizokudan,1.0,Varus,Sion,Ryze,Sylas,Leona,Nautilus,1558.0,1.0,11.0,0.0,2.0,17.0,7.0,4.0,0.0,0.0,0.0,0.0,0.6547,0.9243,0.0,0.0,9.0,8.0,2.0,37.0,16438.0,12984.0,500.0257,15250.0,261.0,257.0,4.0,10.0513,3766.0,3603.0,100.0,3128.0,3829.0,77.0,638.0,-226.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7265.0,5785.0,149.0,5171.0,6100.0,120.0,2094.0,-315.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,11026.0,8793.0,216.0,7453.0,9149.0,174.0,3573.0,-356.0,42.0,5.0,0.0,0.0,0.0,1.0,1.0,15393.0,11870.0,256.0,9863.0,11481.0,219.0,5530.0,389.0,37.0,9.0,1.0,0.0,1.0,1.0,1.0
LOLTMNT04_151668,complete,LFL,2026.0,0.0,1.0,16.02,Blue,bot,VK motimotti11,VelbeliKaizokudan,1.0,Varus,Skarner,Ryze,Neeko,Kassadin,Vladimir,2333.0,0.0,6.0,8.0,3.0,15.0,36.0,0.0,0.0,0.0,0.0,0.0,0.3858,1.3116,0.0,1.0,13.0,7.0,2.0,31.0,18042.0,13007.0,334.5135,17180.0,340.0,340.0,0.0,8.7441,3977.0,3982.0,104.0,3985.0,3553.0,97.0,-8.0,429.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,6079.0,6025.0,156.0,6989.0,5472.0,138.0,-910.0,553.0,18.0,1.0,0.0,2.0,2.0,2.0,0.0,7966.0,8010.0,203.0,9831.0,8299.0,204.0,-1865.0,-289.0,-1.0,1.0,0.0,3.0,2.0,4.0,0.0,12718.0,11174.0,246.0,12606.0,10749.0,252.0,112.0,425.0,-6.0,5.0,1.0,4.0,2.0,7.0,2.0
LOLTMNT04_152675,complete,TCL,2026.0,0.0,1.0,16.02,Blue,bot,VK motimotti11,VelbeliKaizokudan,1.0,Ashe,Rumble,Neeko,Jarvan IV,Ryze,Taliyah,1959.0,0.0,2.0,3.0,4.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3063,0.9495,0.0,1.0,11.0,11.0,4.0,48.0,14253.0,9981.0,305.6968,13150.0,333.0,327.0,6.0,10.1991,3768.0,3642.0,101.0,3645.0,3435.0,88.0,123.0,207.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,6657.0,5993.0,150.0,5963.0,5313.0,127.0,694.0,680.0,23.0,1.0,1.0,0.0,0.0,1.0,1.0,9341.0,8845.0,220.0,8461.0,7480.0,191.0,880.0,1365.0,29.0,2.0,1.0,0.0,0.0,1.0,2.0,11457.0,11029.0,280.0,11856.0,10488.0,230.0,-399.0,541.0,50.0,2.0,1.0,1.0,3.0,2.0,2.0
LOLTMNT05_176261,complete,TCL,2026.0,0.0,1.0,16.03,Blue,bot,VK motimotti11,VelbeliKaizokudan,1.0,Varus,Orianna,Nocturne,Yunara,Rumble,Azir,2011.0,0.0,5.0,7.0,7.0,17.0,29.0,1.0,0.0,0.0,0.0,0.0,0.5072,1.3725,0.0,0.0,11.0,10.0,2.0,31.0,17292.0,12914.0,385.3008,15200.0,329.0,321.0,8.0,9.816,3981.0,3675.0,99.0,3469.0,3323.0,88.0,512.0,352.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,7930.0,6398.0,150.0,6828.0,5825.0,139.0,1102.0,573.0,11.0,3.0,2.0,2.0,2.0,2.0,1.0,11277.0,9462.0,203.0,9593.0,8571.0,201.0,1684.0,891.0,2.0,4.0,7.0,3.0,3.0,3.0,2.0,13171.0,11216.0,243.0,12767.0,11817.0,256.0,404.0,-601.0,-13.0,4.0,7.0,5.0,4.0,7.0,2.0
LOLTMNT05_176283,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,VK motimotti11,VelbeliKaizokudan,1.0,Varus,Viego,Graves,Qiyana,Malphite,Sion,1531.0,0.0,1.0,6.0,4.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3135,1.2149,0.0,1.0,8.0,1.0,1.0,17.0,9873.0,6474.0,253.7165,9325.0,223.0,223.0,0.0,8.7394,3815.0,3669.0,85.0,3751.0,3428.0,83.0,64.0,241.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,6055.0,5900.0,132.0,5661.0,5394.0,120.0,394.0,506.0,12.0,1.0,3.0,2.0,1.0,1.0,2.0,8147.0,8452.0,190.0,9043.0,8559.0,176.0,-896.0,-107.0,14.0,1.0,4.0,3.0,3.0,3.0,2.0,9811.0,9976.0,223.0,11796.0,11840.0,220.0,-1985.0,-1864.0,3.0,1.0,4.0,6.0,3.0,9.0,3.0
LOLTMNT05_176357,complete,AL,2026.0,0.0,1.0,16.03,Red,bot,VK motimotti11,VelbeliKaizokudan,0.0,Ezreal,Zyra,Malphite,Ambessa,Neeko,Rumble,2515.0,1.0,5.0,1.0,8.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.4771,0.8588,0.0,0.0,17.0,12.0,8.0,52.0,21638.0,16232.0,387.2445,19183.0,412.0,408.0,4.0,9.829,3341.0,3606.0,87.0,4073.0,3715.0,90.0,-732.0,-109.0,-3.0,0.0,0.0,0.0,2.0,0.0,0.0,5591.0,6058.0,140.0,6353.0,6306.0,147.0,-762.0,-248.0,-7.0,0.0,1.0,0.0,2.0,0.0,0.0,7877.0,8692.0,203.0,8725.0,8802.0,207.0,-848.0,-110.0,-4.0,0.0,1.0,0.0,2.0,1.0,0.0,10183.0,10570.0,250.0,10919.0,11083.0,255.0,-736.0,-513.0,-5.0,1.0,1.0,1.0,2.0,3.0,1.0
