gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_324980,complete,LCS,2026.0,0.0,1.0,16.01,Blue,mid,Vasco,Nightbirds,1.0,Orianna,Bel'Veth,Nunu & Willump,Varus,Malphite,Jarvan IV,1441.0,1.0,5.0,1.0,5.0,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.8744,1.0826,0.0,0.0,10.0,4.0,2.0,25.0,11590.0,8375.0,348.7162,10550.0,257.0,257.0,0.0,10.7009,3694.0,5077.0,97.0,2973.0,4843.0,70.0,721.0,234.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,6113.0,8231.0,153.0,4358.0,7278.0,111.0,1755.0,953.0,42.0,1.0,3.0,0.0,0.0,1.0,2.0,9036.0,11706.0,220.0,5758.0,9381.0,153.0,3278.0,2325.0,67.0,2.0,3.0,0.0,0.0,1.0,3.0,11590.0,14766.0,257.0,6827.0,11445.0,178.0,4763.0,3321.0,79.0,5.0,5.0,1.0,0.0,2.0,5.0
LOLTMNT01_332667,complete,LCK,2026.0,0.0,1.0,16.02,Blue,mid,Vasco,Nightbirds,1.0,Ryze,Vi,Varus,Syndra,Jarvan IV,Nautilus,1594.0,1.0,7.0,0.0,7.0,29.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0916,1.3174,0.0,0.0,10.0,4.0,2.0,24.0,12958.0,9431.0,354.9937,11800.0,278.0,266.0,12.0,10.4642,4249.0,5173.0,95.0,3350.0,4914.0,85.0,899.0,259.0,10.0,2.0,2.0,0.0,0.0,0.0,2.0,6538.0,8453.0,148.0,5074.0,7358.0,134.0,1464.0,1095.0,14.0,4.0,2.0,0.0,0.0,0.0,3.0,9697.0,12235.0,214.0,6971.0,9405.0,179.0,2726.0,2830.0,35.0,5.0,4.0,0.0,0.0,0.0,4.0,11882.0,16937.0,263.0,9882.0,11305.0,217.0,2000.0,5632.0,46.0,6.0,6.0,0.0,1.0,0.0,6.0
LOLTMNT01_334173,complete,LJL,2026.0,0.0,1.0,16.02,Blue,mid,Vasco,Nightbirds,1.0,Azir,Malphite,Syndra,Taliyah,Nautilus,Rell,2202.0,1.0,3.0,4.0,6.0,20.0,21.0,1.0,0.0,0.0,0.0,0.0,0.545,1.1172,0.0,0.0,16.0,6.0,8.0,40.0,14891.0,10123.0,275.8311,14750.0,329.0,329.0,0.0,8.9646,3286.0,5069.0,92.0,3619.0,5363.0,87.0,-333.0,-294.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,5489.0,7913.0,144.0,5724.0,7784.0,134.0,-235.0,129.0,10.0,1.0,0.0,1.0,2.0,0.0,0.0,7406.0,11090.0,197.0,8607.0,10608.0,185.0,-1201.0,482.0,12.0,1.0,0.0,1.0,3.0,0.0,0.0,9488.0,13858.0,253.0,9994.0,12467.0,214.0,-506.0,1391.0,39.0,1.0,0.0,1.0,3.0,1.0,0.0
LOLTMNT01_334197,complete,LJL,2026.0,0.0,2.0,16.02,Blue,mid,Vasco,Nightbirds,1.0,Taliyah,Malphite,Syndra,Rengar,Jarvan IV,Vi,1589.0,1.0,6.0,1.0,15.0,31.0,12.0,1.0,0.0,0.0,0.0,1.0,1.1705,1.6237,0.0,0.0,13.0,2.0,4.0,28.0,13828.0,10311.0,389.3392,12750.0,276.0,262.0,14.0,10.4216,3795.0,5218.0,91.0,3825.0,5673.0,101.0,-30.0,-455.0,-10.0,0.0,3.0,1.0,1.0,0.0,1.0,6019.0,8416.0,142.0,5796.0,8114.0,142.0,223.0,302.0,0.0,2.0,5.0,1.0,2.0,1.0,2.0,10064.0,12415.0,207.0,7659.0,10565.0,180.0,2405.0,1850.0,27.0,6.0,7.0,1.0,3.0,1.0,3.0,12665.0,15981.0,259.0,9020.0,13032.0,212.0,3645.0,2949.0,47.0,6.0,11.0,1.0,3.0,1.0,4.0
LOLTMNT05_176646,complete,LIT,2026.0,0.0,1.0,16.03,Blue,mid,Vasco,Nightbirds,1.0,Azir,Corki,Neeko,Rumble,Lulu,Leona,1456.0,1.0,8.0,1.0,4.0,35.0,12.0,0.0,0.0,0.0,0.0,0.0,1.4423,1.9368,0.0,0.0,12.0,3.0,5.0,24.0,14540.0,11294.0,465.4121,13725.0,260.0,260.0,0.0,10.7143,3953.0,5246.0,102.0,3664.0,5279.0,98.0,289.0,-33.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,7222.0,9175.0,160.0,4812.0,6999.0,124.0,2410.0,2176.0,36.0,4.0,2.0,0.0,0.0,0.0,2.0,10261.0,12265.0,222.0,6863.0,10140.0,175.0,3398.0,2125.0,47.0,5.0,2.0,0.0,0.0,4.0,2.0,14540.0,15532.0,260.0,8319.0,12358.0,216.0,6221.0,3174.0,44.0,8.0,4.0,1.0,0.0,5.0,4.0
LOLTMNT02_354876,complete,LCS,2026.0,0.0,2.0,16.03,Red,mid,Vasco,Nightbirds,0.0,Taliyah,Corki,,Ryze,,Neeko,1608.0,1.0,2.0,1.0,11.0,28.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0448,1.5299,0.0,0.0,12.0,3.0,4.0,27.0,12484.0,8928.0,333.1343,11010.0,279.0,267.0,12.0,10.4104,3559.0,5362.0,100.0,3339.0,5354.0,91.0,220.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5549.0,7977.0,142.0,5105.0,7936.0,142.0,444.0,41.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8305.0,11042.0,204.0,7867.0,11076.0,202.0,438.0,-34.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,11023.0,14999.0,257.0,10148.0,13537.0,246.0,875.0,1462.0,11.0,2.0,6.0,1.0,3.0,2.0,2.0
LOLTMNT05_176711,complete,LEC,2026.0,1.0,3.0,16.03,Blue,mid,Vasco,Nightbirds,1.0,Ahri,Corki,Qiyana,Akali,Xin Zhao,Wukong,1968.0,1.0,3.0,2.0,9.0,30.0,17.0,1.0,0.0,0.0,0.0,0.0,0.9146,1.4329,0.0,0.0,5.0,13.0,3.0,41.0,14707.0,10417.0,317.5915,14475.0,302.0,302.0,0.0,9.2073,4291.0,5436.0,103.0,3337.0,4485.0,57.0,954.0,951.0,46.0,1.0,1.0,0.0,2.0,0.0,2.0,6671.0,8336.0,163.0,5361.0,6825.0,91.0,1310.0,1511.0,72.0,1.0,2.0,0.0,3.0,1.0,4.0,8852.0,11419.0,220.0,6955.0,9043.0,136.0,1897.0,2376.0,84.0,1.0,3.0,0.0,3.0,1.0,5.0,10882.0,13917.0,251.0,8970.0,11077.0,166.0,1912.0,2840.0,85.0,1.0,5.0,1.0,4.0,2.0,7.0
LOLTMNT06_168053,complete,LIT,2026.0,0.0,1.0,16.03,Blue,mid,Vasco,Nightbirds,1.0,Azir,Varus,Rumble,Qiyana,Braum,Rell,2003.0,1.0,5.0,2.0,4.0,21.0,18.0,0.0,0.0,0.0,0.0,1.0,0.6291,1.1682,0.0,0.0,14.0,4.0,7.0,36.0,15176.0,10814.0,323.9341,13025.0,324.0,316.0,8.0,9.7054,3980.0,5338.0,98.0,3147.0,4591.0,82.0,833.0,747.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,5882.0,7871.0,154.0,5912.0,7471.0,132.0,-30.0,400.0,22.0,1.0,0.0,1.0,3.0,1.0,1.0,8083.0,10856.0,203.0,8538.0,10326.0,162.0,-455.0,530.0,41.0,2.0,0.0,2.0,6.0,6.0,2.0,10235.0,14685.0,254.0,10199.0,14310.0,208.0,36.0,375.0,46.0,3.0,0.0,2.0,6.0,6.0,3.0
LOLTMNT05_177030,complete,LEC,2026.0,1.0,2.0,16.03,Blue,mid,Vasco,Nightbirds,1.0,Galio,Varus,Rumble,Orianna,Jhin,Ashe,1982.0,1.0,5.0,1.0,7.0,32.0,9.0,1.0,0.0,0.0,0.0,0.0,0.9687,1.2412,0.0,0.0,10.0,3.0,1.0,25.0,13855.0,9536.0,288.6781,12375.0,253.0,253.0,0.0,7.6589,4125.0,5059.0,87.0,3531.0,4473.0,75.0,594.0,586.0,12.0,2.0,1.0,0.0,1.0,0.0,2.0,5642.0,7233.0,126.0,6019.0,7350.0,131.0,-377.0,-117.0,-5.0,2.0,1.0,1.0,2.0,0.0,2.0,7881.0,9917.0,171.0,8689.0,9653.0,166.0,-808.0,264.0,5.0,3.0,2.0,1.0,4.0,1.0,3.0,9463.0,12308.0,210.0,10293.0,11867.0,205.0,-830.0,441.0,5.0,3.0,3.0,1.0,4.0,2.0,5.0
LOLTMNT03_344400,complete,LCS,2026.0,0.0,3.0,16.03,Blue,mid,Vasco,Nightbirds,1.0,Taliyah,Qiyana,Akali,Sivir,Jarvan IV,Nocturne,2750.0,1.0,3.0,4.0,19.0,32.0,29.0,0.0,0.0,0.0,0.0,0.0,0.6982,1.3309,0.0,0.0,20.0,6.0,6.0,53.0,19824.0,13938.0,304.1018,19100.0,374.0,356.0,18.0,8.16,3497.0,4914.0,88.0,3681.0,5096.0,89.0,-184.0,-182.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,5159.0,7540.0,140.0,5636.0,7527.0,136.0,-477.0,13.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,8399.0,10553.0,192.0,7079.0,9249.0,175.0,1320.0,1304.0,17.0,1.0,4.0,1.0,2.0,2.0,2.0,11192.0,13258.0,229.0,9067.0,11685.0,214.0,2125.0,1573.0,15.0,2.0,6.0,2.0,3.0,4.0,2.0
