gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337955,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,jng,Velja,Los Ratones,0.0,Jarvan IV,Jayce,Azir,Orianna,Jax,Rumble,1933.0,0.0,1.0,4.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0621,0.4656,0.0,1.0,9.0,15.0,8.0,63.0,9965.0,5746.0,178.3549,9600.0,190.0,15.0,175.0,5.8976,3324.0,3879.0,74.0,3282.0,3720.0,70.0,42.0,159.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5346.0,6157.0,113.0,5016.0,6245.0,118.0,330.0,-88.0,-5.0,1.0,0.0,1.0,0.0,0.0,0.0,6987.0,8471.0,149.0,7184.0,9411.0,166.0,-197.0,-940.0,-17.0,1.0,0.0,1.0,0.0,1.0,0.0,8463.0,10421.0,172.0,9301.0,12728.0,195.0,-838.0,-2307.0,-23.0,1.0,0.0,2.0,0.0,3.0,0.0
LOLTMNT05_171218,complete,CCWS,2026.0,0.0,1.0,16.01,Blue,jng,Velja,Los Ratones,1.0,Jarvan IV,Rumble,Varus,Taliyah,Nautilus,Aatrox,2242.0,0.0,0.0,6.0,8.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2676,0.8029,0.0,2.0,9.0,13.0,6.0,49.0,11092.0,6243.0,167.074,10325.0,195.0,25.0,170.0,5.2186,3200.0,3433.0,67.0,3821.0,4267.0,84.0,-621.0,-834.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,4800.0,5749.0,99.0,5699.0,7075.0,133.0,-899.0,-1326.0,-34.0,0.0,1.0,3.0,1.0,1.0,1.0,6419.0,8148.0,135.0,7807.0,10180.0,186.0,-1388.0,-2032.0,-51.0,0.0,1.0,3.0,1.0,2.0,1.0,8202.0,10551.0,159.0,10189.0,12798.0,222.0,-1987.0,-2247.0,-63.0,0.0,5.0,3.0,1.0,3.0,1.0
LOLTMNT03_339476,complete,HLL,2026.0,0.0,1.0,16.01,Blue,jng,Velja,Los Ratones,0.0,Dr. Mundo,Rumble,Jayce,Varus,Ambessa,K'Sante,2241.0,0.0,3.0,4.0,4.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,0.2945,0.6961,0.0,1.0,12.0,15.0,10.0,72.0,13775.0,8928.0,239.0361,13400.0,250.0,28.0,222.0,6.6934,3459.0,4146.0,82.0,3679.0,3538.0,65.0,-220.0,608.0,17.0,0.0,0.0,1.0,1.0,1.0,0.0,4985.0,6086.0,120.0,5640.0,6531.0,111.0,-655.0,-445.0,9.0,0.0,0.0,1.0,2.0,1.0,0.0,8044.0,8718.0,154.0,7500.0,8363.0,135.0,544.0,355.0,19.0,3.0,0.0,2.0,3.0,2.0,2.0,9578.0,10963.0,185.0,9019.0,10637.0,167.0,559.0,326.0,18.0,3.0,1.0,2.0,3.0,2.0,3.0
LOLTMNT01_326647,complete,HW,2026.0,0.0,1.0,16.02,Red,jng,Velja,Los Ratones,1.0,Wukong,Rumble,Jarvan IV,Varus,Neeko,Jax,1471.0,0.0,1.0,3.0,1.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2039,0.775,0.0,1.0,5.0,6.0,2.0,34.0,7904.0,4628.0,188.7695,7783.0,171.0,14.0,157.0,6.9748,3539.0,4504.0,84.0,3726.0,3888.0,77.0,-187.0,616.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,5112.0,6358.0,108.0,6058.0,6602.0,115.0,-946.0,-244.0,-7.0,1.0,1.0,2.0,3.0,2.0,2.0,6957.0,9306.0,156.0,8036.0,9048.0,143.0,-1079.0,258.0,13.0,1.0,1.0,2.0,4.0,3.0,2.0,7904.0,10753.0,171.0,10160.0,11933.0,169.0,-2256.0,-1180.0,2.0,1.0,1.0,3.0,4.0,6.0,2.0
LOLTMNT06_165068,complete,AL,2026.0,0.0,1.0,16.02,Red,jng,Velja,Los Ratones,0.0,Dr. Mundo,Rumble,Varus,Orianna,Aatrox,Gnar,1969.0,1.0,5.0,1.0,9.0,20.0,8.0,1.0,0.0,0.0,0.0,0.0,0.6094,0.8532,2.0,0.0,8.0,10.0,5.0,49.0,14175.0,9883.0,301.1579,11175.0,216.0,13.0,203.0,6.582,3545.0,4170.0,81.0,4334.0,4641.0,88.0,-789.0,-471.0,-7.0,0.0,0.0,1.0,1.0,0.0,0.0,5418.0,6560.0,124.0,6518.0,7346.0,137.0,-1100.0,-786.0,-13.0,0.0,1.0,1.0,1.0,1.0,0.0,7199.0,8728.0,150.0,9319.0,10256.0,175.0,-2120.0,-1528.0,-25.0,0.0,4.0,1.0,2.0,1.0,0.0,9360.0,11275.0,172.0,12106.0,12806.0,206.0,-2746.0,-1531.0,-34.0,1.0,5.0,1.0,4.0,1.0,1.0
LOLTMNT01_332152,complete,LCK,2026.0,0.0,1.0,16.02,Red,jng,Velja,Los Ratones,1.0,Pantheon,Rumble,Varus,Cassiopeia,Ambessa,Gnar,2245.0,1.0,5.0,4.0,10.0,20.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5345,0.9087,1.0,1.0,11.0,10.0,8.0,46.0,13321.0,8466.0,226.2628,11250.0,190.0,29.0,161.0,5.078,3816.0,3642.0,64.0,3598.0,4117.0,79.0,218.0,-475.0,-15.0,2.0,0.0,1.0,0.0,2.0,1.0,5057.0,5291.0,85.0,5322.0,6632.0,121.0,-265.0,-1341.0,-36.0,2.0,1.0,1.0,0.0,2.0,1.0,6549.0,7683.0,115.0,7339.0,9448.0,159.0,-790.0,-1765.0,-44.0,2.0,2.0,2.0,0.0,5.0,2.0,7887.0,9982.0,136.0,9330.0,11960.0,189.0,-1443.0,-1978.0,-53.0,2.0,3.0,2.0,1.0,7.0,2.0
LOLTMNT01_335992,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,jng,Velja,Los Ratones,0.0,Dr. Mundo,Rumble,Varus,Ambessa,Jhin,Yunara,2397.0,1.0,4.0,5.0,7.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.3504,0.6008,1.0,1.0,15.0,23.0,9.0,88.0,15132.0,9967.0,249.4869,13625.0,254.0,33.0,221.0,6.3579,3702.0,4081.0,78.0,3940.0,3915.0,70.0,-238.0,166.0,8.0,1.0,0.0,2.0,1.0,2.0,0.0,5302.0,6382.0,119.0,5535.0,6434.0,109.0,-233.0,-52.0,10.0,1.0,0.0,2.0,1.0,2.0,1.0,7793.0,9232.0,158.0,7466.0,9198.0,142.0,327.0,34.0,16.0,3.0,1.0,2.0,1.0,4.0,1.0,9323.0,11430.0,190.0,9152.0,11303.0,184.0,171.0,127.0,6.0,3.0,1.0,2.0,1.0,4.0,1.0
LOLTMNT01_337442,complete,AL,2026.0,0.0,1.0,16.02,Red,jng,Velja,Los Ratones,0.0,Dr. Mundo,Varus,Orianna,Azir,Gnar,Jax,1892.0,1.0,2.0,2.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3171,0.5074,1.0,0.0,9.0,15.0,5.0,56.0,11894.0,7759.0,246.0571,10425.0,226.0,19.0,207.0,7.167,3554.0,4353.0,83.0,3907.0,4275.0,82.0,-353.0,78.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5035.0,6145.0,116.0,5645.0,6746.0,125.0,-610.0,-601.0,-9.0,0.0,0.0,2.0,1.0,0.0,0.0,7159.0,9172.0,158.0,7461.0,9032.0,161.0,-302.0,140.0,-3.0,1.0,0.0,2.0,1.0,1.0,0.0,8622.0,10550.0,176.0,9050.0,11111.0,186.0,-428.0,-561.0,-10.0,1.0,0.0,2.0,1.0,2.0,0.0
LOLTMNT01_338447,complete,LCK,2026.0,0.0,1.0,16.02,Blue,jng,Velja,Los Ratones,0.0,Pantheon,Varus,Orianna,Azir,Qiyana,Nautilus,1849.0,0.0,2.0,6.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0973,0.7463,0.0,1.0,8.0,11.0,6.0,46.0,10127.0,6079.0,197.2634,9500.0,185.0,17.0,168.0,6.0032,3652.0,3898.0,67.0,3631.0,4269.0,83.0,21.0,-371.0,-16.0,1.0,0.0,1.0,0.0,1.0,0.0,5580.0,5923.0,99.0,5661.0,7170.0,126.0,-81.0,-1247.0,-27.0,2.0,0.0,1.0,1.0,2.0,0.0,7233.0,8535.0,138.0,7621.0,10071.0,168.0,-388.0,-1536.0,-30.0,2.0,0.0,2.0,1.0,4.0,0.0,8731.0,10626.0,164.0,10621.0,14102.0,216.0,-1890.0,-3476.0,-52.0,2.0,0.0,4.0,3.0,5.0,0.0
LOLTMNT02_351354,complete,LCP,2026.0,1.0,1.0,16.03,Red,jng,Velja,Los Ratones,1.0,Vi,Rumble,Varus,Gnar,Nautilus,Sylas,2098.0,1.0,2.0,2.0,5.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,0.3432,0.5434,0.0,0.0,10.0,19.0,8.0,62.0,12826.0,8270.0,236.511,11083.0,233.0,22.0,211.0,6.6635,3158.0,3575.0,64.0,3427.0,3600.0,67.0,-269.0,-25.0,-3.0,0.0,0.0,1.0,0.0,1.0,0.0,4694.0,5746.0,100.0,5125.0,6441.0,108.0,-431.0,-695.0,-8.0,0.0,0.0,1.0,0.0,2.0,0.0,6529.0,8776.0,143.0,6709.0,8181.0,138.0,-180.0,595.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,8414.0,11308.0,188.0,8883.0,10941.0,183.0,-469.0,367.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0
LOLTMNT02_351635,complete,ROL,2026.0,1.0,1.0,16.03,Blue,jng,Velja,Los Ratones,0.0,Sylas,Rumble,Taliyah,Vi,Nautilus,Neeko,2096.0,0.0,10.0,0.0,3.0,16.0,19.0,1.0,0.0,0.0,0.0,0.0,0.458,1.0019,0.0,2.0,6.0,9.0,3.0,53.0,15505.0,10954.0,313.5687,15325.0,236.0,30.0,206.0,6.7557,3995.0,4221.0,71.0,3832.0,4184.0,74.0,163.0,37.0,-3.0,2.0,1.0,0.0,1.0,2.0,0.0,6414.0,7341.0,116.0,5557.0,6493.0,123.0,857.0,848.0,-7.0,4.0,1.0,0.0,1.0,2.0,0.0,9112.0,9917.0,147.0,7672.0,9916.0,165.0,1440.0,1.0,-18.0,6.0,2.0,0.0,1.0,4.0,0.0,10777.0,11819.0,174.0,9408.0,11983.0,184.0,1369.0,-164.0,-10.0,6.0,2.0,0.0,1.0,5.0,0.0
