gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_166065,complete,AL,2026.0,0.0,1.0,16.01,Blue,bot,Vizzpers,Vitality.Bee,1.0,Varus,Wukong,Akali,Rumble,Dr. Mundo,Nocturne,3166.0,1.0,15.0,8.0,10.0,35.0,30.0,0.0,0.0,0.0,0.0,0.0,0.6633,1.2318,0.0,0.0,16.0,6.0,4.0,48.0,26191.0,19457.0,368.7366,23550.0,359.0,355.0,4.0,6.8035,3266.0,3676.0,85.0,3663.0,3616.0,90.0,-397.0,60.0,-5.0,0.0,0.0,1.0,1.0,0.0,0.0,5499.0,5312.0,124.0,6390.0,6453.0,136.0,-891.0,-1141.0,-12.0,1.0,0.0,2.0,2.0,4.0,1.0,8507.0,7862.0,173.0,9265.0,9432.0,175.0,-758.0,-1570.0,-2.0,3.0,0.0,3.0,5.0,5.0,1.0,10481.0,9935.0,219.0,11190.0,11746.0,234.0,-709.0,-1811.0,-15.0,3.0,1.0,3.0,5.0,5.0,1.0
LOLTMNT04_152129,complete,LFL,2026.0,0.0,1.0,16.02,Red,bot,Vizzpers,Vitality.Bee,0.0,Corki,Aphelios,Varus,Jayce,Vi,Wukong,1556.0,0.0,1.0,5.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0771,0.8483,0.0,0.0,8.0,4.0,2.0,18.0,9988.0,6538.0,252.108,9933.0,222.0,222.0,0.0,8.5604,3332.0,3308.0,84.0,3782.0,3513.0,80.0,-450.0,-205.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,5459.0,5748.0,129.0,6455.0,6677.0,137.0,-996.0,-929.0,-8.0,0.0,1.0,2.0,2.0,1.0,1.0,7234.0,8033.0,180.0,9687.0,10351.0,203.0,-2453.0,-2318.0,-23.0,0.0,1.0,3.0,3.0,3.0,1.0,9872.0,10430.0,222.0,13161.0,13947.0,260.0,-3289.0,-3517.0,-38.0,1.0,1.0,4.0,3.0,8.0,1.0
LOLTMNT04_152447,complete,LEC,2026.0,0.0,1.0,16.02,Blue,bot,Vizzpers,Vitality.Bee,1.0,Corki,Aatrox,Jayce,Irelia,Neeko,Smolder,1908.0,1.0,8.0,1.0,5.0,16.0,6.0,2.0,0.0,0.0,0.0,0.0,0.5031,0.6918,0.0,0.0,10.0,11.0,4.0,32.0,17679.0,13511.0,424.8742,15033.0,307.0,303.0,4.0,9.6541,3023.0,2991.0,67.0,3730.0,3703.0,86.0,-707.0,-712.0,-19.0,0.0,0.0,1.0,1.0,0.0,0.0,6806.0,5512.0,116.0,6743.0,6270.0,135.0,63.0,-758.0,-19.0,4.0,0.0,1.0,3.0,0.0,1.0,8979.0,8374.0,176.0,9221.0,9657.0,208.0,-242.0,-1283.0,-32.0,4.0,0.0,1.0,3.0,0.0,1.0,11573.0,10558.0,242.0,11599.0,12683.0,273.0,-26.0,-2125.0,-31.0,4.0,0.0,1.0,3.0,0.0,1.0
LOLTMNT05_175079,complete,LIT,2026.0,0.0,1.0,16.02,Red,bot,Vizzpers,Vitality.Bee,0.0,Corki,Varus,Azir,Rumble,Kai'Sa,Rek'Sai,2288.0,0.0,6.0,4.0,6.0,21.0,20.0,0.0,0.0,0.0,0.0,1.0,0.5507,1.0752,0.0,0.0,18.0,13.0,6.0,50.0,18744.0,13801.0,361.9143,18583.0,347.0,317.0,30.0,9.0997,3300.0,3375.0,67.0,3895.0,3871.0,85.0,-595.0,-496.0,-18.0,1.0,1.0,1.0,1.0,1.0,2.0,5594.0,4993.0,102.0,7465.0,6938.0,138.0,-1871.0,-1945.0,-36.0,2.0,2.0,2.0,4.0,1.0,2.0,7899.0,7884.0,161.0,10403.0,10306.0,212.0,-2504.0,-2422.0,-51.0,2.0,2.0,2.0,5.0,1.0,2.0,11046.0,10248.0,224.0,12477.0,12486.0,264.0,-1431.0,-2238.0,-40.0,3.0,3.0,2.0,5.0,1.0,3.0
LOLTMNT02_349163,complete,LJL,2026.0,0.0,1.0,16.02,Red,bot,Vizzpers,Vitality.Bee,0.0,Ezreal,Varus,Yunara,Rumble,Alistar,Sivir,1845.0,0.0,1.0,7.0,2.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.2602,1.1707,1.0,0.0,9.0,6.0,1.0,23.0,12076.0,8037.0,261.3659,11608.0,248.0,244.0,4.0,8.065,3427.0,3377.0,79.0,5005.0,4066.0,91.0,-1578.0,-689.0,-12.0,1.0,0.0,3.0,4.0,0.0,0.0,5204.0,5688.0,120.0,7448.0,6920.0,149.0,-2244.0,-1232.0,-29.0,1.0,0.0,4.0,5.0,2.0,0.0,7350.0,7731.0,154.0,11467.0,9650.0,198.0,-4117.0,-1919.0,-44.0,1.0,1.0,6.0,9.0,2.0,0.0,9844.0,10979.0,210.0,14077.0,12104.0,243.0,-4233.0,-1125.0,-33.0,1.0,2.0,6.0,11.0,2.0,1.0
LOLTMNT02_350741,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,bot,Vizzpers,Vitality.Bee,1.0,Corki,Ahri,Yunara,Jayce,Alistar,Caitlyn,2171.0,0.0,4.0,3.0,4.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.304,0.8291,0.0,1.0,14.0,6.0,4.0,37.0,16047.0,11343.0,313.4869,15883.0,291.0,291.0,0.0,8.0424,3381.0,3927.0,93.0,4463.0,4497.0,108.0,-1082.0,-570.0,-15.0,0.0,0.0,1.0,1.0,0.0,0.0,5786.0,6565.0,153.0,6807.0,7214.0,171.0,-1021.0,-649.0,-18.0,0.0,0.0,1.0,1.0,0.0,0.0,7759.0,9024.0,207.0,10013.0,10470.0,243.0,-2254.0,-1446.0,-36.0,0.0,0.0,1.0,2.0,0.0,0.0,10798.0,11968.0,250.0,13408.0,14010.0,294.0,-2610.0,-2042.0,-44.0,1.0,1.0,1.0,3.0,0.0,1.0
LOLTMNT02_353339,complete,LES,2026.0,0.0,1.0,16.03,Blue,bot,Vizzpers,Vitality.Bee,1.0,Varus,Ezreal,Azir,Jayce,Sivir,Corki,1946.0,0.0,1.0,4.0,1.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2158,0.74,0.0,0.0,12.0,4.0,3.0,24.0,12562.0,8317.0,256.4337,12300.0,282.0,280.0,2.0,8.6948,3320.0,3601.0,88.0,4400.0,4097.0,97.0,-1080.0,-496.0,-9.0,0.0,0.0,1.0,1.0,1.0,0.0,5392.0,5986.0,137.0,6939.0,6637.0,154.0,-1547.0,-651.0,-17.0,0.0,0.0,2.0,2.0,1.0,0.0,7688.0,8896.0,202.0,9566.0,9603.0,225.0,-1878.0,-707.0,-23.0,0.0,0.0,2.0,2.0,1.0,0.0,10267.0,11376.0,236.0,11604.0,11695.0,267.0,-1337.0,-319.0,-31.0,1.0,0.0,2.0,3.0,1.0,1.0
LOLTMNT02_353753,complete,HW,2026.0,0.0,1.0,16.03,Red,bot,Vizzpers,Vitality.Bee,0.0,Ezreal,Dr. Mundo,Azir,Varus,Bard,Neeko,1667.0,0.0,0.0,5.0,1.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.144,1.0798,0.0,0.0,10.0,2.0,2.0,17.0,10059.0,6383.0,229.7421,9583.0,231.0,231.0,0.0,8.3143,3342.0,3682.0,88.0,4363.0,4052.0,94.0,-1021.0,-370.0,-6.0,0.0,1.0,1.0,2.0,1.0,0.0,4946.0,5386.0,127.0,7203.0,6891.0,153.0,-2257.0,-1505.0,-26.0,0.0,1.0,2.0,3.0,2.0,0.0,8020.0,8461.0,196.0,9767.0,9764.0,215.0,-1747.0,-1303.0,-19.0,0.0,1.0,2.0,3.0,2.0,0.0,9415.0,10029.0,221.0,13088.0,13680.0,281.0,-3673.0,-3651.0,-60.0,0.0,1.0,4.0,4.0,5.0,0.0
LOLTMNT05_175735,complete,LEC,2026.0,1.0,1.0,16.03,Red,bot,Vizzpers,Vitality.Bee,0.0,Jhin,Varus,Ambessa,Yunara,K'Sante,Sion,2020.0,0.0,2.0,4.0,4.0,12.0,29.0,0.0,0.0,0.0,0.0,0.0,0.3564,1.2178,0.0,0.0,12.0,6.0,6.0,32.0,14561.0,10165.0,301.9307,14225.0,319.0,319.0,0.0,9.4752,3439.0,3430.0,90.0,3172.0,3249.0,83.0,267.0,181.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,5802.0,5849.0,145.0,5582.0,5529.0,141.0,220.0,320.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,8163.0,8674.0,206.0,8483.0,8603.0,209.0,-320.0,71.0,-3.0,0.0,1.0,0.0,0.0,2.0,1.0,9976.0,11112.0,257.0,11401.0,11417.0,274.0,-1425.0,-305.0,-17.0,0.0,1.0,0.0,1.0,2.0,1.0
LOLTMNT05_176944,complete,EBL,2026.0,1.0,1.0,16.03,Red,bot,Vizzpers,Vitality.Bee,0.0,Varus,Dr. Mundo,Neeko,Jayce,K'Sante,Braum,2283.0,1.0,5.0,4.0,10.0,23.0,14.0,2.0,0.0,0.0,0.0,0.0,0.6045,0.9724,0.0,0.0,18.0,9.0,9.0,42.0,16438.0,11505.0,302.3653,14537.0,300.0,294.0,6.0,7.8844,3473.0,4009.0,97.0,3674.0,3617.0,98.0,-201.0,392.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,6275.0,6380.0,136.0,6160.0,5961.0,145.0,115.0,419.0,-9.0,2.0,2.0,1.0,1.0,1.0,1.0,8706.0,9472.0,201.0,8414.0,9011.0,216.0,292.0,461.0,-15.0,2.0,2.0,1.0,1.0,1.0,1.0,11689.0,12333.0,257.0,11477.0,12374.0,293.0,212.0,-41.0,-36.0,4.0,3.0,1.0,2.0,2.0,1.0
