gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163515,complete,LFL,2026.0,0.0,1.0,16.01,Blue,sup,Wildenbruch,E WIE EINFACH E-SPORTS,1.0,Pyke,Taliyah,Orianna,Azir,Rell,Leona,2172.0,1.0,5.0,7.0,16.0,32.0,23.0,1.0,0.0,0.0,0.0,1.0,0.884,1.5193,0.0,0.0,67.0,23.0,11.0,170.0,11561.0,6855.0,189.3646,11130.0,31.0,31.0,0.0,0.8564,3483.0,3010.0,5.0,2361.0,1857.0,8.0,1122.0,1153.0,-3.0,1.0,7.0,1.0,0.0,2.0,2.0,4598.0,3756.0,5.0,3739.0,4009.0,23.0,859.0,-253.0,-18.0,2.0,7.0,2.0,0.0,4.0,3.0,6390.0,5101.0,10.0,5301.0,5335.0,26.0,1089.0,-234.0,-16.0,4.0,8.0,4.0,1.0,6.0,5.0,7920.0,5932.0,13.0,6641.0,6353.0,26.0,1279.0,-421.0,-13.0,5.0,9.0,5.0,1.0,8.0,6.0
LOLTMNT03_339537,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,sup,Wildenbruch,E WIE EINFACH E-SPORTS,1.0,Leona,Sion,Ornn,Orianna,Braum,Neeko,1900.0,0.0,0.0,6.0,4.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1895,0.7895,0.0,0.0,40.0,12.0,11.0,96.0,6931.0,2779.0,87.7579,6745.0,32.0,32.0,0.0,1.0105,2201.0,2492.0,18.0,2383.0,2241.0,13.0,-182.0,251.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3259.0,3617.0,23.0,3602.0,3644.0,18.0,-343.0,-27.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,4261.0,4658.0,27.0,4965.0,3850.0,23.0,-704.0,808.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,5375.0,5145.0,30.0,6114.0,5267.0,24.0,-739.0,-122.0,6.0,0.0,2.0,2.0,0.0,5.0,1.0
LOLTMNT04_152121,complete,TCL,2026.0,0.0,1.0,16.02,Red,sup,Wildenbruch,E WIE EINFACH E-SPORTS,0.0,Nautilus,Orianna,Bard,Neeko,Azir,Ahri,2059.0,1.0,0.0,3.0,17.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5245,0.9034,0.0,0.0,58.0,10.0,18.0,121.0,9049.0,4573.0,133.2589,8185.0,33.0,33.0,0.0,0.9616,2208.0,2762.0,18.0,2279.0,2713.0,19.0,-71.0,49.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3307.0,3924.0,29.0,3449.0,4167.0,28.0,-142.0,-243.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4469.0,5074.0,31.0,4636.0,4688.0,30.0,-167.0,386.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,6113.0,7967.0,31.0,6044.0,7805.0,34.0,69.0,162.0,-3.0,0.0,8.0,1.0,0.0,5.0,2.0
LOLTMNT01_331882,complete,HW,2026.0,0.0,2.0,16.02,Blue,sup,Wildenbruch,E WIE EINFACH E-SPORTS,1.0,Braum,Bard,Neeko,Orianna,Vi,Rakan,2075.0,1.0,1.0,6.0,14.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0,0.5783,1.0699,0.0,0.0,66.0,10.0,12.0,133.0,9685.0,5176.0,149.6675,9330.0,30.0,30.0,0.0,0.8675,2303.0,2486.0,15.0,2843.0,2564.0,11.0,-540.0,-78.0,4.0,0.0,0.0,3.0,1.0,2.0,0.0,3347.0,3506.0,24.0,4841.0,4121.0,13.0,-1494.0,-615.0,11.0,0.0,0.0,4.0,3.0,3.0,0.0,4334.0,4990.0,27.0,6228.0,5423.0,15.0,-1894.0,-433.0,12.0,0.0,0.0,4.0,3.0,4.0,0.0,6723.0,8262.0,28.0,7699.0,6873.0,27.0,-976.0,1389.0,1.0,1.0,5.0,5.0,3.0,6.0,2.0
LOLTMNT04_152781,complete,AL,2026.0,0.0,1.0,16.02,Red,sup,Wildenbruch,E WIE EINFACH E-SPORTS,0.0,Nautilus,Orianna,Yunara,Ambessa,Neeko,Rell,1654.0,0.0,1.0,8.0,6.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2902,1.451,0.0,0.0,41.0,9.0,10.0,88.0,7310.0,3660.0,132.769,6655.0,35.0,35.0,0.0,1.2696,2530.0,2780.0,19.0,2914.0,3044.0,9.0,-384.0,-264.0,10.0,0.0,1.0,3.0,1.0,4.0,0.0,3831.0,4684.0,29.0,4142.0,4710.0,15.0,-311.0,-26.0,14.0,0.0,3.0,3.0,1.0,6.0,2.0,4983.0,5512.0,33.0,5728.0,5811.0,15.0,-745.0,-299.0,18.0,0.0,4.0,4.0,2.0,8.0,2.0,6673.0,7482.0,34.0,7817.0,8801.0,20.0,-1144.0,-1319.0,14.0,1.0,5.0,6.0,2.0,16.0,2.0
LOLTMNT02_348783,complete,LJL,2026.0,0.0,2.0,16.02,Blue,sup,Wildenbruch,E WIE EINFACH E-SPORTS,1.0,Leona,Orianna,Bard,Yunara,Jinx,Lucian,1756.0,0.0,1.0,12.0,11.0,21.0,37.0,0.0,0.0,0.0,0.0,1.0,0.7175,1.9818,0.0,0.0,44.0,13.0,12.0,104.0,7613.0,3755.0,128.303,7635.0,22.0,22.0,0.0,0.7517,2896.0,2417.0,10.0,2864.0,2515.0,12.0,32.0,-98.0,-2.0,1.0,3.0,3.0,0.0,6.0,3.0,4447.0,3914.0,15.0,4285.0,3845.0,20.0,162.0,69.0,-5.0,1.0,6.0,5.0,1.0,7.0,3.0,5531.0,4925.0,19.0,5483.0,5625.0,20.0,48.0,-700.0,-1.0,1.0,6.0,7.0,1.0,10.0,3.0,6597.0,6540.0,21.0,7609.0,9202.0,21.0,-1012.0,-2662.0,0.0,1.0,8.0,10.0,1.0,20.0,4.0
LOLTMNT02_348785,complete,LJL,2026.0,0.0,3.0,16.02,Blue,sup,Wildenbruch,E WIE EINFACH E-SPORTS,1.0,Bard,Orianna,Taliyah,Neeko,Poppy,Rek'Sai,1874.0,0.0,2.0,8.0,10.0,19.0,30.0,0.0,0.0,0.0,0.0,0.0,0.6083,1.5688,0.0,0.0,61.0,10.0,10.0,126.0,8275.0,4176.0,133.7033,7900.0,24.0,24.0,0.0,0.7684,2929.0,2584.0,11.0,2740.0,2635.0,7.0,189.0,-51.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,3852.0,3561.0,15.0,4885.0,4806.0,14.0,-1033.0,-1245.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,5255.0,5075.0,20.0,6547.0,6583.0,14.0,-1292.0,-1508.0,6.0,1.0,5.0,4.0,2.0,10.0,2.0,7033.0,7709.0,20.0,8547.0,10091.0,18.0,-1514.0,-2382.0,2.0,2.0,10.0,7.0,2.0,18.0,3.0
LOLTMNT05_176751,complete,LEC,2026.0,1.0,1.0,16.03,Blue,sup,Wildenbruch,E WIE EINFACH E-SPORTS,1.0,Taric,Jarvan IV,Aatrox,Orianna,Braum,Rakan,1855.0,0.0,0.0,8.0,7.0,10.0,25.0,0.0,0.0,0.0,0.0,1.0,0.3235,1.1321,0.0,0.0,44.0,21.0,11.0,122.0,7811.0,3751.0,121.3261,7325.0,46.0,46.0,0.0,1.4879,2800.0,2608.0,20.0,2647.0,2556.0,9.0,153.0,52.0,11.0,0.0,3.0,2.0,0.0,3.0,0.0,3907.0,3929.0,31.0,3756.0,3514.0,14.0,151.0,415.0,17.0,0.0,3.0,3.0,0.0,5.0,0.0,5218.0,5771.0,35.0,4945.0,5392.0,14.0,273.0,379.0,21.0,0.0,5.0,5.0,0.0,6.0,1.0,6470.0,7385.0,42.0,6229.0,7071.0,16.0,241.0,314.0,26.0,0.0,6.0,6.0,0.0,7.0,1.0
LOLTMNT02_356261,complete,HW,2026.0,0.0,1.0,16.03,Blue,sup,Wildenbruch,E WIE EINFACH E-SPORTS,1.0,Alistar,Taliyah,Aatrox,Orianna,Xayah,Ahri,1609.0,0.0,1.0,6.0,2.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.1119,1.1187,0.0,0.0,48.0,9.0,6.0,90.0,6289.0,2731.0,101.8397,5825.0,30.0,30.0,0.0,1.1187,2681.0,2675.0,14.0,3762.0,3736.0,15.0,-1081.0,-1061.0,-1.0,1.0,1.0,2.0,3.0,2.0,0.0,3865.0,4092.0,23.0,5138.0,4479.0,20.0,-1273.0,-387.0,3.0,1.0,1.0,2.0,4.0,2.0,0.0,4985.0,5589.0,28.0,6919.0,6093.0,26.0,-1934.0,-504.0,2.0,1.0,2.0,3.0,4.0,8.0,0.0,5967.0,6815.0,30.0,9045.0,8948.0,37.0,-3078.0,-2133.0,-7.0,1.0,2.0,5.0,5.0,15.0,0.0
LOLTMNT06_168220,complete,LFL,2026.0,0.0,1.0,16.03,Blue,sup,Wildenbruch,E WIE EINFACH E-SPORTS,1.0,Karma,Jarvan IV,Orianna,Azir,Yunara,Sivir,2295.0,1.0,3.0,3.0,19.0,28.0,5.0,0.0,0.0,0.0,0.0,1.0,0.732,0.8627,0.0,0.0,80.0,15.0,15.0,157.0,11236.0,6279.0,164.1569,9685.0,25.0,25.0,0.0,0.6536,2678.0,2534.0,6.0,2181.0,2265.0,13.0,497.0,269.0,-7.0,0.0,3.0,0.0,0.0,0.0,2.0,3988.0,3892.0,10.0,3217.0,3600.0,18.0,771.0,292.0,-8.0,0.0,6.0,0.0,0.0,0.0,3.0,5443.0,5706.0,14.0,4346.0,5926.0,24.0,1097.0,-220.0,-10.0,1.0,8.0,1.0,0.0,1.0,5.0,7019.0,7913.0,16.0,5433.0,6868.0,29.0,1586.0,1045.0,-13.0,2.0,10.0,1.0,0.0,1.0,6.0
