gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336395,complete,HLL,2026.0,0.0,1.0,16.01,Blue,jng,Willer,DRX,0.0,Xin Zhao,Rumble,Jayce,Poppy,K'Sante,Sion,1783.0,0.0,2.0,4.0,2.0,7.0,16.0,0.0,0.0,0.0,0.0,1.0,0.2356,0.774,1.0,0.0,8.0,12.0,7.0,45.0,10649.0,6736.0,226.6741,10475.0,191.0,15.0,176.0,6.4274,3666.0,3776.0,72.0,3141.0,3329.0,62.0,525.0,447.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,5474.0,6492.0,119.0,5155.0,6239.0,104.0,319.0,253.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,6879.0,8290.0,148.0,7150.0,9192.0,145.0,-271.0,-902.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,9352.0,11085.0,173.0,9298.0,11684.0,183.0,54.0,-599.0,-10.0,2.0,2.0,3.0,2.0,2.0,2.0
LOLTMNT05_171148,complete,LIT,2026.0,0.0,2.0,16.01,Red,jng,Willer,DRX,0.0,Jarvan IV,Rumble,Jayce,Malphite,Nautilus,Rakan,1469.0,0.0,0.0,5.0,3.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.2042,1.5929,0.0,1.0,10.0,6.0,6.0,29.0,7021.0,3749.0,153.1246,6350.0,132.0,13.0,119.0,5.3914,3256.0,3682.0,71.0,3564.0,4152.0,79.0,-308.0,-470.0,-8.0,0.0,0.0,0.0,0.0,2.0,0.0,4652.0,5616.0,102.0,5901.0,6968.0,117.0,-1249.0,-1352.0,-15.0,0.0,0.0,0.0,1.0,5.0,0.0,5833.0,6875.0,115.0,8938.0,10210.0,153.0,-3105.0,-3335.0,-38.0,0.0,1.0,2.0,3.0,7.0,0.0,7021.0,8744.0,132.0,11520.0,13615.0,184.0,-4499.0,-4871.0,-52.0,0.0,3.0,5.0,4.0,16.0,1.0
LOLTMNT06_163424,complete,LEC,2026.0,0.0,1.0,16.01,Red,jng,Willer,DRX,1.0,Xin Zhao,Malphite,Pantheon,Rumble,Lulu,Ambessa,1766.0,0.0,3.0,7.0,10.0,17.0,26.0,1.0,1.0,0.0,0.0,1.0,0.5776,1.4609,0.0,2.0,14.0,6.0,11.0,56.0,11007.0,7129.0,242.2084,10725.0,177.0,9.0,168.0,6.0136,3387.0,3528.0,65.0,3494.0,4287.0,76.0,-107.0,-759.0,-11.0,0.0,2.0,1.0,0.0,1.0,0.0,5994.0,6043.0,102.0,5793.0,6760.0,107.0,201.0,-717.0,-5.0,3.0,3.0,4.0,2.0,4.0,1.0,8269.0,9402.0,136.0,7429.0,8129.0,124.0,840.0,1273.0,12.0,3.0,6.0,4.0,3.0,4.0,2.0,9951.0,12009.0,160.0,9446.0,11434.0,155.0,505.0,575.0,5.0,3.0,10.0,5.0,4.0,4.0,3.0
LOLTMNT06_164476,complete,LEC,2026.0,0.0,2.0,16.01,Red,jng,Willer,DRX,0.0,Ambessa,Rumble,Jayce,Pantheon,Jarvan IV,Wukong,1832.0,1.0,4.0,1.0,9.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7205,1.048,1.0,1.0,9.0,9.0,4.0,46.0,13443.0,9430.0,308.8428,9500.0,224.0,21.0,203.0,7.3362,3606.0,4338.0,81.0,3131.0,2878.0,48.0,475.0,1460.0,33.0,0.0,2.0,0.0,1.0,0.0,2.0,5412.0,6925.0,129.0,4839.0,5605.0,89.0,573.0,1320.0,40.0,0.0,2.0,0.0,1.0,0.0,2.0,7650.0,10221.0,167.0,7174.0,9073.0,129.0,476.0,1148.0,38.0,0.0,4.0,0.0,2.0,2.0,2.0,9642.0,12193.0,184.0,9675.0,12519.0,166.0,-33.0,-326.0,18.0,2.0,6.0,1.0,4.0,3.0,3.0
LOLTMNT03_338312,complete,LCKC,2026.0,0.0,3.0,16.01,Blue,jng,Willer,DRX,1.0,Vi,Malphite,Pantheon,Wukong,Xayah,Zeri,2102.0,0.0,5.0,7.0,6.0,15.0,29.0,0.0,0.0,0.0,0.0,1.0,0.4282,1.2559,0.0,0.0,14.0,7.0,11.0,54.0,13146.0,8582.0,244.9667,12725.0,214.0,23.0,191.0,6.1085,3916.0,4063.0,77.0,3822.0,4219.0,76.0,94.0,-156.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,6038.0,6888.0,113.0,6047.0,6648.0,111.0,-9.0,240.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,8215.0,9538.0,153.0,8485.0,9525.0,149.0,-270.0,13.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,10339.0,11755.0,182.0,11597.0,13947.0,178.0,-1258.0,-2192.0,4.0,4.0,5.0,4.0,5.0,12.0,2.0
LOLTMNT03_339605,complete,LCK,2026.0,0.0,1.0,16.01,Red,jng,Willer,DRX,1.0,Nocturne,Malphite,Neeko,Rumble,Gnar,K'Sante,1880.0,1.0,1.0,1.0,7.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5745,0.6383,0.0,0.0,10.0,7.0,8.0,63.0,12410.0,8299.0,264.8617,9750.0,259.0,13.0,246.0,8.266,3617.0,4432.0,89.0,3512.0,3984.0,80.0,105.0,448.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5572.0,7650.0,139.0,4907.0,5776.0,109.0,665.0,1874.0,30.0,0.0,1.0,0.0,0.0,0.0,1.0,7643.0,11024.0,189.0,6662.0,9053.0,155.0,981.0,1971.0,34.0,0.0,1.0,0.0,0.0,0.0,1.0,9472.0,13489.0,228.0,8158.0,11290.0,185.0,1314.0,2199.0,43.0,0.0,1.0,0.0,0.0,0.0,2.0
LOLTMNT03_339627,complete,LCK,2026.0,0.0,2.0,16.01,Blue,jng,Willer,DRX,1.0,Pantheon,Malphite,Vi,K'Sante,Jarvan IV,Wukong,1943.0,0.0,2.0,5.0,5.0,9.0,22.0,0.0,0.0,0.0,0.0,1.0,0.2779,0.9573,0.0,1.0,12.0,9.0,10.0,67.0,10717.0,6478.0,200.0412,9400.0,193.0,15.0,178.0,5.9599,3777.0,4065.0,74.0,3520.0,3959.0,76.0,257.0,106.0,-2.0,1.0,1.0,1.0,0.0,2.0,1.0,5638.0,6947.0,124.0,5679.0,6895.0,111.0,-41.0,52.0,13.0,1.0,1.0,1.0,1.0,4.0,1.0,7336.0,8772.0,154.0,7663.0,9717.0,148.0,-327.0,-945.0,6.0,1.0,4.0,2.0,1.0,7.0,1.0,8778.0,10502.0,174.0,9895.0,12688.0,188.0,-1117.0,-2186.0,-14.0,1.0,4.0,2.0,1.0,11.0,1.0
LOLTMNT06_166007,complete,AL,2026.0,0.0,3.0,16.01,Red,jng,Willer,DRX,0.0,Jarvan IV,Rumble,Varus,Vi,Nautilus,Rell,2003.0,0.0,4.0,3.0,8.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.4793,1.1083,0.0,1.0,13.0,16.0,12.0,71.0,12508.0,8146.0,244.014,12150.0,193.0,35.0,158.0,5.7813,3516.0,3392.0,60.0,3878.0,4285.0,81.0,-362.0,-893.0,-21.0,1.0,3.0,0.0,1.0,0.0,0.0,5590.0,5807.0,104.0,6212.0,6991.0,130.0,-622.0,-1184.0,-26.0,2.0,3.0,0.0,1.0,0.0,0.0,7565.0,8705.0,140.0,8467.0,10200.0,172.0,-902.0,-1495.0,-32.0,3.0,4.0,0.0,1.0,1.0,1.0,8993.0,10739.0,167.0,11761.0,13335.0,203.0,-2768.0,-2596.0,-36.0,3.0,4.0,1.0,3.0,5.0,1.0
LOLTMNT03_341446,complete,LCK,2026.0,0.0,1.0,16.01,Blue,jng,Willer,DRX,0.0,Vi,Rumble,Orianna,Pantheon,Nautilus,Poppy,1806.0,1.0,6.0,2.0,14.0,26.0,16.0,1.0,0.0,0.0,0.0,0.0,0.8638,1.3953,1.0,0.0,11.0,5.0,10.0,38.0,13928.0,9968.0,331.1628,12875.0,213.0,24.0,189.0,7.0764,3857.0,4605.0,86.0,4096.0,4325.0,87.0,-239.0,280.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,5394.0,6619.0,118.0,7386.0,8050.0,141.0,-1992.0,-1431.0,-23.0,1.0,1.0,1.0,3.0,2.0,0.0,7121.0,9130.0,155.0,9062.0,9472.0,171.0,-1941.0,-342.0,-16.0,1.0,3.0,1.0,3.0,2.0,2.0,10801.0,12421.0,181.0,11235.0,12387.0,208.0,-434.0,34.0,-27.0,5.0,7.0,2.0,3.0,6.0,4.0
LOLTMNT01_325945,complete,CBLOL,2026.0,0.0,2.0,16.01,Blue,jng,Willer,DRX,0.0,Pantheon,Rumble,Orianna,Ambessa,Ezreal,Lucian,2054.0,0.0,4.0,6.0,8.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4966,1.1977,0.0,0.0,10.0,7.0,9.0,41.0,13155.0,8689.0,253.8169,12525.0,227.0,21.0,206.0,6.631,3528.0,3963.0,77.0,3567.0,3939.0,73.0,-39.0,24.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0,5124.0,6322.0,113.0,5227.0,6494.0,115.0,-103.0,-172.0,-2.0,0.0,2.0,1.0,0.0,3.0,0.0,7576.0,9014.0,149.0,7510.0,9233.0,148.0,66.0,-219.0,1.0,1.0,3.0,3.0,1.0,7.0,0.0,10086.0,11176.0,164.0,9439.0,11767.0,177.0,647.0,-591.0,-13.0,4.0,5.0,4.0,2.0,9.0,1.0
