gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_173017,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,Xay,A One Man Army Prime,0.0,Varus,Jayce,Orianna,Rumble,Braum,Leona,2112.0,1.0,3.0,3.0,12.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.767,1.108,0.0,0.0,13.0,4.0,3.0,33.0,16666.0,12082.0,343.2386,15200.0,311.0,307.0,4.0,8.8352,4409.0,3699.0,73.0,4754.0,3859.0,85.0,-345.0,-160.0,-12.0,2.0,4.0,1.0,3.0,0.0,1.0,6640.0,6442.0,133.0,7552.0,6038.0,143.0,-912.0,404.0,-10.0,2.0,5.0,1.0,3.0,0.0,1.0,9470.0,9102.0,178.0,10490.0,9175.0,205.0,-1020.0,-73.0,-27.0,2.0,8.0,2.0,4.0,2.0,2.0,11475.0,11193.0,227.0,13745.0,12164.0,284.0,-2270.0,-971.0,-57.0,2.0,8.0,2.0,4.0,3.0,2.0
LOLTMNT06_165030,complete,LFL,2026.0,0.0,1.0,16.01,Blue,bot,Xay,A One Man Army Prime,1.0,Xayah,Malphite,Ryze,Yunara,Braum,Nautilus,2698.0,1.0,2.0,3.0,6.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.2891,0.5782,1.0,0.0,11.0,16.0,1.0,46.0,20498.0,14718.0,327.3091,18625.0,466.0,414.0,52.0,10.3632,3226.0,3464.0,84.0,3536.0,3426.0,100.0,-310.0,38.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,5062.0,5311.0,127.0,5968.0,5347.0,148.0,-906.0,-36.0,-21.0,0.0,0.0,1.0,1.0,0.0,0.0,7248.0,8223.0,196.0,8463.0,8098.0,212.0,-1215.0,125.0,-16.0,0.0,0.0,1.0,1.0,0.0,0.0,10091.0,12302.0,264.0,10761.0,10314.0,264.0,-670.0,1988.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
LOLTMNT01_334169,complete,LJL,2026.0,0.0,1.0,16.02,Red,bot,Xay,A One Man Army Prime,0.0,Jhin,Orianna,Jayce,Azir,Renekton,Neeko,1826.0,0.0,3.0,3.0,4.0,13.0,20.0,0.0,0.0,0.0,0.0,1.0,0.4272,1.0843,0.0,0.0,10.0,8.0,1.0,26.0,13439.0,9438.0,310.1205,13375.0,279.0,279.0,0.0,9.1676,4094.0,3642.0,81.0,4064.0,3504.0,86.0,30.0,138.0,-5.0,2.0,1.0,1.0,2.0,0.0,1.0,7187.0,5941.0,129.0,6014.0,5620.0,122.0,1173.0,321.0,7.0,3.0,3.0,1.0,3.0,1.0,1.0,9248.0,8271.0,179.0,9071.0,8246.0,163.0,177.0,25.0,16.0,3.0,3.0,1.0,4.0,4.0,1.0,11335.0,10491.0,241.0,11954.0,11281.0,219.0,-619.0,-790.0,22.0,3.0,3.0,1.0,6.0,5.0,1.0
LOLTMNT01_334194,complete,LJL,2026.0,0.0,2.0,16.02,Red,bot,Xay,A One Man Army Prime,0.0,Kai'Sa,Orianna,Jayce,Azir,Gnar,Gwen,1780.0,0.0,2.0,6.0,2.0,8.0,26.0,1.0,0.0,0.0,0.0,0.0,0.2697,1.1461,0.0,1.0,5.0,15.0,0.0,37.0,12405.0,8498.0,286.4494,12550.0,277.0,277.0,0.0,9.3371,3505.0,3856.0,90.0,3543.0,3870.0,92.0,-38.0,-14.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,5241.0,5644.0,126.0,7053.0,6744.0,141.0,-1812.0,-1100.0,-15.0,0.0,0.0,1.0,2.0,2.0,0.0,7107.0,7602.0,169.0,10579.0,9643.0,190.0,-3472.0,-2041.0,-21.0,0.0,0.0,3.0,4.0,4.0,0.0,8885.0,9929.0,210.0,14775.0,13341.0,248.0,-5890.0,-3412.0,-38.0,0.0,2.0,5.0,6.0,9.0,0.0
LOLTMNT02_356261,complete,HW,2026.0,0.0,1.0,16.03,Red,bot,Xay,A One Man Army Prime,0.0,Corki,Azir,Varus,Ryze,Caitlyn,Ezreal,1609.0,1.0,7.0,2.0,5.0,27.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0068,1.1187,0.0,0.0,9.0,5.0,1.0,24.0,14225.0,10667.0,397.775,12333.0,271.0,271.0,0.0,10.1057,3779.0,3305.0,79.0,3277.0,3627.0,77.0,502.0,-322.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,5997.0,5836.0,131.0,5465.0,5695.0,128.0,532.0,141.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,8664.0,8982.0,192.0,7463.0,8042.0,177.0,1201.0,940.0,15.0,2.0,3.0,2.0,0.0,2.0,3.0,12381.0,12622.0,245.0,9501.0,10659.0,229.0,2880.0,1963.0,16.0,4.0,5.0,2.0,0.0,2.0,4.0
LOLTMNT05_176857,complete,PRM,2026.0,0.0,1.0,16.03,Red,bot,Xay,A One Man Army Prime,0.0,Corki,Azir,Orianna,Varus,Braum,Lulu,2160.0,0.0,5.0,2.0,2.0,9.0,19.0,0.0,0.0,0.0,0.0,1.0,0.25,0.7778,0.0,0.0,9.0,9.0,1.0,31.0,16378.0,11696.0,324.8889,16108.0,374.0,358.0,16.0,10.3889,3741.0,3490.0,92.0,3291.0,3939.0,85.0,450.0,-449.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,6378.0,5756.0,149.0,5987.0,6284.0,139.0,391.0,-528.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,8633.0,8251.0,201.0,9195.0,9204.0,194.0,-562.0,-953.0,7.0,3.0,0.0,1.0,1.0,2.0,1.0,10929.0,11259.0,273.0,12041.0,12810.0,248.0,-1112.0,-1551.0,25.0,3.0,0.0,1.0,2.0,3.0,1.0
LOLTMNT06_168204,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,Xay,A One Man Army Prime,1.0,Ezreal,Vi,Yunara,Ryze,Lulu,Braum,1782.0,0.0,1.0,3.0,1.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.202,0.7407,0.0,0.0,10.0,1.0,1.0,14.0,11713.0,7802.0,262.6936,11733.0,286.0,286.0,0.0,9.6296,3324.0,3493.0,94.0,3890.0,3689.0,104.0,-566.0,-196.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,5156.0,5798.0,138.0,6751.0,6703.0,171.0,-1595.0,-905.0,-33.0,0.0,0.0,0.0,1.0,0.0,0.0,7304.0,8795.0,203.0,9816.0,9845.0,244.0,-2512.0,-1050.0,-41.0,0.0,0.0,0.0,1.0,0.0,0.0,10397.0,11742.0,256.0,13047.0,13021.0,306.0,-2650.0,-1279.0,-50.0,1.0,1.0,1.0,2.0,0.0,1.0
LOLTMNT06_167170,complete,EBL,2026.0,1.0,1.0,16.03,Red,bot,Xay,A One Man Army Prime,0.0,Jhin,Varus,Azir,Ryze,Nautilus,Neeko,2134.0,0.0,3.0,4.0,6.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.5904,1.1809,0.0,1.0,13.0,3.0,2.0,24.0,14304.0,9675.0,272.0244,13250.0,293.0,292.0,1.0,8.2381,2611.0,2747.0,55.0,4104.0,3998.0,96.0,-1493.0,-1251.0,-41.0,0.0,0.0,1.0,1.0,0.0,0.0,4949.0,5618.0,95.0,6156.0,5466.0,125.0,-1207.0,152.0,-30.0,2.0,1.0,3.0,2.0,0.0,3.0,7195.0,8000.0,136.0,8108.0,8103.0,179.0,-913.0,-103.0,-43.0,2.0,3.0,4.0,2.0,0.0,3.0,9158.0,10758.0,199.0,10655.0,11145.0,248.0,-1497.0,-387.0,-49.0,2.0,3.0,4.0,2.0,0.0,3.0
LOLTMNT03_348025,complete,HW,2026.0,0.0,1.0,16.03,Red,bot,Xay,A One Man Army Prime,0.0,Yunara,Azir,Orianna,Vi,Anivia,Syndra,1456.0,0.0,2.0,4.0,2.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.206,1.1126,0.0,0.0,6.0,9.0,0.0,26.0,10956.0,7710.0,317.7198,11250.0,224.0,220.0,4.0,9.2308,3327.0,3173.0,88.0,3863.0,3774.0,82.0,-536.0,-601.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,5536.0,5189.0,134.0,6523.0,6638.0,137.0,-987.0,-1449.0,-3.0,0.0,0.0,2.0,2.0,3.0,0.0,8849.0,8243.0,201.0,9204.0,9084.0,178.0,-355.0,-841.0,23.0,1.0,0.0,2.0,3.0,5.0,1.0,10956.0,9665.0,224.0,12172.0,11698.0,206.0,-1216.0,-2033.0,18.0,2.0,2.0,4.0,6.0,6.0,2.0
LOLTMNT06_171001,complete,PRM,2026.0,0.0,1.0,16.03,Red,bot,Xay,A One Man Army Prime,0.0,Corki,Ryze,Azir,Jarvan IV,Nautilus,Karma,2254.0,0.0,4.0,2.0,2.0,10.0,19.0,0.0,0.0,0.0,0.0,1.0,0.2662,0.772,0.0,0.0,10.0,13.0,3.0,52.0,15963.0,11089.0,295.1819,15508.0,373.0,365.0,8.0,9.929,3755.0,3754.0,95.0,3439.0,3789.0,96.0,316.0,-35.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,6191.0,5731.0,143.0,5911.0,6313.0,147.0,280.0,-582.0,-4.0,2.0,1.0,1.0,0.0,0.0,1.0,8975.0,9073.0,200.0,8041.0,9357.0,213.0,934.0,-284.0,-13.0,3.0,2.0,1.0,0.0,0.0,1.0,11347.0,11761.0,265.0,10383.0,12153.0,273.0,964.0,-392.0,-8.0,4.0,2.0,1.0,0.0,0.0,1.0
