gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151436,complete,LIT,2026.0,0.0,1.0,16.02,Blue,top,YellowYoshi,Rising Gaming,1.0,Rumble,Neeko,Orianna,Varus,Ezreal,Lucian,1420.0,1.0,2.0,5.0,8.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,1.3099,1.6901,0.0,0.0,11.0,3.0,5.0,23.0,10395.0,7223.0,305.1972,9925.0,190.0,190.0,0.0,8.0282,3765.0,4976.0,87.0,3529.0,5001.0,80.0,236.0,-25.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,5894.0,8167.0,134.0,5182.0,8192.0,121.0,712.0,-25.0,13.0,0.0,2.0,3.0,1.0,2.0,0.0,8143.0,10531.0,161.0,6893.0,10707.0,163.0,1250.0,-176.0,-2.0,1.0,3.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
LOLTMNT01_336352,complete,LCKC,2026.0,0.0,1.0,16.02,Red,top,YellowYoshi,Rising Gaming,0.0,Rumble,Skarner,Ryze,Galio,Neeko,Rakan,1566.0,1.0,7.0,2.0,11.0,42.0,8.0,1.0,0.0,0.0,0.0,0.0,1.6092,1.9157,0.0,0.0,12.0,1.0,5.0,32.0,11772.0,8302.0,318.0843,11125.0,202.0,202.0,0.0,7.7395,3341.0,4882.0,70.0,3563.0,4899.0,78.0,-222.0,-17.0,-8.0,1.0,0.0,2.0,2.0,0.0,1.0,5216.0,8733.0,115.0,5234.0,8186.0,128.0,-18.0,547.0,-13.0,2.0,0.0,2.0,2.0,0.0,2.0,8807.0,13308.0,166.0,6916.0,10231.0,147.0,1891.0,3077.0,19.0,5.0,3.0,2.0,2.0,4.0,5.0,11029.0,16873.0,197.0,8060.0,11728.0,171.0,2969.0,5145.0,26.0,6.0,8.0,2.0,2.0,4.0,6.0
LOLTMNT04_151500,complete,LIT,2026.0,0.0,1.0,16.02,Red,top,YellowYoshi,Rising Gaming,0.0,K'Sante,Rumble,Ryze,Ambessa,Gnar,Gwen,1490.0,1.0,1.0,2.0,10.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,1.2081,1.5705,0.0,0.0,10.0,3.0,3.0,33.0,9430.0,6115.0,246.2416,8775.0,183.0,183.0,0.0,7.3691,3228.0,4728.0,73.0,3769.0,5187.0,87.0,-541.0,-459.0,-14.0,0.0,0.0,2.0,0.0,2.0,0.0,5061.0,8217.0,127.0,6432.0,8762.0,132.0,-1371.0,-545.0,-5.0,0.0,0.0,2.0,1.0,2.0,0.0,7366.0,11512.0,166.0,7404.0,10127.0,151.0,-38.0,1385.0,15.0,1.0,5.0,2.0,1.0,2.0,2.0,9430.0,14675.0,183.0,9307.0,12250.0,183.0,123.0,2425.0,0.0,1.0,10.0,2.0,1.0,3.0,3.0
LOLTMNT01_338084,complete,HW,2026.0,0.0,1.0,16.02,Red,top,YellowYoshi,Rising Gaming,0.0,K'Sante,Azir,Ambessa,Orianna,Alistar,Gnar,2039.0,0.0,1.0,2.0,2.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.3237,0.7357,0.0,0.0,16.0,5.0,9.0,44.0,11232.0,6797.0,200.0098,11375.0,248.0,248.0,0.0,7.2977,3453.0,5255.0,97.0,3291.0,5193.0,87.0,162.0,62.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5196.0,8385.0,145.0,5265.0,8714.0,140.0,-69.0,-329.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6923.0,11082.0,182.0,7055.0,11224.0,179.0,-132.0,-142.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,9124.0,14916.0,222.0,9075.0,13573.0,213.0,49.0,1343.0,9.0,1.0,2.0,0.0,0.0,0.0,2.0
LOLTMNT04_151641,complete,EBL,2026.0,0.0,1.0,16.02,Red,top,YellowYoshi,Rising Gaming,0.0,K'Sante,Rumble,Ryze,Qiyana,Galio,Gnar,1371.0,1.0,5.0,2.0,9.0,35.0,9.0,0.0,0.0,0.0,0.0,0.0,1.5317,1.9256,0.0,0.0,9.0,2.0,3.0,35.0,9728.0,6656.0,291.291,9225.0,180.0,180.0,0.0,7.8775,4618.0,5481.0,88.0,3282.0,5030.0,81.0,1336.0,451.0,7.0,3.0,0.0,1.0,0.0,1.0,2.0,6503.0,8438.0,123.0,5441.0,7547.0,116.0,1062.0,891.0,7.0,4.0,2.0,1.0,1.0,1.0,3.0,8609.0,12549.0,172.0,7738.0,11123.0,171.0,871.0,1426.0,1.0,5.0,5.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,
LOLTMNT04_151666,complete,LIT,2026.0,1.0,1.0,16.02,Red,top,YellowYoshi,Rising Gaming,0.0,Ornn,Varus,Ambessa,Galio,Yone,Akali,1542.0,1.0,0.0,2.0,5.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0895,1.5564,0.0,0.0,12.0,2.0,5.0,35.0,7932.0,4511.0,175.5253,7725.0,163.0,163.0,0.0,6.3424,3142.0,5224.0,80.0,3094.0,5069.0,82.0,48.0,155.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4753.0,8579.0,118.0,4652.0,8512.0,131.0,101.0,67.0,-13.0,0.0,1.0,1.0,0.0,0.0,0.0,6341.0,11236.0,158.0,7083.0,10982.0,166.0,-742.0,254.0,-8.0,0.0,1.0,1.0,2.0,0.0,2.0,7625.0,13750.0,163.0,8947.0,13388.0,209.0,-1322.0,362.0,-46.0,0.0,2.0,1.0,2.0,0.0,4.0
LOLTMNT01_338225,complete,LCP,2026.0,0.0,1.0,16.02,Red,top,YellowYoshi,Rising Gaming,0.0,Renekton,Seraphine,Varus,Ambessa,Gnar,K'Sante,1223.0,1.0,4.0,0.0,5.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0793,1.1774,0.0,0.0,10.0,1.0,3.0,24.0,9751.0,6980.0,342.4366,8275.0,180.0,180.0,0.0,8.8307,4427.0,5625.0,100.0,2693.0,4330.0,59.0,1734.0,1295.0,41.0,1.0,1.0,0.0,0.0,0.0,2.0,6426.0,8698.0,127.0,4119.0,7515.0,102.0,2307.0,1183.0,25.0,3.0,1.0,0.0,0.0,0.0,4.0,9442.0,11982.0,178.0,5578.0,9899.0,143.0,3864.0,2083.0,35.0,4.0,4.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,,,
LOLTMNT02_349885,complete,HLL,2026.0,0.0,1.0,16.03,Red,top,YellowYoshi,Rising Gaming,0.0,K'Sante,Orianna,Rumble,Ambessa,Gnar,Gwen,2008.0,1.0,4.0,3.0,9.0,30.0,16.0,0.0,0.0,0.0,0.0,0.0,0.8964,1.3745,0.0,0.0,21.0,3.0,8.0,43.0,13025.0,8653.0,258.5558,12450.0,243.0,243.0,0.0,7.261,3606.0,5292.0,84.0,3270.0,4600.0,82.0,336.0,692.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,6501.0,10134.0,140.0,5024.0,8130.0,133.0,1477.0,2004.0,7.0,2.0,1.0,0.0,0.0,0.0,3.0,8241.0,13445.0,180.0,6735.0,10680.0,176.0,1506.0,2765.0,4.0,3.0,1.0,1.0,0.0,0.0,5.0,9853.0,16560.0,221.0,8560.0,13799.0,231.0,1293.0,2761.0,-10.0,3.0,1.0,1.0,0.0,0.0,6.0
LOLTMNT02_349929,complete,HLL,2026.0,0.0,1.0,16.03,Blue,top,YellowYoshi,Rising Gaming,1.0,Poppy,Akali,Orianna,Ambessa,Sylas,Ahri,2169.0,0.0,3.0,4.0,0.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.4426,1.0235,0.0,0.0,20.0,3.0,7.0,63.0,12793.0,8093.0,223.8728,12425.0,270.0,270.0,0.0,7.4689,3777.0,5260.0,94.0,3027.0,4963.0,68.0,750.0,297.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,5818.0,8907.0,140.0,4121.0,7814.0,92.0,1697.0,1093.0,48.0,2.0,0.0,0.0,0.0,0.0,2.0,7978.0,11731.0,186.0,6531.0,10426.0,127.0,1447.0,1305.0,59.0,2.0,0.0,1.0,1.0,1.0,2.0,10345.0,15576.0,244.0,7933.0,13254.0,162.0,2412.0,2322.0,82.0,3.0,0.0,1.0,1.0,1.0,3.0
LOLTMNT05_175361,complete,LFL,2026.0,0.0,1.0,16.03,Blue,top,YellowYoshi,Rising Gaming,1.0,Renekton,Azir,Orianna,Caitlyn,Varus,Ornn,2130.0,0.0,2.0,2.0,3.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3662,0.9296,0.0,0.0,13.0,5.0,4.0,37.0,12726.0,8105.0,228.3099,12450.0,266.0,266.0,0.0,7.493,3154.0,5090.0,78.0,3525.0,5178.0,89.0,-371.0,-88.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,4706.0,8867.0,127.0,5335.0,9029.0,149.0,-629.0,-162.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,6647.0,12260.0,185.0,8330.0,12473.0,204.0,-1683.0,-213.0,-19.0,0.0,0.0,0.0,1.0,1.0,0.0,8767.0,15266.0,229.0,11340.0,16565.0,255.0,-2573.0,-1299.0,-26.0,0.0,1.0,0.0,3.0,2.0,1.0
