gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_166083,complete,AL,2026.0,0.0,1.0,16.02,Blue,bot,Yeon,Team Liquid,0.0,Corki,Ziggs,Jayce,Varus,Yunara,Alistar,2163.0,0.0,0.0,1.0,2.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.1942,0.5548,0.0,0.0,13.0,11.0,5.0,46.0,14485.0,9797.0,271.7614,14688.0,343.0,329.0,14.0,9.5146,3494.0,3555.0,91.0,3113.0,3200.0,78.0,381.0,355.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5804.0,6048.0,147.0,5903.0,5614.0,135.0,-99.0,434.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8048.0,8305.0,200.0,7663.0,7585.0,182.0,385.0,720.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,10127.0,10632.0,246.0,10516.0,10122.0,244.0,-389.0,510.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
LOLTMNT01_327636,complete,ROL,2026.0,0.0,2.0,16.02,Red,bot,Yeon,Team Liquid,1.0,Jhin,Ziggs,Malphite,Ambessa,Karma,Cassiopeia,1833.0,0.0,0.0,3.0,1.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1309,0.7529,0.0,0.0,10.0,5.0,3.0,25.0,10103.0,6088.0,199.2799,9650.0,248.0,248.0,0.0,8.1178,3176.0,3236.0,76.0,3684.0,3620.0,97.0,-508.0,-384.0,-21.0,0.0,0.0,1.0,0.0,2.0,0.0,5033.0,5501.0,126.0,6374.0,6260.0,156.0,-1341.0,-759.0,-30.0,0.0,0.0,1.0,1.0,2.0,1.0,7062.0,8344.0,182.0,9185.0,9742.0,219.0,-2123.0,-1398.0,-37.0,0.0,1.0,1.0,1.0,5.0,1.0,8471.0,9536.0,214.0,11555.0,12462.0,254.0,-3084.0,-2926.0,-40.0,0.0,1.0,3.0,2.0,7.0,1.0
LOLTMNT04_151763,complete,CCWS,2026.0,0.0,1.0,16.02,Blue,bot,Yeon,Team Liquid,1.0,Corki,Aurora,Malphite,Azir,Nautilus,Neeko,1718.0,1.0,2.0,1.0,7.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.3842,0.5588,0.0,0.0,12.0,7.0,4.0,25.0,13751.0,9971.0,348.2305,11383.0,274.0,270.0,4.0,9.5693,3425.0,3512.0,95.0,3413.0,3483.0,67.0,12.0,29.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,6027.0,5832.0,158.0,5594.0,5613.0,118.0,433.0,219.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,8000.0,7893.0,210.0,7763.0,7705.0,177.0,237.0,188.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,10581.0,10691.0,247.0,9591.0,9751.0,228.0,990.0,940.0,19.0,0.0,4.0,1.0,1.0,0.0,1.0
LOLTMNT01_337444,complete,HW,2026.0,0.0,2.0,16.02,Blue,bot,Yeon,Team Liquid,1.0,Yunara,Aurora,Malphite,Pantheon,Ezreal,Nautilus,1451.0,1.0,3.0,1.0,6.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.703,0.827,0.0,0.0,10.0,8.0,2.0,31.0,12220.0,8984.0,371.4955,9900.0,235.0,227.0,8.0,9.7174,3425.0,4273.0,90.0,3235.0,3699.0,82.0,190.0,574.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5768.0,6452.0,130.0,5835.0,5624.0,132.0,-67.0,828.0,-2.0,0.0,3.0,1.0,1.0,0.0,1.0,8832.0,9469.0,196.0,8210.0,9024.0,184.0,622.0,445.0,12.0,0.0,3.0,1.0,1.0,1.0,1.0,12220.0,12456.0,235.0,9695.0,10548.0,219.0,2525.0,1908.0,16.0,3.0,6.0,1.0,1.0,1.0,2.0
LOLTMNT05_176461,complete,AL,2026.0,0.0,1.0,16.03,Red,bot,Yeon,Team Liquid,1.0,Lucian,K'Sante,Orianna,Jarvan IV,Gwen,Nautilus,1728.0,1.0,7.0,2.0,3.0,19.0,5.0,2.0,0.0,0.0,0.0,0.0,0.6597,0.8333,0.0,0.0,10.0,10.0,4.0,38.0,15038.0,11237.0,390.1736,11625.0,267.0,257.0,10.0,9.2708,3324.0,3562.0,88.0,3163.0,3116.0,73.0,161.0,446.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,5883.0,6178.0,138.0,5595.0,5512.0,133.0,288.0,666.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,8190.0,8564.0,195.0,7607.0,8307.0,189.0,583.0,257.0,6.0,1.0,0.0,1.0,0.0,2.0,1.0,11654.0,12046.0,233.0,9407.0,10055.0,228.0,2247.0,1991.0,5.0,4.0,2.0,2.0,0.0,3.0,3.0
LOLTMNT02_351519,complete,HW,2026.0,0.0,2.0,16.03,Blue,bot,Yeon,Team Liquid,0.0,Ezreal,Rumble,Nocturne,K'Sante,Yunara,Xin Zhao,2778.0,0.0,3.0,5.0,7.0,15.0,29.0,0.0,0.0,0.0,0.0,0.0,0.324,0.9503,0.0,1.0,19.0,10.0,5.0,50.0,19634.0,13691.0,295.7019,18608.0,434.0,429.0,5.0,9.3737,3639.0,3785.0,91.0,3776.0,3288.0,79.0,-137.0,497.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,6400.0,6541.0,153.0,6970.0,5710.0,133.0,-570.0,831.0,20.0,1.0,2.0,1.0,3.0,1.0,1.0,8238.0,8726.0,197.0,9583.0,7987.0,175.0,-1345.0,739.0,22.0,1.0,3.0,1.0,4.0,2.0,2.0,10660.0,11315.0,259.0,12709.0,10990.0,233.0,-2049.0,325.0,26.0,2.0,3.0,1.0,7.0,2.0,2.0
LOLTMNT02_352539,complete,HLL,2026.0,0.0,3.0,16.03,Red,bot,Yeon,Team Liquid,1.0,Yunara,Syndra,K'Sante,Nocturne,Bard,Poppy,1992.0,0.0,1.0,4.0,2.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2711,0.8133,0.0,0.0,13.0,11.0,2.0,38.0,12574.0,8235.0,248.0422,12550.0,299.0,283.0,16.0,9.006,3291.0,2811.0,67.0,3851.0,3262.0,92.0,-560.0,-451.0,-25.0,1.0,1.0,1.0,1.0,2.0,0.0,5210.0,4622.0,109.0,5785.0,5303.0,142.0,-575.0,-681.0,-33.0,1.0,1.0,1.0,1.0,2.0,0.0,7324.0,7354.0,165.0,8587.0,8007.0,190.0,-1263.0,-653.0,-25.0,1.0,1.0,2.0,3.0,3.0,1.0,9404.0,10095.0,222.0,10839.0,10909.0,254.0,-1435.0,-814.0,-32.0,1.0,1.0,2.0,3.0,3.0,1.0
LOLTMNT02_351782,complete,LCP,2026.0,1.0,1.0,16.03,Blue,bot,Yeon,Team Liquid,0.0,Ezreal,Varus,Rumble,Aurora,Lulu,Nautilus,2799.0,1.0,6.0,4.0,9.0,25.0,18.0,1.0,0.0,0.0,0.0,0.0,0.5359,0.9218,0.0,0.0,21.0,11.0,9.0,51.0,23742.0,17756.0,380.6217,21333.0,418.0,400.0,18.0,8.9603,3487.0,3572.0,93.0,4171.0,3326.0,89.0,-684.0,246.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,5566.0,5400.0,134.0,6348.0,5052.0,128.0,-782.0,348.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,8049.0,7791.0,190.0,9138.0,7753.0,185.0,-1089.0,38.0,5.0,1.0,0.0,1.0,3.0,0.0,0.0,10278.0,10802.0,221.0,11453.0,9380.0,221.0,-1175.0,1422.0,0.0,1.0,4.0,2.0,4.0,0.0,2.0
LOLTMNT03_351007,complete,RL,2026.0,0.0,1.0,16.04,Blue,bot,Yeon,Team Liquid,0.0,Yunara,Pantheon,Orianna,Varus,Renekton,Jayce,2054.0,1.0,9.0,2.0,9.0,23.0,8.0,1.0,0.0,0.0,0.0,0.0,0.6719,0.9056,0.0,0.0,15.0,6.0,3.0,40.0,19138.0,14672.0,428.5881,17875.0,311.0,292.0,19.0,9.0847,3784.0,3138.0,84.0,3714.0,3603.0,88.0,70.0,-465.0,-4.0,1.0,1.0,0.0,1.0,0.0,0.0,5821.0,5010.0,125.0,6463.0,5438.0,138.0,-642.0,-428.0,-13.0,1.0,1.0,1.0,2.0,1.0,0.0,9539.0,8000.0,182.0,9042.0,8122.0,201.0,497.0,-122.0,-19.0,2.0,2.0,1.0,3.0,1.0,1.0,12846.0,11126.0,237.0,11374.0,9945.0,244.0,1472.0,1181.0,-7.0,4.0,4.0,1.0,4.0,1.0,2.0
LOLTMNT03_350017,complete,HW,2026.0,0.0,2.0,16.04,Blue,bot,Yeon,Team Liquid,1.0,Kalista,Akali,Azir,Pantheon,Ashe,Aphelios,1444.0,1.0,3.0,1.0,7.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.6648,0.831,0.0,0.0,11.0,9.0,3.0,34.0,12338.0,9117.0,378.8227,8375.0,255.0,251.0,4.0,10.5956,3984.0,3526.0,104.0,3269.0,3417.0,79.0,715.0,109.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,6028.0,5667.0,158.0,6106.0,5790.0,143.0,-78.0,-123.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,8844.0,8676.0,210.0,7771.0,7980.0,189.0,1073.0,696.0,21.0,1.0,5.0,1.0,0.0,0.0,1.0,12338.0,12221.0,255.0,8886.0,8620.0,207.0,3452.0,3601.0,48.0,3.0,7.0,1.0,0.0,0.0,3.0
