gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164317,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,Yike,Karmine Corp,1.0,Xin Zhao,Malphite,Pantheon,Ambessa,Alistar,Rell,2135.0,1.0,5.0,3.0,6.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5621,0.8712,1.0,1.0,18.0,21.0,15.0,86.0,14787.0,10156.0,285.4145,12725.0,259.0,27.0,232.0,7.2787,3752.0,3962.0,71.0,3640.0,4315.0,81.0,112.0,-353.0,-10.0,1.0,1.0,1.0,0.0,2.0,1.0,5533.0,6497.0,115.0,5893.0,6959.0,130.0,-360.0,-462.0,-15.0,1.0,2.0,2.0,1.0,3.0,1.0,7786.0,9440.0,162.0,8106.0,9982.0,173.0,-320.0,-542.0,-11.0,2.0,2.0,2.0,2.0,3.0,1.0,9893.0,11783.0,196.0,9659.0,11787.0,200.0,234.0,-4.0,-4.0,3.0,3.0,3.0,2.0,5.0,2.0
LOLTMNT01_323365,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Yike,Karmine Corp,0.0,Xin Zhao,Varus,Jayce,Pantheon,K'Sante,Galio,1934.0,0.0,1.0,5.0,2.0,8.0,16.0,0.0,0.0,0.0,0.0,1.0,0.2482,0.7446,0.0,1.0,12.0,8.0,11.0,50.0,10630.0,6409.0,198.8314,10475.0,212.0,10.0,202.0,6.577,3646.0,4223.0,84.0,3515.0,4500.0,83.0,131.0,-277.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,5803.0,7377.0,126.0,5998.0,6890.0,119.0,-195.0,487.0,7.0,1.0,2.0,1.0,2.0,0.0,1.0,7524.0,9607.0,164.0,8973.0,10362.0,169.0,-1449.0,-755.0,-5.0,1.0,2.0,2.0,3.0,3.0,1.0,9186.0,11854.0,194.0,10695.0,13233.0,211.0,-1509.0,-1379.0,-17.0,1.0,2.0,2.0,3.0,3.0,1.0
LOLTMNT03_339476,complete,HLL,2026.0,0.0,1.0,16.01,Red,jng,Yike,Karmine Corp,1.0,Wukong,Sion,Malphite,Jarvan IV,Jax,Nocturne,2241.0,1.0,4.0,3.0,6.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.4016,0.6961,1.0,0.0,8.0,9.0,7.0,50.0,14008.0,9161.0,245.2744,12533.0,242.0,16.0,226.0,6.4793,3679.0,3538.0,65.0,3459.0,4146.0,82.0,220.0,-608.0,-17.0,1.0,1.0,0.0,0.0,0.0,1.0,5640.0,6531.0,111.0,4985.0,6086.0,120.0,655.0,445.0,-9.0,2.0,1.0,0.0,0.0,0.0,1.0,7500.0,8363.0,135.0,8044.0,8718.0,154.0,-544.0,-355.0,-19.0,3.0,2.0,2.0,3.0,0.0,2.0,9019.0,10637.0,167.0,9578.0,10963.0,185.0,-559.0,-326.0,-18.0,3.0,2.0,3.0,3.0,1.0,2.0
LOLTMNT01_326685,complete,HLL,2026.0,0.0,1.0,16.02,Red,jng,Yike,Karmine Corp,1.0,Jarvan IV,Irelia,Vi,Akali,Gwen,Ambessa,2240.0,1.0,10.0,0.0,11.0,22.0,6.0,1.0,1.0,0.0,0.0,1.0,0.5893,0.75,1.0,0.0,14.0,21.0,12.0,83.0,16931.0,12086.0,323.7321,15725.0,243.0,23.0,220.0,6.5089,4072.0,4344.0,83.0,3545.0,4186.0,79.0,527.0,158.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,6603.0,7269.0,131.0,5003.0,5998.0,109.0,1600.0,1271.0,22.0,3.0,3.0,0.0,0.0,2.0,0.0,8860.0,9344.0,157.0,7135.0,8623.0,148.0,1725.0,721.0,9.0,5.0,5.0,0.0,1.0,2.0,1.0,10628.0,11415.0,183.0,8776.0,10702.0,171.0,1852.0,713.0,12.0,5.0,8.0,0.0,1.0,4.0,1.0
LOLTMNT01_328152,complete,HW,2026.0,0.0,1.0,16.02,Red,jng,Yike,Karmine Corp,1.0,Aatrox,Jayce,Pantheon,Jarvan IV,Anivia,Nami,2023.0,1.0,3.0,0.0,12.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5635,0.6822,0.0,0.0,9.0,18.0,6.0,70.0,15220.0,10817.0,320.8206,14650.0,273.0,30.0,243.0,8.0969,3651.0,4623.0,88.0,3588.0,4545.0,87.0,63.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5502.0,6432.0,120.0,5301.0,6664.0,127.0,201.0,-232.0,-7.0,1.0,0.0,0.0,0.0,0.0,1.0,8094.0,9578.0,164.0,6968.0,9014.0,163.0,1126.0,564.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,11114.0,13175.0,205.0,8657.0,11656.0,199.0,2457.0,1519.0,6.0,2.0,6.0,0.0,0.0,2.0,3.0
LOLTMNT04_152008,complete,TCL,2026.0,0.0,1.0,16.02,Red,jng,Yike,Karmine Corp,1.0,Pantheon,K'Sante,Sion,Akali,Renekton,Alistar,1848.0,1.0,4.0,1.0,6.0,16.0,6.0,1.0,0.0,0.0,0.0,1.0,0.5195,0.7143,2.0,0.0,9.0,6.0,5.0,42.0,13279.0,9233.0,299.7727,11125.0,237.0,13.0,224.0,7.6948,3580.0,4398.0,84.0,3470.0,4186.0,84.0,110.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5634.0,6113.0,110.0,6155.0,7092.0,127.0,-521.0,-979.0,-17.0,2.0,0.0,1.0,3.0,0.0,1.0,8236.0,9985.0,153.0,7693.0,9354.0,165.0,543.0,631.0,-12.0,4.0,2.0,1.0,3.0,0.0,3.0,10353.0,13095.0,188.0,9182.0,11016.0,189.0,1171.0,2079.0,-1.0,4.0,3.0,1.0,3.0,1.0,3.0
LOLTMNT01_335988,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,jng,Yike,Karmine Corp,0.0,Pantheon,Orianna,Varus,Xayah,Kai'Sa,Rakan,1978.0,0.0,2.0,3.0,1.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.1517,0.637,0.0,1.0,10.0,12.0,8.0,61.0,12005.0,7694.0,233.3873,11250.0,231.0,29.0,202.0,7.0071,3775.0,4187.0,79.0,3738.0,4041.0,76.0,37.0,146.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,5963.0,7454.0,128.0,6171.0,6937.0,123.0,-208.0,517.0,5.0,2.0,0.0,0.0,1.0,2.0,1.0,7946.0,10318.0,172.0,8583.0,9400.0,165.0,-637.0,918.0,7.0,2.0,1.0,1.0,2.0,3.0,1.0,9287.0,12017.0,198.0,11392.0,12856.0,221.0,-2105.0,-839.0,-23.0,2.0,1.0,1.0,4.0,3.0,1.0
LOLTMNT01_338321,complete,HW,2026.0,0.0,1.0,16.02,Red,jng,Yike,Karmine Corp,0.0,Dr. Mundo,Rumble,Pantheon,Vi,Nautilus,Karma,1818.0,1.0,2.0,0.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.363,0.396,1.0,0.0,11.0,11.0,9.0,61.0,13145.0,9161.0,302.3432,11575.0,268.0,20.0,248.0,8.8449,3840.0,4763.0,94.0,3840.0,3999.0,79.0,0.0,764.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,6244.0,7744.0,142.0,5460.0,5798.0,112.0,784.0,1946.0,30.0,2.0,2.0,0.0,0.0,0.0,3.0,8876.0,11450.0,199.0,7436.0,8844.0,152.0,1440.0,2606.0,47.0,2.0,2.0,0.0,0.0,0.0,3.0,10849.0,14085.0,232.0,8976.0,10617.0,177.0,1873.0,3468.0,55.0,2.0,5.0,0.0,0.0,1.0,4.0
LOLTMNT04_151778,complete,AL,2026.0,0.0,1.0,16.02,Blue,jng,Yike,Karmine Corp,1.0,Jayce,Neeko,Vi,Bard,Dr. Mundo,Malphite,1876.0,1.0,10.0,1.0,11.0,25.0,6.0,3.0,1.0,0.0,0.0,0.0,0.7996,0.9915,1.0,0.0,9.0,17.0,6.0,75.0,17834.0,13731.0,439.1578,15600.0,302.0,30.0,272.0,9.6588,4135.0,4589.0,87.0,3379.0,3841.0,70.0,756.0,748.0,17.0,1.0,0.0,1.0,0.0,1.0,0.0,7205.0,7985.0,144.0,4994.0,6138.0,108.0,2211.0,1847.0,36.0,3.0,1.0,1.0,0.0,1.0,0.0,10802.0,12454.0,206.0,6274.0,8034.0,133.0,4528.0,4420.0,73.0,5.0,5.0,1.0,0.0,1.0,2.0,12646.0,14694.0,248.0,7689.0,9793.0,158.0,4957.0,4901.0,90.0,5.0,5.0,1.0,0.0,1.0,2.0
LOLTMNT02_352499,complete,HW,2026.0,0.0,1.0,16.03,Blue,jng,Yike,Karmine Corp,1.0,Jarvan IV,Neeko,Vi,Yone,Caitlyn,Ezreal,1991.0,1.0,4.0,0.0,9.0,15.0,3.0,0.0,0.0,0.0,0.0,1.0,0.452,0.5424,1.0,0.0,14.0,17.0,11.0,67.0,13947.0,9610.0,289.6032,12525.0,235.0,23.0,212.0,7.0819,3771.0,4086.0,74.0,3605.0,4612.0,87.0,166.0,-526.0,-13.0,1.0,0.0,0.0,0.0,0.0,0.0,5693.0,6719.0,119.0,5190.0,6714.0,124.0,503.0,5.0,-5.0,1.0,2.0,0.0,0.0,0.0,1.0,7740.0,9551.0,158.0,7176.0,9395.0,175.0,564.0,156.0,-17.0,2.0,2.0,0.0,0.0,1.0,1.0,10006.0,13015.0,192.0,8767.0,11470.0,209.0,1239.0,1545.0,-17.0,2.0,4.0,0.0,0.0,1.0,2.0
