gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_336220,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Zankiller,One More Esports,0.0,Wukong,Rumble,Caitlyn,Orianna,Akali,Yone,1640.0,0.0,0.0,4.0,4.0,4.0,20.0,0.0,0.0,0.0,0.0,1.0,0.1463,0.878,0.0,1.0,8.0,7.0,4.0,33.0,8580.0,4959.0,181.4268,8133.0,178.0,15.0,163.0,6.5122,3591.0,4277.0,80.0,3606.0,4335.0,86.0,-15.0,-58.0,-6.0,0.0,1.0,1.0,0.0,1.0,1.0,5044.0,6150.0,113.0,5954.0,6877.0,122.0,-910.0,-727.0,-9.0,0.0,1.0,2.0,1.0,4.0,1.0,6702.0,8451.0,153.0,8515.0,9884.0,164.0,-1813.0,-1433.0,-11.0,0.0,1.0,2.0,2.0,5.0,1.0,7998.0,10247.0,171.0,10769.0,13196.0,189.0,-2771.0,-2949.0,-18.0,0.0,3.0,4.0,3.0,11.0,1.0
LOLTMNT03_337254,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,jng,Zankiller,One More Esports,1.0,Viego,Bard,Caitlyn,Jarvan IV,Nocturne,Vi,2114.0,0.0,5.0,5.0,4.0,14.0,24.0,1.0,0.0,0.0,0.0,1.0,0.3974,1.0785,1.0,1.0,9.0,8.0,9.0,47.0,14354.0,9766.0,277.1807,13425.0,224.0,35.0,189.0,6.3576,3623.0,3287.0,64.0,3631.0,3747.0,70.0,-8.0,-460.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,5378.0,5899.0,105.0,6463.0,6586.0,121.0,-1085.0,-687.0,-16.0,1.0,2.0,2.0,4.0,1.0,1.0,7861.0,9552.0,145.0,10048.0,10289.0,168.0,-2187.0,-737.0,-23.0,2.0,3.0,3.0,6.0,2.0,1.0,10396.0,12257.0,177.0,12487.0,13189.0,201.0,-2091.0,-932.0,-24.0,3.0,4.0,4.0,7.0,3.0,1.0
LOLTMNT01_320332,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Zankiller,One More Esports,1.0,Vi,Neeko,Poppy,Ambessa,Jax,Malphite,2074.0,0.0,4.0,4.0,9.0,17.0,24.0,0.0,0.0,0.0,0.0,1.0,0.4918,1.1861,0.0,0.0,11.0,24.0,8.0,88.0,13624.0,9117.0,263.7512,13500.0,250.0,39.0,211.0,7.2324,3405.0,3690.0,66.0,3385.0,3779.0,76.0,20.0,-89.0,-10.0,0.0,2.0,0.0,0.0,0.0,0.0,5394.0,6211.0,110.0,4758.0,5412.0,101.0,636.0,799.0,9.0,1.0,4.0,0.0,0.0,0.0,1.0,8367.0,9375.0,150.0,7074.0,8134.0,130.0,1293.0,1241.0,20.0,3.0,4.0,0.0,2.0,2.0,1.0,9906.0,11011.0,177.0,9179.0,11226.0,156.0,727.0,-215.0,21.0,3.0,6.0,2.0,3.0,8.0,2.0
LOLTMNT03_337513,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,jng,Zankiller,One More Esports,1.0,Aatrox,Neeko,Poppy,Lillia,Akali,Galio,1595.0,0.0,8.0,6.0,1.0,13.0,31.0,1.0,0.0,0.0,0.0,0.0,0.489,1.6552,0.0,1.0,9.0,4.0,4.0,32.0,11396.0,7867.0,295.9373,11200.0,162.0,5.0,157.0,6.094,3646.0,4015.0,76.0,3630.0,4122.0,70.0,16.0,-107.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,6300.0,6555.0,107.0,4994.0,5702.0,91.0,1306.0,853.0,16.0,4.0,0.0,1.0,0.0,5.0,2.0,9014.0,8358.0,129.0,7469.0,9003.0,123.0,1545.0,-645.0,6.0,6.0,1.0,3.0,1.0,13.0,3.0,11137.0,10869.0,161.0,9285.0,11975.0,153.0,1852.0,-1106.0,8.0,8.0,1.0,5.0,1.0,16.0,4.0
LOLTMNT02_343037,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Zankiller,One More Esports,1.0,Malphite,Qiyana,Caitlyn,Neeko,Fiora,Taliyah,2490.0,0.0,4.0,5.0,15.0,26.0,20.0,0.0,0.0,0.0,0.0,1.0,0.6265,1.1084,0.0,1.0,12.0,20.0,9.0,74.0,15800.0,10445.0,251.6867,14875.0,246.0,33.0,213.0,5.9277,3836.0,4409.0,84.0,3356.0,3736.0,73.0,480.0,673.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,6016.0,7341.0,127.0,5060.0,6419.0,117.0,956.0,922.0,10.0,2.0,3.0,0.0,0.0,0.0,2.0,7710.0,8401.0,148.0,7107.0,9664.0,160.0,603.0,-1263.0,-12.0,2.0,3.0,1.0,0.0,3.0,2.0,9451.0,10827.0,177.0,8766.0,11749.0,189.0,685.0,-922.0,-12.0,2.0,7.0,2.0,0.0,5.0,3.0
LOLTMNT06_166043,complete,LFL,2026.0,0.0,2.0,16.01,Red,jng,Zankiller,One More Esports,0.0,Vi,Qiyana,Rumble,Orianna,Poppy,Leona,1705.0,0.0,2.0,5.0,3.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2815,0.9853,0.0,0.0,11.0,13.0,7.0,60.0,9605.0,5851.0,205.9003,9425.0,172.0,14.0,158.0,6.0528,3305.0,4137.0,74.0,4029.0,4503.0,90.0,-724.0,-366.0,-16.0,0.0,0.0,1.0,1.0,0.0,0.0,5495.0,6162.0,104.0,6293.0,6599.0,124.0,-798.0,-437.0,-20.0,2.0,0.0,2.0,2.0,1.0,0.0,7032.0,8056.0,131.0,8979.0,9651.0,165.0,-1947.0,-1595.0,-34.0,2.0,1.0,3.0,3.0,3.0,1.0,8486.0,9922.0,156.0,11505.0,13325.0,216.0,-3019.0,-3403.0,-60.0,2.0,2.0,3.0,3.0,5.0,1.0
LOLTMNT03_341342,complete,LCK,2026.0,0.0,1.0,16.01,Red,jng,Zankiller,One More Esports,0.0,Nocturne,Jayce,Rumble,Ambessa,Alistar,Rakan,2485.0,1.0,7.0,4.0,14.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.7243,1.0865,0.0,1.0,24.0,14.0,12.0,70.0,17018.0,11673.0,281.8431,15375.0,263.0,21.0,242.0,6.3501,4074.0,4454.0,84.0,3592.0,4507.0,86.0,482.0,-53.0,-2.0,1.0,2.0,1.0,0.0,1.0,0.0,5785.0,6948.0,129.0,5497.0,6836.0,125.0,288.0,112.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,7636.0,9567.0,165.0,7048.0,9026.0,162.0,588.0,541.0,3.0,1.0,5.0,1.0,0.0,1.0,1.0,9280.0,11707.0,196.0,9090.0,12064.0,204.0,190.0,-357.0,-8.0,1.0,5.0,1.0,0.0,2.0,1.0
LOLTMNT04_149134,complete,LEC,2026.0,0.0,2.0,16.01,Blue,jng,Zankiller,One More Esports,1.0,Sejuani,Malphite,Ambessa,Aphelios,Gnar,Neeko,2088.0,0.0,1.0,4.0,9.0,12.0,24.0,0.0,0.0,0.0,0.0,1.0,0.3448,1.0345,0.0,1.0,8.0,15.0,6.0,53.0,10972.0,6437.0,184.9713,10550.0,204.0,20.0,184.0,5.8621,3382.0,3900.0,70.0,3475.0,4209.0,80.0,-93.0,-309.0,-10.0,0.0,4.0,0.0,0.0,0.0,2.0,5379.0,6978.0,115.0,5417.0,6733.0,123.0,-38.0,245.0,-8.0,0.0,6.0,0.0,0.0,0.0,2.0,6964.0,8717.0,146.0,7793.0,9110.0,153.0,-829.0,-393.0,-7.0,0.0,6.0,1.0,0.0,3.0,2.0,8676.0,10830.0,171.0,9620.0,11873.0,190.0,-944.0,-1043.0,-19.0,1.0,7.0,1.0,0.0,3.0,3.0
LOLTMNT01_325655,complete,CBLOL,2026.0,0.0,3.0,16.01,Red,jng,Zankiller,One More Esports,0.0,Jarvan IV,Jayce,Rumble,Ryze,Akali,Viktor,1732.0,0.0,1.0,7.0,4.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2079,0.97,0.0,0.0,11.0,14.0,6.0,54.0,9187.0,5378.0,186.3048,8300.0,176.0,17.0,159.0,6.097,3219.0,3583.0,69.0,4066.0,3811.0,74.0,-847.0,-228.0,-5.0,0.0,0.0,1.0,1.0,1.0,0.0,5236.0,5863.0,101.0,6039.0,6744.0,122.0,-803.0,-881.0,-21.0,1.0,2.0,3.0,1.0,4.0,1.0,6754.0,8184.0,132.0,8332.0,9104.0,148.0,-1578.0,-920.0,-16.0,1.0,3.0,4.0,1.0,8.0,1.0,8256.0,10436.0,161.0,10231.0,11352.0,184.0,-1975.0,-916.0,-23.0,1.0,4.0,5.0,1.0,8.0,1.0
LOLTMNT01_331565,complete,LCP,2026.0,0.0,1.0,16.01,Red,jng,Zankiller,One More Esports,0.0,Wukong,Jayce,Rengar,Neeko,Sylas,Xin Zhao,1504.0,0.0,2.0,3.0,4.0,9.0,15.0,0.0,0.0,0.0,0.0,1.0,0.359,0.9574,0.0,1.0,6.0,8.0,3.0,33.0,8968.0,5624.0,224.3617,8858.0,169.0,8.0,161.0,6.742,4075.0,4409.0,75.0,3403.0,3664.0,70.0,672.0,745.0,5.0,1.0,3.0,0.0,0.0,2.0,1.0,5836.0,7096.0,118.0,5240.0,5834.0,104.0,596.0,1262.0,14.0,1.0,4.0,0.0,0.0,3.0,2.0,7875.0,9443.0,158.0,7752.0,8831.0,145.0,123.0,612.0,13.0,2.0,4.0,1.0,1.0,5.0,2.0,8960.0,10776.0,169.0,10383.0,12184.0,165.0,-1423.0,-1408.0,4.0,2.0,4.0,3.0,1.0,11.0,2.0
