gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163125,complete,AL,2026.0,0.0,1.0,16.01,Red,sup,Zaremba,3BL Esports,0.0,Rell,Aphelios,Ambessa,Lee Sin,Poppy,Nautilus,1667.0,0.0,0.0,3.0,4.0,5.0,14.0,0.0,0.0,0.0,0.0,1.0,0.18,0.6839,0.0,0.0,60.0,20.0,11.0,136.0,6640.0,2964.0,106.6827,6380.0,42.0,42.0,0.0,1.5117,2484.0,3132.0,15.0,2391.0,2760.0,14.0,93.0,372.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3622.0,4129.0,27.0,3519.0,3695.0,20.0,103.0,434.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,4807.0,4693.0,33.0,4611.0,4367.0,21.0,196.0,326.0,12.0,0.0,4.0,1.0,0.0,0.0,2.0,5970.0,5796.0,41.0,6051.0,6323.0,25.0,-81.0,-527.0,16.0,0.0,4.0,2.0,0.0,2.0,2.0
LOLTMNT06_163127,complete,AL,2026.0,0.0,2.0,16.01,Red,sup,Zaremba,3BL Esports,0.0,Nautilus,Aphelios,Lee Sin,Braum,Jayce,Viktor,1975.0,0.0,1.0,4.0,12.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.5772,1.3063,0.0,0.0,70.0,18.0,10.0,155.0,8342.0,4037.0,122.643,7855.0,45.0,45.0,0.0,1.3671,2680.0,2799.0,21.0,2397.0,2708.0,10.0,283.0,91.0,11.0,1.0,2.0,0.0,0.0,0.0,1.0,3876.0,3963.0,29.0,3505.0,3597.0,21.0,371.0,366.0,8.0,1.0,3.0,0.0,0.0,0.0,3.0,5101.0,5373.0,35.0,4806.0,5373.0,27.0,295.0,0.0,8.0,1.0,5.0,1.0,0.0,2.0,4.0,6492.0,7246.0,38.0,6277.0,7756.0,34.0,215.0,-510.0,4.0,1.0,9.0,2.0,0.0,5.0,5.0
LOLTMNT03_336695,complete,LCK,2026.0,0.0,1.0,16.01,Blue,sup,Zaremba,3BL Esports,1.0,Rell,Jayce,Neeko,Sylas,Viktor,Syndra,2137.0,1.0,1.0,3.0,16.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7019,0.9827,0.0,0.0,74.0,13.0,12.0,154.0,10076.0,5441.0,152.7656,9360.0,32.0,32.0,0.0,0.8985,2502.0,2693.0,14.0,2312.0,2538.0,13.0,190.0,155.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3687.0,3400.0,23.0,3674.0,4339.0,25.0,13.0,-939.0,-2.0,0.0,2.0,2.0,0.0,3.0,1.0,5077.0,5650.0,27.0,4964.0,5925.0,27.0,113.0,-275.0,0.0,0.0,6.0,3.0,0.0,5.0,2.0,6387.0,6358.0,28.0,6091.0,6710.0,31.0,296.0,-352.0,-3.0,1.0,6.0,3.0,0.0,5.0,3.0
LOLTMNT03_337782,complete,LCK,2026.0,0.0,2.0,16.01,Blue,sup,Zaremba,3BL Esports,1.0,Rakan,Jayce,Neeko,Sylas,Rengar,Nami,2801.0,0.0,2.0,8.0,24.0,32.0,39.0,0.0,0.0,0.0,0.0,1.0,0.6855,1.5209,0.0,0.0,90.0,20.0,11.0,196.0,12484.0,6494.0,139.1075,11430.0,44.0,44.0,0.0,0.9425,2901.0,2506.0,17.0,2750.0,2267.0,8.0,151.0,239.0,9.0,1.0,3.0,2.0,0.0,5.0,2.0,4401.0,4016.0,23.0,3925.0,4048.0,13.0,476.0,-32.0,10.0,2.0,4.0,2.0,0.0,6.0,3.0,5391.0,5182.0,25.0,5015.0,5318.0,14.0,376.0,-136.0,11.0,2.0,5.0,3.0,0.0,7.0,4.0,7303.0,8366.0,35.0,6476.0,7864.0,14.0,827.0,502.0,21.0,2.0,11.0,4.0,0.0,12.0,7.0
LOLTMNT06_163223,complete,LEC,2026.0,0.0,3.0,16.01,Red,sup,Zaremba,3BL Esports,0.0,Leona,Neeko,Jayce,Rengar,Viktor,Xayah,2059.0,1.0,0.0,4.0,22.0,33.0,17.0,0.0,0.0,0.0,0.0,1.0,0.9616,1.457,0.0,0.0,66.0,14.0,15.0,153.0,9971.0,5495.0,160.1263,8175.0,43.0,43.0,0.0,1.253,2687.0,2632.0,18.0,2407.0,2516.0,7.0,280.0,116.0,11.0,0.0,4.0,2.0,0.0,2.0,2.0,4272.0,4530.0,32.0,3500.0,3521.0,12.0,772.0,1009.0,20.0,0.0,9.0,2.0,0.0,2.0,5.0,5940.0,5847.0,36.0,4692.0,4367.0,12.0,1248.0,1480.0,24.0,0.0,12.0,2.0,0.0,3.0,6.0,6972.0,6877.0,39.0,5760.0,5942.0,13.0,1212.0,935.0,26.0,0.0,12.0,2.0,0.0,3.0,6.0
LOLTMNT03_340045,complete,HLL,2026.0,0.0,1.0,16.01,Red,sup,Zaremba,3BL Esports,0.0,Nautilus,Rumble,Ryze,Malphite,Rell,Aphelios,2120.0,1.0,2.0,5.0,14.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.6226,1.1038,0.0,0.0,65.0,11.0,11.0,132.0,9961.0,5361.0,151.7264,8260.0,32.0,32.0,0.0,0.9057,2321.0,3054.0,18.0,2291.0,2273.0,16.0,30.0,781.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3917.0,4306.0,23.0,3733.0,4199.0,32.0,184.0,107.0,-9.0,1.0,2.0,0.0,0.0,1.0,1.0,5168.0,5680.0,27.0,4972.0,6158.0,42.0,196.0,-478.0,-15.0,1.0,3.0,1.0,0.0,3.0,1.0,6332.0,6442.0,29.0,6221.0,7942.0,49.0,111.0,-1500.0,-20.0,1.0,5.0,2.0,0.0,6.0,1.0
LOLTMNT02_344044,complete,ROL,2026.0,0.0,2.0,16.01,Blue,sup,Zaremba,3BL Esports,1.0,Rakan,Ryze,Sylas,Rell,Gnar,Jax,1879.0,0.0,1.0,5.0,12.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.5428,1.3092,0.0,0.0,57.0,14.0,9.0,130.0,7999.0,3890.0,124.215,7875.0,28.0,28.0,0.0,0.8941,2977.0,2155.0,13.0,2306.0,1845.0,19.0,671.0,310.0,-6.0,1.0,4.0,0.0,0.0,1.0,2.0,4165.0,3309.0,19.0,4035.0,3855.0,31.0,130.0,-546.0,-12.0,1.0,5.0,2.0,1.0,7.0,2.0,5237.0,4060.0,23.0,5117.0,4477.0,37.0,120.0,-417.0,-14.0,1.0,5.0,2.0,1.0,7.0,2.0,6456.0,5598.0,25.0,6278.0,5949.0,39.0,178.0,-351.0,-14.0,1.0,10.0,4.0,1.0,9.0,4.0
LOLTMNT05_174020,complete,LIT,2026.0,0.0,3.0,16.01,Red,sup,Zaremba,3BL Esports,0.0,Braum,Ryze,Viktor,Malphite,Aurora,LeBlanc,1396.0,0.0,0.0,4.0,5.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3009,1.1605,0.0,0.0,41.0,9.0,9.0,97.0,6166.0,3043.0,130.788,5415.0,23.0,23.0,0.0,0.9885,2267.0,2521.0,11.0,2287.0,2518.0,18.0,-20.0,3.0,-7.0,0.0,0.0,1.0,0.0,2.0,0.0,3839.0,3914.0,21.0,3945.0,4319.0,26.0,-106.0,-405.0,-5.0,0.0,1.0,2.0,1.0,4.0,0.0,5196.0,5002.0,22.0,5145.0,5527.0,31.0,51.0,-525.0,-9.0,0.0,1.0,2.0,1.0,6.0,0.0,,,,,,,,,,,,,,,
LOLTMNT03_341189,complete,HLL,2026.0,0.0,1.0,16.01,Red,sup,Zaremba,3BL Esports,0.0,Braum,Neeko,Ambessa,Ahri,Caitlyn,Corki,1829.0,1.0,4.0,2.0,19.0,24.0,13.0,0.0,0.0,0.0,0.0,1.0,0.7873,1.2138,0.0,0.0,49.0,8.0,6.0,108.0,9987.0,5980.0,196.1728,8915.0,23.0,23.0,0.0,0.7545,2436.0,2667.0,11.0,2509.0,2720.0,17.0,-73.0,-53.0,-6.0,0.0,2.0,0.0,1.0,0.0,0.0,4574.0,3900.0,16.0,3803.0,3923.0,25.0,771.0,-23.0,-9.0,2.0,5.0,2.0,1.0,2.0,2.0,6018.0,5381.0,19.0,4888.0,5164.0,26.0,1130.0,217.0,-7.0,3.0,5.0,2.0,1.0,4.0,2.0,7686.0,8601.0,20.0,5946.0,7180.0,30.0,1740.0,1421.0,-10.0,3.0,12.0,2.0,1.0,5.0,3.0
LOLTMNT06_166062,complete,AL,2026.0,0.0,2.0,16.01,Blue,sup,Zaremba,3BL Esports,1.0,Rell,Neeko,Jayce,Naafiri,Alistar,Poppy,1744.0,0.0,2.0,8.0,8.0,18.0,31.0,0.0,0.0,0.0,0.0,0.0,0.6193,1.6858,0.0,0.0,53.0,7.0,8.0,107.0,7745.0,3912.0,134.5872,7190.0,27.0,27.0,0.0,0.9289,2690.0,1858.0,14.0,2974.0,2868.0,15.0,-284.0,-1010.0,-1.0,1.0,3.0,2.0,1.0,3.0,2.0,3878.0,2982.0,24.0,4759.0,4938.0,26.0,-881.0,-1956.0,-2.0,1.0,4.0,2.0,2.0,7.0,3.0,5734.0,5051.0,25.0,5801.0,6349.0,26.0,-67.0,-1298.0,-1.0,2.0,6.0,4.0,2.0,9.0,5.0,6876.0,6190.0,27.0,7751.0,8223.0,28.0,-875.0,-2033.0,-1.0,2.0,6.0,5.0,3.0,12.0,5.0
