gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_321834,complete,LCP,2026.0,0.0,1.0,16.01,Red,mid,Zeka,Hanwha Life Esports,1.0,Taliyah,Malphite,Orianna,Yunara,Bard,Aphelios,2205.0,1.0,1.0,2.0,10.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.4354,0.7891,0.0,0.0,25.0,6.0,11.0,48.0,14621.0,9847.0,267.9456,13575.0,320.0,319.0,1.0,8.7075,3691.0,5169.0,100.0,3854.0,5311.0,105.0,-163.0,-142.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,6026.0,7944.0,153.0,6163.0,8640.0,164.0,-137.0,-696.0,-11.0,1.0,1.0,0.0,1.0,1.0,0.0,8045.0,11234.0,211.0,8029.0,11363.0,220.0,16.0,-129.0,-9.0,1.0,2.0,0.0,1.0,1.0,0.0,9855.0,13901.0,263.0,9754.0,15455.0,269.0,101.0,-1554.0,-6.0,1.0,2.0,0.0,1.0,1.0,0.0
LOLTMNT01_321853,complete,LCP,2026.0,0.0,2.0,16.01,Blue,mid,Zeka,Hanwha Life Esports,1.0,Aurora,Malphite,Orianna,Yunara,Galio,Sion,1603.0,0.0,5.0,3.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2246,1.048,0.0,0.0,14.0,1.0,4.0,32.0,11485.0,7939.0,297.1553,11450.0,237.0,237.0,0.0,8.8709,3572.0,5215.0,101.0,3992.0,5129.0,88.0,-420.0,86.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,5609.0,7709.0,152.0,5329.0,7094.0,122.0,280.0,615.0,30.0,1.0,0.0,0.0,2.0,1.0,0.0,8358.0,10496.0,197.0,7445.0,10190.0,164.0,913.0,306.0,33.0,3.0,0.0,1.0,3.0,3.0,1.0,10351.0,12726.0,236.0,11042.0,14506.0,217.0,-691.0,-1780.0,19.0,4.0,0.0,2.0,7.0,5.0,1.0
LOLTMNT01_321867,complete,LCP,2026.0,0.0,3.0,16.01,Red,mid,Zeka,Hanwha Life Esports,1.0,Azir,Malphite,Poppy,Yunara,Ezreal,Gwen,1700.0,0.0,4.0,9.0,5.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.3176,1.4471,0.0,0.0,11.0,2.0,5.0,21.0,11075.0,7331.0,258.7412,10975.0,229.0,229.0,0.0,8.0824,3400.0,4914.0,89.0,3846.0,5295.0,98.0,-446.0,-381.0,-9.0,0.0,0.0,1.0,0.0,1.0,0.0,4662.0,6960.0,124.0,6047.0,8365.0,148.0,-1385.0,-1405.0,-24.0,0.0,1.0,3.0,1.0,5.0,0.0,7453.0,10360.0,166.0,8043.0,10635.0,184.0,-590.0,-275.0,-18.0,2.0,3.0,5.0,1.0,7.0,2.0,9253.0,12829.0,198.0,10858.0,14170.0,217.0,-1605.0,-1341.0,-19.0,3.0,4.0,7.0,3.0,13.0,2.0
LOLTMNT03_339012,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Zeka,Hanwha Life Esports,0.0,Azir,Rumble,Jayce,Varus,Gwen,Miss Fortune,1856.0,0.0,6.0,3.0,6.0,19.0,17.0,0.0,0.0,0.0,0.0,1.0,0.6142,1.1638,0.0,0.0,19.0,11.0,7.0,71.0,13177.0,9115.0,294.6659,12575.0,276.0,267.0,9.0,8.9224,4165.0,5315.0,97.0,3486.0,4817.0,93.0,679.0,498.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,6411.0,8239.0,152.0,6410.0,7830.0,145.0,1.0,409.0,7.0,2.0,2.0,1.0,2.0,0.0,2.0,9056.0,11285.0,211.0,8625.0,10670.0,196.0,431.0,615.0,15.0,3.0,2.0,1.0,3.0,1.0,2.0,10484.0,13533.0,243.0,11545.0,14410.0,257.0,-1061.0,-877.0,-14.0,3.0,4.0,2.0,4.0,3.0,2.0
LOLTMNT03_339029,complete,LCKC,2026.0,0.0,2.0,16.01,Red,mid,Zeka,Hanwha Life Esports,1.0,Ryze,Malphite,Vi,Poppy,Alistar,Renekton,2071.0,0.0,4.0,3.0,5.0,14.0,24.0,1.0,0.0,0.0,0.0,0.0,0.4056,1.1009,0.0,0.0,23.0,8.0,10.0,54.0,12822.0,8322.0,241.1009,12850.0,298.0,278.0,20.0,8.6335,4290.0,4980.0,96.0,4185.0,5338.0,109.0,105.0,-358.0,-13.0,2.0,2.0,0.0,1.0,1.0,0.0,6287.0,7897.0,154.0,6176.0,8194.0,170.0,111.0,-297.0,-16.0,3.0,2.0,0.0,1.0,1.0,0.0,8175.0,10163.0,195.0,8997.0,11564.0,231.0,-822.0,-1401.0,-36.0,4.0,2.0,1.0,3.0,5.0,0.0,9613.0,13837.0,229.0,11244.0,14215.0,279.0,-1631.0,-378.0,-50.0,4.0,4.0,1.0,4.0,7.0,0.0
LOLTMNT02_343085,complete,LCP,2026.0,0.0,1.0,16.01,Blue,mid,Zeka,Hanwha Life Esports,0.0,Azir,Jayce,Rumble,Poppy,Bard,Neeko,2219.0,1.0,6.0,4.0,9.0,22.0,18.0,0.0,0.0,0.0,0.0,1.0,0.5949,1.0816,0.0,0.0,24.0,7.0,9.0,56.0,16395.0,11593.0,313.4655,15635.0,328.0,316.0,12.0,8.8689,3878.0,4906.0,98.0,3556.0,4716.0,95.0,322.0,190.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,6092.0,7835.0,158.0,5205.0,7049.0,142.0,887.0,786.0,16.0,2.0,0.0,1.0,0.0,2.0,2.0,8474.0,10109.0,201.0,7496.0,10110.0,195.0,978.0,-1.0,6.0,3.0,1.0,3.0,1.0,5.0,3.0,10889.0,13135.0,254.0,8929.0,12244.0,228.0,1960.0,891.0,26.0,4.0,2.0,3.0,1.0,7.0,4.0
LOLTMNT02_344092,complete,LCP,2026.0,0.0,2.0,16.01,Blue,mid,Zeka,Hanwha Life Esports,0.0,Aurora,Jayce,Rumble,Vi,Nautilus,Neeko,2088.0,0.0,6.0,1.0,3.0,12.0,20.0,1.0,0.0,0.0,0.0,1.0,0.3448,0.9195,0.0,0.0,12.0,14.0,11.0,58.0,13634.0,9099.0,261.4655,13535.0,288.0,288.0,0.0,8.2759,4108.0,5276.0,99.0,3163.0,5034.0,85.0,945.0,242.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,7246.0,8686.0,164.0,5258.0,7479.0,129.0,1988.0,1207.0,35.0,4.0,2.0,0.0,1.0,1.0,3.0,9545.0,11483.0,208.0,6904.0,9734.0,163.0,2641.0,1749.0,45.0,5.0,2.0,0.0,1.0,3.0,3.0,11279.0,13408.0,240.0,8430.0,12052.0,201.0,2849.0,1356.0,39.0,6.0,3.0,0.0,1.0,5.0,3.0
LOLTMNT03_341173,complete,LCK,2026.0,0.0,3.0,16.01,Red,mid,Zeka,Hanwha Life Esports,1.0,Akali,Malphite,Neeko,Cassiopeia,Trundle,Kennen,1739.0,1.0,4.0,0.0,3.0,12.0,4.0,1.0,1.0,0.0,0.0,0.0,0.414,0.552,0.0,0.0,10.0,7.0,5.0,45.0,12589.0,8766.0,302.4497,10675.0,284.0,284.0,0.0,9.7987,3685.0,5255.0,109.0,3651.0,5312.0,105.0,34.0,-57.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5318.0,7483.0,152.0,5411.0,8091.0,158.0,-93.0,-608.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,8318.0,10598.0,207.0,7476.0,11149.0,213.0,842.0,-551.0,-6.0,3.0,1.0,0.0,0.0,1.0,1.0,9848.0,12704.0,247.0,8848.0,14662.0,237.0,1000.0,-1958.0,10.0,3.0,1.0,0.0,0.0,3.0,2.0
LOLTMNT04_149305,complete,LEC,2026.0,0.0,1.0,16.01,Red,mid,Zeka,Hanwha Life Esports,1.0,Azir,Malphite,Akali,Nocturne,Bard,Gwen,2243.0,1.0,4.0,4.0,14.0,27.0,15.0,0.0,0.0,0.0,0.0,1.0,0.7222,1.1235,0.0,0.0,24.0,13.0,10.0,82.0,16291.0,11440.0,306.0187,15450.0,346.0,333.0,13.0,9.2555,3235.0,4628.0,81.0,3781.0,4774.0,90.0,-546.0,-146.0,-9.0,0.0,1.0,0.0,1.0,1.0,0.0,5100.0,7339.0,134.0,5927.0,7714.0,146.0,-827.0,-375.0,-12.0,0.0,4.0,1.0,2.0,4.0,0.0,7767.0,10524.0,195.0,7669.0,10138.0,195.0,98.0,386.0,0.0,1.0,4.0,1.0,2.0,5.0,1.0,9974.0,13127.0,228.0,9487.0,13282.0,251.0,487.0,-155.0,-23.0,2.0,6.0,2.0,2.0,8.0,2.0
LOLTMNT04_150332,complete,LEC,2026.0,0.0,2.0,16.01,Red,mid,Zeka,Hanwha Life Esports,1.0,Taliyah,Malphite,Renekton,Pantheon,Yunara,Jax,2371.0,0.0,0.0,1.0,5.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2278,0.658,0.0,0.0,29.0,11.0,13.0,69.0,15003.0,9891.0,250.2995,15075.0,391.0,387.0,4.0,9.8946,3742.0,5170.0,103.0,3783.0,5453.0,107.0,-41.0,-283.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5456.0,7971.0,160.0,5462.0,8264.0,164.0,-6.0,-293.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,7313.0,10960.0,219.0,7951.0,11807.0,232.0,-638.0,-847.0,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,8979.0,13388.0,259.0,9681.0,14455.0,279.0,-702.0,-1067.0,-20.0,0.0,2.0,0.0,1.0,3.0,0.0
