gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337997,complete,CBLOL,2026.0,0.0,1.0,16.01,Blue,top,Zest,LØS,1.0,Rumble,Neeko,Akali,Sylas,Varus,Bard,1513.0,1.0,5.0,0.0,5.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6742,0.7931,0.0,0.0,11.0,2.0,2.0,32.0,12085.0,8723.0,345.922,10100.0,268.0,261.0,7.0,10.6279,3583.0,4914.0,88.0,3096.0,4784.0,75.0,487.0,130.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,5623.0,8766.0,142.0,4755.0,7981.0,114.0,868.0,785.0,28.0,2.0,0.0,0.0,0.0,1.0,1.0,8012.0,12538.0,203.0,6638.0,11681.0,180.0,1374.0,857.0,23.0,3.0,0.0,0.0,0.0,1.0,2.0,11959.0,17627.0,268.0,7953.0,14005.0,212.0,4006.0,3622.0,56.0,5.0,5.0,0.0,0.0,1.0,3.0
LOLTMNT04_147315,complete,TCL,2026.0,0.0,1.0,16.01,Red,top,Zest,LØS,0.0,Ambessa,Varus,Jayce,Rumble,Renekton,K'Sante,1806.0,1.0,6.0,1.0,4.0,22.0,10.0,1.0,0.0,0.0,0.0,1.0,0.7309,1.0631,1.0,0.0,10.0,4.0,2.0,35.0,13417.0,9457.0,314.186,13350.0,297.0,283.0,14.0,9.8671,3542.0,5165.0,88.0,3058.0,5007.0,76.0,484.0,158.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,5425.0,8824.0,147.0,4380.0,8152.0,116.0,1045.0,672.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,8334.0,11879.0,188.0,6266.0,10774.0,157.0,2068.0,1105.0,31.0,4.0,2.0,0.0,0.0,0.0,3.0,10836.0,16375.0,246.0,7890.0,13648.0,193.0,2946.0,2727.0,53.0,5.0,3.0,0.0,0.0,1.0,3.0
LOLTMNT01_327563,complete,HLL,2026.0,0.0,1.0,16.02,Red,top,Zest,LØS,1.0,Rumble,Akali,Malphite,Corki,Bard,Xayah,1842.0,1.0,4.0,1.0,10.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6189,0.9772,0.0,0.0,11.0,4.0,3.0,38.0,13887.0,9854.0,320.9772,12115.0,295.0,288.0,7.0,9.6091,3527.0,5472.0,97.0,3292.0,5224.0,85.0,235.0,248.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5738.0,9793.0,155.0,4995.0,8421.0,128.0,743.0,1372.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,7885.0,13487.0,220.0,7018.0,12251.0,195.0,867.0,1236.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,9766.0,16629.0,255.0,8913.0,14797.0,230.0,853.0,1832.0,25.0,1.0,5.0,1.0,1.0,2.0,2.0
LOLTMNT01_326680,complete,ROL,2026.0,0.0,1.0,16.02,Blue,top,Zest,LØS,0.0,Aurora,Qiyana,Jayce,Varus,Kai'Sa,Sivir,1643.0,1.0,6.0,0.0,8.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.986,1.1321,0.0,0.0,9.0,6.0,2.0,38.0,12014.0,8387.0,306.2812,10800.0,243.0,243.0,0.0,8.874,3513.0,5324.0,85.0,3280.0,5211.0,89.0,233.0,113.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,5841.0,9216.0,144.0,4697.0,8338.0,132.0,1144.0,878.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,8465.0,12755.0,200.0,6955.0,11063.0,171.0,1510.0,1692.0,29.0,3.0,3.0,0.0,1.0,1.0,1.0,10768.0,15665.0,230.0,8778.0,13250.0,202.0,1990.0,2415.0,28.0,5.0,5.0,0.0,2.0,1.0,2.0
LOLTMNT04_149469,complete,EBL,2026.0,0.0,1.0,16.02,Blue,top,Zest,LØS,0.0,Rumble,Jayce,Varus,Orianna,Miss Fortune,Neeko,1680.0,1.0,4.0,1.0,7.0,14.0,4.0,0.0,0.0,0.0,0.0,1.0,0.5,0.6429,0.0,0.0,12.0,3.0,4.0,33.0,13148.0,9445.0,337.3214,12200.0,269.0,255.0,14.0,9.6071,3806.0,5380.0,100.0,3345.0,5162.0,91.0,461.0,218.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6433.0,9828.0,154.0,5479.0,9023.0,130.0,954.0,805.0,24.0,2.0,0.0,1.0,1.0,0.0,2.0,9425.0,14338.0,198.0,6944.0,11250.0,166.0,2481.0,3088.0,32.0,4.0,0.0,1.0,1.0,0.0,4.0,11340.0,17393.0,251.0,9100.0,14413.0,218.0,2240.0,2980.0,33.0,4.0,0.0,1.0,1.0,0.0,4.0
LOLTMNT01_336821,complete,ROL,2026.0,0.0,1.0,16.02,Blue,top,Zest,LØS,0.0,Vayne,Jayce,Varus,Orianna,Neeko,Ezreal,1879.0,0.0,2.0,4.0,1.0,7.0,19.0,1.0,0.0,0.0,0.0,0.0,0.2235,0.8302,0.0,0.0,14.0,5.0,4.0,36.0,11737.0,7628.0,243.5764,11683.0,285.0,273.0,12.0,9.1006,3168.0,4611.0,81.0,3679.0,4872.0,86.0,-511.0,-261.0,-5.0,0.0,0.0,1.0,1.0,0.0,0.0,4958.0,8241.0,137.0,5556.0,8486.0,144.0,-598.0,-245.0,-7.0,0.0,0.0,1.0,1.0,0.0,0.0,6873.0,10924.0,182.0,7633.0,11319.0,194.0,-760.0,-395.0,-12.0,0.0,0.0,2.0,1.0,2.0,0.0,9566.0,15097.0,235.0,9338.0,14239.0,242.0,228.0,858.0,-7.0,2.0,1.0,2.0,1.0,2.0,0.0
LOLTMNT01_337419,complete,ROL,2026.0,0.0,1.0,16.02,Blue,top,Zest,LØS,1.0,Renekton,Sion,Akali,Varus,Alistar,Neeko,2014.0,1.0,0.0,3.0,5.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.4171,0.715,0.0,0.0,15.0,8.0,4.0,46.0,11836.0,7452.0,222.006,11675.0,295.0,289.0,6.0,8.7885,3145.0,4921.0,86.0,3637.0,5587.0,94.0,-492.0,-666.0,-8.0,0.0,0.0,1.0,0.0,1.0,0.0,5242.0,8748.0,144.0,5588.0,8977.0,147.0,-346.0,-229.0,-3.0,0.0,0.0,1.0,0.0,1.0,0.0,6831.0,11096.0,188.0,7960.0,12068.0,204.0,-1129.0,-972.0,-16.0,0.0,0.0,2.0,0.0,3.0,0.0,8234.0,13244.0,227.0,9847.0,15322.0,260.0,-1613.0,-2078.0,-33.0,0.0,0.0,2.0,0.0,4.0,0.0
LOLTMNT02_351645,complete,LPLOL,2026.0,0.0,1.0,16.03,Blue,top,Zest,LØS,1.0,Rumble,Qiyana,Ambessa,Varus,Jarvan IV,Neeko,2565.0,1.0,0.0,5.0,15.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.538,0.9123,0.0,0.0,14.0,6.0,8.0,42.0,14007.0,8499.0,198.807,13390.0,312.0,307.0,5.0,7.2982,3477.0,5379.0,95.0,3461.0,5162.0,93.0,16.0,217.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5123.0,8712.0,145.0,5652.0,9257.0,155.0,-529.0,-545.0,-10.0,0.0,1.0,1.0,0.0,1.0,0.0,6643.0,11142.0,182.0,7764.0,13396.0,224.0,-1121.0,-2254.0,-42.0,0.0,1.0,3.0,0.0,3.0,0.0,8120.0,13738.0,217.0,9931.0,16039.0,253.0,-1811.0,-2301.0,-36.0,0.0,4.0,4.0,2.0,5.0,0.0
LOLTMNT05_176516,complete,AL,2026.0,0.0,2.0,16.03,Blue,top,Zest,LØS,1.0,K'Sante,Qiyana,Renekton,Jarvan IV,Ahri,Akali,1891.0,0.0,2.0,4.0,0.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2538,0.825,0.0,0.0,10.0,1.0,1.0,26.0,10893.0,6760.0,214.4897,10725.0,257.0,257.0,0.0,8.1544,3623.0,5286.0,92.0,3475.0,5463.0,90.0,148.0,-177.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,5293.0,8905.0,146.0,5240.0,9143.0,145.0,53.0,-238.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7467.0,12598.0,201.0,7438.0,12933.0,207.0,29.0,-335.0,-6.0,1.0,0.0,1.0,0.0,2.0,1.0,9106.0,14777.0,216.0,11020.0,16205.0,242.0,-1914.0,-1428.0,-26.0,2.0,0.0,2.0,4.0,4.0,1.0
LOLTMNT02_351668,complete,LPLOL,2026.0,0.0,3.0,16.03,Blue,top,Zest,LØS,0.0,Gnar,Qiyana,Varus,Ambessa,Nocturne,Vi,2278.0,0.0,2.0,2.0,2.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2371,0.6058,0.0,0.0,11.0,9.0,5.0,40.0,15586.0,10663.0,280.8516,14908.0,394.0,386.0,8.0,10.3775,3477.0,5504.0,102.0,3469.0,5472.0,101.0,8.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5306.0,9555.0,161.0,5063.0,9005.0,155.0,243.0,550.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7633.0,12257.0,212.0,6831.0,12060.0,211.0,802.0,197.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,9483.0,15399.0,266.0,9639.0,16617.0,269.0,-156.0,-1218.0,-3.0,1.0,0.0,1.0,1.0,1.0,1.0
