gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176959,complete,LFL,2026.0,0.0,1.0,16.03,Red,top,Zora,Onion Team,0.0,Nasus,Naafiri,Zaahen,Corki,Akali,Aurora,1621.0,1.0,6.0,1.0,6.0,17.0,8.0,1.0,1.0,0.0,0.0,1.0,0.6292,0.9254,0.0,0.0,11.0,2.0,2.0,31.0,13129.0,9547.0,353.3745,10533.0,244.0,244.0,0.0,9.0315,3719.0,4759.0,75.0,2819.0,4219.0,65.0,900.0,540.0,10.0,1.0,1.0,0.0,0.0,0.0,2.0,5715.0,8832.0,138.0,4189.0,7312.0,105.0,1526.0,1520.0,33.0,1.0,1.0,0.0,0.0,0.0,2.0,8263.0,11873.0,185.0,5918.0,9751.0,141.0,2345.0,2122.0,44.0,2.0,3.0,1.0,1.0,0.0,3.0,11027.0,15174.0,229.0,7791.0,11811.0,175.0,3236.0,3363.0,54.0,5.0,4.0,1.0,2.0,0.0,4.0
LOLTMNT03_345376,complete,LJL,2026.0,1.0,1.0,16.03,Red,top,Zora,Onion Team,0.0,Gnar,Yasuo,Yone,Bard,Nocturne,Shen,1544.0,1.0,2.0,1.0,7.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7772,1.1658,0.0,0.0,10.0,0.0,1.0,18.0,12088.0,8663.0,336.6451,10133.0,261.0,252.0,9.0,10.1425,3256.0,4789.0,84.0,3926.0,5439.0,101.0,-670.0,-650.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,4993.0,8366.0,140.0,5335.0,8362.0,136.0,-342.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,7536.0,12628.0,202.0,6872.0,11168.0,174.0,664.0,1460.0,28.0,0.0,2.0,1.0,1.0,3.0,2.0,11420.0,16860.0,256.0,8018.0,12692.0,192.0,3402.0,4168.0,64.0,1.0,3.0,1.0,1.0,4.0,4.0
LOLTMNT02_358162,complete,LCKC,2026.0,0.0,1.0,16.03,Red,top,Zora,Onion Team,0.0,Gnar,Rumble,Karma,Qiyana,Alistar,Braum,1706.0,0.0,0.0,4.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.1055,0.6331,0.0,0.0,11.0,5.0,1.0,30.0,11628.0,7872.0,276.8581,11758.0,308.0,297.0,11.0,10.8324,3233.0,4817.0,84.0,4234.0,5515.0,108.0,-1001.0,-698.0,-24.0,0.0,0.0,1.0,1.0,1.0,0.0,5179.0,7850.0,133.0,6638.0,9343.0,165.0,-1459.0,-1493.0,-32.0,0.0,0.0,2.0,2.0,1.0,0.0,7262.0,11122.0,195.0,8849.0,13444.0,229.0,-1587.0,-2322.0,-34.0,0.0,0.0,3.0,2.0,2.0,0.0,9436.0,15077.0,264.0,10802.0,16459.0,281.0,-1366.0,-1382.0,-17.0,0.0,0.0,3.0,2.0,2.0,0.0
LOLTMNT02_358170,complete,LCKC,2026.0,0.0,2.0,16.03,Red,top,Zora,Onion Team,0.0,Yorick,Rumble,Karma,Qiyana,Nautilus,Braum,1613.0,0.0,1.0,3.0,0.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.372,1.2647,0.0,0.0,10.0,1.0,3.0,20.0,9437.0,5871.0,218.3881,9258.0,255.0,247.0,8.0,9.4854,3612.0,5135.0,85.0,3268.0,4715.0,81.0,344.0,420.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,5363.0,8713.0,136.0,5560.0,8704.0,139.0,-197.0,9.0,-3.0,1.0,0.0,1.0,1.0,0.0,1.0,7181.0,12309.0,190.0,7902.0,12558.0,208.0,-721.0,-249.0,-18.0,1.0,0.0,1.0,1.0,0.0,1.0,8559.0,14654.0,227.0,10892.0,16810.0,258.0,-2333.0,-2156.0,-31.0,1.0,0.0,2.0,2.0,2.0,1.0
LOLTMNT03_346135,complete,HW,2026.0,0.0,1.0,16.03,Red,top,Zora,Onion Team,0.0,Jax,Rumble,Caitlyn,Varus,Syndra,Akali,2304.0,0.0,6.0,2.0,2.0,12.0,13.0,2.0,0.0,0.0,0.0,0.0,0.3125,0.651,0.0,0.0,18.0,4.0,3.0,40.0,16427.0,11451.0,298.2031,15608.0,352.0,340.0,12.0,9.1667,3183.0,5306.0,74.0,3703.0,5074.0,87.0,-520.0,232.0,-13.0,0.0,0.0,1.0,0.0,1.0,0.0,4716.0,9001.0,122.0,5667.0,9026.0,143.0,-951.0,-25.0,-21.0,0.0,0.0,1.0,0.0,1.0,0.0,8117.0,12464.0,172.0,7700.0,12667.0,207.0,417.0,-203.0,-35.0,4.0,0.0,1.0,0.0,1.0,0.0,10195.0,15551.0,223.0,9101.0,15262.0,242.0,1094.0,289.0,-19.0,4.0,1.0,2.0,0.0,2.0,1.0
LOLTMNT05_178084,complete,AL,2026.0,1.0,2.0,16.03,Red,top,Zora,Onion Team,0.0,Dr. Mundo,Rumble,Caitlyn,Varus,Akali,Syndra,1627.0,0.0,2.0,3.0,5.0,15.0,32.0,1.0,0.0,0.0,0.0,1.0,0.5532,1.7333,0.0,0.0,10.0,3.0,1.0,26.0,11916.0,8321.0,306.8593,11375.0,270.0,270.0,0.0,9.957,3304.0,5056.0,86.0,3984.0,5372.0,107.0,-680.0,-316.0,-21.0,0.0,1.0,0.0,0.0,0.0,0.0,5557.0,8811.0,141.0,6331.0,8580.0,156.0,-774.0,231.0,-15.0,0.0,3.0,0.0,0.0,0.0,1.0,8888.0,12659.0,204.0,8984.0,12407.0,220.0,-96.0,252.0,-16.0,2.0,3.0,0.0,1.0,1.0,1.0,11350.0,16006.0,258.0,12941.0,16935.0,272.0,-1591.0,-929.0,-14.0,2.0,4.0,1.0,4.0,2.0,1.0
LOLTMNT02_359320,complete,LCP,2026.0,1.0,1.0,16.04,Red,top,Zora,Onion Team,0.0,Aatrox,Yasuo,Yone,Bard,Leona,Nautilus,1819.0,0.0,1.0,2.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.099,0.6597,0.0,0.0,10.0,1.0,0.0,24.0,11146.0,7160.0,236.1737,11350.0,292.0,288.0,4.0,9.6317,3489.0,5284.0,96.0,3281.0,5193.0,87.0,208.0,91.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5544.0,9546.0,145.0,4692.0,8633.0,129.0,852.0,913.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,7907.0,13763.0,214.0,6280.0,12211.0,173.0,1627.0,1552.0,41.0,1.0,0.0,0.0,0.0,2.0,1.0,9495.0,16198.0,254.0,8108.0,16031.0,222.0,1387.0,167.0,32.0,1.0,0.0,1.0,0.0,5.0,1.0
LOLTMNT02_360286,complete,LCK,2026.0,0.0,2.0,16.04,Red,top,Zora,Onion Team,0.0,Yorick,Yasuo,Yone,Bard,Akali,Zed,2584.0,0.0,1.0,5.0,4.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2786,0.8591,0.0,0.0,17.0,10.0,1.0,58.0,19712.0,14165.0,328.9087,18258.0,448.0,440.0,8.0,10.4025,3666.0,5304.0,93.0,3536.0,5224.0,94.0,130.0,80.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5466.0,9046.0,151.0,5405.0,8640.0,144.0,61.0,406.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7408.0,12133.0,206.0,8010.0,13022.0,211.0,-602.0,-889.0,-5.0,0.0,0.0,1.0,1.0,0.0,0.0,9558.0,15154.0,257.0,9878.0,15983.0,256.0,-320.0,-829.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
LOLTMNT05_180114,complete,LEC,2026.0,1.0,3.0,16.04,Red,top,Zora,Onion Team,0.0,Nasus,Yasuo,Yone,Bard,Miss Fortune,Corki,1499.0,1.0,5.0,0.0,4.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.8005,1.0407,0.0,0.0,10.0,4.0,0.0,21.0,12611.0,9277.0,371.3276,10933.0,223.0,223.0,0.0,8.926,3148.0,4821.0,61.0,3768.0,5007.0,99.0,-620.0,-186.0,-38.0,1.0,0.0,0.0,0.0,0.0,1.0,5360.0,9478.0,112.0,5389.0,8147.0,144.0,-29.0,1331.0,-32.0,2.0,0.0,0.0,0.0,0.0,2.0,8735.0,13852.0,167.0,7379.0,10036.0,169.0,1356.0,3816.0,-2.0,4.0,2.0,0.0,1.0,2.0,4.0,12611.0,17844.0,223.0,8974.0,12786.0,212.0,3637.0,5058.0,11.0,5.0,4.0,0.0,1.0,3.0,5.0
LOLTMNT03_350603,complete,CBLOL,2026.0,0.0,4.0,16.04,Blue,top,Zora,Onion Team,1.0,Jax,Yasuo,Bard,Akali,Zed,Ivern,1596.0,0.0,1.0,2.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1128,0.8271,0.0,0.0,12.0,1.0,1.0,20.0,9147.0,5616.0,211.1278,8725.0,229.0,225.0,4.0,8.609,2989.0,4888.0,75.0,3632.0,5410.0,96.0,-643.0,-522.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,4400.0,8384.0,121.0,5510.0,9146.0,153.0,-1110.0,-762.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,6142.0,10924.0,162.0,8636.0,12358.0,199.0,-2494.0,-1434.0,-37.0,1.0,0.0,1.0,3.0,4.0,0.0,8952.0,14625.0,229.0,11069.0,15760.0,241.0,-2117.0,-1135.0,-12.0,1.0,0.0,1.0,4.0,5.0,0.0
