gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_166083,complete,AL,2026.0,0.0,1.0,16.02,Red,bot,Zven,Cloud9,1.0,Sivir,Malphite,Akali,Rumble,Nocturne,Nautilus,2163.0,1.0,3.0,1.0,6.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.3606,0.5548,0.0,0.0,12.0,8.0,1.0,30.0,17519.0,12831.0,355.9223,16225.0,345.0,337.0,8.0,9.57,3113.0,3200.0,78.0,3494.0,3555.0,91.0,-381.0,-355.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5903.0,5614.0,135.0,5804.0,6048.0,147.0,99.0,-434.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,7663.0,7585.0,182.0,8048.0,8305.0,200.0,-385.0,-720.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,10516.0,10122.0,244.0,10127.0,10632.0,246.0,389.0,-510.0,-2.0,1.0,0.0,0.0,0.0,2.0,0.0
LOLTMNT01_327636,complete,ROL,2026.0,0.0,2.0,16.02,Blue,bot,Zven,Cloud9,0.0,Varus,Ryze,Jayce,Akali,Sylas,Ahri,1833.0,1.0,3.0,1.0,11.0,19.0,4.0,0.0,0.0,0.0,0.0,1.0,0.6219,0.7529,0.0,0.0,15.0,4.0,4.0,27.0,14213.0,10198.0,333.8134,13700.0,281.0,277.0,4.0,9.198,3684.0,3620.0,97.0,3176.0,3236.0,76.0,508.0,384.0,21.0,0.0,2.0,0.0,0.0,0.0,1.0,6374.0,6260.0,156.0,5033.0,5501.0,126.0,1341.0,759.0,30.0,1.0,2.0,1.0,0.0,0.0,1.0,9185.0,9742.0,219.0,7062.0,8344.0,182.0,2123.0,1398.0,37.0,1.0,5.0,1.0,0.0,1.0,1.0,11555.0,12462.0,254.0,8471.0,9536.0,214.0,3084.0,2926.0,40.0,2.0,7.0,1.0,0.0,1.0,3.0
LOLTMNT01_337044,complete,LCKC,2026.0,0.0,1.0,16.02,Red,bot,Zven,Cloud9,1.0,Corki,Malphite,Akali,Varus,Yunara,Lucian,2720.0,1.0,4.0,4.0,2.0,8.0,13.0,1.0,0.0,0.0,0.0,1.0,0.1765,0.4632,0.0,0.0,16.0,20.0,4.0,54.0,22527.0,16703.0,368.4485,21733.0,472.0,450.0,22.0,10.4118,3164.0,3334.0,81.0,3607.0,3755.0,106.0,-443.0,-421.0,-25.0,0.0,1.0,0.0,0.0,0.0,0.0,6208.0,5783.0,139.0,6427.0,5938.0,143.0,-219.0,-155.0,-4.0,2.0,1.0,1.0,2.0,0.0,1.0,8730.0,8258.0,208.0,8748.0,8475.0,204.0,-18.0,-217.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,11208.0,10811.0,279.0,11262.0,11642.0,274.0,-54.0,-831.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0
LOLTMNT01_336971,complete,LCKC,2026.0,0.0,2.0,16.02,Blue,bot,Zven,Cloud9,1.0,Lucian,Malphite,Lulu,Neeko,Yunara,Nautilus,2240.0,1.0,6.0,0.0,4.0,14.0,9.0,1.0,1.0,0.0,0.0,0.0,0.375,0.6161,0.0,0.0,14.0,18.0,2.0,67.0,19575.0,14730.0,394.5536,16450.0,375.0,357.0,18.0,10.0446,3744.0,3445.0,100.0,3804.0,3769.0,101.0,-60.0,-324.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,6860.0,6010.0,152.0,6272.0,5921.0,157.0,588.0,89.0,-5.0,1.0,1.0,0.0,0.0,1.0,0.0,10052.0,9281.0,213.0,8386.0,8371.0,214.0,1666.0,910.0,-1.0,3.0,1.0,0.0,0.0,1.0,1.0,12740.0,12439.0,274.0,11160.0,11328.0,278.0,1580.0,1111.0,-4.0,3.0,2.0,0.0,0.0,2.0,1.0
LOLTMNT02_352763,complete,LCP,2026.0,1.0,1.0,16.03,Red,bot,Zven,Cloud9,1.0,Corki,Ambessa,Varus,Orianna,Aurora,Braum,1735.0,1.0,4.0,2.0,3.0,16.0,5.0,0.0,0.0,0.0,0.0,1.0,0.5533,0.7262,0.0,0.0,11.0,11.0,1.0,33.0,14646.0,10831.0,374.5591,13608.0,293.0,280.0,13.0,10.1326,3806.0,3641.0,85.0,3904.0,3916.0,87.0,-98.0,-275.0,-2.0,1.0,0.0,1.0,2.0,0.0,0.0,6334.0,6560.0,148.0,6008.0,6709.0,147.0,326.0,-149.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,9234.0,9524.0,207.0,7917.0,9657.0,202.0,1317.0,-133.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,12770.0,13476.0,266.0,9282.0,11777.0,234.0,3488.0,1699.0,32.0,4.0,1.0,2.0,2.0,0.0,1.0
LOLTMNT02_352782,complete,LCK,2026.0,0.0,2.0,16.03,Blue,bot,Zven,Cloud9,0.0,Yunara,Ambessa,Varus,Dr. Mundo,Nocturne,Gwen,2324.0,0.0,2.0,4.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,1.0,0.1549,0.4905,1.0,0.0,14.0,12.0,5.0,38.0,19174.0,14157.0,365.4991,19375.0,411.0,391.0,20.0,10.611,3998.0,3384.0,91.0,3845.0,3698.0,93.0,153.0,-314.0,-2.0,1.0,0.0,1.0,1.0,1.0,0.0,6840.0,5406.0,141.0,6702.0,5650.0,147.0,138.0,-244.0,-6.0,2.0,0.0,1.0,2.0,1.0,0.0,9212.0,7550.0,206.0,8858.0,8359.0,203.0,354.0,-809.0,3.0,2.0,0.0,2.0,2.0,2.0,0.0,12076.0,10406.0,272.0,10864.0,10578.0,261.0,1212.0,-172.0,11.0,2.0,0.0,2.0,2.0,2.0,0.0
LOLTMNT02_351765,complete,LCP,2026.0,1.0,3.0,16.03,Blue,bot,Zven,Cloud9,1.0,Varus,Cassiopeia,Bard,Ambessa,Dr. Mundo,Syndra,1479.0,1.0,8.0,0.0,7.0,26.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0548,1.2576,0.0,0.0,9.0,2.0,1.0,20.0,14203.0,10910.0,442.5963,12625.0,232.0,228.0,4.0,9.4118,3903.0,3612.0,91.0,3369.0,3638.0,92.0,534.0,-26.0,-1.0,1.0,1.0,0.0,0.0,0.0,1.0,6831.0,5972.0,139.0,5557.0,5944.0,144.0,1274.0,28.0,-5.0,3.0,2.0,0.0,0.0,0.0,1.0,9965.0,8840.0,192.0,7442.0,8414.0,201.0,2523.0,426.0,-9.0,4.0,3.0,0.0,0.0,1.0,2.0,14203.0,13075.0,232.0,9275.0,10576.0,232.0,4928.0,2499.0,0.0,8.0,7.0,0.0,0.0,4.0,4.0
LOLTMNT05_178021,complete,LEC,2026.0,1.0,1.0,16.03,Blue,bot,Zven,Cloud9,1.0,Corki,Varus,Orianna,Karma,Nami,Lulu,1742.0,1.0,5.0,1.0,10.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.62,0.7577,0.0,0.0,11.0,13.0,4.0,37.0,15989.0,12160.0,418.8289,13758.0,316.0,312.0,4.0,10.884,3294.0,3424.0,88.0,3452.0,3987.0,82.0,-158.0,-563.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,6318.0,6364.0,149.0,5249.0,6269.0,129.0,1069.0,95.0,20.0,1.0,4.0,1.0,0.0,2.0,0.0,9316.0,9690.0,218.0,7311.0,9389.0,195.0,2005.0,301.0,23.0,2.0,5.0,1.0,0.0,2.0,0.0,13175.0,13105.0,273.0,10733.0,12054.0,250.0,2442.0,1051.0,23.0,4.0,9.0,1.0,2.0,2.0,1.0
LOLTMNT03_345473,complete,CBLOL,2026.0,0.0,2.0,16.03,Blue,bot,Zven,Cloud9,0.0,Yunara,Varus,Orianna,Karma,Senna,Ezreal,1537.0,1.0,8.0,1.0,2.0,12.0,5.0,2.0,0.0,0.0,0.0,1.0,0.4684,0.6636,0.0,0.0,9.0,7.0,2.0,24.0,15786.0,12375.0,483.0839,12175.0,279.0,275.0,4.0,10.8913,3815.0,3011.0,82.0,3709.0,3205.0,78.0,106.0,-194.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,6903.0,5146.0,144.0,6074.0,5297.0,128.0,829.0,-151.0,16.0,1.0,0.0,1.0,1.0,1.0,1.0,9622.0,7788.0,207.0,7766.0,7783.0,176.0,1856.0,5.0,31.0,2.0,0.0,1.0,1.0,1.0,1.0,14213.0,11788.0,269.0,9534.0,9567.0,223.0,4679.0,2221.0,46.0,5.0,2.0,1.0,1.0,1.0,3.0
LOLTMNT05_178022,complete,NLC,2026.0,0.0,3.0,16.03,Blue,bot,Zven,Cloud9,1.0,Sivir,Karma,Cassiopeia,Senna,Nautilus,Rakan,1546.0,1.0,5.0,3.0,11.0,24.0,9.0,1.0,0.0,0.0,0.0,1.0,0.9314,1.2807,0.0,0.0,12.0,4.0,3.0,25.0,13416.0,9987.0,387.5938,13250.0,233.0,233.0,0.0,9.0427,3900.0,3294.0,86.0,3290.0,3510.0,84.0,610.0,-216.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,6018.0,5520.0,135.0,6279.0,6084.0,138.0,-261.0,-564.0,-3.0,1.0,3.0,1.0,2.0,0.0,2.0,8755.0,8427.0,197.0,8582.0,8462.0,191.0,173.0,-35.0,6.0,1.0,4.0,1.0,3.0,0.0,3.0,12536.0,12116.0,233.0,10472.0,10116.0,220.0,2064.0,2000.0,13.0,4.0,11.0,2.0,3.0,3.0,6.0
