gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152462,complete,LIT,2026.0,0.0,1.0,16.02,Red,top,advance,New Meta,0.0,Yone,Taliyah,Ryze,Jayce,Rakan,Aphelios,1776.0,0.0,2.0,6.0,5.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0,0.473,1.4527,0.0,0.0,13.0,3.0,0.0,32.0,12924.0,9025.0,304.8986,12250.0,317.0,297.0,20.0,10.7095,3654.0,5286.0,103.0,3168.0,5147.0,81.0,486.0,139.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5413.0,8897.0,149.0,4423.0,7802.0,112.0,990.0,1095.0,37.0,0.0,2.0,1.0,0.0,2.0,1.0,8814.0,13336.0,219.0,6800.0,11043.0,156.0,2014.0,2293.0,63.0,1.0,4.0,3.0,1.0,6.0,2.0,10657.0,15960.0,268.0,8638.0,14690.0,185.0,2019.0,1270.0,83.0,1.0,5.0,5.0,2.0,10.0,3.0
LOLTMNT01_336316,complete,LCS,2026.0,0.0,1.0,16.02,Red,top,advance,New Meta,0.0,Camille,Bard,Skarner,Neeko,Alistar,Leona,1458.0,1.0,13.0,4.0,5.0,36.0,17.0,2.0,1.0,0.0,0.0,0.0,1.4815,2.1811,0.0,0.0,9.0,2.0,0.0,26.0,12939.0,9689.0,398.7243,11883.0,184.0,180.0,4.0,7.572,3792.0,4650.0,76.0,2899.0,3474.0,44.0,893.0,1176.0,32.0,2.0,0.0,1.0,1.0,0.0,1.0,5846.0,8171.0,108.0,5009.0,7274.0,72.0,837.0,897.0,36.0,4.0,0.0,3.0,3.0,0.0,4.0,9836.0,11544.0,151.0,6193.0,9218.0,94.0,3643.0,2326.0,57.0,10.0,0.0,3.0,3.0,2.0,7.0,12939.0,15522.0,184.0,7095.0,10266.0,111.0,5844.0,5256.0,73.0,13.0,5.0,4.0,3.0,2.0,10.0
LOLTMNT01_336401,complete,LCKC,2026.0,0.0,1.0,16.02,Red,top,advance,New Meta,0.0,Ambessa,Taliyah,Jayce,Varus,Lee Sin,Vi,2161.0,1.0,13.0,5.0,8.0,31.0,27.0,1.0,1.0,0.0,0.0,1.0,0.8607,1.6104,0.0,0.0,16.0,3.0,1.0,41.0,18242.0,13558.0,376.4368,17135.0,289.0,277.0,12.0,8.0241,4488.0,5080.0,84.0,3242.0,4471.0,65.0,1246.0,609.0,19.0,4.0,0.0,1.0,1.0,0.0,3.0,7198.0,9065.0,142.0,4843.0,7577.0,105.0,2355.0,1488.0,37.0,5.0,0.0,1.0,1.0,1.0,3.0,9021.0,11816.0,185.0,6318.0,9356.0,128.0,2703.0,2460.0,57.0,5.0,2.0,2.0,1.0,2.0,5.0,11295.0,15630.0,220.0,8125.0,12046.0,148.0,3170.0,3584.0,72.0,7.0,3.0,4.0,2.0,4.0,6.0
LOLTMNT04_152550,complete,LEC,2026.0,0.0,1.0,16.02,Red,top,advance,New Meta,0.0,Aatrox,Aurora,Ryze,Jayce,Vi,Wukong,1961.0,1.0,8.0,1.0,4.0,24.0,16.0,3.0,0.0,0.0,0.0,0.0,0.7343,1.2239,0.0,0.0,15.0,1.0,0.0,33.0,15776.0,11500.0,351.8613,12100.0,318.0,297.0,21.0,9.7297,3664.0,5472.0,100.0,2871.0,5224.0,65.0,793.0,248.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5603.0,9192.0,149.0,4603.0,8609.0,103.0,1000.0,583.0,46.0,1.0,0.0,1.0,1.0,1.0,1.0,8238.0,12831.0,206.0,6556.0,12225.0,159.0,1682.0,606.0,47.0,3.0,0.0,1.0,1.0,2.0,1.0,10389.0,17044.0,260.0,7915.0,13954.0,181.0,2474.0,3090.0,79.0,3.0,1.0,1.0,1.0,3.0,2.0
LOLTMNT04_151631,complete,LFL,2026.0,0.0,1.0,16.02,Red,top,advance,New Meta,0.0,Irelia,Viktor,Bard,Rumble,Malphite,Jayce,1820.0,0.0,7.0,5.0,4.0,12.0,27.0,1.0,0.0,0.0,0.0,1.0,0.3956,1.2857,0.0,0.0,14.0,3.0,0.0,36.0,16334.0,12346.0,407.011,16550.0,296.0,288.0,8.0,9.7582,4393.0,5156.0,90.0,2695.0,4547.0,50.0,1698.0,609.0,40.0,2.0,0.0,1.0,0.0,1.0,2.0,8446.0,10001.0,157.0,3786.0,7138.0,73.0,4660.0,2863.0,84.0,4.0,1.0,1.0,0.0,1.0,4.0,12302.0,13465.0,224.0,5469.0,10344.0,120.0,6833.0,3121.0,104.0,6.0,4.0,1.0,0.0,2.0,5.0,14459.0,16800.0,269.0,6889.0,12743.0,157.0,7570.0,4057.0,112.0,6.0,4.0,2.0,0.0,4.0,5.0
LOLTMNT04_151644,complete,LIT,2026.0,1.0,1.0,16.02,Red,top,advance,New Meta,0.0,Fiora,Ryze,Alistar,Varus,Nami,Rumble,1846.0,1.0,10.0,3.0,0.0,24.0,9.0,1.0,1.0,1.0,0.0,0.0,0.7801,1.0726,0.0,0.0,15.0,2.0,1.0,36.0,17567.0,13526.0,439.6316,15308.0,326.0,318.0,8.0,10.5959,4555.0,5333.0,93.0,2738.0,4821.0,63.0,1817.0,512.0,30.0,3.0,0.0,0.0,0.0,0.0,3.0,7084.0,9311.0,148.0,4381.0,8567.0,120.0,2703.0,744.0,28.0,4.0,0.0,0.0,0.0,0.0,4.0,10260.0,13330.0,211.0,6656.0,12122.0,168.0,3604.0,1208.0,43.0,5.0,0.0,1.0,1.0,0.0,4.0,12826.0,17283.0,281.0,8852.0,15830.0,222.0,3974.0,1453.0,59.0,5.0,0.0,2.0,1.0,1.0,4.0
LOLTMNT04_152666,complete,LFL,2026.0,0.0,1.0,16.02,Red,top,advance,New Meta,0.0,Irelia,Ryze,Alistar,Varus,Neeko,Poppy,1290.0,1.0,11.0,2.0,3.0,25.0,4.0,1.0,0.0,0.0,0.0,1.0,1.1628,1.3488,0.0,0.0,10.0,2.0,0.0,24.0,14375.0,11468.0,533.3953,11250.0,251.0,215.0,36.0,11.6744,4802.0,5709.0,97.0,2405.0,3970.0,34.0,2397.0,1739.0,63.0,4.0,0.0,1.0,0.0,1.0,4.0,8366.0,10512.0,167.0,4075.0,6668.0,64.0,4291.0,3844.0,103.0,5.0,0.0,2.0,1.0,2.0,5.0,13088.0,14343.0,237.0,5185.0,8982.0,87.0,7903.0,5361.0,150.0,8.0,2.0,2.0,1.0,2.0,7.0,,,,,,,,,,,,,,,
LOLTMNT01_337297,complete,LCP,2026.0,0.0,1.0,16.02,Blue,top,advance,New Meta,1.0,Gwen,Akali,Jayce,Ambessa,Rakan,Riven,1766.0,0.0,6.0,7.0,3.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.4417,1.2911,0.0,0.0,13.0,5.0,1.0,42.0,14773.0,10895.0,370.1586,15475.0,255.0,255.0,0.0,8.6636,3467.0,4656.0,65.0,3777.0,4218.0,60.0,-310.0,438.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,6596.0,9819.0,124.0,5137.0,6959.0,94.0,1459.0,2860.0,30.0,3.0,1.0,3.0,2.0,2.0,4.0,8784.0,12650.0,168.0,7117.0,10566.0,150.0,1667.0,2084.0,18.0,3.0,2.0,5.0,2.0,3.0,5.0,11814.0,16768.0,222.0,8726.0,13105.0,186.0,3088.0,3663.0,36.0,4.0,2.0,6.0,2.0,4.0,7.0
LOLTMNT02_349885,complete,HLL,2026.0,0.0,1.0,16.03,Blue,top,advance,New Meta,1.0,Fiora,Kha'Zix,Vi,Poppy,Neeko,Varus,2008.0,0.0,2.0,10.0,0.0,16.0,30.0,1.0,0.0,0.0,0.0,0.0,0.4781,1.3745,0.0,0.0,12.0,8.0,0.0,42.0,13448.0,9076.0,271.1952,12383.0,310.0,302.0,8.0,9.2629,3270.0,4600.0,82.0,3606.0,5292.0,84.0,-336.0,-692.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,5024.0,8130.0,133.0,6501.0,10134.0,140.0,-1477.0,-2004.0,-7.0,0.0,0.0,3.0,2.0,1.0,0.0,6735.0,10680.0,176.0,8241.0,13445.0,180.0,-1506.0,-2765.0,-4.0,0.0,0.0,5.0,3.0,1.0,1.0,8560.0,13799.0,231.0,9853.0,16560.0,221.0,-1293.0,-2761.0,10.0,0.0,0.0,6.0,3.0,1.0,1.0
LOLTMNT05_176303,complete,LFL,2026.0,0.0,1.0,16.03,Blue,top,advance,New Meta,1.0,Irelia,Taliyah,Kha'Zix,Elise,Alistar,Rakan,1966.0,1.0,13.0,3.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.4883,0.9766,0.0,0.0,14.0,9.0,0.0,46.0,19988.0,15702.0,479.2065,18350.0,314.0,306.0,8.0,9.5829,4647.0,5787.0,106.0,3553.0,4785.0,77.0,1094.0,1002.0,29.0,3.0,0.0,1.0,1.0,1.0,3.0,6462.0,9234.0,147.0,5352.0,8215.0,111.0,1110.0,1019.0,36.0,4.0,0.0,3.0,2.0,2.0,4.0,10035.0,14025.0,203.0,7331.0,10285.0,144.0,2704.0,3740.0,59.0,7.0,0.0,3.0,2.0,3.0,5.0,14826.0,17838.0,247.0,8451.0,11633.0,161.0,6375.0,6205.0,86.0,10.0,0.0,3.0,2.0,4.0,7.0
