gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Blue,top,alishor,ALMO Players,1.0,Renekton,Neeko,Akali,Sylas,Xayah,Sivir,1506.0,0.0,2.0,3.0,3.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3187,1.1155,0.0,0.0,5.0,2.0,0.0,13.0,8365.0,5017.0,199.8805,8350.0,205.0,204.0,1.0,8.1673,3673.0,5014.0,93.0,3522.0,5162.0,97.0,151.0,-148.0,-4.0,1.0,0.0,0.0,0.0,0.0,1.0,5498.0,8484.0,136.0,5825.0,8875.0,155.0,-327.0,-391.0,-19.0,2.0,1.0,0.0,0.0,0.0,1.0,7059.0,11185.0,173.0,8625.0,11878.0,197.0,-1566.0,-693.0,-24.0,2.0,3.0,1.0,3.0,2.0,2.0,8352.0,13253.0,205.0,11341.0,16019.0,229.0,-2989.0,-2766.0,-24.0,2.0,3.0,3.0,6.0,3.0,2.0
LOLTMNT03_337434,complete,HLL,2026.0,0.0,2.0,16.01,Red,top,alishor,ALMO Players,0.0,Sion,Neeko,Ambessa,Jayce,Karma,Rakan,1895.0,1.0,1.0,3.0,11.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.8549,1.2665,0.0,0.0,9.0,1.0,0.0,20.0,10987.0,6846.0,216.7599,10650.0,232.0,232.0,0.0,7.3456,3463.0,5286.0,91.0,3384.0,5251.0,92.0,79.0,35.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5080.0,8767.0,132.0,5083.0,8849.0,142.0,-3.0,-82.0,-10.0,0.0,3.0,1.0,0.0,0.0,1.0,7129.0,12112.0,181.0,7702.0,12429.0,202.0,-573.0,-317.0,-21.0,1.0,4.0,1.0,1.0,0.0,1.0,8800.0,15183.0,204.0,10070.0,14404.0,234.0,-1270.0,779.0,-30.0,1.0,7.0,1.0,3.0,0.0,3.0
LOLTMNT02_343036,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,alishor,ALMO Players,1.0,Ambessa,Jayce,Akali,Renekton,Neeko,Taliyah,2016.0,0.0,5.0,6.0,7.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5952,1.2798,0.0,0.0,13.0,0.0,4.0,29.0,12342.0,7954.0,236.7262,12300.0,236.0,236.0,0.0,7.0238,3675.0,4556.0,74.0,4547.0,5104.0,88.0,-872.0,-548.0,-14.0,1.0,2.0,1.0,3.0,0.0,1.0,5239.0,7793.0,121.0,6442.0,8763.0,143.0,-1203.0,-970.0,-22.0,1.0,2.0,2.0,3.0,1.0,1.0,7251.0,11110.0,162.0,9474.0,11368.0,176.0,-2223.0,-258.0,-14.0,3.0,3.0,3.0,6.0,1.0,2.0,9045.0,13777.0,204.0,11382.0,14880.0,229.0,-2337.0,-1103.0,-25.0,4.0,4.0,3.0,6.0,2.0,2.0
LOLTMNT05_173046,complete,LIT,2026.0,0.0,2.0,16.01,Red,top,alishor,ALMO Players,0.0,Malphite,Jayce,Akali,Darius,Xayah,Neeko,1912.0,0.0,2.0,4.0,5.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3452,1.1611,0.0,0.0,14.0,3.0,2.0,32.0,10928.0,6752.0,211.8828,10500.0,238.0,234.0,4.0,7.4686,3097.0,5033.0,79.0,3993.0,5604.0,93.0,-896.0,-571.0,-14.0,0.0,0.0,1.0,1.0,0.0,0.0,4615.0,8498.0,126.0,5812.0,9459.0,151.0,-1197.0,-961.0,-25.0,0.0,0.0,1.0,1.0,0.0,0.0,7261.0,12109.0,179.0,8467.0,12204.0,198.0,-1206.0,-95.0,-19.0,1.0,3.0,1.0,2.0,1.0,1.0,9346.0,14846.0,209.0,11062.0,14306.0,226.0,-1716.0,540.0,-17.0,2.0,4.0,2.0,3.0,1.0,1.0
LOLTMNT01_326135,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,alishor,ALMO Players,0.0,Ornn,Orianna,Gwen,Jarvan IV,Lulu,Sylas,1918.0,0.0,4.0,2.0,4.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3128,1.0323,0.0,0.0,14.0,2.0,0.0,29.0,10707.0,6519.0,203.9312,9750.0,221.0,221.0,0.0,6.9135,3891.0,4953.0,79.0,3156.0,4728.0,82.0,735.0,225.0,-3.0,2.0,0.0,0.0,0.0,0.0,2.0,5679.0,8286.0,119.0,4748.0,7887.0,129.0,931.0,399.0,-10.0,3.0,1.0,0.0,0.0,0.0,2.0,7111.0,10631.0,160.0,7671.0,11474.0,185.0,-560.0,-843.0,-25.0,3.0,1.0,1.0,2.0,2.0,2.0,9185.0,13447.0,192.0,10447.0,14477.0,227.0,-1262.0,-1030.0,-35.0,4.0,4.0,1.0,5.0,3.0,3.0
LOLTMNT01_327086,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,top,alishor,ALMO Players,1.0,Renekton,Gwen,Wukong,Jarvan IV,Lulu,K'Sante,1532.0,0.0,3.0,6.0,5.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.6658,1.7624,0.0,0.0,10.0,2.0,0.0,23.0,9664.0,6263.0,245.2872,9050.0,176.0,176.0,0.0,6.893,3498.0,4913.0,73.0,4272.0,5410.0,85.0,-774.0,-497.0,-12.0,1.0,0.0,3.0,3.0,0.0,1.0,4902.0,8253.0,116.0,7009.0,9438.0,148.0,-2107.0,-1185.0,-32.0,1.0,0.0,3.0,3.0,0.0,1.0,7859.0,12457.0,158.0,9845.0,12489.0,201.0,-1986.0,-32.0,-43.0,3.0,0.0,4.0,3.0,1.0,2.0,9598.0,14514.0,176.0,13770.0,16794.0,238.0,-4172.0,-2280.0,-62.0,3.0,5.0,6.0,7.0,3.0,3.0
LOLTMNT01_331609,complete,LCP,2026.0,0.0,1.0,16.02,Red,top,alishor,ALMO Players,0.0,Gnar,Naafiri,Varus,Orianna,Lulu,Trundle,1384.0,0.0,4.0,4.0,3.0,12.0,32.0,1.0,0.0,0.0,0.0,0.0,0.5202,1.9075,0.0,0.0,9.0,1.0,0.0,20.0,9404.0,6305.0,273.3382,8683.0,170.0,170.0,0.0,7.3699,3096.0,4782.0,79.0,4483.0,5749.0,86.0,-1387.0,-967.0,-7.0,0.0,0.0,2.0,3.0,0.0,0.0,4651.0,7386.0,113.0,7870.0,9579.0,136.0,-3219.0,-2193.0,-23.0,0.0,1.0,3.0,5.0,1.0,0.0,7888.0,10509.0,154.0,10312.0,12653.0,176.0,-2424.0,-2144.0,-22.0,3.0,1.0,3.0,8.0,1.0,0.0,,,,,,,,,,,,,,,
LOLTMNT01_331638,complete,LCP,2026.0,0.0,2.0,16.02,Blue,top,alishor,ALMO Players,1.0,Ambessa,Naafiri,Akali,Varus,Lulu,Bard,1760.0,0.0,9.0,7.0,4.0,25.0,36.0,0.0,0.0,0.0,0.0,0.0,0.8523,2.0795,0.0,0.0,8.0,0.0,2.0,13.0,14370.0,10504.0,358.0909,14300.0,193.0,182.0,11.0,6.5795,4614.0,6027.0,82.0,3672.0,4900.0,73.0,942.0,1127.0,9.0,3.0,0.0,1.0,2.0,0.0,3.0,6840.0,8712.0,119.0,5650.0,8152.0,119.0,1190.0,560.0,0.0,4.0,0.0,3.0,2.0,1.0,4.0,10688.0,11047.0,159.0,7893.0,11087.0,156.0,2795.0,-40.0,3.0,6.0,2.0,4.0,2.0,7.0,4.0,13338.0,14843.0,185.0,9398.0,13308.0,190.0,3940.0,1535.0,-5.0,9.0,4.0,4.0,2.0,9.0,5.0
LOLTMNT06_167135,complete,PRM,2026.0,0.0,1.0,16.03,Red,top,alishor,ALMO Players,0.0,Sion,Taliyah,Rumble,Corki,K'Sante,Darius,1475.0,0.0,2.0,5.0,5.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.4475,1.5051,0.0,0.0,9.0,0.0,0.0,19.0,8220.0,4935.0,200.7458,8150.0,182.0,182.0,0.0,7.4034,3348.0,4943.0,76.0,3876.0,4844.0,89.0,-528.0,99.0,-13.0,1.0,0.0,1.0,1.0,0.0,1.0,5184.0,8271.0,120.0,5634.0,8101.0,135.0,-450.0,170.0,-15.0,2.0,1.0,2.0,1.0,0.0,2.0,7078.0,11579.0,160.0,8376.0,11853.0,172.0,-1298.0,-274.0,-12.0,2.0,4.0,3.0,4.0,1.0,4.0,8220.0,13437.0,182.0,10732.0,16002.0,202.0,-2512.0,-2565.0,-20.0,2.0,5.0,5.0,5.0,6.0,5.0
LOLTMNT03_347048,complete,HLL,2026.0,1.0,2.0,16.03,Blue,top,alishor,ALMO Players,1.0,Ornn,Rumble,Neeko,Hwei,Lulu,Braum,1484.0,0.0,4.0,5.0,3.0,13.0,35.0,0.0,0.0,0.0,0.0,0.0,0.5256,1.9407,0.0,0.0,6.0,1.0,0.0,11.0,7783.0,4480.0,181.1321,7380.0,152.0,152.0,0.0,6.1456,3351.0,4823.0,75.0,3890.0,5116.0,90.0,-539.0,-293.0,-15.0,1.0,0.0,1.0,0.0,2.0,1.0,5326.0,8569.0,114.0,5637.0,8361.0,130.0,-311.0,208.0,-16.0,3.0,0.0,1.0,0.0,3.0,3.0,6922.0,10814.0,140.0,7866.0,12144.0,164.0,-944.0,-1330.0,-24.0,4.0,2.0,2.0,2.0,6.0,4.0,7783.0,11897.0,152.0,11077.0,16457.0,217.0,-3294.0,-4560.0,-65.0,4.0,3.0,5.0,4.0,9.0,4.0
