gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338569,complete,HLL,2026.0,0.0,1.0,16.01,Blue,mid,alix,Bushido Wildcats,1.0,Ryze,Akali,Yunara,Jayce,Nautilus,Rell,1542.0,1.0,7.0,4.0,10.0,22.0,6.0,0.0,0.0,0.0,0.0,1.0,0.856,1.0895,0.0,0.0,6.0,4.0,2.0,18.0,12053.0,8632.0,335.8755,12000.0,222.0,222.0,0.0,8.6381,4199.0,5093.0,102.0,3686.0,5236.0,91.0,513.0,-143.0,11.0,2.0,1.0,1.0,1.0,0.0,0.0,5858.0,7252.0,136.0,5525.0,7218.0,124.0,333.0,34.0,12.0,2.0,2.0,2.0,2.0,0.0,1.0,8241.0,9892.0,182.0,7429.0,9400.0,166.0,812.0,492.0,16.0,4.0,4.0,3.0,2.0,1.0,2.0,11714.0,14785.0,220.0,8859.0,10523.0,195.0,2855.0,4262.0,25.0,7.0,6.0,3.0,2.0,1.0,4.0
LOLTMNT04_147348,complete,TCL,2026.0,0.0,2.0,16.01,Blue,mid,alix,Bushido Wildcats,1.0,LeBlanc,Akali,Yunara,Fiora,Nautilus,Rell,1790.0,1.0,8.0,1.0,3.0,19.0,12.0,1.0,0.0,0.0,0.0,0.0,0.6369,1.0391,0.0,0.0,6.0,6.0,3.0,29.0,16647.0,12720.0,426.3687,14975.0,297.0,297.0,0.0,9.9553,4014.0,5441.0,107.0,3387.0,5074.0,91.0,627.0,367.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,6573.0,8415.0,163.0,4956.0,7647.0,140.0,1617.0,768.0,23.0,1.0,0.0,0.0,0.0,2.0,1.0,9328.0,11834.0,231.0,6730.0,10670.0,199.0,2598.0,1164.0,32.0,1.0,0.0,0.0,0.0,2.0,1.0,12982.0,15516.0,282.0,8893.0,13846.0,246.0,4089.0,1670.0,36.0,4.0,0.0,0.0,1.0,5.0,1.0
LOLTMNT01_334168,complete,LJL,2026.0,0.0,1.0,16.02,Blue,mid,alix,Bushido Wildcats,1.0,Ryze,Malphite,Jayce,Caitlyn,Bard,Ambessa,1780.0,1.0,7.0,1.0,8.0,17.0,10.0,2.0,0.0,0.0,0.0,0.0,0.573,0.9101,0.0,0.0,7.0,5.0,2.0,21.0,15028.0,11121.0,374.8652,14150.0,318.0,316.0,2.0,10.7191,4027.0,5623.0,114.0,3352.0,5211.0,94.0,675.0,412.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,7068.0,8478.0,176.0,4712.0,7367.0,134.0,2356.0,1111.0,42.0,3.0,1.0,0.0,0.0,0.0,2.0,9866.0,11645.0,238.0,6786.0,10686.0,200.0,3080.0,959.0,38.0,5.0,1.0,0.0,0.0,1.0,2.0,12598.0,15925.0,271.0,10571.0,14371.0,255.0,2027.0,1554.0,16.0,7.0,5.0,1.0,3.0,3.0,2.0
LOLTMNT01_333289,complete,LJL,2026.0,0.0,2.0,16.02,Blue,mid,alix,Bushido Wildcats,1.0,Taliyah,Malphite,Caitlyn,Jayce,Vi,Syndra,1984.0,1.0,3.0,1.0,13.0,20.0,5.0,0.0,0.0,0.0,0.0,1.0,0.6048,0.756,0.0,0.0,15.0,7.0,7.0,44.0,15609.0,11286.0,341.3105,15205.0,334.0,324.0,10.0,10.1008,4401.0,5502.0,102.0,3376.0,4735.0,95.0,1025.0,767.0,7.0,1.0,3.0,0.0,0.0,0.0,2.0,6486.0,9040.0,157.0,5249.0,7342.0,145.0,1237.0,1698.0,12.0,2.0,4.0,0.0,1.0,0.0,3.0,9237.0,11994.0,214.0,8509.0,11309.0,213.0,728.0,685.0,1.0,2.0,6.0,0.0,2.0,1.0,3.0,11102.0,15189.0,258.0,10660.0,14036.0,271.0,442.0,1153.0,-13.0,2.0,8.0,1.0,2.0,2.0,4.0
LOLTMNT02_349530,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,mid,alix,Bushido Wildcats,1.0,Ryze,Kai'Sa,Akali,Jayce,Lulu,Pyke,1637.0,1.0,10.0,2.0,10.0,25.0,8.0,3.0,0.0,0.0,0.0,1.0,0.9163,1.2095,0.0,0.0,12.0,6.0,4.0,29.0,13944.0,10329.0,378.5828,12450.0,249.0,249.0,0.0,9.1265,4107.0,5176.0,99.0,3411.0,5343.0,95.0,696.0,-167.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,6231.0,8121.0,144.0,6083.0,8347.0,148.0,148.0,-226.0,-4.0,3.0,1.0,1.0,2.0,1.0,0.0,9190.0,11466.0,199.0,8190.0,10541.0,191.0,1000.0,925.0,8.0,5.0,5.0,2.0,3.0,2.0,2.0,12319.0,16430.0,240.0,9990.0,12841.0,240.0,2329.0,3589.0,0.0,8.0,7.0,2.0,3.0,2.0,2.0
LOLTMNT05_175233,complete,TCL,2026.0,0.0,2.0,16.02,Blue,mid,alix,Bushido Wildcats,1.0,LeBlanc,Kai'Sa,Akali,Jayce,Nautilus,Leona,1771.0,1.0,8.0,3.0,7.0,20.0,9.0,1.0,0.0,0.0,0.0,0.0,0.6776,0.9825,0.0,0.0,5.0,7.0,4.0,30.0,14395.0,10507.0,355.9684,12940.0,293.0,291.0,2.0,9.9266,3839.0,5352.0,111.0,3588.0,5386.0,100.0,251.0,-34.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5474.0,7897.0,164.0,5839.0,8344.0,159.0,-365.0,-447.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,8300.0,11044.0,219.0,7664.0,10990.0,217.0,636.0,54.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,11363.0,14890.0,268.0,9489.0,13233.0,257.0,1874.0,1657.0,11.0,5.0,4.0,1.0,1.0,1.0,0.0
LOLTMNT02_354227,complete,LCP,2026.0,1.0,1.0,16.03,Blue,mid,alix,Bushido Wildcats,1.0,Taliyah,Pantheon,Akali,Varus,Alistar,Braum,1672.0,0.0,2.0,3.0,2.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.1435,0.8612,0.0,0.0,9.0,11.0,4.0,33.0,12117.0,8431.0,302.5478,11550.0,306.0,303.0,3.0,10.9809,3811.0,5482.0,111.0,3544.0,5395.0,98.0,267.0,87.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5999.0,8484.0,178.0,5322.0,8330.0,157.0,677.0,154.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,7851.0,11236.0,237.0,7732.0,12026.0,228.0,119.0,-790.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,11395.0,14107.0,294.0,11523.0,17572.0,271.0,-128.0,-3465.0,23.0,2.0,2.0,2.0,2.0,9.0,0.0
LOLTMNT02_354263,complete,LCK,2026.0,0.0,2.0,16.03,Red,mid,alix,Bushido Wildcats,0.0,Azir,Orianna,Varus,Pantheon,Ezreal,Kai'Sa,2189.0,0.0,2.0,6.0,4.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3837,1.0142,0.0,0.0,15.0,13.0,8.0,56.0,14920.0,10179.0,279.0041,14750.0,314.0,302.0,12.0,8.6067,3172.0,4426.0,85.0,3530.0,4918.0,98.0,-358.0,-492.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5314.0,7590.0,135.0,5163.0,6883.0,134.0,151.0,707.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,8162.0,10436.0,185.0,7265.0,9569.0,174.0,897.0,867.0,11.0,2.0,3.0,1.0,2.0,3.0,3.0,10079.0,12845.0,225.0,9065.0,12321.0,224.0,1014.0,524.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0
LOLTMNT02_353790,complete,HW,2026.0,0.0,1.0,16.03,Blue,mid,alix,Bushido Wildcats,1.0,Orianna,Kai'Sa,Akali,Varus,Pyke,Aphelios,2291.0,1.0,11.0,3.0,12.0,28.0,19.0,3.0,1.0,0.0,0.0,0.0,0.7333,1.2309,0.0,0.0,16.0,6.0,6.0,57.0,18625.0,13676.0,358.1667,15950.0,350.0,347.0,3.0,9.1663,3672.0,5296.0,105.0,3332.0,4583.0,80.0,340.0,713.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,5623.0,8108.0,155.0,5757.0,7339.0,131.0,-134.0,769.0,24.0,0.0,3.0,0.0,2.0,2.0,0.0,8108.0,11185.0,218.0,7860.0,10177.0,191.0,248.0,1008.0,27.0,1.0,3.0,1.0,2.0,2.0,0.0,10162.0,13394.0,259.0,9446.0,12475.0,240.0,716.0,919.0,19.0,2.0,5.0,1.0,2.0,2.0,0.0
LOLTMNT02_353799,complete,RL,2026.0,0.0,2.0,16.03,Blue,mid,alix,Bushido Wildcats,1.0,Syndra,Kai'Sa,Akali,Pyke,Viktor,Galio,1826.0,1.0,9.0,6.0,5.0,22.0,14.0,1.0,0.0,0.0,0.0,0.0,0.7229,1.1829,1.0,0.0,13.0,4.0,5.0,28.0,14857.0,10856.0,356.7141,12875.0,266.0,262.0,4.0,8.7404,4186.0,5225.0,109.0,3023.0,4643.0,75.0,1163.0,582.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,6277.0,7223.0,145.0,6572.0,8268.0,124.0,-295.0,-1045.0,21.0,3.0,1.0,3.0,4.0,2.0,0.0,8648.0,9635.0,191.0,8988.0,11528.0,175.0,-340.0,-1893.0,16.0,4.0,1.0,5.0,6.0,2.0,1.0,11645.0,12874.0,230.0,10027.0,12821.0,199.0,1618.0,53.0,31.0,6.0,3.0,5.0,6.0,2.0,2.0
