gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319631,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,bbmuffin,The Bandits,1.0,Orianna,Karma,Malphite,Lucian,Aatrox,Naafiri,2151.0,1.0,5.0,2.0,7.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.7252,0.9763,0.0,0.0,24.0,7.0,10.0,38.0,13837.0,9173.0,255.8717,12750.0,263.0,258.0,5.0,7.3361,3373.0,5122.0,88.0,3793.0,5389.0,94.0,-420.0,-267.0,-6.0,0.0,1.0,0.0,1.0,0.0,1.0,5298.0,8203.0,148.0,5670.0,8428.0,155.0,-372.0,-225.0,-7.0,0.0,1.0,0.0,1.0,0.0,1.0,7832.0,11332.0,196.0,7529.0,11120.0,200.0,303.0,212.0,-4.0,2.0,2.0,2.0,1.0,0.0,2.0,9643.0,13110.0,227.0,9567.0,15819.0,266.0,76.0,-2709.0,-39.0,3.0,3.0,2.0,1.0,1.0,2.0
LOLTMNT01_318843,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,bbmuffin,The Bandits,1.0,Aurelion Sol,Syndra,Yunara,Lulu,Nami,Corki,1396.0,1.0,5.0,2.0,7.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0,0.9026,1.0745,0.0,0.0,11.0,2.0,3.0,22.0,10028.0,6905.0,296.7765,8125.0,183.0,183.0,0.0,7.8653,3841.0,4739.0,87.0,3968.0,4874.0,95.0,-127.0,-135.0,-8.0,2.0,0.0,1.0,1.0,0.0,1.0,5376.0,7192.0,132.0,6203.0,8073.0,161.0,-827.0,-881.0,-29.0,2.0,0.0,1.0,1.0,1.0,1.0,7802.0,9645.0,159.0,8142.0,10133.0,193.0,-340.0,-488.0,-34.0,3.0,4.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,
LOLTMNT01_319673,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,bbmuffin,The Bandits,1.0,Syndra,Zed,Akali,Yunara,Braum,Lulu,1987.0,1.0,3.0,3.0,3.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.4227,0.6341,0.0,0.0,15.0,6.0,2.0,46.0,13630.0,9301.0,280.8556,13150.0,318.0,314.0,4.0,9.6024,3387.0,4653.0,83.0,3793.0,5350.0,86.0,-406.0,-697.0,-3.0,0.0,0.0,2.0,2.0,0.0,0.0,5695.0,7694.0,143.0,5684.0,8219.0,145.0,11.0,-525.0,-2.0,1.0,0.0,2.0,2.0,0.0,0.0,7915.0,10586.0,204.0,7565.0,10962.0,203.0,350.0,-376.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,10222.0,13298.0,256.0,9312.0,13607.0,253.0,910.0,-309.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0
LOLTMNT01_318875,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,bbmuffin,The Bandits,0.0,Aurelion Sol,Ambessa,Syndra,Heimerdinger,Aatrox,Seraphine,2195.0,1.0,5.0,4.0,13.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.82,1.3121,1.0,0.0,19.0,3.0,9.0,35.0,14351.0,9598.0,262.3599,12610.0,280.0,272.0,8.0,7.6538,3094.0,4962.0,76.0,3984.0,5157.0,96.0,-890.0,-195.0,-20.0,0.0,0.0,1.0,1.0,0.0,0.0,4760.0,7515.0,125.0,5992.0,8118.0,151.0,-1232.0,-603.0,-26.0,0.0,0.0,1.0,1.0,0.0,0.0,6812.0,10273.0,166.0,9130.0,12272.0,222.0,-2318.0,-1999.0,-56.0,1.0,1.0,2.0,2.0,0.0,0.0,8490.0,12397.0,198.0,11939.0,14429.0,258.0,-3449.0,-2032.0,-60.0,2.0,2.0,2.0,4.0,0.0,0.0
LOLTMNT01_321153,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,bbmuffin,The Bandits,0.0,Ryze,Bel'Veth,Aphelios,Wukong,Rell,Ashe,1807.0,1.0,3.0,2.0,7.0,15.0,9.0,0.0,0.0,0.0,0.0,1.0,0.4981,0.7969,0.0,0.0,13.0,6.0,1.0,32.0,13337.0,9375.0,311.2894,11225.0,301.0,297.0,4.0,9.9945,4128.0,5124.0,98.0,4042.0,4874.0,95.0,86.0,250.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,6030.0,7965.0,153.0,6186.0,7822.0,140.0,-156.0,143.0,13.0,1.0,3.0,1.0,3.0,0.0,2.0,8733.0,10982.0,209.0,8110.0,10978.0,203.0,623.0,4.0,6.0,3.0,4.0,1.0,3.0,0.0,2.0,10535.0,14893.0,254.0,9674.0,13218.0,244.0,861.0,1675.0,10.0,3.0,4.0,2.0,3.0,1.0,2.0
LOLTMNT04_147249,complete,NLC,2026.0,0.0,1.0,16.01,Red,mid,bbmuffin,The Bandits,0.0,LeBlanc,Neeko,Rumble,Ambessa,Braum,Lulu,1639.0,0.0,2.0,5.0,2.0,12.0,33.0,1.0,0.0,0.0,0.0,0.0,0.4393,1.6107,0.0,0.0,4.0,3.0,0.0,17.0,10155.0,6536.0,239.2678,9750.0,195.0,195.0,0.0,7.1385,3286.0,4870.0,80.0,3809.0,4988.0,85.0,-523.0,-118.0,-5.0,0.0,0.0,1.0,1.0,2.0,0.0,5282.0,7301.0,120.0,7223.0,7783.0,133.0,-1941.0,-482.0,-13.0,0.0,1.0,2.0,2.0,5.0,0.0,6926.0,9375.0,161.0,9442.0,10504.0,174.0,-2516.0,-1129.0,-13.0,0.0,2.0,3.0,2.0,9.0,2.0,9413.0,10975.0,182.0,12620.0,13998.0,213.0,-3207.0,-3023.0,-31.0,2.0,2.0,4.0,5.0,10.0,2.0
LOLTMNT03_336495,complete,LCK,2026.0,0.0,1.0,16.01,Red,mid,bbmuffin,The Bandits,0.0,Syndra,Neeko,Aatrox,Ambessa,Braum,Nautilus,1420.0,1.0,2.0,3.0,3.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,1.2676,1.5211,0.0,0.0,8.0,5.0,3.0,22.0,9961.0,6789.0,286.8592,9175.0,209.0,209.0,0.0,8.831,3347.0,4938.0,91.0,4012.0,5757.0,95.0,-665.0,-819.0,-4.0,0.0,0.0,2.0,1.0,1.0,0.0,5475.0,7137.0,128.0,6810.0,8380.0,139.0,-1335.0,-1243.0,-11.0,1.0,1.0,3.0,2.0,2.0,1.0,7971.0,10258.0,190.0,9207.0,11195.0,191.0,-1236.0,-937.0,-1.0,1.0,2.0,3.0,3.0,2.0,2.0,,,,,,,,,,,,,,,
LOLTMNT04_148363,complete,NLC,2026.0,0.0,1.0,16.01,Red,mid,bbmuffin,The Bandits,0.0,LeBlanc,Heimerdinger,Ambessa,Orianna,Aatrox,Braum,1915.0,0.0,6.0,6.0,4.0,16.0,31.0,1.0,0.0,0.0,0.0,0.0,0.5013,1.4726,0.0,0.0,8.0,7.0,1.0,37.0,12922.0,8740.0,273.8381,12675.0,249.0,249.0,0.0,7.8016,3513.0,5180.0,96.0,3257.0,4855.0,84.0,256.0,325.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4970.0,7322.0,132.0,5665.0,7841.0,129.0,-695.0,-519.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,8422.0,11242.0,183.0,8034.0,11016.0,185.0,388.0,226.0,-2.0,3.0,2.0,2.0,2.0,4.0,4.0,10594.0,14002.0,228.0,10828.0,13576.0,236.0,-234.0,426.0,-8.0,4.0,3.0,2.0,3.0,5.0,4.0
LOLTMNT03_338636,complete,LCKC,2026.0,0.0,2.0,16.01,Red,mid,bbmuffin,The Bandits,0.0,Syndra,Heimerdinger,Ambessa,Orianna,Braum,Alistar,1975.0,1.0,8.0,2.0,7.0,27.0,15.0,1.0,0.0,0.0,0.0,0.0,0.8203,1.2456,0.0,0.0,11.0,4.0,1.0,25.0,14806.0,10501.0,319.0177,13225.0,295.0,291.0,4.0,8.962,3601.0,5362.0,93.0,4023.0,5184.0,104.0,-422.0,178.0,-11.0,0.0,0.0,0.0,1.0,1.0,0.0,5866.0,8558.0,144.0,5749.0,7618.0,154.0,117.0,940.0,-10.0,1.0,1.0,0.0,1.0,1.0,0.0,7654.0,10963.0,201.0,7647.0,10610.0,212.0,7.0,353.0,-11.0,1.0,1.0,1.0,1.0,1.0,0.0,11041.0,14063.0,240.0,9658.0,14630.0,257.0,1383.0,-567.0,-17.0,6.0,2.0,2.0,1.0,4.0,1.0
LOLTMNT03_339547,complete,LCKC,2026.0,0.0,3.0,16.01,Blue,mid,bbmuffin,The Bandits,1.0,Viktor,Heimerdinger,Orianna,Akali,Jayce,Jax,2369.0,0.0,5.0,4.0,4.0,17.0,31.0,2.0,0.0,0.0,0.0,0.0,0.4306,1.2157,0.0,0.0,16.0,6.0,0.0,39.0,15986.0,10878.0,275.5087,15800.0,313.0,313.0,0.0,7.9274,3636.0,5265.0,99.0,3670.0,4921.0,102.0,-34.0,344.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5208.0,8043.0,149.0,5929.0,8205.0,170.0,-721.0,-162.0,-21.0,0.0,0.0,0.0,1.0,0.0,0.0,7212.0,11553.0,215.0,9098.0,11439.0,227.0,-1886.0,114.0,-12.0,0.0,0.0,0.0,5.0,0.0,0.0,9559.0,15108.0,240.0,11299.0,13965.0,265.0,-1740.0,1143.0,-25.0,1.0,1.0,1.0,7.0,2.0,1.0
