gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_335312,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,sup,chico,Clocks,1.0,Nautilus,Akali,Cassiopeia,Neeko,Nami,Poppy,1660.0,1.0,3.0,3.0,7.0,20.0,9.0,1.0,0.0,0.0,0.0,1.0,0.7229,1.0482,0.0,0.0,45.0,17.0,10.0,111.0,7811.0,4149.0,149.9639,6865.0,27.0,27.0,0.0,0.9759,3006.0,1421.0,10.0,2277.0,1676.0,8.0,729.0,-255.0,2.0,3.0,2.0,1.0,0.0,2.0,5.0,4061.0,2360.0,17.0,3174.0,2552.0,14.0,887.0,-192.0,3.0,3.0,2.0,1.0,0.0,2.0,5.0,5235.0,3319.0,22.0,4186.0,4106.0,17.0,1049.0,-787.0,5.0,3.0,2.0,1.0,0.0,2.0,5.0,6675.0,5417.0,27.0,5216.0,4881.0,19.0,1459.0,536.0,8.0,3.0,5.0,2.0,0.0,3.0,7.0
LOLTMNT01_335385,complete,LCS,2026.0,0.0,1.0,16.02,Blue,sup,chico,Clocks,1.0,Karma,LeBlanc,Cassiopeia,Neeko,Leona,Nautilus,1764.0,1.0,1.0,4.0,17.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.8503,1.2245,0.0,0.0,49.0,17.0,12.0,112.0,8789.0,4915.0,167.1769,7885.0,31.0,31.0,0.0,1.0544,3165.0,2443.0,10.0,2637.0,2976.0,15.0,528.0,-533.0,-5.0,1.0,5.0,1.0,0.0,3.0,1.0,4478.0,3473.0,17.0,3749.0,4299.0,23.0,729.0,-826.0,-6.0,1.0,7.0,1.0,0.0,3.0,1.0,5728.0,5086.0,23.0,5081.0,5567.0,27.0,647.0,-481.0,-4.0,1.0,7.0,2.0,0.0,4.0,2.0,7457.0,7343.0,28.0,6342.0,7170.0,33.0,1115.0,173.0,-5.0,1.0,13.0,3.0,0.0,6.0,4.0
LOLTMNT01_336401,complete,LCKC,2026.0,0.0,1.0,16.02,Blue,sup,chico,Clocks,1.0,Lulu,Lux,Irelia,Neeko,Corki,Lucian,2161.0,0.0,1.0,6.0,18.0,27.0,31.0,0.0,0.0,0.0,0.0,0.0,0.7497,1.6104,0.0,0.0,72.0,23.0,20.0,152.0,10005.0,5321.0,147.7372,9000.0,38.0,38.0,0.0,1.0551,2364.0,2011.0,12.0,2583.0,2240.0,6.0,-219.0,-229.0,6.0,0.0,2.0,1.0,0.0,3.0,1.0,3688.0,3747.0,23.0,3703.0,3575.0,14.0,-15.0,172.0,9.0,0.0,4.0,2.0,0.0,3.0,2.0,5178.0,5398.0,27.0,5033.0,5203.0,18.0,145.0,195.0,9.0,0.0,8.0,3.0,0.0,6.0,3.0,6380.0,8072.0,31.0,6503.0,8256.0,23.0,-123.0,-184.0,8.0,0.0,10.0,4.0,0.0,10.0,3.0
LOLTMNT04_151500,complete,LIT,2026.0,0.0,1.0,16.02,Blue,sup,chico,Clocks,1.0,Neeko,LeBlanc,Akali,Varus,Kai'Sa,Nami,1490.0,0.0,2.0,8.0,4.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,0.3624,1.5705,0.0,0.0,48.0,12.0,11.0,99.0,7214.0,3899.0,157.0067,6150.0,25.0,25.0,0.0,1.0067,2272.0,2215.0,5.0,3232.0,3395.0,12.0,-960.0,-1180.0,-7.0,0.0,0.0,1.0,2.0,3.0,0.0,3890.0,4184.0,15.0,4653.0,4477.0,18.0,-763.0,-293.0,-3.0,0.0,3.0,3.0,2.0,5.0,1.0,5015.0,5174.0,24.0,6222.0,6779.0,22.0,-1207.0,-1605.0,2.0,0.0,3.0,5.0,2.0,13.0,1.0,7214.0,7385.0,25.0,8047.0,9370.0,24.0,-833.0,-1985.0,1.0,2.0,4.0,8.0,2.0,22.0,3.0
LOLTMNT04_152637,complete,LFL,2026.0,0.0,1.0,16.02,Blue,sup,chico,Clocks,1.0,Neeko,Caitlyn,Elise,Nidalee,Sion,Galio,2008.0,0.0,2.0,3.0,3.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.239,0.747,0.0,0.0,66.0,24.0,9.0,152.0,8508.0,4136.0,123.5857,8075.0,35.0,35.0,0.0,1.0458,2712.0,2205.0,8.0,2331.0,2185.0,14.0,381.0,20.0,-6.0,1.0,1.0,0.0,0.0,0.0,0.0,4326.0,3791.0,18.0,3543.0,3893.0,23.0,783.0,-102.0,-5.0,2.0,1.0,0.0,0.0,1.0,0.0,5383.0,5011.0,22.0,4652.0,5185.0,24.0,731.0,-174.0,-2.0,2.0,2.0,0.0,0.0,2.0,0.0,6566.0,6498.0,27.0,6018.0,7139.0,29.0,548.0,-641.0,-2.0,2.0,3.0,1.0,0.0,4.0,0.0
LOLTMNT04_152646,complete,LIT,2026.0,1.0,1.0,16.02,Red,sup,chico,Clocks,0.0,Alistar,Jayce,Zilean,Yunara,Lucian,Caitlyn,1492.0,1.0,1.0,2.0,20.0,26.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0456,1.2466,0.0,0.0,45.0,8.0,10.0,91.0,7423.0,4104.0,165.0402,6575.0,21.0,21.0,0.0,0.8445,2621.0,2590.0,12.0,2516.0,2465.0,11.0,105.0,125.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,4228.0,3791.0,16.0,3663.0,3500.0,20.0,565.0,291.0,-4.0,1.0,6.0,2.0,0.0,3.0,2.0,5991.0,6183.0,18.0,4901.0,4569.0,25.0,1090.0,1614.0,-7.0,1.0,15.0,2.0,0.0,3.0,4.0,7423.0,8281.0,21.0,6177.0,7208.0,29.0,1246.0,1073.0,-8.0,1.0,20.0,2.0,0.0,3.0,6.0
LOLTMNT04_152675,complete,TCL,2026.0,0.0,1.0,16.02,Red,sup,chico,Clocks,0.0,Lulu,Jayce,Illaoi,Varus,Seraphine,Nautilus,1959.0,1.0,2.0,1.0,17.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.6432,0.9495,0.0,0.0,58.0,14.0,7.0,125.0,9654.0,5382.0,164.8392,8625.0,25.0,25.0,0.0,0.7657,2419.0,2558.0,10.0,2243.0,2355.0,13.0,176.0,203.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,3527.0,3385.0,15.0,3630.0,3676.0,17.0,-103.0,-291.0,-2.0,0.0,1.0,1.0,0.0,2.0,0.0,4711.0,5486.0,16.0,5032.0,5890.0,21.0,-321.0,-404.0,-5.0,0.0,2.0,1.0,0.0,3.0,0.0,6013.0,8314.0,17.0,6255.0,7605.0,21.0,-242.0,709.0,-4.0,0.0,6.0,1.0,0.0,4.0,1.0
LOLTMNT05_176265,complete,LFL,2026.0,0.0,1.0,16.03,Red,sup,chico,Clocks,0.0,Nautilus,Varus,Caitlyn,Neeko,Gnar,Aphelios,1391.0,1.0,1.0,1.0,17.0,25.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0784,1.2078,0.0,0.0,35.0,8.0,6.0,77.0,7041.0,3928.0,169.4321,5735.0,27.0,27.0,0.0,1.1646,2842.0,2507.0,17.0,2664.0,2408.0,19.0,178.0,99.0,-2.0,1.0,3.0,1.0,0.0,2.0,2.0,4369.0,3803.0,24.0,3752.0,3885.0,32.0,617.0,-82.0,-8.0,1.0,6.0,1.0,0.0,2.0,3.0,5882.0,5439.0,26.0,5074.0,4854.0,34.0,808.0,585.0,-8.0,1.0,9.0,1.0,0.0,2.0,4.0,,,,,,,,,,,,,,,
LOLTMNT05_176344,complete,AL,2026.0,0.0,1.0,16.03,Red,sup,chico,Clocks,0.0,Neeko,Lee Sin,Caitlyn,Swain,Galio,Orianna,1840.0,1.0,2.0,4.0,14.0,26.0,17.0,0.0,0.0,0.0,0.0,0.0,0.8478,1.4022,0.0,0.0,56.0,18.0,15.0,117.0,9506.0,5477.0,178.5978,8225.0,41.0,41.0,0.0,1.337,2451.0,2699.0,12.0,2689.0,2427.0,16.0,-238.0,272.0,-4.0,0.0,1.0,1.0,0.0,3.0,0.0,3498.0,3215.0,17.0,3994.0,4059.0,25.0,-496.0,-844.0,-8.0,0.0,1.0,2.0,0.0,5.0,0.0,4926.0,5191.0,27.0,5430.0,5534.0,30.0,-504.0,-343.0,-3.0,0.0,4.0,3.0,0.0,10.0,1.0,6748.0,7847.0,31.0,6671.0,7765.0,31.0,77.0,82.0,0.0,1.0,8.0,4.0,0.0,14.0,2.0
LOLTMNT02_352158,complete,HW,2026.0,0.0,1.0,16.03,Red,sup,chico,Clocks,0.0,Lulu,Azir,Ryze,Orianna,Nocturne,Xin Zhao,2338.0,0.0,1.0,4.0,15.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.4876,1.0009,0.0,0.0,77.0,24.0,13.0,169.0,9649.0,4604.0,118.1523,8385.0,38.0,38.0,0.0,0.9752,2846.0,2953.0,15.0,2431.0,2351.0,15.0,415.0,602.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,4292.0,4002.0,19.0,3653.0,3345.0,18.0,639.0,657.0,1.0,1.0,6.0,1.0,0.0,3.0,3.0,5565.0,5718.0,21.0,5122.0,4286.0,24.0,443.0,1432.0,-3.0,1.0,10.0,1.0,0.0,4.0,4.0,6686.0,7413.0,25.0,6268.0,6161.0,26.0,418.0,1252.0,-1.0,1.0,12.0,2.0,0.0,7.0,4.0
LOLTMNT05_175362,complete,EBL,2026.0,0.0,1.0,16.03,Red,sup,chico,Clocks,0.0,Lulu,Gwen,Varus,Neeko,Azir,Taliyah,2195.0,1.0,3.0,5.0,22.0,37.0,26.0,1.0,0.0,0.0,0.0,1.0,1.0114,1.7221,0.0,0.0,59.0,17.0,13.0,133.0,10350.0,5597.0,152.9932,9425.0,32.0,32.0,0.0,0.8747,2610.0,2220.0,11.0,2895.0,3149.0,18.0,-285.0,-929.0,-7.0,0.0,4.0,1.0,1.0,2.0,2.0,3659.0,4103.0,19.0,4031.0,5069.0,31.0,-372.0,-966.0,-12.0,0.0,4.0,1.0,1.0,2.0,2.0,4871.0,5606.0,24.0,5458.0,6454.0,34.0,-587.0,-848.0,-10.0,0.0,6.0,2.0,2.0,2.0,3.0,7064.0,7370.0,26.0,6795.0,7278.0,40.0,269.0,92.0,-14.0,3.0,7.0,3.0,2.0,4.0,4.0
LOLTMNT05_175475,complete,PRM,2026.0,0.0,1.0,16.03,Red,sup,chico,Clocks,0.0,Nautilus,Aatrox,Neeko,Ryze,Gragas,Nocturne,1739.0,1.0,0.0,2.0,15.0,25.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8626,1.1386,0.0,0.0,51.0,11.0,10.0,102.0,8155.0,4332.0,149.4652,7225.0,37.0,37.0,0.0,1.2766,2546.0,3138.0,18.0,2337.0,2654.0,11.0,209.0,484.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,3636.0,4668.0,26.0,3496.0,4041.0,18.0,140.0,627.0,8.0,0.0,3.0,0.0,0.0,1.0,1.0,5062.0,6222.0,30.0,4646.0,5674.0,22.0,416.0,548.0,8.0,0.0,6.0,1.0,0.0,2.0,2.0,6816.0,8175.0,35.0,5658.0,7572.0,24.0,1158.0,603.0,11.0,0.0,11.0,1.0,0.0,2.0,3.0
LOLTMNT05_175487,complete,EBL,2026.0,0.0,1.0,16.03,Blue,sup,chico,Clocks,1.0,Alistar,Orianna,Azir,Ryze,Sion,K'Sante,1909.0,0.0,0.0,5.0,2.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.1257,0.8486,0.0,0.0,44.0,10.0,6.0,95.0,7146.0,2976.0,93.5359,6735.0,36.0,36.0,0.0,1.1315,2176.0,2782.0,17.0,2297.0,3146.0,9.0,-121.0,-364.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3423.0,3360.0,26.0,3593.0,4283.0,13.0,-170.0,-923.0,13.0,0.0,0.0,1.0,0.0,4.0,0.0,4543.0,5309.0,29.0,4797.0,5946.0,13.0,-254.0,-637.0,16.0,0.0,0.0,2.0,0.0,6.0,0.0,5629.0,6792.0,31.0,6597.0,8886.0,18.0,-968.0,-2094.0,13.0,0.0,2.0,3.0,1.0,11.0,0.0
LOLTMNT05_176490,complete,EBL,2026.0,0.0,1.0,16.03,Blue,sup,chico,Clocks,1.0,Neeko,Qiyana,Jayce,Varus,K'Sante,Rumble,1616.0,1.0,3.0,2.0,10.0,19.0,8.0,0.0,0.0,0.0,0.0,1.0,0.7054,1.0025,0.0,0.0,40.0,14.0,10.0,102.0,8838.0,5266.0,195.5198,8065.0,33.0,33.0,0.0,1.2252,3063.0,2746.0,13.0,2491.0,2476.0,21.0,572.0,270.0,-8.0,2.0,2.0,0.0,0.0,1.0,2.0,4470.0,4558.0,18.0,3763.0,3797.0,28.0,707.0,761.0,-10.0,2.0,5.0,1.0,0.0,2.0,3.0,5670.0,5532.0,22.0,4974.0,5575.0,38.0,696.0,-43.0,-16.0,2.0,5.0,1.0,0.0,3.0,3.0,8181.0,7648.0,31.0,6133.0,8010.0,44.0,2048.0,-362.0,-13.0,3.0,6.0,2.0,0.0,5.0,4.0
LOLTMNT03_350043,complete,HW,2026.0,0.0,1.0,16.04,Red,sup,chico,Clocks,0.0,Nautilus,Neeko,Yunara,Aphelios,Braum,Poppy,1488.0,0.0,0.0,10.0,4.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.3629,1.5323,0.0,0.0,45.0,10.0,8.0,95.0,5705.0,2394.0,96.5323,5300.0,21.0,21.0,0.0,0.8468,2152.0,2096.0,8.0,2990.0,2497.0,17.0,-838.0,-401.0,-9.0,0.0,0.0,1.0,1.0,3.0,1.0,3371.0,3611.0,15.0,4707.0,3559.0,20.0,-1336.0,52.0,-5.0,0.0,2.0,5.0,2.0,6.0,2.0,4498.0,5433.0,18.0,6105.0,5350.0,23.0,-1607.0,83.0,-5.0,0.0,2.0,7.0,2.0,11.0,2.0,5705.0,6965.0,21.0,7972.0,8207.0,23.0,-2267.0,-1242.0,-2.0,0.0,4.0,10.0,2.0,18.0,4.0
