gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Blue,bot,deokdam,DN SOOPers,0.0,Corki,Jayce,Azir,Orianna,Ambessa,Nautilus,1888.0,1.0,1.0,2.0,11.0,19.0,8.0,0.0,0.0,0.0,0.0,1.0,0.6038,0.8581,0.0,0.0,17.0,14.0,6.0,50.0,14155.0,10028.0,318.6864,12233.0,280.0,272.0,8.0,8.8983,3582.0,3269.0,97.0,3349.0,3405.0,82.0,233.0,-136.0,15.0,0.0,1.0,0.0,0.0,1.0,1.0,5919.0,6251.0,150.0,6229.0,5965.0,135.0,-310.0,286.0,15.0,0.0,1.0,0.0,0.0,1.0,1.0,8406.0,8882.0,194.0,8878.0,8853.0,200.0,-472.0,29.0,-6.0,0.0,5.0,2.0,0.0,3.0,2.0,10761.0,11772.0,256.0,11234.0,11369.0,265.0,-473.0,403.0,-9.0,0.0,6.0,2.0,0.0,4.0,2.0
LOLTMNT03_337069,complete,LCK,2026.0,0.0,2.0,16.01,Blue,bot,deokdam,DN SOOPers,0.0,Ashe,Jayce,Azir,Orianna,Jarvan IV,Nocturne,1650.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091,0.0,0.0,13.0,3.0,5.0,33.0,10223.0,6581.0,239.3091,9850.0,264.0,264.0,0.0,9.6,3552.0,3626.0,97.0,3192.0,3282.0,79.0,360.0,344.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5564.0,5515.0,139.0,5528.0,5421.0,136.0,36.0,94.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7391.0,7857.0,189.0,8810.0,8556.0,200.0,-1419.0,-699.0,-11.0,0.0,0.0,2.0,1.0,0.0,0.0,9414.0,9552.0,242.0,11990.0,11753.0,260.0,-2576.0,-2201.0,-18.0,0.0,0.0,3.0,2.0,3.0,0.0
LOLTMNT03_337109,complete,LCK,2026.0,0.0,3.0,16.01,Red,bot,deokdam,DN SOOPers,1.0,Ziggs,Poppy,Jayce,Azir,Akali,Mel,2197.0,0.0,2.0,3.0,7.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.3823,0.8466,0.0,0.0,18.0,10.0,7.0,46.0,15329.0,10572.0,288.721,15025.0,318.0,318.0,0.0,8.6846,3198.0,3409.0,77.0,3737.0,3416.0,97.0,-539.0,-7.0,-20.0,0.0,0.0,0.0,0.0,1.0,0.0,6305.0,6122.0,131.0,6047.0,5635.0,146.0,258.0,487.0,-15.0,2.0,1.0,0.0,1.0,1.0,0.0,8449.0,8951.0,181.0,8643.0,8208.0,211.0,-194.0,743.0,-30.0,2.0,3.0,0.0,1.0,2.0,1.0,10548.0,11525.0,234.0,10468.0,10412.0,263.0,80.0,1113.0,-29.0,2.0,5.0,0.0,1.0,3.0,2.0
LOLTMNT06_164179,complete,AL,2026.0,0.0,1.0,16.01,Red,bot,deokdam,DN SOOPers,1.0,Corki,Qiyana,Jayce,Cassiopeia,Jarvan IV,Nautilus,1505.0,0.0,1.0,3.0,1.0,3.0,17.0,0.0,0.0,0.0,0.0,1.0,0.1196,0.7973,0.0,0.0,13.0,4.0,3.0,25.0,10195.0,6849.0,273.0498,10033.0,238.0,238.0,0.0,9.4884,3956.0,3194.0,91.0,3452.0,3523.0,91.0,504.0,-329.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,6113.0,4835.0,138.0,6611.0,5756.0,151.0,-498.0,-921.0,-13.0,1.0,1.0,0.0,2.0,1.0,1.0,7972.0,7126.0,189.0,9696.0,8992.0,220.0,-1724.0,-1866.0,-31.0,1.0,1.0,1.0,2.0,4.0,1.0,10184.0,9196.0,238.0,13381.0,12241.0,274.0,-3197.0,-3045.0,-36.0,1.0,1.0,3.0,5.0,9.0,1.0
LOLTMNT05_172150,complete,LIT,2026.0,0.0,2.0,16.01,Red,bot,deokdam,DN SOOPers,1.0,Ashe,Qiyana,Jayce,LeBlanc,Bard,Neeko,1536.0,0.0,1.0,3.0,5.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2344,0.8203,0.0,0.0,12.0,10.0,4.0,40.0,10247.0,6838.0,267.1094,9800.0,239.0,239.0,0.0,9.3359,3825.0,3394.0,85.0,3301.0,3649.0,85.0,524.0,-255.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6256.0,5766.0,137.0,5388.0,5572.0,133.0,868.0,194.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,8370.0,8231.0,195.0,8201.0,8580.0,199.0,169.0,-349.0,-4.0,1.0,3.0,0.0,1.0,1.0,2.0,10175.0,10375.0,239.0,12575.0,12580.0,256.0,-2400.0,-2205.0,-17.0,1.0,5.0,2.0,4.0,5.0,2.0
LOLTMNT03_339605,complete,LCK,2026.0,0.0,1.0,16.01,Blue,bot,deokdam,DN SOOPers,0.0,Yunara,Jayce,Ambessa,Bard,Poppy,Rakan,1880.0,0.0,1.0,4.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.6383,0.0,0.0,11.0,3.0,2.0,30.0,12905.0,8794.0,280.6596,12600.0,317.0,313.0,4.0,10.117,3359.0,3252.0,88.0,4038.0,3702.0,90.0,-679.0,-450.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,5450.0,5364.0,135.0,6166.0,5864.0,139.0,-716.0,-500.0,-4.0,0.0,0.0,1.0,1.0,1.0,0.0,7755.0,8342.0,201.0,9057.0,9177.0,208.0,-1302.0,-835.0,-7.0,0.0,0.0,1.0,1.0,1.0,0.0,10212.0,11736.0,279.0,11826.0,12340.0,277.0,-1614.0,-604.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0
LOLTMNT03_339627,complete,LCK,2026.0,0.0,2.0,16.01,Red,bot,deokdam,DN SOOPers,0.0,Aphelios,Jayce,Ambessa,Rumble,Bard,Nautilus,1943.0,1.0,6.0,1.0,5.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6794,0.9573,0.0,0.0,17.0,7.0,5.0,48.0,16988.0,12749.0,393.6902,15725.0,301.0,285.0,16.0,9.2949,3544.0,3792.0,92.0,3398.0,4022.0,86.0,146.0,-230.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6757.0,6800.0,143.0,5995.0,6552.0,136.0,762.0,248.0,7.0,2.0,2.0,0.0,0.0,0.0,1.0,8706.0,9098.0,194.0,8701.0,9428.0,188.0,5.0,-330.0,6.0,2.0,3.0,1.0,1.0,2.0,1.0,11042.0,11010.0,234.0,10692.0,11746.0,237.0,350.0,-736.0,-3.0,3.0,3.0,1.0,1.0,4.0,2.0
LOLTMNT06_166007,complete,AL,2026.0,0.0,3.0,16.01,Blue,bot,deokdam,DN SOOPers,1.0,Kalista,Malphite,Bard,Ambessa,Miss Fortune,Ashe,2003.0,1.0,6.0,4.0,7.0,21.0,16.0,2.0,2.0,0.0,0.0,0.0,0.6291,1.1083,0.0,1.0,15.0,7.0,3.0,44.0,16876.0,12514.0,374.8577,14225.0,309.0,288.0,21.0,9.2561,3001.0,2929.0,75.0,4149.0,3696.0,93.0,-1148.0,-767.0,-18.0,0.0,0.0,2.0,2.0,2.0,0.0,4984.0,5014.0,126.0,6510.0,6108.0,148.0,-1526.0,-1094.0,-22.0,0.0,0.0,2.0,2.0,2.0,0.0,6945.0,7339.0,185.0,9260.0,8812.0,218.0,-2315.0,-1473.0,-33.0,0.0,0.0,3.0,2.0,2.0,0.0,11184.0,10127.0,228.0,11124.0,10517.0,270.0,60.0,-390.0,-42.0,3.0,2.0,3.0,2.0,2.0,1.0
LOLTMNT04_149305,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,deokdam,DN SOOPers,0.0,Sivir,Jayce,Ambessa,Rumble,Poppy,Gnar,2243.0,0.0,6.0,7.0,5.0,15.0,27.0,0.0,0.0,0.0,0.0,0.0,0.4012,1.1235,0.0,1.0,17.0,10.0,6.0,60.0,18504.0,13653.0,365.2162,17000.0,367.0,363.0,4.0,9.8172,3861.0,3575.0,90.0,3997.0,3445.0,95.0,-136.0,130.0,-5.0,1.0,1.0,0.0,1.0,0.0,1.0,6468.0,6654.0,147.0,7441.0,6396.0,150.0,-973.0,258.0,-3.0,2.0,2.0,1.0,3.0,1.0,1.0,8734.0,9015.0,197.0,10715.0,9889.0,214.0,-1981.0,-874.0,-17.0,3.0,2.0,2.0,4.0,4.0,1.0,10592.0,10743.0,227.0,13336.0,13253.0,247.0,-2744.0,-2510.0,-20.0,4.0,4.0,4.0,5.0,7.0,2.0
LOLTMNT04_150332,complete,LEC,2026.0,0.0,2.0,16.01,Blue,bot,deokdam,DN SOOPers,0.0,Ezreal,Jayce,Ambessa,Rumble,Nautilus,Gnar,2371.0,1.0,8.0,2.0,5.0,17.0,9.0,1.0,0.0,0.0,0.0,0.0,0.4302,0.658,0.0,0.0,25.0,10.0,11.0,55.0,20945.0,15833.0,400.6664,18408.0,369.0,356.0,13.0,9.3378,3554.0,3935.0,97.0,3543.0,3644.0,94.0,11.0,291.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6007.0,6130.0,153.0,5876.0,6052.0,150.0,131.0,78.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8486.0,9077.0,216.0,8242.0,8906.0,214.0,244.0,171.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10525.0,10741.0,252.0,11691.0,11662.0,267.0,-1166.0,-921.0,-15.0,1.0,2.0,2.0,3.0,1.0,0.0
