gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Blue,jng,hammerul,ALMO Players,1.0,Malphite,Neeko,Akali,Sylas,Xayah,Sivir,1506.0,0.0,2.0,3.0,6.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3187,1.1155,0.0,1.0,4.0,5.0,2.0,19.0,8325.0,4977.0,198.2869,7950.0,156.0,18.0,138.0,6.2151,4226.0,4201.0,78.0,4132.0,5063.0,90.0,94.0,-862.0,-12.0,2.0,1.0,0.0,1.0,1.0,0.0,5853.0,6532.0,115.0,6237.0,8085.0,138.0,-384.0,-1553.0,-23.0,2.0,3.0,0.0,2.0,1.0,0.0,7206.0,8393.0,141.0,8939.0,10988.0,177.0,-1733.0,-2595.0,-36.0,2.0,5.0,1.0,2.0,6.0,0.0,8312.0,9937.0,156.0,11559.0,15242.0,215.0,-3247.0,-5305.0,-59.0,2.0,6.0,3.0,3.0,10.0,0.0
LOLTMNT03_337434,complete,HLL,2026.0,0.0,2.0,16.01,Red,jng,hammerul,ALMO Players,0.0,Sejuani,Neeko,Ambessa,Jayce,Karma,Rakan,1895.0,1.0,5.0,0.0,16.0,27.0,13.0,1.0,0.0,0.0,0.0,1.0,0.8549,1.2665,2.0,0.0,5.0,0.0,3.0,25.0,13537.0,9396.0,297.4987,11825.0,209.0,26.0,183.0,6.6174,4153.0,3634.0,62.0,3483.0,4294.0,85.0,670.0,-660.0,-23.0,3.0,2.0,0.0,0.0,0.0,1.0,6123.0,6871.0,107.0,5388.0,7242.0,129.0,735.0,-371.0,-22.0,3.0,5.0,0.0,0.0,1.0,2.0,7554.0,8961.0,133.0,7127.0,9487.0,165.0,427.0,-526.0,-32.0,3.0,7.0,0.0,0.0,2.0,3.0,9915.0,12936.0,168.0,8891.0,12332.0,206.0,1024.0,604.0,-38.0,4.0,11.0,0.0,0.0,3.0,4.0
LOLTMNT02_343036,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,hammerul,ALMO Players,1.0,Sejuani,Jayce,Akali,Renekton,Neeko,Taliyah,2016.0,0.0,4.0,2.0,11.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5952,1.2798,1.0,0.0,9.0,13.0,7.0,64.0,11873.0,7485.0,222.7679,11725.0,199.0,16.0,183.0,5.9226,4095.0,4069.0,71.0,3422.0,3704.0,65.0,673.0,365.0,6.0,2.0,5.0,0.0,0.0,2.0,2.0,5614.0,5793.0,103.0,5885.0,7167.0,118.0,-271.0,-1374.0,-15.0,2.0,5.0,0.0,1.0,3.0,2.0,7411.0,7913.0,130.0,7766.0,9692.0,154.0,-355.0,-1779.0,-24.0,3.0,6.0,0.0,1.0,6.0,2.0,9064.0,10135.0,158.0,10002.0,12603.0,196.0,-938.0,-2468.0,-38.0,4.0,6.0,0.0,2.0,6.0,2.0
LOLTMNT05_173046,complete,LIT,2026.0,0.0,2.0,16.01,Red,jng,hammerul,ALMO Players,0.0,Jarvan IV,Jayce,Akali,Darius,Xayah,Neeko,1912.0,0.0,2.0,5.0,7.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3452,1.1611,1.0,1.0,6.0,17.0,4.0,58.0,11238.0,7062.0,221.6109,11050.0,206.0,17.0,189.0,6.4644,3552.0,4205.0,80.0,3890.0,3618.0,70.0,-338.0,587.0,10.0,0.0,1.0,0.0,3.0,0.0,1.0,5231.0,6312.0,120.0,5786.0,6541.0,121.0,-555.0,-229.0,-1.0,0.0,1.0,0.0,3.0,1.0,1.0,7231.0,9582.0,166.0,7779.0,9282.0,163.0,-548.0,300.0,3.0,0.0,4.0,1.0,3.0,3.0,1.0,9607.0,11768.0,181.0,10074.0,12044.0,196.0,-467.0,-276.0,-15.0,2.0,6.0,3.0,4.0,6.0,2.0
LOLTMNT01_326135,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,hammerul,ALMO Players,0.0,Ivern,Orianna,Gwen,Jarvan IV,Lulu,Sylas,1918.0,0.0,2.0,2.0,7.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3128,1.0323,0.0,1.0,7.0,8.0,4.0,38.0,11111.0,6923.0,216.5693,10650.0,168.0,14.0,154.0,5.2555,3615.0,3690.0,63.0,3977.0,4097.0,74.0,-362.0,-407.0,-11.0,1.0,1.0,1.0,2.0,0.0,1.0,5405.0,5686.0,94.0,6202.0,6459.0,116.0,-797.0,-773.0,-22.0,1.0,3.0,1.0,3.0,2.0,2.0,7272.0,8336.0,132.0,8974.0,9899.0,168.0,-1702.0,-1563.0,-36.0,1.0,3.0,1.0,4.0,3.0,2.0,9364.0,10609.0,147.0,11049.0,13280.0,213.0,-1685.0,-2671.0,-66.0,2.0,7.0,2.0,4.0,6.0,3.0
LOLTMNT01_327086,complete,LCKC,2026.0,0.0,2.0,16.01,Blue,jng,hammerul,ALMO Players,1.0,Diana,Gwen,Wukong,Jarvan IV,Lulu,K'Sante,1532.0,0.0,4.0,7.0,7.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.6658,1.7624,0.0,0.0,2.0,5.0,3.0,34.0,10770.0,7369.0,288.6031,10800.0,177.0,24.0,153.0,6.9321,4076.0,4127.0,74.0,3784.0,4135.0,75.0,292.0,-8.0,-1.0,1.0,3.0,2.0,1.0,1.0,0.0,6388.0,7022.0,124.0,5471.0,6598.0,115.0,917.0,424.0,9.0,2.0,3.0,2.0,1.0,2.0,1.0,8139.0,9135.0,158.0,7574.0,10150.0,153.0,565.0,-1015.0,5.0,2.0,4.0,5.0,1.0,6.0,1.0,10704.0,11313.0,177.0,9523.0,13073.0,175.0,1181.0,-1760.0,2.0,4.0,7.0,7.0,1.0,11.0,3.0
LOLTMNT01_331609,complete,LCP,2026.0,0.0,1.0,16.02,Red,jng,hammerul,ALMO Players,0.0,Xin Zhao,Naafiri,Varus,Orianna,Lulu,Trundle,1384.0,0.0,1.0,7.0,5.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.5202,1.9075,0.0,0.0,2.0,4.0,0.0,14.0,7313.0,4214.0,182.6879,7000.0,112.0,10.0,102.0,4.8555,3363.0,3437.0,59.0,3404.0,3443.0,61.0,-41.0,-6.0,-2.0,0.0,2.0,2.0,0.0,2.0,0.0,4929.0,5614.0,95.0,5165.0,5719.0,98.0,-236.0,-105.0,-3.0,0.0,3.0,2.0,0.0,4.0,0.0,6078.0,7025.0,109.0,7949.0,8795.0,131.0,-1871.0,-1770.0,-22.0,0.0,4.0,5.0,2.0,8.0,1.0,,,,,,,,,,,,,,,
LOLTMNT01_331638,complete,LCP,2026.0,0.0,2.0,16.02,Blue,jng,hammerul,ALMO Players,1.0,Sejuani,Naafiri,Akali,Varus,Lulu,Bard,1760.0,0.0,3.0,3.0,8.0,25.0,36.0,0.0,0.0,0.0,0.0,0.0,0.8523,2.0795,1.0,0.0,6.0,8.0,3.0,33.0,10126.0,6260.0,213.4091,9575.0,179.0,37.0,142.0,6.1023,3827.0,3451.0,62.0,3754.0,3950.0,64.0,73.0,-499.0,-2.0,3.0,0.0,1.0,0.0,6.0,1.0,5476.0,5750.0,99.0,6273.0,6944.0,102.0,-797.0,-1194.0,-3.0,3.0,1.0,2.0,1.0,11.0,2.0,7035.0,8284.0,126.0,9287.0,9815.0,135.0,-2252.0,-1531.0,-9.0,3.0,4.0,2.0,4.0,14.0,3.0,8779.0,10838.0,150.0,11165.0,11268.0,153.0,-2386.0,-430.0,-3.0,3.0,8.0,2.0,4.0,15.0,4.0
LOLTMNT02_354619,complete,LCK,2026.0,0.0,1.0,16.03,Red,jng,hammerul,ALMO Players,0.0,Jarvan IV,K'Sante,Dr. Mundo,Thresh,Xin Zhao,Karma,1734.0,0.0,2.0,5.0,13.0,16.0,24.0,0.0,0.0,0.0,0.0,1.0,0.5536,1.3495,0.0,1.0,4.0,5.0,3.0,28.0,10138.0,6325.0,218.8581,10125.0,171.0,10.0,161.0,5.917,3226.0,3598.0,64.0,3498.0,4142.0,81.0,-272.0,-544.0,-17.0,0.0,1.0,1.0,0.0,1.0,1.0,5395.0,6325.0,102.0,4987.0,5829.0,110.0,408.0,496.0,-8.0,1.0,4.0,1.0,0.0,2.0,2.0,7258.0,9187.0,139.0,6998.0,8850.0,147.0,260.0,337.0,-8.0,1.0,8.0,2.0,0.0,4.0,3.0,9255.0,11196.0,161.0,8703.0,10979.0,163.0,552.0,217.0,-2.0,2.0,13.0,3.0,1.0,8.0,4.0
LOLTMNT02_353660,complete,HW,2026.0,0.0,2.0,16.03,Blue,jng,hammerul,ALMO Players,1.0,Wukong,Dr. Mundo,Thresh,Gwen,Darius,Azir,1801.0,1.0,4.0,2.0,8.0,21.0,10.0,1.0,0.0,0.0,0.0,0.0,0.6996,0.9994,1.0,0.0,6.0,7.0,2.0,33.0,11486.0,7536.0,251.0605,9433.0,197.0,15.0,182.0,6.563,3346.0,3537.0,63.0,3886.0,4347.0,82.0,-540.0,-810.0,-19.0,0.0,2.0,0.0,1.0,0.0,0.0,5419.0,6129.0,105.0,6563.0,7124.0,115.0,-1144.0,-995.0,-10.0,1.0,3.0,1.0,2.0,5.0,0.0,8029.0,9347.0,145.0,7916.0,8931.0,136.0,113.0,416.0,9.0,4.0,4.0,1.0,2.0,5.0,2.0,9702.0,11494.0,171.0,9440.0,11120.0,170.0,262.0,374.0,1.0,4.0,6.0,2.0,2.0,6.0,2.0
