gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163113,complete,AL,2026.0,0.0,1.0,16.01,Blue,top,handm,BAAM Esports,1.0,Ornn,Rumble,Jarvan IV,Malphite,Wukong,Vi,1945.0,0.0,3.0,3.0,6.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4627,1.3882,0.0,0.0,13.0,6.0,1.0,36.0,11429.0,7186.0,221.6761,10925.0,262.0,262.0,0.0,8.0823,3689.0,5001.0,77.0,4657.0,4875.0,78.0,-968.0,126.0,-1.0,2.0,1.0,2.0,4.0,0.0,2.0,6052.0,9198.0,137.0,7849.0,9419.0,125.0,-1797.0,-221.0,12.0,3.0,1.0,2.0,7.0,0.0,2.0,7905.0,12456.0,182.0,10430.0,12015.0,169.0,-2525.0,441.0,13.0,3.0,3.0,2.0,8.0,3.0,3.0,9189.0,14678.0,215.0,12053.0,14459.0,209.0,-2864.0,219.0,6.0,3.0,3.0,2.0,8.0,3.0,3.0
LOLTMNT06_163114,complete,AL,2026.0,0.0,2.0,16.01,Red,top,handm,BAAM Esports,0.0,K'Sante,Rumble,Jarvan IV,Jayce,Ezreal,Caitlyn,1829.0,1.0,3.0,2.0,10.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.9185,1.4762,0.0,0.0,9.0,4.0,1.0,29.0,12618.0,8611.0,282.4822,11525.0,234.0,234.0,0.0,7.6763,3359.0,5013.0,84.0,3238.0,4811.0,83.0,121.0,202.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5411.0,9221.0,130.0,4568.0,7700.0,121.0,843.0,1521.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,7956.0,13014.0,193.0,7002.0,11549.0,171.0,954.0,1465.0,22.0,1.0,0.0,1.0,1.0,2.0,1.0,9855.0,15807.0,219.0,8770.0,14399.0,200.0,1085.0,1408.0,19.0,2.0,4.0,1.0,1.0,6.0,3.0
LOLTMNT06_163120,complete,AL,2026.0,0.0,3.0,16.01,Red,top,handm,BAAM Esports,0.0,Kled,Rumble,Jarvan IV,Jayce,Galio,Taliyah,1479.0,1.0,1.0,2.0,6.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.8519,1.4199,0.0,0.0,6.0,2.0,0.0,20.0,10694.0,7401.0,300.2434,9300.0,203.0,199.0,4.0,8.2353,3030.0,4749.0,73.0,3960.0,5491.0,91.0,-930.0,-742.0,-18.0,0.0,0.0,2.0,0.0,2.0,0.0,5415.0,8475.0,126.0,5764.0,9503.0,153.0,-349.0,-1028.0,-27.0,0.0,2.0,2.0,0.0,2.0,0.0,8143.0,11610.0,171.0,8125.0,13061.0,211.0,18.0,-1451.0,-40.0,1.0,3.0,2.0,0.0,2.0,0.0,10694.0,14535.0,203.0,9283.0,14404.0,228.0,1411.0,131.0,-25.0,1.0,6.0,2.0,1.0,2.0,2.0
LOLTMNT03_336695,complete,LCK,2026.0,0.0,1.0,16.01,Red,top,handm,BAAM Esports,0.0,Aatrox,Hecarim,Jarvan IV,Malphite,Zoe,Sion,2137.0,0.0,0.0,3.0,3.0,10.0,25.0,0.0,0.0,0.0,0.0,0.0,0.2808,0.9827,0.0,0.0,11.0,6.0,3.0,45.0,11657.0,7022.0,197.1549,11375.0,301.0,301.0,0.0,8.4511,3695.0,5301.0,93.0,3555.0,5032.0,75.0,140.0,269.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,5526.0,9016.0,148.0,5091.0,8638.0,121.0,435.0,378.0,27.0,0.0,2.0,0.0,1.0,0.0,1.0,7167.0,12088.0,195.0,7132.0,12168.0,173.0,35.0,-80.0,22.0,0.0,2.0,1.0,1.0,2.0,1.0,8784.0,14902.0,244.0,8993.0,14716.0,209.0,-209.0,186.0,35.0,0.0,2.0,1.0,1.0,5.0,1.0
LOLTMNT03_337782,complete,LCK,2026.0,0.0,2.0,16.01,Red,top,handm,BAAM Esports,0.0,K'Sante,Sion,Jarvan IV,Malphite,Alistar,Leona,2801.0,1.0,5.0,5.0,16.0,39.0,32.0,0.0,0.0,0.0,0.0,0.0,0.8354,1.5209,0.0,0.0,8.0,8.0,4.0,51.0,17346.0,11356.0,243.256,17300.0,286.0,282.0,4.0,6.1264,3503.0,5322.0,80.0,3488.0,5286.0,88.0,15.0,36.0,-8.0,1.0,0.0,0.0,0.0,0.0,1.0,5383.0,9006.0,124.0,5480.0,8998.0,129.0,-97.0,8.0,-5.0,1.0,1.0,1.0,1.0,0.0,3.0,7530.0,11767.0,160.0,7188.0,12428.0,173.0,342.0,-661.0,-13.0,2.0,2.0,1.0,1.0,2.0,4.0,9873.0,15677.0,197.0,9013.0,15622.0,216.0,860.0,55.0,-19.0,3.0,5.0,1.0,1.0,3.0,5.0
LOLTMNT06_163223,complete,LEC,2026.0,0.0,3.0,16.01,Blue,top,handm,BAAM Esports,1.0,Sion,Hecarim,Jarvan IV,Malphite,Hwei,LeBlanc,2059.0,0.0,0.0,4.0,8.0,17.0,33.0,0.0,0.0,0.0,0.0,0.0,0.4954,1.457,1.0,0.0,8.0,2.0,2.0,27.0,10826.0,6350.0,185.0413,10600.0,222.0,218.0,4.0,6.4692,3504.0,5257.0,83.0,2996.0,4671.0,74.0,508.0,586.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,5234.0,8505.0,124.0,4482.0,8373.0,110.0,752.0,132.0,14.0,0.0,2.0,1.0,0.0,1.0,2.0,6904.0,10911.0,161.0,6455.0,11977.0,158.0,449.0,-1066.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,8314.0,12637.0,183.0,8060.0,14735.0,205.0,254.0,-2098.0,-22.0,0.0,3.0,2.0,1.0,1.0,3.0
LOLTMNT04_147352,complete,NLC,2026.0,0.0,1.0,16.01,Blue,top,handm,BAAM Esports,1.0,Ambessa,Malphite,Akali,Rumble,Alistar,Renekton,2070.0,1.0,3.0,5.0,4.0,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.7536,1.3623,0.0,0.0,7.0,8.0,3.0,36.0,11659.0,7161.0,207.5652,10925.0,222.0,218.0,4.0,6.4348,3285.0,5335.0,82.0,3343.0,4852.0,88.0,-58.0,483.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4707.0,7737.0,117.0,5400.0,8779.0,136.0,-693.0,-1042.0,-19.0,0.0,0.0,1.0,1.0,0.0,1.0,6136.0,9734.0,151.0,7074.0,11698.0,180.0,-938.0,-1964.0,-29.0,0.0,0.0,2.0,1.0,0.0,1.0,7466.0,12371.0,165.0,8527.0,13131.0,200.0,-1061.0,-760.0,-35.0,0.0,2.0,4.0,1.0,0.0,3.0
LOLTMNT05_171238,complete,CCWS,2026.0,0.0,2.0,16.01,Blue,top,handm,BAAM Esports,1.0,Zaahen,Malphite,Akali,Rumble,Caitlyn,Varus,1342.0,1.0,2.0,2.0,9.0,28.0,13.0,0.0,0.0,0.0,0.0,1.0,1.2519,1.8331,0.0,0.0,7.0,1.0,0.0,18.0,8888.0,5875.0,262.6677,8283.0,168.0,168.0,0.0,7.5112,3906.0,5106.0,80.0,3203.0,4206.0,70.0,703.0,900.0,10.0,1.0,1.0,1.0,0.0,0.0,2.0,6093.0,8491.0,120.0,5180.0,8001.0,113.0,913.0,490.0,7.0,2.0,3.0,2.0,1.0,1.0,3.0,7749.0,11614.0,154.0,7219.0,11159.0,164.0,530.0,455.0,-10.0,2.0,6.0,2.0,1.0,3.0,4.0,,,,,,,,,,,,,,,
LOLTMNT01_324926,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,top,handm,BAAM Esports,0.0,Volibear,Caitlyn,Rumble,Ambessa,Alistar,Rakan,1647.0,0.0,3.0,4.0,2.0,10.0,28.0,1.0,0.0,0.0,0.0,1.0,0.3643,1.3843,0.0,0.0,7.0,3.0,0.0,22.0,11924.0,8289.0,301.9672,11200.0,260.0,256.0,4.0,9.4718,3711.0,4895.0,89.0,3425.0,5042.0,81.0,286.0,-147.0,8.0,0.0,2.0,1.0,1.0,0.0,2.0,5964.0,8609.0,139.0,4761.0,7654.0,115.0,1203.0,955.0,24.0,1.0,2.0,1.0,1.0,0.0,3.0,7740.0,11534.0,191.0,6570.0,11468.0,168.0,1170.0,66.0,23.0,1.0,2.0,1.0,1.0,0.0,3.0,9912.0,14851.0,245.0,8994.0,15085.0,204.0,918.0,-234.0,41.0,1.0,2.0,2.0,2.0,0.0,3.0
LOLTMNT01_324952,complete,CBLOL,2026.0,0.0,2.0,16.01,Red,top,handm,BAAM Esports,0.0,Kled,Caitlyn,Rumble,Ambessa,Sylas,Cassiopeia,1730.0,0.0,3.0,3.0,3.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3121,1.2139,0.0,0.0,7.0,9.0,0.0,37.0,10150.0,6345.0,220.0578,9250.0,226.0,226.0,0.0,7.8382,3322.0,4980.0,75.0,3292.0,4858.0,74.0,30.0,122.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5320.0,8081.0,118.0,5704.0,8554.0,127.0,-384.0,-473.0,-9.0,2.0,0.0,2.0,1.0,1.0,2.0,7329.0,10379.0,154.0,7387.0,11716.0,174.0,-58.0,-1337.0,-20.0,3.0,1.0,2.0,1.0,1.0,2.0,8623.0,12064.0,185.0,9690.0,14452.0,211.0,-1067.0,-2388.0,-26.0,3.0,1.0,2.0,1.0,1.0,2.0
LOLTMNT01_331565,complete,LCP,2026.0,0.0,1.0,16.01,Blue,top,handm,BAAM Esports,1.0,Rumble,Malphite,Sion,Orianna,Ryze,Jarvan IV,1504.0,1.0,1.0,2.0,9.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.5984,0.9574,0.0,0.0,10.0,3.0,1.0,27.0,10421.0,7077.0,282.3271,8425.0,185.0,174.0,11.0,7.3803,3544.0,4728.0,86.0,3633.0,5154.0,89.0,-89.0,-426.0,-3.0,0.0,0.0,1.0,0.0,1.0,0.0,5151.0,7913.0,123.0,5396.0,9164.0,149.0,-245.0,-1251.0,-26.0,0.0,0.0,1.0,0.0,1.0,0.0,7628.0,10533.0,157.0,7011.0,11695.0,186.0,617.0,-1162.0,-29.0,1.0,3.0,2.0,0.0,2.0,1.0,10413.0,14394.0,185.0,8544.0,13265.0,212.0,1869.0,1129.0,-27.0,1.0,9.0,2.0,0.0,3.0,3.0
LOLTMNT01_331623,complete,LCP,2026.0,0.0,2.0,16.01,Blue,top,handm,BAAM Esports,1.0,Zaahen,Malphite,Orianna,Ryze,Jarvan IV,Vi,1411.0,1.0,2.0,1.0,9.0,31.0,13.0,0.0,0.0,0.0,0.0,0.0,1.3182,1.871,0.0,0.0,8.0,3.0,1.0,23.0,9471.0,6317.0,268.618,8408.0,183.0,179.0,4.0,7.7817,3008.0,4994.0,76.0,3254.0,5213.0,92.0,-246.0,-219.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,5001.0,7997.0,118.0,5547.0,8765.0,140.0,-546.0,-768.0,-22.0,0.0,0.0,1.0,1.0,0.0,0.0,7378.0,12183.0,168.0,7795.0,11473.0,190.0,-417.0,710.0,-22.0,2.0,1.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
LOLTMNT01_333287,complete,LJL,2026.0,0.0,1.0,16.01,Blue,top,handm,BAAM Esports,1.0,Ambessa,Malphite,Fiora,Rumble,Renekton,Sion,1687.0,0.0,0.0,5.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.1423,0.6758,0.0,0.0,11.0,2.0,1.0,29.0,7956.0,4239.0,150.7647,7925.0,198.0,198.0,0.0,7.0421,2936.0,4879.0,70.0,4823.0,6023.0,105.0,-1887.0,-1144.0,-35.0,0.0,0.0,2.0,3.0,0.0,0.0,4219.0,6773.0,105.0,7507.0,10268.0,171.0,-3288.0,-3495.0,-66.0,0.0,0.0,2.0,3.0,0.0,0.0,5920.0,10096.0,151.0,10232.0,13686.0,233.0,-4312.0,-3590.0,-82.0,0.0,0.0,3.0,4.0,0.0,0.0,7574.0,12862.0,198.0,12242.0,16152.0,273.0,-4668.0,-3290.0,-75.0,0.0,1.0,3.0,5.0,0.0,1.0
