gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,hinami,V3 Esports,0.0,Lucian,Varus,LeBlanc,Jayce,Renekton,Yone,1405.0,0.0,1.0,4.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0854,0.8114,0.0,0.0,11.0,7.0,3.0,27.0,9140.0,5998.0,256.1423,8775.0,181.0,181.0,0.0,7.7295,2865.0,2865.0,56.0,4774.0,3340.0,84.0,-1909.0,-475.0,-28.0,0.0,0.0,2.0,3.0,2.0,1.0,4581.0,4965.0,95.0,8006.0,5869.0,125.0,-3425.0,-904.0,-30.0,0.0,0.0,3.0,6.0,3.0,1.0,7144.0,7186.0,151.0,10870.0,8612.0,188.0,-3726.0,-1426.0,-37.0,0.0,0.0,3.0,6.0,3.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_151443,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,hinami,V3 Esports,0.0,Kai'Sa,Varus,Jayce,Ryze,Lulu,Braum,1527.0,0.0,1.0,3.0,5.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.275,1.1002,0.0,1.0,13.0,6.0,4.0,26.0,10826.0,7435.0,292.1415,10660.0,226.0,226.0,0.0,8.8802,3437.0,3321.0,80.0,4319.0,3721.0,78.0,-882.0,-400.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,5544.0,4961.0,121.0,8080.0,5884.0,133.0,-2536.0,-923.0,-12.0,0.0,3.0,2.0,4.0,3.0,1.0,8725.0,8077.0,173.0,11685.0,8674.0,193.0,-2960.0,-597.0,-20.0,1.0,5.0,2.0,5.0,4.0,2.0,10771.0,10407.0,226.0,15440.0,12317.0,248.0,-4669.0,-1910.0,-22.0,1.0,5.0,3.0,6.0,8.0,2.0
LOLTMNT04_151542,complete,LEC,2026.0,0.0,1.0,16.02,Red,bot,hinami,V3 Esports,0.0,Aphelios,Varus,LeBlanc,Ryze,Azir,Malphite,1607.0,0.0,4.0,4.0,8.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.5227,1.3815,0.0,0.0,13.0,6.0,7.0,30.0,12609.0,9055.0,338.0834,12325.0,231.0,227.0,4.0,8.6248,3532.0,2915.0,64.0,3438.0,3301.0,79.0,94.0,-386.0,-15.0,1.0,4.0,1.0,0.0,1.0,2.0,6406.0,5177.0,119.0,5708.0,5612.0,127.0,698.0,-435.0,-8.0,2.0,5.0,1.0,0.0,3.0,3.0,9393.0,7263.0,189.0,7935.0,7334.0,169.0,1458.0,-71.0,20.0,2.0,6.0,1.0,0.0,3.0,3.0,12196.0,8828.0,221.0,11315.0,10416.0,193.0,881.0,-1588.0,28.0,4.0,8.0,3.0,3.0,9.0,4.0
LOLTMNT04_151632,complete,LIT,2026.0,1.0,1.0,16.02,Red,bot,hinami,V3 Esports,0.0,Aphelios,Varus,Jayce,Akali,Yone,Irelia,1634.0,0.0,3.0,2.0,3.0,12.0,19.0,0.0,0.0,0.0,0.0,1.0,0.4406,1.1383,0.0,0.0,7.0,6.0,1.0,31.0,11678.0,8069.0,296.2913,11705.0,256.0,252.0,4.0,9.4002,3733.0,3580.0,75.0,3584.0,3700.0,90.0,149.0,-120.0,-15.0,2.0,1.0,1.0,0.0,3.0,1.0,5920.0,5483.0,115.0,5844.0,6491.0,152.0,76.0,-1008.0,-37.0,2.0,3.0,1.0,0.0,3.0,2.0,8986.0,8231.0,177.0,8090.0,9666.0,217.0,896.0,-1435.0,-40.0,3.0,3.0,1.0,0.0,3.0,2.0,10939.0,10704.0,236.0,11935.0,13181.0,280.0,-996.0,-2477.0,-44.0,3.0,3.0,2.0,2.0,7.0,2.0
LOLTMNT01_337230,complete,HW,2026.0,0.0,1.0,16.02,Blue,bot,hinami,V3 Esports,1.0,Varus,Lee Sin,Ryze,Caitlyn,Lulu,Braum,1594.0,1.0,10.0,1.0,6.0,30.0,11.0,3.0,0.0,0.0,0.0,1.0,1.1292,1.5433,1.0,0.0,14.0,6.0,4.0,31.0,14228.0,10701.0,402.798,12160.0,222.0,218.0,4.0,8.3563,4251.0,3668.0,87.0,4026.0,3477.0,89.0,225.0,191.0,-2.0,1.0,1.0,0.0,2.0,0.0,0.0,6182.0,5898.0,134.0,7077.0,6084.0,136.0,-895.0,-186.0,-2.0,1.0,1.0,0.0,3.0,2.0,0.0,9064.0,8361.0,184.0,9205.0,9489.0,201.0,-141.0,-1128.0,-17.0,2.0,2.0,0.0,3.0,2.0,1.0,12922.0,11134.0,215.0,13644.0,11735.0,234.0,-722.0,-601.0,-19.0,7.0,6.0,1.0,6.0,3.0,3.0
LOLTMNT04_152660,complete,EBL,2026.0,0.0,1.0,16.02,Blue,bot,hinami,V3 Esports,1.0,Ashe,Ryze,Akali,Jayce,Viego,Tahm Kench,1689.0,0.0,4.0,4.0,4.0,12.0,24.0,1.0,0.0,0.0,0.0,0.0,0.4263,1.2789,0.0,0.0,11.0,6.0,3.0,38.0,11686.0,7965.0,282.9485,11575.0,227.0,227.0,0.0,8.0639,4143.0,3113.0,69.0,3813.0,3368.0,85.0,330.0,-255.0,-16.0,3.0,1.0,0.0,1.0,0.0,2.0,6069.0,5014.0,119.0,5840.0,5385.0,125.0,229.0,-371.0,-6.0,3.0,1.0,0.0,1.0,0.0,2.0,8914.0,7372.0,164.0,9018.0,7907.0,173.0,-104.0,-535.0,-9.0,4.0,2.0,0.0,4.0,0.0,3.0,10676.0,9535.0,206.0,11708.0,10970.0,231.0,-1032.0,-1435.0,-25.0,4.0,4.0,2.0,4.0,4.0,4.0
LOLTMNT01_338201,complete,LCP,2026.0,0.0,1.0,16.02,Blue,bot,hinami,V3 Esports,1.0,Varus,Skarner,Vladimir,Ryze,Kassadin,Akali,2090.0,1.0,6.0,3.0,16.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.7751,1.3206,0.0,0.0,19.0,6.0,8.0,39.0,17304.0,12765.0,366.4593,15600.0,287.0,287.0,0.0,8.2392,3635.0,3681.0,87.0,4272.0,3473.0,93.0,-637.0,208.0,-6.0,1.0,0.0,1.0,2.0,1.0,0.0,6309.0,6044.0,128.0,6648.0,5157.0,131.0,-339.0,887.0,-3.0,2.0,3.0,2.0,4.0,1.0,1.0,8971.0,8104.0,167.0,8706.0,7429.0,180.0,265.0,675.0,-13.0,3.0,5.0,2.0,4.0,1.0,1.0,11096.0,10269.0,212.0,10452.0,9371.0,219.0,644.0,898.0,-7.0,3.0,6.0,2.0,4.0,3.0,2.0
LOLTMNT05_176265,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,hinami,V3 Esports,1.0,Ezreal,Ryze,Akali,Corki,Leona,Ashe,1391.0,0.0,2.0,3.0,0.0,3.0,25.0,1.0,0.0,0.0,0.0,0.0,0.1294,1.2078,0.0,0.0,10.0,3.0,5.0,18.0,9496.0,6383.0,275.3271,9483.0,202.0,201.0,1.0,8.7132,4028.0,3674.0,84.0,3439.0,3556.0,70.0,589.0,118.0,14.0,2.0,0.0,1.0,0.0,4.0,1.0,6335.0,5654.0,132.0,6037.0,5914.0,122.0,298.0,-260.0,10.0,2.0,0.0,1.0,1.0,4.0,1.0,8522.0,7716.0,176.0,9217.0,8659.0,181.0,-695.0,-943.0,-5.0,2.0,0.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_350922,complete,ROL,2026.0,1.0,1.0,16.03,Blue,bot,hinami,V3 Esports,1.0,Corki,Ryze,Jayce,Akali,Neeko,Kai'Sa,1651.0,0.0,0.0,5.0,1.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.1817,1.1266,0.0,0.0,11.0,4.0,5.0,19.0,11178.0,7534.0,273.7977,11158.0,276.0,272.0,4.0,10.0303,3145.0,3039.0,81.0,4473.0,3692.0,85.0,-1328.0,-653.0,-4.0,0.0,0.0,1.0,2.0,0.0,0.0,5361.0,5119.0,131.0,7146.0,6058.0,135.0,-1785.0,-939.0,-4.0,0.0,1.0,2.0,3.0,1.0,1.0,7423.0,7669.0,186.0,9937.0,9145.0,195.0,-2514.0,-1476.0,-9.0,0.0,1.0,3.0,4.0,4.0,1.0,9882.0,9836.0,246.0,12336.0,12005.0,242.0,-2454.0,-2169.0,4.0,0.0,1.0,4.0,4.0,7.0,1.0
LOLTMNT05_175360,complete,AL,2026.0,0.0,1.0,16.03,Blue,bot,hinami,V3 Esports,1.0,Varus,Ryze,Akali,Azir,Malphite,Renekton,1313.0,0.0,1.0,7.0,1.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0914,1.508,0.0,0.0,8.0,3.0,5.0,16.0,8249.0,5295.0,241.965,8000.0,172.0,172.0,0.0,7.8599,3446.0,3351.0,87.0,4225.0,4181.0,103.0,-779.0,-830.0,-16.0,0.0,1.0,2.0,1.0,5.0,0.0,5895.0,5334.0,113.0,7630.0,6848.0,149.0,-1735.0,-1514.0,-36.0,1.0,1.0,5.0,4.0,9.0,1.0,7760.0,7642.0,161.0,10753.0,10257.0,199.0,-2993.0,-2615.0,-38.0,1.0,1.0,6.0,6.0,11.0,1.0,,,,,,,,,,,,,,,
