gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_326723,complete,ROL,2026.0,0.0,1.0,16.02,Red,sup,huhi,Sentinels,1.0,Alistar,Nocturne,Vi,Varus,Lucian,Nautilus,2982.0,1.0,0.0,4.0,16.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4427,0.8249,0.0,0.0,127.0,11.0,23.0,229.0,12430.0,6071.0,122.1529,10720.0,38.0,38.0,0.0,0.7646,2332.0,2706.0,16.0,2397.0,2633.0,12.0,-65.0,73.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3304.0,3843.0,21.0,3509.0,3927.0,21.0,-205.0,-84.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4489.0,5387.0,23.0,4795.0,5396.0,25.0,-306.0,-9.0,-2.0,0.0,2.0,1.0,0.0,3.0,0.0,5564.0,6205.0,23.0,6127.0,7915.0,28.0,-563.0,-1710.0,-5.0,0.0,3.0,2.0,0.0,6.0,0.0
LOLTMNT01_326821,complete,LCK,2026.0,0.0,2.0,16.02,Blue,sup,huhi,Sentinels,0.0,Nami,Orianna,Ryze,Rumble,Nautilus,Lulu,2230.0,0.0,0.0,7.0,13.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,0.3767,1.2108,0.0,0.0,68.0,15.0,13.0,142.0,9531.0,4706.0,126.6188,9805.0,45.0,45.0,0.0,1.2108,2447.0,2928.0,26.0,2410.0,2902.0,20.0,37.0,26.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,3717.0,4593.0,34.0,3547.0,4397.0,29.0,170.0,196.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,5172.0,5643.0,36.0,5249.0,6122.0,31.0,-77.0,-479.0,5.0,0.0,1.0,1.0,1.0,3.0,1.0,6623.0,7931.0,38.0,6566.0,7437.0,37.0,57.0,494.0,1.0,0.0,5.0,2.0,1.0,5.0,2.0
LOLTMNT01_326837,complete,LCK,2026.0,0.0,3.0,16.02,Red,sup,huhi,Sentinels,1.0,Rell,Ryze,Nocturne,Varus,Ziggs,Miss Fortune,1716.0,0.0,0.0,2.0,5.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.8042,0.0,0.0,63.0,14.0,17.0,133.0,6519.0,2743.0,95.9091,5940.0,37.0,37.0,0.0,1.2937,2231.0,2788.0,20.0,2376.0,2300.0,17.0,-145.0,488.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3417.0,3414.0,27.0,3591.0,3273.0,20.0,-174.0,141.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,4662.0,4868.0,33.0,4820.0,4485.0,21.0,-158.0,383.0,12.0,0.0,3.0,0.0,0.0,2.0,0.0,5825.0,6501.0,37.0,5905.0,6189.0,22.0,-80.0,312.0,15.0,0.0,4.0,0.0,0.0,4.0,0.0
LOLTMNT01_337054,complete,LCKC,2026.0,0.0,1.0,16.02,Red,sup,huhi,Sentinels,1.0,Rakan,Taliyah,Akali,Varus,Nami,Ezreal,1776.0,1.0,1.0,2.0,15.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6081,0.8108,0.0,0.0,65.0,16.0,11.0,136.0,9010.0,5111.0,172.6689,8115.0,38.0,38.0,0.0,1.2838,2442.0,3100.0,18.0,2329.0,2757.0,16.0,113.0,343.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0,4142.0,28.0,3520.0,4361.0,20.0,117.0,-219.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,5462.0,6214.0,31.0,4621.0,5183.0,22.0,841.0,1031.0,9.0,1.0,6.0,0.0,0.0,2.0,2.0,6952.0,7693.0,33.0,5592.0,6469.0,22.0,1360.0,1224.0,11.0,1.0,8.0,1.0,0.0,3.0,3.0
LOLTMNT04_151618,complete,CCWS,2026.0,0.0,2.0,16.02,Blue,sup,huhi,Sentinels,0.0,Poppy,Rumble,Ambessa,Jayce,Zaahen,Olaf,1693.0,1.0,1.0,1.0,12.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7088,0.8151,0.0,0.0,57.0,20.0,16.0,139.0,8281.0,4552.0,161.3231,7205.0,38.0,38.0,0.0,1.3467,2652.0,2642.0,18.0,2194.0,2551.0,21.0,458.0,91.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,3877.0,3593.0,28.0,3385.0,3421.0,29.0,492.0,172.0,-1.0,0.0,2.0,1.0,0.0,1.0,0.0,5163.0,5070.0,33.0,4442.0,3895.0,32.0,721.0,1175.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,6925.0,7871.0,38.0,5431.0,4369.0,34.0,1494.0,3502.0,4.0,1.0,9.0,1.0,0.0,1.0,3.0
LOLTMNT05_176461,complete,AL,2026.0,0.0,1.0,16.03,Blue,sup,huhi,Sentinels,0.0,Rell,Rumble,Azir,Renekton,Sivir,Ezreal,1728.0,0.0,1.0,2.0,4.0,5.0,19.0,0.0,0.0,0.0,0.0,1.0,0.1736,0.8333,0.0,0.0,53.0,14.0,14.0,107.0,7162.0,3361.0,116.7014,7140.0,43.0,43.0,0.0,1.4931,2272.0,2881.0,17.0,2404.0,3097.0,11.0,-132.0,-216.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,3831.0,3917.0,27.0,3645.0,3952.0,19.0,186.0,-35.0,8.0,1.0,1.0,0.0,0.0,2.0,1.0,4950.0,5468.0,35.0,4904.0,6219.0,23.0,46.0,-751.0,12.0,1.0,2.0,0.0,0.0,4.0,1.0,6233.0,6531.0,41.0,6877.0,8860.0,25.0,-644.0,-2329.0,16.0,1.0,3.0,1.0,0.0,11.0,1.0
LOLTMNT02_351519,complete,HW,2026.0,0.0,2.0,16.03,Red,sup,huhi,Sentinels,1.0,Neeko,Akali,Aurora,Gwen,Bard,Nautilus,2778.0,1.0,1.0,5.0,19.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6263,0.9503,0.0,0.0,106.0,25.0,14.0,218.0,13007.0,7064.0,152.5702,11700.0,55.0,54.0,1.0,1.1879,2545.0,2462.0,20.0,2449.0,2330.0,12.0,96.0,132.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,3661.0,3605.0,28.0,3648.0,3415.0,18.0,13.0,190.0,10.0,0.0,3.0,1.0,0.0,3.0,2.0,4843.0,4494.0,32.0,5144.0,4398.0,22.0,-301.0,96.0,10.0,0.0,4.0,1.0,1.0,3.0,2.0,5968.0,6036.0,33.0,6235.0,5976.0,28.0,-267.0,60.0,5.0,0.0,7.0,2.0,1.0,4.0,2.0
LOLTMNT02_352539,complete,HLL,2026.0,0.0,3.0,16.03,Blue,sup,huhi,Sentinels,0.0,Rakan,Aurora,Trundle,Sylas,Nautilus,Lulu,1992.0,1.0,1.0,3.0,16.0,18.0,9.0,0.0,0.0,0.0,0.0,1.0,0.5422,0.8133,0.0,0.0,59.0,23.0,14.0,173.0,9662.0,5323.0,160.3313,9230.0,40.0,40.0,0.0,1.2048,2932.0,2864.0,15.0,2320.0,2718.0,14.0,612.0,146.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,4110.0,3893.0,21.0,3457.0,3556.0,19.0,653.0,337.0,2.0,1.0,4.0,2.0,0.0,4.0,2.0,5527.0,4628.0,27.0,4855.0,4344.0,22.0,672.0,284.0,5.0,1.0,8.0,2.0,1.0,5.0,2.0,6697.0,5368.0,31.0,6120.0,5341.0,27.0,577.0,27.0,4.0,1.0,8.0,2.0,1.0,6.0,2.0
LOLTMNT03_345140,complete,LCS,2026.0,0.0,1.0,16.03,Blue,sup,huhi,Sentinels,1.0,Neeko,Malphite,Taliyah,Azir,Kai'Sa,Nami,1975.0,0.0,1.0,6.0,6.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.243,0.8506,0.0,0.0,58.0,16.0,12.0,145.0,8579.0,4274.0,129.843,7975.0,53.0,53.0,0.0,1.6101,2277.0,2634.0,11.0,2324.0,3075.0,18.0,-47.0,-441.0,-7.0,0.0,0.0,1.0,0.0,1.0,0.0,3670.0,4240.0,35.0,3709.0,3871.0,24.0,-39.0,369.0,11.0,0.0,1.0,2.0,1.0,1.0,0.0,4680.0,5535.0,40.0,4872.0,5187.0,28.0,-192.0,348.0,12.0,0.0,1.0,2.0,1.0,1.0,0.0,5967.0,7801.0,47.0,5949.0,7198.0,32.0,18.0,603.0,15.0,0.0,3.0,4.0,1.0,3.0,0.0
LOLTMNT02_356695,complete,LCK,2026.0,0.0,2.0,16.03,Blue,sup,huhi,Sentinels,1.0,Seraphine,Aurora,Jayce,Azir,Taliyah,Nautilus,2084.0,1.0,1.0,2.0,17.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6046,0.9501,0.0,0.0,53.0,12.0,3.0,125.0,9902.0,5375.0,154.7505,9355.0,47.0,43.0,4.0,1.3532,2263.0,3037.0,20.0,2335.0,2700.0,14.0,-72.0,337.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,3838.0,4870.0,29.0,3332.0,4054.0,17.0,506.0,816.0,12.0,1.0,1.0,1.0,0.0,2.0,1.0,5058.0,6235.0,34.0,4242.0,4869.0,20.0,816.0,1366.0,14.0,1.0,2.0,1.0,0.0,2.0,1.0,6399.0,7939.0,36.0,5463.0,6613.0,21.0,936.0,1326.0,15.0,1.0,7.0,2.0,0.0,5.0,3.0
