gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_336225,complete,ROL,2026.0,0.0,1.0,16.02,Blue,mid,ichida,Uwinks,1.0,Galio,Illaoi,Neeko,LeBlanc,Yorick,Malphite,1992.0,1.0,4.0,0.0,4.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6627,0.753,1.0,0.0,10.0,13.0,8.0,54.0,12056.0,7717.0,232.4398,11000.0,275.0,271.0,4.0,8.2831,3511.0,5287.0,91.0,3399.0,5500.0,94.0,112.0,-213.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5073.0,7740.0,136.0,5120.0,8094.0,145.0,-47.0,-354.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,7070.0,10742.0,191.0,7060.0,10942.0,202.0,10.0,-200.0,-11.0,1.0,1.0,0.0,0.0,0.0,0.0,8711.0,13013.0,226.0,8738.0,13992.0,258.0,-27.0,-979.0,-32.0,1.0,3.0,0.0,0.0,0.0,0.0
LOLTMNT04_151443,complete,LEC,2026.0,0.0,1.0,16.02,Blue,mid,ichida,Uwinks,1.0,Viktor,Neeko,Syndra,Diana,Leona,Rakan,1527.0,1.0,6.0,1.0,5.0,21.0,7.0,1.0,0.0,0.0,0.0,0.0,0.8251,1.1002,0.0,0.0,12.0,7.0,7.0,41.0,11405.0,8014.0,314.8919,10075.0,215.0,215.0,0.0,8.4479,3846.0,5142.0,85.0,3270.0,4871.0,75.0,576.0,271.0,10.0,2.0,1.0,1.0,0.0,2.0,1.0,5388.0,7723.0,132.0,4925.0,7762.0,129.0,463.0,-39.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,7946.0,11428.0,184.0,7000.0,10176.0,172.0,946.0,1252.0,12.0,3.0,2.0,1.0,1.0,4.0,2.0,11070.0,14742.0,210.0,8530.0,11998.0,209.0,2540.0,2744.0,1.0,6.0,4.0,1.0,1.0,4.0,4.0
LOLTMNT04_152504,complete,LEC,2026.0,0.0,1.0,16.02,Blue,mid,ichida,Uwinks,1.0,Viktor,Kennen,Syndra,Neeko,LeBlanc,Akali,1561.0,1.0,8.0,4.0,12.0,31.0,17.0,2.0,1.0,1.0,0.0,0.0,1.1915,1.845,0.0,0.0,7.0,6.0,3.0,30.0,11618.0,8158.0,313.5682,11245.0,197.0,197.0,0.0,7.5721,3509.0,4904.0,81.0,3581.0,4648.0,76.0,-72.0,256.0,5.0,0.0,3.0,2.0,1.0,4.0,1.0,5457.0,7885.0,140.0,5446.0,7621.0,136.0,11.0,264.0,4.0,0.0,3.0,2.0,1.0,4.0,1.0,8089.0,9764.0,160.0,7135.0,10024.0,179.0,954.0,-260.0,-19.0,4.0,4.0,4.0,1.0,5.0,3.0,10983.0,12865.0,188.0,8934.0,11642.0,197.0,2049.0,1223.0,-9.0,8.0,8.0,4.0,2.0,6.0,4.0
LOLTMNT04_151516,complete,LEC,2026.0,0.0,1.0,16.02,Blue,mid,ichida,Uwinks,1.0,Galio,Azir,Neeko,Syndra,Renata Glasc,Braum,1556.0,0.0,2.0,7.0,4.0,10.0,24.0,0.0,0.0,0.0,0.0,0.0,0.3856,1.3111,0.0,0.0,7.0,5.0,4.0,30.0,8610.0,5160.0,198.9717,8600.0,186.0,186.0,0.0,7.1722,3220.0,5339.0,86.0,4213.0,5440.0,102.0,-993.0,-101.0,-16.0,0.0,1.0,1.0,1.0,0.0,0.0,4471.0,7535.0,121.0,6062.0,8772.0,163.0,-1591.0,-1237.0,-42.0,0.0,1.0,2.0,1.0,0.0,0.0,6472.0,9900.0,166.0,9972.0,12278.0,220.0,-3500.0,-2378.0,-54.0,1.0,3.0,4.0,5.0,3.0,0.0,8407.0,11530.0,186.0,13621.0,17668.0,270.0,-5214.0,-6138.0,-84.0,2.0,3.0,6.0,7.0,5.0,0.0
LOLTMNT04_151630,complete,CCWS,2026.0,0.0,1.0,16.02,Blue,mid,ichida,Uwinks,1.0,Orianna,Poppy,Neeko,Malphite,Braum,Azir,1916.0,0.0,3.0,9.0,7.0,14.0,39.0,0.0,0.0,0.0,0.0,0.0,0.4384,1.6597,0.0,0.0,15.0,2.0,9.0,37.0,11450.0,7266.0,227.5365,11200.0,208.0,208.0,0.0,6.5136,4202.0,5773.0,95.0,4096.0,5323.0,86.0,106.0,450.0,9.0,1.0,1.0,1.0,1.0,4.0,1.0,6093.0,7998.0,128.0,6922.0,9810.0,148.0,-829.0,-1812.0,-20.0,3.0,1.0,3.0,4.0,4.0,1.0,7672.0,9728.0,160.0,9385.0,12167.0,196.0,-1713.0,-2439.0,-36.0,3.0,1.0,4.0,5.0,4.0,1.0,9113.0,11862.0,190.0,13480.0,16100.0,232.0,-4367.0,-4238.0,-42.0,3.0,4.0,6.0,11.0,10.0,2.0
LOLTMNT04_152646,complete,LIT,2026.0,1.0,1.0,16.02,Blue,mid,ichida,Uwinks,1.0,Galio,Poppy,Azir,Neeko,Varus,Braum,1492.0,0.0,0.0,6.0,1.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2011,1.2466,0.0,0.0,16.0,6.0,7.0,44.0,7191.0,3872.0,155.7105,6825.0,180.0,180.0,0.0,7.2386,2932.0,4897.0,75.0,3842.0,5154.0,94.0,-910.0,-257.0,-19.0,0.0,0.0,1.0,1.0,1.0,0.0,4409.0,7475.0,118.0,6154.0,8440.0,154.0,-1745.0,-965.0,-36.0,0.0,1.0,2.0,1.0,4.0,0.0,5634.0,9028.0,147.0,9253.0,12369.0,215.0,-3619.0,-3341.0,-68.0,0.0,1.0,4.0,2.0,12.0,0.0,7191.0,11343.0,180.0,11660.0,15355.0,253.0,-4469.0,-4012.0,-73.0,0.0,1.0,6.0,3.0,20.0,0.0
LOLTMNT02_350911,complete,HLL,2026.0,0.0,1.0,16.03,Red,mid,ichida,Uwinks,0.0,Syndra,Poppy,Neeko,Gnar,Karma,Bard,1639.0,1.0,5.0,2.0,7.0,23.0,9.0,1.0,0.0,0.0,0.0,0.0,0.842,1.1714,0.0,0.0,16.0,7.0,7.0,42.0,12069.0,8450.0,309.335,11475.0,245.0,245.0,0.0,8.9689,3821.0,5242.0,96.0,3382.0,5010.0,93.0,439.0,232.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,6007.0,8247.0,150.0,4943.0,7534.0,143.0,1064.0,713.0,7.0,2.0,2.0,0.0,0.0,1.0,0.0,8461.0,11079.0,202.0,6526.0,9802.0,192.0,1935.0,1277.0,10.0,2.0,5.0,0.0,0.0,1.0,1.0,11059.0,13966.0,234.0,8254.0,12794.0,244.0,2805.0,1172.0,-10.0,4.0,7.0,1.0,0.0,3.0,2.0
LOLTMNT05_175340,complete,LFL,2026.0,0.0,1.0,16.03,Red,mid,ichida,Uwinks,0.0,Galio,Poppy,Neeko,Varus,Karma,Bard,1275.0,1.0,0.0,1.0,10.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8,1.1765,0.0,0.0,7.0,2.0,3.0,18.0,7441.0,4564.0,214.7765,6775.0,176.0,176.0,0.0,8.2824,3459.0,5613.0,93.0,3803.0,5606.0,92.0,-344.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5179.0,8193.0,135.0,5235.0,8075.0,138.0,-56.0,118.0,-3.0,0.0,7.0,1.0,1.0,1.0,0.0,7077.0,10763.0,174.0,7158.0,10737.0,189.0,-81.0,26.0,-15.0,0.0,8.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
LOLTMNT05_176356,complete,LIT,2026.0,1.0,1.0,16.03,Red,mid,ichida,Uwinks,0.0,Galio,Lux,Irelia,Jax,Varus,Neeko,1491.0,1.0,2.0,0.0,7.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.8853,1.2072,0.0,0.0,8.0,4.0,5.0,27.0,9888.0,6571.0,264.4266,8775.0,216.0,216.0,0.0,8.6922,3361.0,5534.0,95.0,3710.0,5065.0,93.0,-349.0,469.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5541.0,8464.0,144.0,5561.0,7377.0,136.0,-20.0,1087.0,8.0,2.0,0.0,0.0,1.0,0.0,2.0,7046.0,10898.0,181.0,7240.0,9907.0,189.0,-194.0,991.0,-8.0,2.0,1.0,0.0,1.0,0.0,2.0,9888.0,14325.0,216.0,9163.0,11975.0,220.0,725.0,2350.0,-4.0,2.0,7.0,0.0,1.0,1.0,4.0
LOLTMNT02_351205,complete,HW,2026.0,0.0,1.0,16.03,Red,mid,ichida,Uwinks,0.0,Galio,Azir,Poppy,Ryze,Nautilus,LeBlanc,1523.0,0.0,2.0,5.0,3.0,12.0,25.0,0.0,0.0,0.0,0.0,1.0,0.4728,1.4576,0.0,0.0,6.0,5.0,4.0,26.0,7794.0,4411.0,173.7754,7150.0,153.0,153.0,0.0,6.0276,3545.0,4566.0,63.0,3980.0,5477.0,97.0,-435.0,-911.0,-34.0,2.0,1.0,1.0,1.0,2.0,0.0,4900.0,7002.0,104.0,5910.0,8121.0,146.0,-1010.0,-1119.0,-42.0,2.0,1.0,1.0,2.0,2.0,0.0,6670.0,8577.0,132.0,8405.0,10844.0,193.0,-1735.0,-2267.0,-61.0,2.0,2.0,2.0,3.0,4.0,0.0,7746.0,10168.0,153.0,11368.0,14490.0,226.0,-3622.0,-4322.0,-73.0,2.0,3.0,5.0,6.0,10.0,1.0
