gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Red,top,lobellan,EKO Esports,0.0,Zaahen,Ambessa,Smolder,Syndra,Alistar,Orianna,1756.0,1.0,11.0,4.0,6.0,29.0,22.0,2.0,0.0,0.0,0.0,0.0,0.9909,1.7426,0.0,0.0,9.0,6.0,1.0,29.0,15098.0,11240.0,384.0547,13355.0,218.0,206.0,12.0,7.4487,4017.0,5185.0,85.0,2647.0,4230.0,57.0,1370.0,955.0,28.0,2.0,0.0,0.0,0.0,0.0,2.0,7296.0,8799.0,123.0,5857.0,8207.0,109.0,1439.0,592.0,14.0,5.0,1.0,2.0,1.0,0.0,2.0,9225.0,11307.0,158.0,8993.0,12371.0,147.0,232.0,-1064.0,11.0,6.0,4.0,3.0,5.0,1.0,3.0,11475.0,14049.0,192.0,10372.0,13489.0,164.0,1103.0,560.0,28.0,7.0,4.0,4.0,6.0,1.0,4.0
LOLTMNT05_172033,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,lobellan,EKO Esports,1.0,Darius,Yone,Yunara,Zac,Ambessa,Braum,1934.0,1.0,5.0,2.0,6.0,18.0,12.0,0.0,0.0,0.0,0.0,1.0,0.5584,0.9307,0.0,0.0,5.0,7.0,1.0,41.0,13935.0,9714.0,301.365,13475.0,237.0,237.0,0.0,7.3526,4344.0,5389.0,91.0,3149.0,4994.0,78.0,1195.0,395.0,13.0,2.0,0.0,0.0,0.0,0.0,2.0,6874.0,9430.0,139.0,4653.0,7861.0,118.0,2221.0,1569.0,21.0,3.0,0.0,0.0,0.0,0.0,3.0,8663.0,11919.0,185.0,6276.0,10730.0,167.0,2387.0,1189.0,18.0,3.0,0.0,0.0,0.0,0.0,3.0,11394.0,14362.0,207.0,7401.0,12216.0,187.0,3993.0,2146.0,20.0,5.0,1.0,1.0,0.0,0.0,5.0
LOLTMNT06_164125,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,lobellan,EKO Esports,1.0,Dr. Mundo,Nocturne,Ziggs,Aatrox,Braum,Mel,1603.0,0.0,3.0,7.0,2.0,11.0,31.0,0.0,0.0,0.0,0.0,0.0,0.4117,1.5721,0.0,1.0,3.0,6.0,0.0,27.0,10223.0,6677.0,249.9189,9050.0,196.0,41.0,155.0,7.3362,3459.0,4155.0,81.0,3595.0,3752.0,68.0,-136.0,403.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,5374.0,7138.0,128.0,5690.0,6817.0,116.0,-316.0,321.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,7849.0,9777.0,165.0,9424.0,9966.0,139.0,-1575.0,-189.0,26.0,2.0,2.0,3.0,6.0,4.0,2.0,9659.0,11436.0,183.0,13571.0,14946.0,193.0,-3912.0,-3510.0,-10.0,3.0,2.0,5.0,10.0,6.0,2.0
LOLTMNT04_148254,complete,NLC,2026.0,0.0,1.0,16.01,Blue,top,lobellan,EKO Esports,1.0,Sett,Taliyah,Rumble,Ambessa,Sion,Ornn,3403.0,0.0,5.0,6.0,9.0,39.0,49.0,0.0,0.0,0.0,0.0,0.0,0.6876,1.5516,0.0,0.0,12.0,16.0,4.0,74.0,20566.0,13348.0,235.3453,20000.0,424.0,413.0,11.0,7.4758,3607.0,5254.0,86.0,3268.0,4963.0,80.0,339.0,291.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,5309.0,8608.0,126.0,5045.0,8569.0,125.0,264.0,39.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,7445.0,11965.0,179.0,6940.0,12096.0,172.0,505.0,-131.0,7.0,2.0,1.0,1.0,0.0,2.0,3.0,9946.0,15722.0,214.0,8557.0,14409.0,193.0,1389.0,1313.0,21.0,4.0,2.0,2.0,0.0,4.0,3.0
LOLTMNT06_164218,complete,LEC,2026.0,0.0,1.0,16.01,Red,top,lobellan,EKO Esports,0.0,Gwen,Cho'Gath,Ornn,Syndra,Akali,Aurora,2017.0,0.0,3.0,7.0,4.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.357,1.1601,0.0,0.0,2.0,2.0,0.0,18.0,14926.0,10536.0,313.416,14860.0,324.0,324.0,0.0,9.6381,3236.0,4432.0,79.0,3406.0,5663.0,83.0,-170.0,-1231.0,-4.0,0.0,0.0,2.0,0.0,0.0,0.0,5268.0,7901.0,126.0,5243.0,9434.0,132.0,25.0,-1533.0,-6.0,0.0,0.0,3.0,0.0,1.0,0.0,8023.0,11310.0,179.0,7448.0,13225.0,180.0,575.0,-1915.0,-1.0,1.0,0.0,4.0,0.0,3.0,0.0,9161.0,13216.0,206.0,9174.0,16223.0,207.0,-13.0,-3007.0,-1.0,1.0,0.0,6.0,1.0,6.0,0.0
LOLTMNT02_344149,complete,LCP,2026.0,0.0,1.0,16.01,Red,top,lobellan,EKO Esports,0.0,Yone,Ambessa,Zoe,Neeko,Alistar,Braum,1855.0,1.0,8.0,2.0,7.0,21.0,17.0,1.0,0.0,0.0,0.0,1.0,0.6792,1.1968,0.0,0.0,7.0,9.0,1.0,40.0,15333.0,11273.0,364.6253,12625.0,299.0,283.0,16.0,9.6712,4122.0,6089.0,91.0,2972.0,4560.0,74.0,1150.0,1529.0,17.0,2.0,0.0,0.0,0.0,0.0,2.0,7320.0,11085.0,153.0,4140.0,7207.0,102.0,3180.0,3878.0,51.0,4.0,0.0,0.0,0.0,0.0,4.0,10074.0,14294.0,201.0,5687.0,10063.0,149.0,4387.0,4231.0,52.0,6.0,1.0,0.0,0.0,0.0,4.0,11877.0,16974.0,256.0,7981.0,12836.0,168.0,3896.0,4138.0,88.0,6.0,1.0,1.0,1.0,2.0,4.0
LOLTMNT01_327096,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,lobellan,EKO Esports,0.0,Sett,Gwen,Akali,Naafiri,Alistar,Braum,1755.0,1.0,3.0,6.0,12.0,42.0,17.0,1.0,0.0,0.0,0.0,0.0,1.4359,2.0171,0.0,0.0,7.0,3.0,1.0,24.0,11850.0,7994.0,273.2991,11775.0,221.0,218.0,3.0,7.5556,3453.0,5055.0,81.0,3713.0,5460.0,97.0,-260.0,-405.0,-16.0,0.0,3.0,1.0,1.0,0.0,2.0,5560.0,9246.0,140.0,5277.0,9043.0,148.0,283.0,203.0,-8.0,0.0,4.0,1.0,1.0,0.0,3.0,7045.0,10846.0,166.0,8103.0,13192.0,209.0,-1058.0,-2346.0,-43.0,0.0,4.0,3.0,2.0,2.0,3.0,9691.0,14342.0,209.0,10023.0,14753.0,226.0,-332.0,-411.0,-17.0,1.0,8.0,4.0,3.0,4.0,5.0
LOLTMNT05_176774,complete,LEC,2026.0,1.0,1.0,16.03,Red,top,lobellan,EKO Esports,0.0,Yorick,Ambessa,Syndra,Neeko,Alistar,Braum,2762.0,0.0,3.0,6.0,8.0,22.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4779,1.1296,1.0,0.0,8.0,10.0,2.0,49.0,19585.0,13675.0,297.0673,19383.0,355.0,336.0,19.0,7.7118,3468.0,4640.0,85.0,3358.0,4482.0,72.0,110.0,158.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,5353.0,8126.0,131.0,4937.0,8105.0,120.0,416.0,21.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,8183.0,11533.0,170.0,6504.0,10934.0,166.0,1679.0,599.0,4.0,1.0,3.0,1.0,1.0,0.0,2.0,10514.0,15613.0,228.0,8607.0,14304.0,220.0,1907.0,1309.0,8.0,1.0,3.0,1.0,1.0,0.0,2.0
LOLTMNT02_356283,complete,RL,2026.0,0.0,2.0,16.03,Red,top,lobellan,EKO Esports,0.0,Darius,Ambessa,Syndra,Neeko,Anivia,Viktor,2266.0,1.0,4.0,8.0,10.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,0.6884,1.4034,1.0,0.0,7.0,7.0,1.0,32.0,14600.0,9702.0,256.8932,13725.0,263.0,257.0,6.0,6.9638,3942.0,4536.0,84.0,3845.0,5360.0,66.0,97.0,-824.0,18.0,2.0,0.0,3.0,2.0,4.0,1.0,6328.0,8056.0,126.0,5358.0,8448.0,109.0,970.0,-392.0,17.0,3.0,1.0,4.0,2.0,4.0,2.0,8160.0,10803.0,179.0,7733.0,11319.0,154.0,427.0,-516.0,25.0,3.0,1.0,5.0,3.0,5.0,2.0,9796.0,12447.0,199.0,9109.0,13621.0,188.0,687.0,-1174.0,11.0,3.0,6.0,5.0,3.0,6.0,3.0
LOLTMNT05_176844,complete,EBL,2026.0,1.0,3.0,16.03,Blue,top,lobellan,EKO Esports,1.0,Shen,Ambessa,Syndra,Neeko,Gwen,Aatrox,1595.0,0.0,1.0,8.0,5.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.3762,1.0909,0.0,0.0,7.0,0.0,0.0,16.0,7665.0,4136.0,155.5862,7500.0,155.0,155.0,0.0,5.8307,3007.0,4746.0,69.0,4057.0,5177.0,66.0,-1050.0,-431.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,4608.0,7968.0,98.0,6284.0,8878.0,115.0,-1676.0,-910.0,-17.0,0.0,4.0,4.0,5.0,0.0,1.0,6012.0,11104.0,119.0,8622.0,12692.0,145.0,-2610.0,-1588.0,-26.0,1.0,4.0,6.0,6.0,1.0,2.0,7418.0,13661.0,152.0,10458.0,16286.0,180.0,-3040.0,-2625.0,-28.0,1.0,5.0,7.0,6.0,2.0,3.0
