gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_336810,complete,HLL,2026.0,0.0,1.0,16.02,Blue,bot,mirza,Epitomy Masters,1.0,Varus,Malphite,Gwen,Caitlyn,Camille,Braum,1830.0,1.0,10.0,1.0,1.0,17.0,11.0,2.0,1.0,0.0,0.0,1.0,0.5574,0.918,0.0,0.0,9.0,4.0,4.0,23.0,16991.0,12982.0,425.6393,14500.0,301.0,300.0,1.0,9.8689,4087.0,4003.0,97.0,3372.0,3918.0,90.0,715.0,85.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,6834.0,6371.0,144.0,5059.0,5546.0,130.0,1775.0,825.0,14.0,3.0,0.0,0.0,0.0,0.0,1.0,9331.0,8917.0,202.0,7798.0,8590.0,189.0,1533.0,327.0,13.0,3.0,0.0,1.0,0.0,3.0,1.0,13223.0,12242.0,258.0,10372.0,11143.0,243.0,2851.0,1099.0,15.0,7.0,1.0,1.0,1.0,5.0,1.0
LOLTMNT01_335949,complete,ROL,2026.0,0.0,2.0,16.02,Blue,bot,mirza,Epitomy Masters,1.0,Sivir,Gwen,Caitlyn,Malphite,Neeko,LeBlanc,1613.0,1.0,7.0,0.0,10.0,21.0,7.0,1.0,0.0,0.0,0.0,0.0,0.7812,1.0415,0.0,0.0,11.0,3.0,5.0,29.0,14379.0,10813.0,402.2195,12675.0,248.0,239.0,9.0,9.225,3706.0,3496.0,89.0,3730.0,3818.0,107.0,-24.0,-322.0,-18.0,1.0,1.0,0.0,0.0,0.0,0.0,7057.0,6211.0,141.0,5571.0,5430.0,144.0,1486.0,781.0,-3.0,4.0,3.0,0.0,0.0,1.0,2.0,10168.0,8788.0,189.0,7520.0,8088.0,204.0,2648.0,700.0,-15.0,4.0,7.0,0.0,0.0,1.0,2.0,13090.0,11667.0,229.0,9641.0,10587.0,246.0,3449.0,1080.0,-17.0,6.0,8.0,0.0,1.0,1.0,2.0
LOLTMNT01_338502,complete,HW,2026.0,0.0,1.0,16.02,Blue,bot,mirza,Epitomy Masters,1.0,Kai'Sa,Gwen,Aatrox,Kha'Zix,Ryze,Sylas,1441.0,0.0,2.0,1.0,2.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2915,0.9993,0.0,0.0,10.0,3.0,3.0,20.0,10509.0,7294.0,303.7058,9725.0,238.0,238.0,0.0,9.9098,3278.0,3517.0,88.0,3392.0,3489.0,92.0,-114.0,28.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5688.0,5885.0,148.0,6038.0,6268.0,140.0,-350.0,-383.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,9134.0,9109.0,212.0,8361.0,8553.0,183.0,773.0,556.0,29.0,1.0,2.0,0.0,1.0,3.0,0.0,10509.0,10381.0,238.0,10999.0,11868.0,207.0,-490.0,-1487.0,31.0,2.0,2.0,1.0,1.0,9.0,0.0
LOLTMNT04_152751,complete,TCL,2026.0,0.0,2.0,16.02,Red,bot,mirza,Epitomy Masters,0.0,Sivir,Gwen,Aatrox,Urgot,Camille,Mordekaiser,2040.0,1.0,6.0,3.0,18.0,38.0,20.0,0.0,0.0,0.0,0.0,0.0,1.1176,1.7059,0.0,0.0,11.0,9.0,2.0,33.0,18712.0,14275.0,419.8529,17650.0,345.0,324.0,21.0,10.1471,3545.0,3596.0,96.0,3296.0,3419.0,92.0,249.0,177.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6976.0,6450.0,149.0,5150.0,5284.0,128.0,1826.0,1166.0,21.0,2.0,4.0,0.0,0.0,0.0,2.0,9721.0,9015.0,200.0,7165.0,7654.0,169.0,2556.0,1361.0,31.0,3.0,8.0,1.0,0.0,2.0,4.0,12156.0,11657.0,242.0,8930.0,9828.0,207.0,3226.0,1829.0,35.0,4.0,11.0,2.0,0.0,4.0,5.0
LOLTMNT04_151780,complete,LIT,2026.0,1.0,3.0,16.02,Blue,bot,mirza,Epitomy Masters,1.0,Aphelios,Gwen,Aatrox,Urgot,Milio,Sylas,1831.0,0.0,8.0,2.0,3.0,19.0,25.0,1.0,0.0,0.0,0.0,0.0,0.6226,1.4418,0.0,0.0,10.0,6.0,3.0,27.0,16435.0,12424.0,407.1218,16575.0,303.0,295.0,8.0,9.929,3703.0,3828.0,90.0,3898.0,4115.0,90.0,-195.0,-287.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7253.0,6634.0,147.0,6105.0,6466.0,137.0,1148.0,168.0,10.0,2.0,0.0,0.0,1.0,0.0,1.0,10352.0,9222.0,197.0,8705.0,9292.0,199.0,1647.0,-70.0,-2.0,5.0,0.0,0.0,1.0,0.0,1.0,13070.0,11597.0,247.0,10706.0,11230.0,248.0,2364.0,367.0,-1.0,6.0,2.0,0.0,1.0,0.0,1.0
LOLTMNT05_175521,complete,NLC,2026.0,0.0,1.0,16.03,Red,bot,mirza,Epitomy Masters,0.0,Kai'Sa,Trundle,Gwen,Akali,Gnar,Karma,2147.0,0.0,6.0,5.0,2.0,13.0,26.0,2.0,0.0,0.0,0.0,0.0,0.3633,1.0899,0.0,0.0,8.0,6.0,1.0,29.0,18485.0,13830.0,386.4928,18575.0,352.0,349.0,3.0,9.837,3700.0,3487.0,98.0,3042.0,2922.0,76.0,658.0,565.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,6912.0,5511.0,147.0,4999.0,4485.0,108.0,1913.0,1026.0,39.0,2.0,0.0,1.0,0.0,2.0,1.0,9691.0,7578.0,194.0,7306.0,6871.0,154.0,2385.0,707.0,40.0,4.0,0.0,2.0,0.0,4.0,1.0,12052.0,9935.0,245.0,9948.0,10357.0,203.0,2104.0,-422.0,42.0,5.0,0.0,3.0,0.0,7.0,1.0
LOLTMNT02_352654,complete,AL,2026.0,0.0,2.0,16.03,Red,bot,mirza,Epitomy Masters,0.0,Jinx,Gwen,Trundle,Akali,Gnar,Camille,1897.0,1.0,5.0,0.0,7.0,16.0,10.0,2.0,0.0,0.0,0.0,0.0,0.5061,0.8224,0.0,0.0,9.0,4.0,2.0,23.0,16374.0,12229.0,386.7897,13850.0,314.0,314.0,0.0,9.9315,3356.0,3461.0,94.0,3492.0,3393.0,91.0,-136.0,68.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6346.0,5964.0,158.0,5808.0,5591.0,134.0,538.0,373.0,24.0,1.0,2.0,0.0,0.0,1.0,2.0,8369.0,8500.0,222.0,8130.0,7853.0,185.0,239.0,647.0,37.0,1.0,2.0,0.0,0.0,1.0,2.0,12195.0,11743.0,265.0,9824.0,9483.0,213.0,2371.0,2260.0,52.0,3.0,4.0,0.0,1.0,1.0,3.0
LOLTMNT05_176513,complete,LFL,2026.0,0.0,3.0,16.03,Blue,bot,mirza,Epitomy Masters,1.0,Varus,Gwen,Trundle,Sylas,Rakan,Sivir,1644.0,1.0,7.0,4.0,9.0,32.0,13.0,1.0,1.0,1.0,0.0,0.0,1.1679,1.6423,0.0,0.0,10.0,2.0,3.0,21.0,14770.0,11141.0,406.6058,11275.0,229.0,229.0,0.0,8.3577,3903.0,2960.0,68.0,3428.0,2842.0,73.0,475.0,118.0,-5.0,3.0,0.0,1.0,0.0,3.0,1.0,6708.0,5294.0,114.0,5314.0,5217.0,121.0,1394.0,77.0,-7.0,3.0,2.0,2.0,0.0,4.0,2.0,9326.0,8102.0,162.0,8079.0,7180.0,171.0,1247.0,922.0,-9.0,3.0,5.0,2.0,1.0,4.0,3.0,11645.0,10852.0,208.0,10981.0,9625.0,219.0,664.0,1227.0,-11.0,3.0,8.0,4.0,3.0,5.0,4.0
LOLTMNT05_177002,complete,AL,2026.0,1.0,1.0,16.03,Blue,bot,mirza,Epitomy Masters,1.0,Varus,Naafiri,Sylas,Gwen,Nautilus,Leona,1768.0,0.0,8.0,3.0,3.0,12.0,14.0,2.0,0.0,0.0,0.0,0.0,0.4072,0.8824,0.0,0.0,10.0,6.0,3.0,28.0,14330.0,10448.0,354.5701,13925.0,267.0,267.0,0.0,9.0611,3794.0,3717.0,91.0,3167.0,3088.0,79.0,627.0,629.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,6591.0,6268.0,146.0,4723.0,5091.0,114.0,1868.0,1177.0,32.0,2.0,1.0,0.0,0.0,0.0,0.0,9291.0,8756.0,201.0,7096.0,7721.0,181.0,2195.0,1035.0,20.0,3.0,1.0,0.0,0.0,0.0,0.0,12761.0,11066.0,242.0,9042.0,9841.0,221.0,3719.0,1225.0,21.0,8.0,1.0,1.0,0.0,2.0,1.0
LOLTMNT05_175990,complete,AL,2026.0,1.0,2.0,16.03,Red,bot,mirza,Epitomy Masters,0.0,Kai'Sa,Naafiri,Sylas,Gwen,Rumble,Viktor,2696.0,0.0,11.0,5.0,8.0,31.0,36.0,2.0,0.0,0.0,0.0,1.0,0.6899,1.4911,1.0,0.0,14.0,10.0,2.0,40.0,23727.0,17952.0,399.5252,21550.0,385.0,331.0,54.0,8.5682,4192.0,3411.0,77.0,3656.0,3076.0,76.0,536.0,335.0,1.0,4.0,0.0,0.0,1.0,2.0,2.0,7359.0,5689.0,119.0,7205.0,5412.0,121.0,154.0,277.0,-2.0,5.0,4.0,2.0,4.0,4.0,3.0,9631.0,7720.0,166.0,10716.0,8925.0,180.0,-1085.0,-1205.0,-14.0,5.0,4.0,3.0,6.0,5.0,3.0,12733.0,10641.0,212.0,13554.0,12557.0,245.0,-821.0,-1916.0,-33.0,7.0,5.0,4.0,7.0,8.0,3.0
