gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Blue,bot,wanan,Inferno Drive Tokyo,1.0,Caitlyn,Lee Sin,Jarvan IV,Nocturne,Orianna,Ahri,1405.0,1.0,7.0,1.0,5.0,17.0,3.0,1.0,0.0,0.0,0.0,1.0,0.726,0.8114,0.0,0.0,13.0,3.0,6.0,26.0,13803.0,10661.0,455.274,10350.0,223.0,223.0,0.0,9.5231,4774.0,3340.0,84.0,2865.0,2865.0,56.0,1909.0,475.0,28.0,3.0,2.0,1.0,0.0,0.0,2.0,8006.0,5869.0,125.0,4581.0,4965.0,95.0,3425.0,904.0,30.0,6.0,3.0,1.0,0.0,0.0,3.0,10870.0,8612.0,188.0,7144.0,7186.0,151.0,3726.0,1426.0,37.0,6.0,3.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,
LOLTMNT01_335433,complete,LCS,2026.0,0.0,1.0,16.02,Blue,bot,wanan,Inferno Drive Tokyo,1.0,Caitlyn,Swain,Lee Sin,Jarvan IV,Renekton,Orianna,1531.0,1.0,8.0,0.0,7.0,29.0,7.0,1.0,1.0,0.0,0.0,0.0,1.1365,1.4108,0.0,0.0,13.0,5.0,4.0,30.0,15284.0,11885.0,465.774,12980.0,246.0,246.0,0.0,9.6408,3853.0,3816.0,88.0,3200.0,3522.0,75.0,653.0,294.0,13.0,1.0,1.0,0.0,0.0,0.0,2.0,8187.0,6650.0,138.0,5428.0,6041.0,129.0,2759.0,609.0,9.0,3.0,4.0,0.0,0.0,0.0,4.0,10547.0,9518.0,204.0,8769.0,8979.0,195.0,1778.0,539.0,9.0,3.0,4.0,0.0,1.0,1.0,4.0,14055.0,12049.0,240.0,11585.0,12024.0,249.0,2470.0,25.0,-9.0,6.0,5.0,0.0,2.0,2.0,4.0
LOLTMNT04_152497,complete,LEC,2026.0,0.0,1.0,16.02,Blue,bot,wanan,Inferno Drive Tokyo,1.0,Varus,Gwen,Jarvan IV,Leona,Lulu,Nautilus,2084.0,1.0,2.0,6.0,5.0,21.0,20.0,1.0,0.0,0.0,0.0,0.0,0.6046,1.1804,0.0,0.0,15.0,6.0,8.0,36.0,15226.0,10699.0,308.0326,14675.0,299.0,299.0,0.0,8.6084,3238.0,3722.0,82.0,3419.0,3663.0,90.0,-181.0,59.0,-8.0,0.0,0.0,1.0,0.0,0.0,0.0,5367.0,6515.0,131.0,5944.0,6280.0,144.0,-577.0,235.0,-13.0,0.0,0.0,1.0,1.0,0.0,0.0,7700.0,8778.0,179.0,7625.0,8703.0,193.0,75.0,75.0,-14.0,0.0,0.0,2.0,1.0,0.0,1.0,9817.0,10949.0,224.0,10666.0,11363.0,247.0,-849.0,-414.0,-23.0,0.0,2.0,3.0,3.0,1.0,2.0
LOLTMNT04_152519,complete,LIT,2026.0,0.0,1.0,16.02,Blue,bot,wanan,Inferno Drive Tokyo,1.0,Caitlyn,Skarner,Poppy,Lee Sin,Ahri,Orianna,1790.0,1.0,11.0,1.0,14.0,32.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0726,1.3408,0.0,0.0,15.0,7.0,4.0,30.0,17803.0,13876.0,465.1173,14900.0,256.0,252.0,4.0,8.581,3833.0,3467.0,66.0,2839.0,2211.0,40.0,994.0,1256.0,26.0,2.0,5.0,1.0,1.0,0.0,4.0,7286.0,6461.0,126.0,5221.0,4647.0,78.0,2065.0,1814.0,48.0,3.0,7.0,1.0,2.0,1.0,5.0,12368.0,9591.0,173.0,7619.0,6624.0,124.0,4749.0,2967.0,49.0,8.0,10.0,1.0,2.0,2.0,6.0,14816.0,11990.0,215.0,10185.0,9691.0,188.0,4631.0,2299.0,27.0,9.0,10.0,1.0,2.0,3.0,6.0
LOLTMNT04_152637,complete,LFL,2026.0,0.0,1.0,16.02,Red,bot,wanan,Inferno Drive Tokyo,0.0,Varus,Ryze,Vi,Jayce,Lee Sin,Jax,2008.0,1.0,0.0,0.0,6.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.508,0.747,0.0,0.0,17.0,5.0,8.0,34.0,15356.0,10984.0,328.2072,13875.0,345.0,345.0,0.0,10.3088,3549.0,4644.0,92.0,3152.0,3918.0,74.0,397.0,726.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5830.0,6990.0,148.0,5482.0,6604.0,125.0,348.0,386.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,7937.0,9564.0,212.0,8198.0,9410.0,183.0,-261.0,154.0,29.0,0.0,0.0,0.0,1.0,1.0,0.0,10330.0,11919.0,257.0,10884.0,11851.0,241.0,-554.0,68.0,16.0,0.0,2.0,0.0,2.0,1.0,0.0
LOLTMNT04_152648,complete,EBL,2026.0,0.0,1.0,16.02,Red,bot,wanan,Inferno Drive Tokyo,0.0,Jinx,Lee Sin,Ryze,Nocturne,Renata Glasc,Sion,2540.0,1.0,5.0,3.0,12.0,21.0,19.0,1.0,0.0,0.0,0.0,0.0,0.4961,0.9449,1.0,0.0,23.0,12.0,9.0,76.0,23113.0,17656.0,417.0709,25255.0,373.0,349.0,24.0,8.811,3789.0,3581.0,89.0,3551.0,3582.0,84.0,238.0,-1.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,6149.0,6018.0,148.0,5716.0,5454.0,119.0,433.0,564.0,29.0,1.0,1.0,0.0,2.0,1.0,1.0,8295.0,8338.0,203.0,7901.0,8355.0,172.0,394.0,-17.0,31.0,1.0,1.0,0.0,2.0,1.0,1.0,10558.0,10781.0,240.0,10019.0,11043.0,217.0,539.0,-262.0,23.0,1.0,3.0,0.0,2.0,3.0,1.0
LOLTMNT04_151670,complete,EBL,2026.0,0.0,1.0,16.02,Red,bot,wanan,Inferno Drive Tokyo,0.0,Sivir,Lee Sin,Ryze,Ahri,Viktor,Aurora,2232.0,0.0,0.0,3.0,4.0,7.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1882,0.8602,0.0,0.0,19.0,7.0,6.0,44.0,16872.0,12043.0,323.7366,16875.0,369.0,361.0,8.0,9.9194,3381.0,3320.0,86.0,3086.0,3662.0,71.0,295.0,-342.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,6066.0,5808.0,141.0,5593.0,6029.0,118.0,473.0,-221.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8477.0,9207.0,214.0,8502.0,9374.0,189.0,-25.0,-167.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,10933.0,11738.0,272.0,11006.0,12544.0,244.0,-73.0,-806.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0
LOLTMNT01_338306,complete,HW,2026.0,0.0,1.0,16.02,Red,bot,wanan,Inferno Drive Tokyo,0.0,Caitlyn,Nocturne,Jarvan IV,Jayce,Leona,Braum,1839.0,1.0,8.0,2.0,10.0,26.0,9.0,1.0,1.0,0.0,0.0,1.0,0.8483,1.1093,0.0,0.0,12.0,6.0,7.0,35.0,17848.0,13821.0,450.9299,17655.0,308.0,300.0,8.0,10.0489,4231.0,4033.0,92.0,3009.0,3382.0,68.0,1222.0,651.0,24.0,2.0,4.0,0.0,0.0,0.0,1.0,7074.0,6255.0,145.0,4741.0,5851.0,116.0,2333.0,404.0,29.0,2.0,6.0,0.0,0.0,0.0,2.0,10327.0,9193.0,201.0,7400.0,8485.0,158.0,2927.0,708.0,43.0,3.0,9.0,1.0,1.0,0.0,2.0,13058.0,12172.0,261.0,10856.0,11123.0,202.0,2202.0,1049.0,59.0,3.0,9.0,1.0,2.0,0.0,2.0
LOLTMNT05_176303,complete,LFL,2026.0,0.0,1.0,16.03,Red,bot,wanan,Inferno Drive Tokyo,0.0,Varus,Lucian,Ezreal,Orianna,Kai'Sa,Zeri,1966.0,0.0,3.0,1.0,3.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.4883,0.9766,0.0,0.0,13.0,3.0,5.0,29.0,14444.0,10158.0,310.0102,13625.0,283.0,283.0,0.0,8.6368,4157.0,4534.0,91.0,3254.0,3215.0,77.0,903.0,1319.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,6195.0,7227.0,140.0,5629.0,5838.0,131.0,566.0,1389.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,8724.0,10305.0,198.0,7591.0,8439.0,174.0,1133.0,1866.0,24.0,1.0,3.0,0.0,0.0,1.0,1.0,10411.0,12302.0,231.0,10581.0,12026.0,217.0,-170.0,276.0,14.0,2.0,3.0,1.0,0.0,4.0,1.0
LOLTMNT05_175361,complete,LFL,2026.0,0.0,1.0,16.03,Red,bot,wanan,Inferno Drive Tokyo,0.0,Ezreal,Yunara,LeBlanc,Rumble,Sivir,Lucian,2130.0,1.0,5.0,2.0,9.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.5634,0.9296,1.0,0.0,15.0,5.0,6.0,36.0,18437.0,13816.0,389.1831,17333.0,332.0,323.0,9.0,9.3521,3466.0,3763.0,85.0,3214.0,3091.0,75.0,252.0,672.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,5602.0,5485.0,129.0,5532.0,5212.0,129.0,70.0,273.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9314.0,8425.0,192.0,7925.0,7841.0,186.0,1389.0,584.0,6.0,3.0,2.0,0.0,0.0,1.0,2.0,12523.0,11879.0,229.0,10465.0,10313.0,247.0,2058.0,1566.0,-18.0,4.0,7.0,0.0,1.0,1.0,3.0
