gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_173017,complete,LIT,2026.0,0.0,1.0,16.01,Red,top,Smurfe,A One Man Army Prime,0.0,Aatrox,Jayce,Orianna,Rumble,Braum,Leona,2112.0,1.0,6.0,2.0,8.0,27.0,12.0,1.0,0.0,0.0,0.0,1.0,0.767,1.108,0.0,0.0,18.0,17.0,10.0,75.0,14940.0,10356.0,294.2045,13550.0,268.0,262.0,6.0,7.6136,3966.0,5629.0,89.0,2994.0,4914.0,73.0,972.0,715.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,6175.0,9614.0,143.0,4363.0,7929.0,111.0,1812.0,1685.0,32.0,2.0,1.0,0.0,0.0,0.0,2.0,9183.0,13143.0,188.0,6098.0,10865.0,162.0,3085.0,2278.0,26.0,4.0,2.0,1.0,0.0,0.0,3.0,10573.0,14571.0,220.0,7501.0,12655.0,187.0,3072.0,1916.0,33.0,4.0,2.0,1.0,0.0,1.0,3.0
LOLTMNT05_173017,complete,LIT,2026.0,0.0,1.0,16.01,Red,jng,Dome,A One Man Army Prime,0.0,Taliyah,Jayce,Orianna,Rumble,Braum,Leona,2112.0,1.0,11.0,1.0,9.0,27.0,12.0,1.0,0.0,0.0,0.0,0.0,0.767,1.108,2.0,0.0,12.0,8.0,4.0,55.0,18366.0,13782.0,391.5341,15800.0,317.0,32.0,285.0,9.0057,4287.0,4332.0,82.0,3565.0,4110.0,77.0,722.0,222.0,5.0,2.0,2.0,1.0,0.0,2.0,3.0,6564.0,7516.0,127.0,5145.0,6202.0,114.0,1419.0,1314.0,13.0,4.0,3.0,1.0,0.0,2.0,5.0,10125.0,11414.0,183.0,7571.0,8889.0,144.0,2554.0,2525.0,39.0,6.0,5.0,1.0,1.0,4.0,6.0,11644.0,13854.0,216.0,9087.0,10286.0,158.0,2557.0,3568.0,58.0,6.0,5.0,1.0,2.0,4.0,6.0
LOLTMNT05_173017,complete,LIT,2026.0,0.0,1.0,16.01,Red,mid,Artoria,A One Man Army Prime,0.0,Tristana,Jayce,Orianna,Rumble,Braum,Leona,2112.0,1.0,5.0,2.0,9.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.767,1.108,0.0,0.0,18.0,12.0,6.0,53.0,16757.0,12173.0,345.8239,16100.0,330.0,318.0,12.0,9.375,3791.0,5228.0,90.0,3534.0,5391.0,103.0,257.0,-163.0,-13.0,1.0,2.0,0.0,0.0,0.0,0.0,6188.0,8023.0,146.0,5270.0,7959.0,155.0,918.0,64.0,-9.0,1.0,3.0,0.0,0.0,0.0,0.0,9745.0,12392.0,210.0,8000.0,10343.0,196.0,1745.0,2049.0,14.0,3.0,6.0,0.0,1.0,0.0,2.0,11682.0,15197.0,271.0,9812.0,12243.0,236.0,1870.0,2954.0,35.0,3.0,6.0,0.0,1.0,1.0,2.0
LOLTMNT05_173017,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,Xay,A One Man Army Prime,0.0,Varus,Jayce,Orianna,Rumble,Braum,Leona,2112.0,1.0,3.0,3.0,12.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.767,1.108,0.0,0.0,13.0,4.0,3.0,33.0,16666.0,12082.0,343.2386,15200.0,311.0,307.0,4.0,8.8352,4409.0,3699.0,73.0,4754.0,3859.0,85.0,-345.0,-160.0,-12.0,2.0,4.0,1.0,3.0,0.0,1.0,6640.0,6442.0,133.0,7552.0,6038.0,143.0,-912.0,404.0,-10.0,2.0,5.0,1.0,3.0,0.0,1.0,9470.0,9102.0,178.0,10490.0,9175.0,205.0,-1020.0,-73.0,-27.0,2.0,8.0,2.0,4.0,2.0,2.0,11475.0,11193.0,227.0,13745.0,12164.0,284.0,-2270.0,-971.0,-57.0,2.0,8.0,2.0,4.0,3.0,2.0
LOLTMNT05_173017,complete,LIT,2026.0,0.0,1.0,16.01,Red,sup,Urban,A One Man Army Prime,0.0,Nautilus,Jayce,Orianna,Rumble,Braum,Leona,2112.0,1.0,2.0,4.0,10.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.767,1.108,0.0,0.0,63.0,11.0,7.0,124.0,9451.0,4867.0,138.267,8575.0,30.0,30.0,0.0,0.8523,2780.0,2644.0,13.0,2752.0,2583.0,17.0,28.0,61.0,-4.0,1.0,3.0,1.0,0.0,3.0,2.0,4003.0,3928.0,19.0,3883.0,3946.0,28.0,120.0,-18.0,-9.0,1.0,5.0,1.0,0.0,3.0,2.0,5611.0,5477.0,26.0,5263.0,5241.0,35.0,348.0,236.0,-9.0,2.0,6.0,2.0,0.0,5.0,4.0,6738.0,6141.0,30.0,6426.0,6221.0,38.0,312.0,-80.0,-8.0,2.0,6.0,3.0,0.0,6.0,4.0
LOLTMNT05_173017,complete,LIT,2026.0,0.0,1.0,16.01,Red,team,,A One Man Army Prime,0.0,,Jayce,Orianna,Rumble,Braum,Leona,2112.0,1.0,27.0,12.0,48.0,27.0,12.0,2.0,0.0,0.0,0.0,1.0,0.767,1.108,2.0,0.0,124.0,52.0,30.0,340.0,76180.0,53260.0,1513.0682,69225.0,,949.0,307.0,35.6818,19233.0,21532.0,347.0,17599.0,20857.0,355.0,1634.0,675.0,-8.0,7.0,11.0,3.0,3.0,5.0,7.0,29570.0,35523.0,568.0,26213.0,32074.0,551.0,3357.0,3449.0,17.0,10.0,17.0,3.0,3.0,5.0,10.0,44134.0,51528.0,785.0,37422.0,44513.0,742.0,6712.0,7015.0,43.0,17.0,27.0,6.0,6.0,11.0,17.0,52112.0,60956.0,964.0,46571.0,53569.0,903.0,5541.0,7387.0,61.0,17.0,27.0,7.0,7.0,15.0,17.0
LOLTMNT06_165030,complete,LFL,2026.0,0.0,1.0,16.01,Blue,top,Smurfe,A One Man Army Prime,1.0,Aatrox,Malphite,Ryze,Yunara,Braum,Nautilus,2698.0,1.0,7.0,1.0,6.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.2891,0.5782,0.0,0.0,21.0,14.0,9.0,78.0,18505.0,12725.0,282.9874,16725.0,334.0,314.0,20.0,7.4277,3405.0,5255.0,88.0,3647.0,5348.0,96.0,-242.0,-93.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,5198.0,8931.0,144.0,5235.0,8835.0,145.0,-37.0,96.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,8266.0,12885.0,201.0,7558.0,12390.0,201.0,708.0,495.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,10685.0,16069.0,230.0,9791.0,15127.0,250.0,894.0,942.0,-20.0,4.0,1.0,0.0,1.0,0.0,2.0
LOLTMNT06_165030,complete,LFL,2026.0,0.0,1.0,16.01,Blue,jng,Dome,A One Man Army Prime,1.0,Dr. Mundo,Malphite,Ryze,Yunara,Braum,Nautilus,2698.0,1.0,1.0,1.0,7.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.2891,0.5782,1.0,1.0,9.0,17.0,4.0,73.0,16562.0,10782.0,239.7776,14650.0,299.0,50.0,249.0,6.6494,3392.0,4040.0,79.0,4102.0,4689.0,83.0,-710.0,-649.0,-4.0,0.0,0.0,0.0,1.0,1.0,0.0,5166.0,6633.0,127.0,5914.0,7537.0,129.0,-748.0,-904.0,-2.0,0.0,0.0,0.0,1.0,2.0,0.0,7247.0,9477.0,163.0,7909.0,9907.0,164.0,-662.0,-430.0,-1.0,0.0,2.0,0.0,2.0,2.0,1.0,9327.0,12011.0,200.0,9436.0,11720.0,191.0,-109.0,291.0,9.0,0.0,2.0,1.0,2.0,3.0,2.0
LOLTMNT06_165030,complete,LFL,2026.0,0.0,1.0,16.01,Blue,mid,Artoria,A One Man Army Prime,1.0,Orianna,Malphite,Ryze,Yunara,Braum,Nautilus,2698.0,1.0,3.0,7.0,5.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.2891,0.5782,0.0,0.0,17.0,10.0,8.0,58.0,16503.0,10723.0,238.4655,14750.0,336.0,328.0,8.0,7.4722,3312.0,4702.0,87.0,3738.0,5603.0,94.0,-426.0,-901.0,-7.0,0.0,0.0,2.0,1.0,1.0,0.0,4888.0,7066.0,131.0,5829.0,8602.0,151.0,-941.0,-1536.0,-20.0,0.0,0.0,2.0,1.0,2.0,0.0,6628.0,9676.0,181.0,8169.0,11816.0,207.0,-1541.0,-2140.0,-26.0,0.0,0.0,4.0,1.0,4.0,0.0,9120.0,12992.0,222.0,10260.0,14614.0,259.0,-1140.0,-1622.0,-37.0,1.0,1.0,4.0,2.0,4.0,0.0
LOLTMNT06_165030,complete,LFL,2026.0,0.0,1.0,16.01,Blue,bot,Xay,A One Man Army Prime,1.0,Xayah,Malphite,Ryze,Yunara,Braum,Nautilus,2698.0,1.0,2.0,3.0,6.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.2891,0.5782,1.0,0.0,11.0,16.0,1.0,46.0,20498.0,14718.0,327.3091,18625.0,466.0,414.0,52.0,10.3632,3226.0,3464.0,84.0,3536.0,3426.0,100.0,-310.0,38.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,5062.0,5311.0,127.0,5968.0,5347.0,148.0,-906.0,-36.0,-21.0,0.0,0.0,1.0,1.0,0.0,0.0,7248.0,8223.0,196.0,8463.0,8098.0,212.0,-1215.0,125.0,-16.0,0.0,0.0,1.0,1.0,0.0,0.0,10091.0,12302.0,264.0,10761.0,10314.0,264.0,-670.0,1988.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
