gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Blue,top,alishor,ALMO Players,1.0,Renekton,Neeko,Akali,Sylas,Xayah,Sivir,1506.0,0.0,2.0,3.0,3.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3187,1.1155,0.0,0.0,5.0,2.0,0.0,13.0,8365.0,5017.0,199.8805,8350.0,205.0,204.0,1.0,8.1673,3673.0,5014.0,93.0,3522.0,5162.0,97.0,151.0,-148.0,-4.0,1.0,0.0,0.0,0.0,0.0,1.0,5498.0,8484.0,136.0,5825.0,8875.0,155.0,-327.0,-391.0,-19.0,2.0,1.0,0.0,0.0,0.0,1.0,7059.0,11185.0,173.0,8625.0,11878.0,197.0,-1566.0,-693.0,-24.0,2.0,3.0,1.0,3.0,2.0,2.0,8352.0,13253.0,205.0,11341.0,16019.0,229.0,-2989.0,-2766.0,-24.0,2.0,3.0,3.0,6.0,3.0,2.0
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Blue,jng,hammerul,ALMO Players,1.0,Malphite,Neeko,Akali,Sylas,Xayah,Sivir,1506.0,0.0,2.0,3.0,6.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3187,1.1155,0.0,1.0,4.0,5.0,2.0,19.0,8325.0,4977.0,198.2869,7950.0,156.0,18.0,138.0,6.2151,4226.0,4201.0,78.0,4132.0,5063.0,90.0,94.0,-862.0,-12.0,2.0,1.0,0.0,1.0,1.0,0.0,5853.0,6532.0,115.0,6237.0,8085.0,138.0,-384.0,-1553.0,-23.0,2.0,3.0,0.0,2.0,1.0,0.0,7206.0,8393.0,141.0,8939.0,10988.0,177.0,-1733.0,-2595.0,-36.0,2.0,5.0,1.0,2.0,6.0,0.0,8312.0,9937.0,156.0,11559.0,15242.0,215.0,-3247.0,-5305.0,-59.0,2.0,6.0,3.0,3.0,10.0,0.0
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Blue,mid,Faded,ALMO Players,1.0,Cassiopeia,Neeko,Akali,Sylas,Xayah,Sivir,1506.0,0.0,0.0,7.0,5.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3187,1.1155,0.0,0.0,10.0,4.0,1.0,21.0,8080.0,4732.0,188.5259,7875.0,200.0,200.0,0.0,7.9681,3408.0,4711.0,83.0,4358.0,5218.0,87.0,-950.0,-507.0,-4.0,0.0,2.0,3.0,2.0,1.0,1.0,5124.0,7150.0,133.0,6666.0,8656.0,161.0,-1542.0,-1506.0,-28.0,0.0,2.0,4.0,2.0,2.0,1.0,6717.0,9472.0,172.0,9973.0,12173.0,234.0,-3256.0,-2701.0,-62.0,0.0,4.0,5.0,2.0,2.0,1.0,8067.0,12906.0,200.0,14808.0,18512.0,306.0,-6741.0,-5606.0,-106.0,0.0,5.0,7.0,7.0,5.0,1.0
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Blue,bot,Azu,ALMO Players,1.0,Smolder,Neeko,Akali,Sylas,Xayah,Sivir,1506.0,0.0,4.0,3.0,2.0,8.0,20.0,1.0,0.0,0.0,0.0,0.0,0.3187,1.1155,0.0,0.0,8.0,5.0,0.0,17.0,11138.0,7790.0,310.3586,11100.0,222.0,219.0,3.0,8.8446,3132.0,3643.0,71.0,3601.0,3792.0,95.0,-469.0,-149.0,-24.0,0.0,1.0,0.0,0.0,0.0,1.0,5401.0,5847.0,114.0,6282.0,6093.0,142.0,-881.0,-246.0,-28.0,1.0,2.0,0.0,1.0,0.0,2.0,8498.0,7924.0,157.0,9702.0,8392.0,189.0,-1204.0,-468.0,-32.0,3.0,2.0,1.0,3.0,2.0,3.0,11125.0,10678.0,222.0,12785.0,11880.0,234.0,-1660.0,-1202.0,-12.0,4.0,2.0,3.0,3.0,7.0,4.0
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Blue,sup,GaraXy,ALMO Players,1.0,Alistar,Neeko,Akali,Sylas,Xayah,Sivir,1506.0,0.0,0.0,4.0,6.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3187,1.1155,0.0,0.0,44.0,5.0,11.0,78.0,5644.0,2296.0,91.4741,5495.0,21.0,21.0,0.0,0.8367,2222.0,3008.0,13.0,2445.0,3049.0,14.0,-223.0,-41.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,3446.0,4294.0,18.0,3688.0,4655.0,17.0,-242.0,-361.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,4649.0,5307.0,20.0,5181.0,6264.0,18.0,-532.0,-957.0,2.0,0.0,5.0,2.0,0.0,6.0,1.0,5625.0,7155.0,21.0,7546.0,10155.0,21.0,-1921.0,-3000.0,0.0,0.0,6.0,4.0,1.0,14.0,1.0
LOLTMNT04_147222,complete,NLC,2026.0,0.0,1.0,16.01,Blue,team,,ALMO Players,1.0,,Neeko,Akali,Sylas,Xayah,Sivir,1506.0,0.0,8.0,20.0,22.0,8.0,20.0,1.0,0.0,0.0,0.0,0.0,0.3187,1.1155,0.0,1.0,71.0,21.0,14.0,148.0,41552.0,24813.0,988.5657,40770.0,,662.0,142.0,32.0319,16661.0,20577.0,338.0,18058.0,22284.0,383.0,-1397.0,-1707.0,-45.0,3.0,5.0,3.0,3.0,2.0,3.0,25322.0,32307.0,516.0,28698.0,36364.0,613.0,-3376.0,-4057.0,-97.0,5.0,11.0,5.0,5.0,4.0,5.0,34129.0,42281.0,663.0,42420.0,49695.0,815.0,-8291.0,-7414.0,-152.0,7.0,19.0,10.0,10.0,18.0,7.0,41481.0,53929.0,804.0,58039.0,71808.0,1005.0,-16558.0,-17879.0,-201.0,8.0,22.0,20.0,20.0,39.0,8.0
LOLTMNT03_337434,complete,HLL,2026.0,0.0,2.0,16.01,Red,top,alishor,ALMO Players,0.0,Sion,Neeko,Ambessa,Jayce,Karma,Rakan,1895.0,1.0,1.0,3.0,11.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.8549,1.2665,0.0,0.0,9.0,1.0,0.0,20.0,10987.0,6846.0,216.7599,10650.0,232.0,232.0,0.0,7.3456,3463.0,5286.0,91.0,3384.0,5251.0,92.0,79.0,35.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5080.0,8767.0,132.0,5083.0,8849.0,142.0,-3.0,-82.0,-10.0,0.0,3.0,1.0,0.0,0.0,1.0,7129.0,12112.0,181.0,7702.0,12429.0,202.0,-573.0,-317.0,-21.0,1.0,4.0,1.0,1.0,0.0,1.0,8800.0,15183.0,204.0,10070.0,14404.0,234.0,-1270.0,779.0,-30.0,1.0,7.0,1.0,3.0,0.0,3.0
LOLTMNT03_337434,complete,HLL,2026.0,0.0,2.0,16.01,Red,jng,hammerul,ALMO Players,0.0,Sejuani,Neeko,Ambessa,Jayce,Karma,Rakan,1895.0,1.0,5.0,0.0,16.0,27.0,13.0,1.0,0.0,0.0,0.0,1.0,0.8549,1.2665,2.0,0.0,5.0,0.0,3.0,25.0,13537.0,9396.0,297.4987,11825.0,209.0,26.0,183.0,6.6174,4153.0,3634.0,62.0,3483.0,4294.0,85.0,670.0,-660.0,-23.0,3.0,2.0,0.0,0.0,0.0,1.0,6123.0,6871.0,107.0,5388.0,7242.0,129.0,735.0,-371.0,-22.0,3.0,5.0,0.0,0.0,1.0,2.0,7554.0,8961.0,133.0,7127.0,9487.0,165.0,427.0,-526.0,-32.0,3.0,7.0,0.0,0.0,2.0,3.0,9915.0,12936.0,168.0,8891.0,12332.0,206.0,1024.0,604.0,-38.0,4.0,11.0,0.0,0.0,3.0,4.0
LOLTMNT03_337434,complete,HLL,2026.0,0.0,2.0,16.01,Red,mid,Faded,ALMO Players,0.0,Kassadin,Neeko,Ambessa,Jayce,Karma,Rakan,1895.0,1.0,12.0,3.0,4.0,27.0,13.0,3.0,1.0,1.0,0.0,0.0,0.8549,1.2665,0.0,0.0,12.0,5.0,1.0,31.0,16849.0,12708.0,402.3641,14925.0,283.0,271.0,12.0,8.9604,3415.0,5348.0,93.0,3600.0,5064.0,98.0,-185.0,284.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,6050.0,8071.0,132.0,5894.0,7885.0,142.0,156.0,186.0,-10.0,3.0,0.0,1.0,2.0,0.0,1.0,8080.0,11154.0,185.0,8325.0,10958.0,204.0,-245.0,196.0,-19.0,3.0,1.0,1.0,2.0,1.0,2.0,11313.0,17069.0,237.0,9659.0,12775.0,235.0,1654.0,4294.0,2.0,6.0,4.0,1.0,2.0,2.0,2.0
LOLTMNT03_337434,complete,HLL,2026.0,0.0,2.0,16.01,Red,bot,Azu,ALMO Players,0.0,Lucian,Neeko,Ambessa,Jayce,Karma,Rakan,1895.0,1.0,8.0,4.0,8.0,27.0,13.0,1.0,0.0,0.0,0.0,1.0,0.8549,1.2665,0.0,0.0,9.0,9.0,0.0,25.0,16176.0,12035.0,381.0554,16330.0,271.0,264.0,7.0,8.5805,4175.0,3410.0,74.0,3626.0,3179.0,81.0,549.0,231.0,-7.0,2.0,3.0,1.0,1.0,0.0,2.0,6305.0,5703.0,134.0,6519.0,5283.0,141.0,-214.0,420.0,-7.0,2.0,3.0,1.0,1.0,0.0,2.0,9067.0,8609.0,189.0,8934.0,7589.0,197.0,133.0,1020.0,-8.0,4.0,4.0,1.0,1.0,1.0,2.0,12298.0,11854.0,231.0,10231.0,9134.0,224.0,2067.0,2720.0,7.0,7.0,6.0,1.0,1.0,2.0,5.0
