gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_327034,complete,LCKC,2026.0,0.0,1.0,16.01,Red,top,Metys,Andromeda Gaming,0.0,Camille,Ekko,Malphite,Jayce,Karma,Neeko,1766.0,1.0,6.0,0.0,3.0,26.0,9.0,1.0,1.0,0.0,0.0,0.0,0.8834,1.1891,0.0,0.0,13.0,2.0,0.0,33.0,13275.0,9397.0,319.2639,11683.0,245.0,241.0,4.0,8.3239,3101.0,4979.0,83.0,3527.0,4899.0,87.0,-426.0,80.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4691.0,8613.0,125.0,4893.0,8006.0,124.0,-202.0,607.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6797.0,11533.0,171.0,6900.0,11224.0,165.0,-103.0,309.0,6.0,0.0,1.0,0.0,1.0,1.0,3.0,9445.0,14859.0,218.0,8469.0,13389.0,197.0,976.0,1470.0,21.0,1.0,1.0,0.0,1.0,2.0,3.0
LOLTMNT01_327034,complete,LCKC,2026.0,0.0,1.0,16.01,Red,jng,Pongo,Andromeda Gaming,0.0,Naafiri,Ekko,Malphite,Jayce,Karma,Neeko,1766.0,1.0,10.0,3.0,8.0,26.0,9.0,2.0,0.0,0.0,0.0,1.0,0.8834,1.1891,0.0,0.0,7.0,11.0,6.0,47.0,14773.0,10895.0,370.1586,12475.0,233.0,22.0,211.0,7.9162,4051.0,3791.0,68.0,3546.0,3862.0,76.0,505.0,-71.0,-8.0,2.0,1.0,1.0,0.0,1.0,1.0,6333.0,7009.0,114.0,4920.0,5486.0,106.0,1413.0,1523.0,8.0,3.0,3.0,1.0,0.0,1.0,1.0,10035.0,10727.0,154.0,6812.0,8014.0,126.0,3223.0,2713.0,28.0,9.0,4.0,2.0,1.0,2.0,4.0,12389.0,14214.0,211.0,8286.0,10221.0,150.0,4103.0,3993.0,61.0,9.0,4.0,2.0,1.0,3.0,4.0
LOLTMNT01_327034,complete,LCKC,2026.0,0.0,1.0,16.01,Red,mid,TalentLess,Andromeda Gaming,0.0,Syndra,Ekko,Malphite,Jayce,Karma,Neeko,1766.0,1.0,0.0,2.0,10.0,26.0,9.0,0.0,0.0,0.0,0.0,1.0,0.8834,1.1891,0.0,0.0,11.0,5.0,1.0,26.0,12363.0,8485.0,288.2786,11375.0,279.0,273.0,6.0,9.479,3724.0,5326.0,100.0,3706.0,5097.0,98.0,18.0,229.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,5829.0,8000.0,156.0,5366.0,8093.0,152.0,463.0,-93.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,8271.0,10776.0,199.0,7999.0,10355.0,193.0,272.0,421.0,6.0,0.0,6.0,1.0,2.0,1.0,1.0,10159.0,13018.0,256.0,10645.0,12345.0,228.0,-486.0,673.0,28.0,0.0,6.0,1.0,3.0,1.0,1.0
LOLTMNT01_327034,complete,LCKC,2026.0,0.0,1.0,16.01,Red,bot,Zelvicka,Andromeda Gaming,0.0,Varus,Ekko,Malphite,Jayce,Karma,Neeko,1766.0,1.0,10.0,2.0,5.0,26.0,9.0,2.0,0.0,0.0,0.0,0.0,0.8834,1.1891,0.0,0.0,11.0,2.0,0.0,22.0,16951.0,13073.0,444.1563,16800.0,280.0,272.0,8.0,9.513,3954.0,3674.0,96.0,3234.0,3580.0,86.0,720.0,94.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,6946.0,6065.0,144.0,5151.0,5004.0,126.0,1795.0,1061.0,18.0,4.0,1.0,0.0,0.0,0.0,2.0,11014.0,9684.0,209.0,7674.0,7632.0,175.0,3340.0,2052.0,34.0,6.0,3.0,0.0,0.0,2.0,3.0,13191.0,11478.0,250.0,10133.0,9912.0,234.0,3058.0,1566.0,16.0,6.0,3.0,1.0,0.0,2.0,4.0
LOLTMNT01_327034,complete,LCKC,2026.0,0.0,1.0,16.01,Red,sup,Cherry,Andromeda Gaming,0.0,Thresh,Ekko,Malphite,Jayce,Karma,Neeko,1766.0,1.0,0.0,2.0,19.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.8834,1.1891,0.0,0.0,38.0,12.0,3.0,100.0,8497.0,4619.0,156.9309,7040.0,39.0,39.0,0.0,1.325,2484.0,2949.0,22.0,2225.0,2695.0,17.0,259.0,254.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,3734.0,4217.0,28.0,3278.0,4136.0,25.0,456.0,81.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,5275.0,6429.0,33.0,4607.0,6052.0,27.0,668.0,377.0,6.0,0.0,11.0,2.0,1.0,0.0,4.0,6588.0,7595.0,36.0,5865.0,8202.0,29.0,723.0,-607.0,7.0,0.0,11.0,2.0,1.0,1.0,4.0
LOLTMNT01_327034,complete,LCKC,2026.0,0.0,1.0,16.01,Red,team,,Andromeda Gaming,0.0,,Ekko,Malphite,Jayce,Karma,Neeko,1766.0,1.0,26.0,9.0,45.0,26.0,9.0,5.0,1.0,0.0,0.0,1.0,0.8834,1.1891,0.0,0.0,80.0,32.0,10.0,228.0,65859.0,46468.0,1578.7542,59373.0,,847.0,229.0,36.5572,17314.0,20719.0,369.0,16238.0,20133.0,364.0,1076.0,586.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,27533.0,33904.0,567.0,23608.0,30725.0,533.0,3925.0,3179.0,34.0,7.0,11.0,1.0,1.0,1.0,7.0,41392.0,49149.0,766.0,33992.0,43277.0,686.0,7400.0,5872.0,80.0,15.0,25.0,5.0,5.0,6.0,15.0,51772.0,61164.0,971.0,43398.0,54069.0,838.0,8374.0,7095.0,133.0,16.0,25.0,6.0,6.0,9.0,16.0
LOLTMNT01_332667,complete,LCK,2026.0,0.0,1.0,16.02,Red,top,Metys,Andromeda Gaming,0.0,K'Sante,Jayce,Orianna,Aatrox,Yunara,Caitlyn,1594.0,0.0,2.0,6.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2258,1.3174,0.0,0.0,4.0,2.0,1.0,19.0,9073.0,5546.0,208.7578,8725.0,200.0,200.0,0.0,7.5282,3334.0,4468.0,71.0,3779.0,5149.0,79.0,-445.0,-681.0,-8.0,1.0,0.0,2.0,1.0,1.0,1.0,4715.0,7697.0,112.0,6360.0,9292.0,135.0,-1645.0,-1595.0,-23.0,1.0,0.0,3.0,2.0,1.0,1.0,6947.0,10257.0,152.0,8642.0,12653.0,178.0,-1695.0,-2396.0,-26.0,2.0,0.0,4.0,3.0,2.0,2.0,8822.0,12654.0,197.0,11274.0,15681.0,202.0,-2452.0,-3027.0,-5.0,2.0,0.0,5.0,3.0,7.0,2.0
LOLTMNT01_332667,complete,LCK,2026.0,0.0,1.0,16.02,Red,jng,Pongo,Andromeda Gaming,0.0,Jax,Jayce,Orianna,Aatrox,Yunara,Caitlyn,1594.0,0.0,2.0,6.0,4.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2258,1.3174,0.0,1.0,12.0,5.0,1.0,33.0,9773.0,6246.0,235.1066,9275.0,177.0,12.0,165.0,6.6625,3675.0,3726.0,71.0,3994.0,3478.0,63.0,-319.0,248.0,8.0,1.0,1.0,1.0,3.0,0.0,1.0,5427.0,6383.0,112.0,5352.0,5235.0,87.0,75.0,1148.0,25.0,1.0,2.0,2.0,3.0,1.0,1.0,7610.0,9259.0,142.0,9022.0,9200.0,129.0,-1412.0,59.0,13.0,2.0,3.0,4.0,6.0,4.0,1.0,9439.0,11277.0,172.0,11296.0,12305.0,160.0,-1857.0,-1028.0,12.0,2.0,4.0,5.0,7.0,9.0,2.0
LOLTMNT01_332667,complete,LCK,2026.0,0.0,1.0,16.02,Red,mid,TalentLess,Andromeda Gaming,0.0,Taliyah,Jayce,Orianna,Aatrox,Yunara,Caitlyn,1594.0,0.0,1.0,7.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2258,1.3174,0.0,0.0,8.0,2.0,0.0,15.0,10195.0,6668.0,250.9912,9650.0,222.0,214.0,8.0,8.3563,3350.0,4914.0,85.0,4249.0,5173.0,95.0,-899.0,-259.0,-10.0,0.0,0.0,2.0,2.0,2.0,0.0,5074.0,7358.0,134.0,6538.0,8453.0,148.0,-1464.0,-1095.0,-14.0,0.0,0.0,3.0,4.0,2.0,0.0,6971.0,9405.0,179.0,9697.0,12235.0,214.0,-2726.0,-2830.0,-35.0,0.0,0.0,4.0,5.0,4.0,0.0,9882.0,11305.0,217.0,11882.0,16937.0,263.0,-2000.0,-5632.0,-46.0,1.0,0.0,6.0,6.0,6.0,0.0
LOLTMNT01_332667,complete,LCK,2026.0,0.0,1.0,16.02,Red,bot,Zelvicka,Andromeda Gaming,0.0,Xayah,Jayce,Orianna,Aatrox,Yunara,Caitlyn,1594.0,0.0,1.0,5.0,1.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.2258,1.3174,0.0,0.0,7.0,1.0,0.0,12.0,10875.0,7348.0,276.5872,10625.0,239.0,239.0,0.0,8.9962,3437.0,4261.0,87.0,3858.0,4575.0,102.0,-421.0,-314.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,5917.0,6383.0,126.0,7412.0,7266.0,150.0,-1495.0,-883.0,-24.0,1.0,0.0,1.0,2.0,2.0,0.0,7704.0,8608.0,179.0,10423.0,10152.0,209.0,-2719.0,-1544.0,-30.0,1.0,0.0,3.0,3.0,3.0,0.0,10396.0,10989.0,226.0,15183.0,13999.0,260.0,-4787.0,-3010.0,-34.0,1.0,1.0,4.0,8.0,4.0,0.0
