gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_336222,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,top,Leaf,Arneb,1.0,K'Sante,Neeko,Karma,Caitlyn,Aurora,LeBlanc,2172.0,0.0,1.0,4.0,5.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2486,0.6906,0.0,0.0,12.0,5.0,7.0,48.0,12382.0,7676.0,212.0442,11925.0,266.0,266.0,0.0,7.3481,3323.0,4728.0,84.0,3077.0,5096.0,79.0,246.0,-368.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4901.0,8361.0,129.0,4678.0,8571.0,132.0,223.0,-210.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,7254.0,12265.0,187.0,6969.0,12207.0,195.0,285.0,58.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,8619.0,14562.0,208.0,8415.0,14534.0,224.0,204.0,28.0,-16.0,0.0,1.0,1.0,1.0,3.0,1.0
LOLTMNT01_336222,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,jng,Kania,Arneb,1.0,Jayce,Neeko,Karma,Caitlyn,Aurora,LeBlanc,2172.0,0.0,1.0,5.0,7.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2486,0.6906,2.0,0.0,12.0,19.0,11.0,70.0,14958.0,10252.0,283.2044,14825.0,217.0,29.0,188.0,5.9945,3664.0,4170.0,82.0,3843.0,4394.0,84.0,-179.0,-224.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5797.0,6683.0,130.0,5659.0,6568.0,124.0,138.0,115.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7799.0,8763.0,161.0,8058.0,9858.0,180.0,-259.0,-1095.0,-19.0,0.0,0.0,1.0,0.0,1.0,0.0,9615.0,11130.0,187.0,10470.0,13462.0,232.0,-855.0,-2332.0,-45.0,0.0,1.0,2.0,0.0,3.0,0.0
LOLTMNT01_336222,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,mid,Daemi,Arneb,1.0,Azir,Neeko,Karma,Caitlyn,Aurora,LeBlanc,2172.0,0.0,1.0,3.0,5.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2486,0.6906,0.0,0.0,16.0,2.0,6.0,31.0,13062.0,8356.0,230.8287,12300.0,302.0,296.0,6.0,8.3425,3391.0,4845.0,94.0,3445.0,5174.0,98.0,-54.0,-329.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5043.0,7543.0,146.0,5334.0,8134.0,158.0,-291.0,-591.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,6802.0,10134.0,199.0,7118.0,10867.0,216.0,-316.0,-733.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,8423.0,12702.0,228.0,9610.0,13318.0,254.0,-1187.0,-616.0,-26.0,0.0,1.0,0.0,2.0,1.0,0.0
LOLTMNT01_336222,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,bot,dresscode,Arneb,1.0,Xayah,Neeko,Karma,Caitlyn,Aurora,LeBlanc,2172.0,0.0,6.0,2.0,0.0,9.0,16.0,1.0,1.0,0.0,0.0,0.0,0.2486,0.6906,0.0,0.0,19.0,5.0,9.0,38.0,19487.0,14781.0,408.3149,18125.0,359.0,342.0,17.0,9.9171,3585.0,3722.0,96.0,3368.0,3821.0,90.0,217.0,-99.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5880.0,6205.0,152.0,6219.0,6586.0,153.0,-339.0,-381.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,7806.0,8314.0,196.0,8742.0,9796.0,210.0,-936.0,-1482.0,-14.0,0.0,0.0,1.0,0.0,1.0,0.0,10575.0,11338.0,245.0,11049.0,12132.0,258.0,-474.0,-794.0,-13.0,1.0,0.0,1.0,0.0,4.0,0.0
LOLTMNT01_336222,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,sup,Taiyaki,Arneb,1.0,Rakan,Neeko,Karma,Caitlyn,Aurora,LeBlanc,2172.0,0.0,0.0,2.0,6.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2486,0.6906,0.0,0.0,61.0,11.0,11.0,151.0,8936.0,4230.0,116.8508,8160.0,30.0,30.0,0.0,0.8287,2249.0,2549.0,12.0,2176.0,2388.0,13.0,73.0,161.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3379.0,3649.0,22.0,3373.0,3645.0,22.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4416.0,5350.0,25.0,4823.0,5185.0,23.0,-407.0,165.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,5798.0,7761.0,27.0,6533.0,6949.0,28.0,-735.0,812.0,-1.0,0.0,1.0,1.0,2.0,3.0,0.0
LOLTMNT01_336222,complete,CBLOL,2026.0,0.0,1.0,16.02,Blue,team,,Arneb,1.0,,Neeko,Karma,Caitlyn,Aurora,LeBlanc,2172.0,0.0,9.0,16.0,23.0,9.0,16.0,1.0,1.0,0.0,0.0,0.0,0.2486,0.6906,2.0,0.0,120.0,42.0,44.0,338.0,68825.0,45293.0,1251.1878,65335.0,,963.0,211.0,32.4309,16212.0,20014.0,368.0,15909.0,20873.0,364.0,303.0,-859.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,32441.0,579.0,25263.0,33504.0,589.0,-263.0,-1063.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,34077.0,44826.0,768.0,35710.0,47913.0,824.0,-1633.0,-3087.0,-56.0,0.0,0.0,2.0,2.0,3.0,0.0,43030.0,57493.0,895.0,46077.0,60395.0,996.0,-3047.0,-2902.0,-101.0,1.0,4.0,5.0,5.0,14.0,1.0
LOLTMNT01_335373,complete,LCS,2026.0,0.0,1.0,16.02,Blue,top,Leaf,Arneb,1.0,Renekton,Neeko,Rumble,Malphite,Gwen,Kennen,1621.0,1.0,4.0,0.0,1.0,31.0,5.0,1.0,0.0,0.0,0.0,0.0,1.1474,1.3325,0.0,0.0,9.0,7.0,3.0,35.0,10193.0,6611.0,244.7008,9525.0,237.0,237.0,0.0,8.7724,2878.0,4963.0,68.0,3516.0,5558.0,94.0,-638.0,-595.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,4349.0,8705.0,109.0,5602.0,9333.0,149.0,-1253.0,-628.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,6731.0,12721.0,170.0,7548.0,11972.0,190.0,-817.0,749.0,-20.0,1.0,0.0,0.0,1.0,0.0,2.0,8944.0,15483.0,217.0,10729.0,15124.0,236.0,-1785.0,359.0,-19.0,3.0,0.0,0.0,2.0,1.0,3.0
LOLTMNT01_335373,complete,LCS,2026.0,0.0,1.0,16.02,Blue,jng,Kania,Arneb,1.0,Nocturne,Neeko,Rumble,Malphite,Gwen,Kennen,1621.0,1.0,11.0,1.0,6.0,31.0,5.0,2.0,1.0,0.0,0.0,0.0,1.1474,1.3325,1.0,0.0,10.0,5.0,4.0,43.0,12983.0,9401.0,347.9704,11550.0,197.0,13.0,184.0,7.2918,3798.0,4094.0,77.0,3825.0,4071.0,84.0,-27.0,23.0,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,6391.0,7717.0,119.0,5206.0,5697.0,112.0,1185.0,2020.0,7.0,3.0,3.0,0.0,0.0,0.0,2.0,8665.0,10821.0,154.0,6515.0,7465.0,133.0,2150.0,3356.0,21.0,5.0,5.0,0.0,0.0,1.0,3.0,11276.0,13612.0,184.0,7584.0,8502.0,142.0,3692.0,5110.0,42.0,9.0,5.0,1.0,0.0,1.0,5.0
LOLTMNT01_335373,complete,LCS,2026.0,0.0,1.0,16.02,Blue,mid,Daemi,Arneb,1.0,Orianna,Neeko,Rumble,Malphite,Gwen,Kennen,1621.0,1.0,8.0,1.0,14.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,1.1474,1.3325,0.0,0.0,13.0,2.0,4.0,33.0,14854.0,11272.0,417.2239,13400.0,299.0,291.0,8.0,11.0672,3880.0,5454.0,103.0,3135.0,4612.0,80.0,745.0,842.0,23.0,0.0,1.0,0.0,0.0,0.0,1.0,6898.0,9247.0,166.0,4279.0,6162.0,110.0,2619.0,3085.0,56.0,3.0,2.0,0.0,0.0,0.0,3.0,10554.0,12956.0,223.0,6206.0,8960.0,166.0,4348.0,3996.0,57.0,6.0,5.0,0.0,0.0,1.0,4.0,13163.0,16205.0,277.0,9123.0,11637.0,212.0,4040.0,4568.0,65.0,8.0,9.0,1.0,1.0,1.0,5.0
LOLTMNT01_335373,complete,LCS,2026.0,0.0,1.0,16.02,Blue,bot,dresscode,Arneb,1.0,Yunara,Neeko,Rumble,Malphite,Gwen,Kennen,1621.0,1.0,6.0,1.0,9.0,31.0,5.0,0.0,0.0,0.0,0.0,1.0,1.1474,1.3325,0.0,0.0,14.0,8.0,6.0,34.0,15808.0,12226.0,452.5355,13200.0,250.0,242.0,8.0,9.2535,3465.0,3460.0,77.0,3708.0,3498.0,98.0,-243.0,-38.0,-21.0,0.0,1.0,0.0,0.0,0.0,1.0,6983.0,6286.0,129.0,6474.0,5632.0,142.0,509.0,654.0,-13.0,2.0,2.0,0.0,1.0,0.0,2.0,10270.0,9887.0,184.0,8614.0,8617.0,204.0,1656.0,1270.0,-20.0,4.0,4.0,0.0,1.0,1.0,3.0,13382.0,12657.0,229.0,12697.0,11528.0,261.0,685.0,1129.0,-32.0,4.0,7.0,1.0,2.0,1.0,4.0
