gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171043,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,Cripple,Axolotl,1.0,Ambessa,Zoe,Jarvan IV,Sion,Dr. Mundo,Malphite,1829.0,0.0,5.0,5.0,2.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2624,1.0169,0.0,0.0,11.0,4.0,0.0,26.0,14784.0,10777.0,353.5375,13850.0,259.0,259.0,0.0,8.4964,3465.0,4574.0,78.0,3744.0,4446.0,48.0,-279.0,128.0,30.0,0.0,2.0,2.0,3.0,0.0,1.0,6604.0,9041.0,131.0,5236.0,7412.0,80.0,1368.0,1629.0,51.0,3.0,2.0,2.0,4.0,1.0,3.0,9185.0,11815.0,170.0,6795.0,10014.0,118.0,2390.0,1801.0,52.0,4.0,2.0,2.0,4.0,1.0,3.0,11754.0,14936.0,225.0,8671.0,13227.0,142.0,3083.0,1709.0,83.0,5.0,2.0,3.0,5.0,3.0,3.0
LOLTMNT05_171043,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Elix1r,Axolotl,1.0,Nocturne,Zoe,Jarvan IV,Sion,Dr. Mundo,Malphite,1829.0,0.0,3.0,5.0,2.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2624,1.0169,0.0,1.0,5.0,4.0,3.0,26.0,10981.0,6974.0,228.7808,9575.0,193.0,16.0,177.0,6.3313,3992.0,3880.0,74.0,4273.0,4212.0,79.0,-281.0,-332.0,-5.0,2.0,0.0,1.0,2.0,2.0,0.0,6517.0,6681.0,113.0,6715.0,7573.0,133.0,-198.0,-892.0,-20.0,3.0,1.0,2.0,4.0,2.0,0.0,8245.0,8842.0,148.0,8430.0,10097.0,173.0,-185.0,-1255.0,-25.0,3.0,2.0,2.0,4.0,2.0,1.0,9742.0,10948.0,177.0,11003.0,13516.0,208.0,-1261.0,-2568.0,-31.0,3.0,2.0,3.0,6.0,4.0,1.0
LOLTMNT05_171043,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,Shack,Axolotl,1.0,Orianna,Zoe,Jarvan IV,Sion,Dr. Mundo,Malphite,1829.0,0.0,0.0,4.0,4.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2624,1.0169,0.0,0.0,9.0,8.0,2.0,41.0,10543.0,6536.0,214.4122,9800.0,271.0,267.0,4.0,8.8901,3256.0,4923.0,88.0,3561.0,5080.0,90.0,-305.0,-157.0,-2.0,0.0,1.0,1.0,0.0,4.0,1.0,5303.0,7700.0,140.0,5760.0,8152.0,142.0,-457.0,-452.0,-2.0,0.0,2.0,1.0,1.0,6.0,2.0,6822.0,10058.0,181.0,7279.0,10812.0,187.0,-457.0,-754.0,-6.0,0.0,3.0,1.0,1.0,6.0,2.0,8616.0,12092.0,226.0,9265.0,13616.0,216.0,-649.0,-1524.0,10.0,0.0,4.0,2.0,2.0,9.0,2.0
LOLTMNT05_171043,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Padawii,Axolotl,1.0,Ziggs,Zoe,Jarvan IV,Sion,Dr. Mundo,Malphite,1829.0,0.0,0.0,5.0,1.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2624,1.0169,0.0,0.0,17.0,5.0,6.0,41.0,10574.0,6567.0,215.4292,9500.0,250.0,249.0,1.0,8.2012,3188.0,4190.0,79.0,3461.0,4229.0,101.0,-273.0,-39.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,5023.0,6239.0,119.0,5758.0,7079.0,161.0,-735.0,-840.0,-42.0,0.0,0.0,2.0,0.0,1.0,0.0,7043.0,8702.0,166.0,7837.0,9963.0,223.0,-794.0,-1261.0,-57.0,0.0,1.0,2.0,0.0,1.0,0.0,8796.0,10742.0,212.0,10834.0,13099.0,276.0,-2038.0,-2357.0,-64.0,0.0,1.0,3.0,1.0,5.0,0.0
LOLTMNT05_171043,complete,LIT,2026.0,0.0,1.0,16.01,Blue,sup,Tigrot,Axolotl,1.0,Alistar,Zoe,Jarvan IV,Sion,Dr. Mundo,Malphite,1829.0,0.0,0.0,4.0,3.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2624,1.0169,0.0,0.0,56.0,15.0,9.0,120.0,7077.0,3070.0,100.7108,6440.0,29.0,29.0,0.0,0.9513,2196.0,1777.0,8.0,2475.0,2462.0,10.0,-279.0,-685.0,-2.0,0.0,2.0,1.0,0.0,4.0,0.0,3516.0,3369.0,15.0,3717.0,3191.0,18.0,-201.0,178.0,-3.0,0.0,3.0,2.0,0.0,5.0,1.0,4667.0,4079.0,23.0,4795.0,4274.0,25.0,-128.0,-195.0,-2.0,0.0,3.0,2.0,0.0,5.0,1.0,5786.0,4716.0,26.0,6018.0,6206.0,29.0,-232.0,-1490.0,-3.0,0.0,3.0,3.0,0.0,5.0,2.0
LOLTMNT05_171043,complete,LIT,2026.0,0.0,1.0,16.01,Blue,team,,Axolotl,1.0,,Zoe,Jarvan IV,Sion,Dr. Mundo,Malphite,1829.0,0.0,8.0,23.0,12.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.2624,1.0169,0.0,1.0,98.0,36.0,20.0,254.0,53959.0,33925.0,1112.9032,49165.0,,820.0,182.0,32.8704,16097.0,19344.0,327.0,17514.0,20429.0,328.0,-1417.0,-1085.0,-1.0,2.0,5.0,5.0,5.0,10.0,2.0,26963.0,33030.0,518.0,27186.0,33407.0,534.0,-223.0,-377.0,-16.0,6.0,8.0,9.0,9.0,15.0,6.0,35962.0,43496.0,688.0,35136.0,45160.0,726.0,826.0,-1664.0,-38.0,7.0,11.0,9.0,9.0,15.0,7.0,44694.0,53434.0,866.0,45791.0,59664.0,871.0,-1097.0,-6230.0,-5.0,8.0,12.0,14.0,14.0,26.0,8.0
LOLTMNT05_171070,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,Cripple,Axolotl,1.0,Aatrox,Akali,Qiyana,Neeko,Kennen,Malphite,1913.0,0.0,4.0,7.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1568,0.69,0.0,0.0,12.0,3.0,1.0,33.0,12053.0,7875.0,246.9942,11875.0,252.0,252.0,0.0,7.9038,4123.0,5436.0,87.0,3589.0,4830.0,73.0,534.0,606.0,14.0,2.0,0.0,2.0,1.0,1.0,2.0,6363.0,9385.0,137.0,5048.0,7923.0,111.0,1315.0,1462.0,26.0,3.0,0.0,2.0,1.0,1.0,3.0,8237.0,11443.0,172.0,7177.0,11179.0,161.0,1060.0,264.0,11.0,3.0,0.0,4.0,1.0,4.0,3.0,9802.0,14133.0,212.0,9143.0,13912.0,199.0,659.0,221.0,13.0,3.0,0.0,4.0,2.0,5.0,3.0
LOLTMNT05_171070,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Elix1r,Axolotl,1.0,Dr. Mundo,Akali,Qiyana,Neeko,Kennen,Malphite,1913.0,0.0,0.0,2.0,2.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1568,0.69,0.0,1.0,7.0,9.0,5.0,40.0,11287.0,7109.0,222.9692,11075.0,259.0,38.0,221.0,8.1234,3575.0,4362.0,80.0,3885.0,4680.0,86.0,-310.0,-318.0,-6.0,0.0,1.0,0.0,1.0,0.0,0.0,5400.0,6670.0,124.0,5797.0,7490.0,138.0,-397.0,-820.0,-14.0,0.0,1.0,0.0,1.0,0.0,0.0,7359.0,9698.0,169.0,8308.0,10081.0,169.0,-949.0,-383.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,8919.0,11860.0,205.0,10057.0,12390.0,206.0,-1138.0,-530.0,-1.0,0.0,2.0,1.0,2.0,6.0,1.0
LOLTMNT05_171070,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,Shack,Axolotl,1.0,Azir,Akali,Qiyana,Neeko,Kennen,Malphite,1913.0,0.0,1.0,3.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1568,0.69,0.0,0.0,11.0,4.0,3.0,41.0,10727.0,6549.0,205.4051,10535.0,260.0,254.0,6.0,8.1547,2960.0,4621.0,74.0,3889.0,5569.0,109.0,-929.0,-948.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,4802.0,7514.0,135.0,5633.0,8622.0,169.0,-831.0,-1108.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,7485.0,10305.0,186.0,7928.0,10976.0,218.0,-443.0,-671.0,-32.0,1.0,0.0,0.0,1.0,0.0,0.0,8837.0,11908.0,220.0,9962.0,13603.0,263.0,-1125.0,-1695.0,-43.0,1.0,0.0,1.0,2.0,0.0,0.0
LOLTMNT05_171070,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Jakorhs,Axolotl,1.0,Corki,Akali,Qiyana,Neeko,Kennen,Malphite,1913.0,0.0,0.0,2.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1568,0.69,0.0,0.0,9.0,1.0,1.0,17.0,12385.0,8207.0,257.4072,12183.0,315.0,315.0,0.0,9.8798,3416.0,4500.0,95.0,3278.0,4313.0,80.0,138.0,187.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,5703.0,6931.0,147.0,5833.0,7284.0,142.0,-130.0,-353.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7659.0,9147.0,193.0,8780.0,10069.0,197.0,-1121.0,-922.0,-4.0,0.0,0.0,1.0,1.0,2.0,0.0,9716.0,11657.0,255.0,11118.0,12701.0,253.0,-1402.0,-1044.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0
