gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Blue,top,BOO YonYon,Bamboo Juice,1.0,Ryze,Neeko,Yorick,Ambessa,Lulu,K'Sante,1776.0,1.0,4.0,1.0,7.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.9122,1.1824,0.0,0.0,16.0,8.0,3.0,52.0,14285.0,10386.0,350.8784,15225.0,301.0,295.0,6.0,10.1689,3786.0,4972.0,90.0,3133.0,5177.0,72.0,653.0,-205.0,18.0,1.0,0.0,1.0,0.0,1.0,1.0,5816.0,8790.0,147.0,4779.0,8650.0,127.0,1037.0,140.0,20.0,1.0,0.0,1.0,0.0,1.0,1.0,8593.0,12446.0,207.0,6931.0,11709.0,178.0,1662.0,737.0,29.0,2.0,1.0,1.0,1.0,1.0,2.0,10867.0,14746.0,248.0,9048.0,14074.0,209.0,1819.0,672.0,39.0,2.0,3.0,1.0,2.0,1.0,3.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Blue,jng,Blender,Bamboo Juice,1.0,Skarner,Neeko,Yorick,Ambessa,Lulu,K'Sante,1776.0,1.0,7.0,1.0,19.0,27.0,8.0,0.0,0.0,0.0,0.0,1.0,0.9122,1.1824,1.0,0.0,2.0,5.0,2.0,20.0,13734.0,9835.0,332.2635,11850.0,221.0,11.0,210.0,7.4662,4215.0,4433.0,78.0,3283.0,3431.0,66.0,932.0,1002.0,12.0,2.0,2.0,0.0,0.0,1.0,0.0,6397.0,7015.0,116.0,4612.0,5314.0,94.0,1785.0,1701.0,22.0,3.0,6.0,0.0,0.0,1.0,1.0,8413.0,9756.0,152.0,5931.0,7653.0,120.0,2482.0,2103.0,32.0,3.0,9.0,0.0,0.0,1.0,2.0,10942.0,13098.0,185.0,7420.0,9874.0,148.0,3522.0,3224.0,37.0,5.0,11.0,1.0,0.0,2.0,3.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Blue,mid,BOO RURURU,Bamboo Juice,1.0,Hwei,Neeko,Yorick,Ambessa,Lulu,K'Sante,1776.0,1.0,5.0,0.0,12.0,27.0,8.0,1.0,0.0,0.0,0.0,0.0,0.9122,1.1824,0.0,0.0,13.0,8.0,4.0,48.0,11948.0,8049.0,271.9257,9450.0,235.0,233.0,2.0,7.9392,3328.0,5403.0,87.0,3651.0,4798.0,81.0,-323.0,605.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,5320.0,7994.0,131.0,5363.0,7237.0,125.0,-43.0,757.0,6.0,0.0,3.0,0.0,1.0,1.0,2.0,7120.0,11220.0,184.0,6932.0,9671.0,168.0,188.0,1549.0,16.0,0.0,4.0,0.0,1.0,1.0,3.0,9383.0,13861.0,225.0,8924.0,12109.0,213.0,459.0,1752.0,12.0,1.0,5.0,0.0,1.0,2.0,4.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Blue,bot,BOO KAIRU,Bamboo Juice,1.0,Varus,Neeko,Yorick,Ambessa,Lulu,K'Sante,1776.0,1.0,8.0,3.0,8.0,27.0,8.0,2.0,0.0,0.0,0.0,1.0,0.9122,1.1824,0.0,0.0,9.0,1.0,1.0,13.0,15070.0,11171.0,377.3986,14325.0,266.0,262.0,4.0,8.9865,3652.0,3092.0,80.0,3465.0,3725.0,87.0,187.0,-633.0,-7.0,1.0,1.0,1.0,0.0,1.0,1.0,6886.0,5635.0,133.0,5395.0,5300.0,124.0,1491.0,335.0,9.0,4.0,1.0,1.0,0.0,1.0,2.0,9575.0,8442.0,186.0,8141.0,7432.0,189.0,1434.0,1010.0,-3.0,5.0,2.0,2.0,0.0,1.0,2.0,11915.0,11116.0,243.0,11509.0,10020.0,244.0,406.0,1096.0,-1.0,5.0,3.0,2.0,1.0,2.0,2.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Blue,sup,BOO SEKAI,Bamboo Juice,1.0,Rell,Neeko,Yorick,Ambessa,Lulu,K'Sante,1776.0,1.0,3.0,3.0,21.0,27.0,8.0,0.0,0.0,0.0,0.0,1.0,0.9122,1.1824,0.0,0.0,36.0,22.0,5.0,110.0,9733.0,5834.0,197.0946,9005.0,38.0,38.0,0.0,1.2838,2504.0,2374.0,18.0,2662.0,2445.0,11.0,-158.0,-71.0,7.0,0.0,3.0,0.0,1.0,0.0,1.0,4618.0,3762.0,26.0,3666.0,3600.0,17.0,952.0,162.0,9.0,1.0,7.0,0.0,1.0,0.0,3.0,6320.0,5298.0,33.0,4713.0,6369.0,18.0,1607.0,-1071.0,15.0,2.0,9.0,0.0,1.0,0.0,3.0,8025.0,6648.0,38.0,5788.0,7838.0,25.0,2237.0,-1190.0,13.0,3.0,11.0,1.0,1.0,0.0,4.0
LOLTMNT04_152461,complete,LEC,2026.0,0.0,1.0,16.02,Blue,team,,Bamboo Juice,1.0,,Neeko,Yorick,Ambessa,Lulu,K'Sante,1776.0,1.0,27.0,8.0,67.0,27.0,8.0,3.0,0.0,0.0,0.0,1.0,0.9122,1.1824,1.0,0.0,76.0,44.0,15.0,243.0,64770.0,45277.0,1529.6284,59855.0,,839.0,222.0,35.8446,17485.0,20274.0,353.0,16194.0,19576.0,317.0,1291.0,698.0,36.0,4.0,7.0,2.0,2.0,4.0,4.0,29037.0,33196.0,553.0,23815.0,30101.0,487.0,5222.0,3095.0,66.0,9.0,17.0,2.0,2.0,4.0,9.0,40021.0,47162.0,762.0,32648.0,42834.0,673.0,7373.0,4328.0,89.0,12.0,25.0,3.0,3.0,4.0,12.0,51132.0,59469.0,939.0,42689.0,53915.0,839.0,8443.0,5554.0,100.0,16.0,33.0,5.0,5.0,7.0,16.0
LOLTMNT01_336316,complete,LCS,2026.0,0.0,1.0,16.02,Blue,top,BOO YonYon,Bamboo Juice,1.0,Ryze,Orianna,Irelia,Jayce,Braum,Ambessa,1458.0,0.0,3.0,10.0,2.0,17.0,36.0,0.0,0.0,0.0,0.0,1.0,0.6996,2.1811,0.0,0.0,8.0,0.0,0.0,12.0,7095.0,3845.0,158.2305,6750.0,111.0,111.0,0.0,4.5679,2899.0,3474.0,44.0,3792.0,4650.0,76.0,-893.0,-1176.0,-32.0,1.0,0.0,1.0,2.0,0.0,1.0,5009.0,7274.0,72.0,5846.0,8171.0,108.0,-837.0,-897.0,-36.0,3.0,0.0,4.0,4.0,0.0,3.0,6193.0,9218.0,94.0,9836.0,11544.0,151.0,-3643.0,-2326.0,-57.0,3.0,2.0,7.0,10.0,0.0,3.0,7095.0,10266.0,111.0,12939.0,15522.0,184.0,-5844.0,-5256.0,-73.0,3.0,2.0,10.0,13.0,5.0,4.0
LOLTMNT01_336316,complete,LCS,2026.0,0.0,1.0,16.02,Blue,jng,Blender,Bamboo Juice,1.0,Xin Zhao,Orianna,Irelia,Jayce,Braum,Ambessa,1458.0,0.0,10.0,9.0,4.0,17.0,36.0,1.0,0.0,0.0,0.0,1.0,0.6996,2.1811,0.0,1.0,1.0,2.0,2.0,15.0,12018.0,8768.0,360.823,11900.0,111.0,11.0,100.0,4.5679,3840.0,2956.0,40.0,3274.0,3284.0,68.0,566.0,-328.0,-28.0,3.0,2.0,3.0,0.0,2.0,2.0,6690.0,6165.0,81.0,5775.0,6622.0,107.0,915.0,-457.0,-26.0,5.0,2.0,4.0,2.0,5.0,3.0,9695.0,7868.0,97.0,8788.0,9910.0,139.0,907.0,-2042.0,-42.0,8.0,3.0,6.0,5.0,11.0,3.0,12018.0,9817.0,111.0,10811.0,12518.0,154.0,1207.0,-2701.0,-43.0,10.0,4.0,9.0,5.0,17.0,4.0
LOLTMNT01_336316,complete,LCS,2026.0,0.0,1.0,16.02,Blue,mid,BOO RURURU,Bamboo Juice,1.0,Galio,Orianna,Irelia,Jayce,Braum,Ambessa,1458.0,0.0,1.0,6.0,7.0,17.0,36.0,0.0,0.0,0.0,0.0,0.0,0.6996,2.1811,0.0,0.0,10.0,0.0,0.0,17.0,7894.0,4644.0,191.1111,7750.0,160.0,160.0,0.0,6.5844,2898.0,4451.0,66.0,4698.0,5294.0,93.0,-1800.0,-843.0,-27.0,0.0,0.0,2.0,2.0,1.0,0.0,4676.0,7432.0,109.0,6612.0,7780.0,142.0,-1936.0,-348.0,-33.0,0.0,2.0,3.0,2.0,3.0,1.0,5988.0,9634.0,131.0,8803.0,10614.0,179.0,-2815.0,-980.0,-48.0,0.0,6.0,4.0,2.0,9.0,3.0,7894.0,11914.0,160.0,11436.0,13477.0,209.0,-3542.0,-1563.0,-49.0,1.0,7.0,6.0,3.0,14.0,3.0
LOLTMNT01_336316,complete,LCS,2026.0,0.0,1.0,16.02,Blue,bot,BOO KAIRU,Bamboo Juice,1.0,Varus,Orianna,Irelia,Jayce,Braum,Ambessa,1458.0,0.0,3.0,5.0,2.0,17.0,36.0,0.0,0.0,0.0,0.0,0.0,0.6996,2.1811,0.0,0.0,8.0,5.0,0.0,21.0,9385.0,6135.0,252.4691,9100.0,187.0,187.0,0.0,7.6955,3836.0,3485.0,75.0,4438.0,3842.0,86.0,-602.0,-357.0,-11.0,2.0,0.0,1.0,3.0,1.0,2.0,5947.0,5711.0,123.0,9016.0,6747.0,146.0,-3069.0,-1036.0,-23.0,2.0,0.0,2.0,6.0,2.0,2.0,7970.0,7575.0,160.0,12230.0,9491.0,190.0,-4260.0,-1916.0,-30.0,3.0,0.0,4.0,6.0,7.0,3.0,9385.0,9187.0,187.0,16553.0,13356.0,219.0,-7168.0,-4169.0,-32.0,3.0,2.0,5.0,13.0,9.0,3.0
