gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,Leks,Bulldog Esports,1.0,Jax,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,4.0,0.0,7.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.4852,0.7624,0.0,0.0,18.0,5.0,4.0,49.0,19573.0,14000.0,323.4501,18550.0,425.0,413.0,12.0,9.819,3762.0,5326.0,94.0,3249.0,4994.0,84.0,513.0,332.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,6250.0,8829.0,139.0,5150.0,8032.0,126.0,1100.0,797.0,13.0,1.0,2.0,0.0,1.0,0.0,2.0,8280.0,12206.0,197.0,7421.0,11165.0,162.0,859.0,1041.0,35.0,1.0,2.0,0.0,2.0,1.0,2.0,10210.0,15472.0,243.0,9370.0,14302.0,213.0,840.0,1170.0,30.0,1.0,4.0,0.0,3.0,1.0,3.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Noodle,Bulldog Esports,1.0,Wukong,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,4.0,3.0,11.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4852,0.7624,0.0,1.0,8.0,16.0,6.0,64.0,15980.0,10407.0,240.439,15408.0,285.0,16.0,269.0,6.5845,3868.0,3869.0,73.0,3814.0,4183.0,76.0,54.0,-314.0,-3.0,1.0,1.0,0.0,1.0,0.0,1.0,5991.0,6516.0,114.0,5857.0,6522.0,113.0,134.0,-6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,7658.0,8764.0,147.0,8239.0,9686.0,168.0,-581.0,-922.0,-21.0,2.0,4.0,2.0,2.0,3.0,3.0,9595.0,11105.0,176.0,9752.0,11411.0,195.0,-157.0,-306.0,-19.0,3.0,5.0,3.0,2.0,5.0,4.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Hunt,Bulldog Esports,1.0,Orianna,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,5.0,2.0,11.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4852,0.7624,0.0,0.0,16.0,1.0,4.0,36.0,18478.0,12905.0,298.1517,17300.0,356.0,353.0,3.0,8.2249,4504.0,5110.0,98.0,3065.0,4717.0,77.0,1439.0,393.0,21.0,2.0,0.0,0.0,0.0,0.0,1.0,6554.0,8060.0,159.0,5162.0,7032.0,120.0,1392.0,1028.0,39.0,2.0,0.0,0.0,1.0,0.0,1.0,8583.0,10529.0,204.0,7452.0,9379.0,167.0,1131.0,1150.0,37.0,2.0,2.0,1.0,2.0,0.0,1.0,10629.0,13099.0,239.0,8948.0,11398.0,206.0,1681.0,1701.0,33.0,3.0,4.0,1.0,2.0,2.0,2.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,bot,Syzyfek,Bulldog Esports,1.0,Xayah,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,8.0,3.0,4.0,21.0,12.0,2.0,0.0,0.0,0.0,0.0,0.4852,0.7624,1.0,0.0,15.0,9.0,2.0,44.0,23694.0,18121.0,418.66,21650.0,437.0,405.0,32.0,10.0963,2902.0,2684.0,65.0,3859.0,3680.0,92.0,-957.0,-996.0,-27.0,0.0,0.0,2.0,1.0,1.0,0.0,4512.0,4858.0,111.0,7587.0,6509.0,153.0,-3075.0,-1651.0,-42.0,0.0,0.0,3.0,2.0,3.0,0.0,8261.0,7567.0,162.0,9938.0,8909.0,203.0,-1677.0,-1342.0,-41.0,2.0,0.0,3.0,2.0,3.0,1.0,11459.0,10581.0,224.0,12849.0,11493.0,269.0,-1390.0,-912.0,-45.0,3.0,1.0,3.0,3.0,4.0,1.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,sup,Kasing,Bulldog Esports,1.0,Rakan,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,0.0,4.0,19.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.4852,0.7624,0.0,0.0,90.0,19.0,12.0,203.0,11016.0,5443.0,125.7528,9820.0,37.0,37.0,0.0,0.8548,2606.0,2698.0,13.0,2533.0,3135.0,7.0,73.0,-437.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,3797.0,3783.0,17.0,3862.0,4663.0,15.0,-65.0,-880.0,2.0,0.0,3.0,2.0,0.0,5.0,0.0,4902.0,4924.0,19.0,5351.0,5727.0,19.0,-449.0,-803.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,6218.0,6729.0,22.0,6405.0,7439.0,21.0,-187.0,-710.0,1.0,0.0,8.0,3.0,0.0,9.0,0.0
LOLTMNT01_321187,complete,ROL,2026.0,0.0,1.0,16.01,Red,team,,Bulldog Esports,1.0,,Ambessa,Syndra,Malphite,Aatrox,K'Sante,2597.0,1.0,21.0,12.0,52.0,21.0,12.0,3.0,0.0,0.0,0.0,0.0,0.4852,0.7624,1.0,1.0,147.0,50.0,28.0,396.0,88741.0,60874.0,1406.4074,82728.0,,1224.0,316.0,35.5795,17642.0,19687.0,343.0,16520.0,20709.0,336.0,1122.0,-1022.0,7.0,3.0,3.0,2.0,2.0,3.0,3.0,27104.0,32046.0,540.0,27618.0,32758.0,527.0,-514.0,-712.0,13.0,5.0,7.0,6.0,6.0,10.0,5.0,37684.0,43990.0,729.0,38401.0,44866.0,719.0,-717.0,-876.0,10.0,7.0,13.0,8.0,8.0,14.0,7.0,48111.0,56986.0,904.0,47324.0,56043.0,904.0,787.0,943.0,0.0,10.0,22.0,10.0,10.0,21.0,10.0
LOLTMNT03_340048,complete,HLL,2026.0,0.0,1.0,16.01,Blue,top,Leks,Bulldog Esports,0.0,Zaahen,Briar,Tristana,Varus,Braum,Bard,1552.0,1.0,3.0,0.0,5.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7732,0.8505,0.0,0.0,12.0,3.0,4.0,32.0,10732.0,7290.0,281.8299,8600.0,249.0,249.0,0.0,9.6263,3274.0,5481.0,81.0,3360.0,5269.0,89.0,-86.0,212.0,-8.0,0.0,2.0,0.0,0.0,0.0,1.0,5710.0,9371.0,138.0,4812.0,8234.0,131.0,898.0,1137.0,7.0,2.0,2.0,0.0,0.0,0.0,2.0,8012.0,13352.0,196.0,6520.0,10849.0,177.0,1492.0,2503.0,19.0,2.0,3.0,0.0,0.0,0.0,3.0,9799.0,16973.0,241.0,8460.0,14065.0,239.0,1339.0,2908.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
LOLTMNT03_340048,complete,HLL,2026.0,0.0,1.0,16.01,Blue,jng,Noodle,Bulldog Esports,0.0,Wukong,Briar,Tristana,Varus,Braum,Bard,1552.0,1.0,10.0,0.0,6.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7732,0.8505,0.0,0.0,6.0,2.0,2.0,22.0,12108.0,8666.0,335.0258,10483.0,171.0,14.0,157.0,6.6108,4997.0,4278.0,71.0,3162.0,3310.0,60.0,1835.0,968.0,11.0,5.0,3.0,0.0,0.0,1.0,3.0,6838.0,6776.0,104.0,4623.0,5622.0,93.0,2215.0,1154.0,11.0,5.0,5.0,0.0,0.0,1.0,4.0,8683.0,9686.0,147.0,6449.0,8572.0,134.0,2234.0,1114.0,13.0,5.0,5.0,0.0,0.0,1.0,4.0,10896.0,12696.0,171.0,7396.0,9938.0,146.0,3500.0,2758.0,25.0,7.0,5.0,0.0,0.0,1.0,5.0
LOLTMNT03_340048,complete,HLL,2026.0,0.0,1.0,16.01,Blue,mid,Hunt,Bulldog Esports,0.0,Orianna,Briar,Tristana,Varus,Braum,Bard,1552.0,1.0,3.0,2.0,8.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7732,0.8505,1.0,0.0,13.0,2.0,3.0,28.0,10680.0,7238.0,279.8196,8975.0,238.0,234.0,4.0,9.201,3705.0,5128.0,90.0,3706.0,4724.0,72.0,-1.0,404.0,18.0,1.0,3.0,2.0,2.0,0.0,1.0,5773.0,7685.0,132.0,5204.0,7101.0,120.0,569.0,584.0,12.0,2.0,4.0,2.0,2.0,0.0,2.0,7856.0,10421.0,180.0,7688.0,10366.0,189.0,168.0,55.0,-9.0,3.0,4.0,2.0,2.0,0.0,2.0,10066.0,13653.0,233.0,9371.0,12925.0,240.0,695.0,728.0,-7.0,3.0,4.0,2.0,2.0,0.0,2.0
LOLTMNT03_340048,complete,HLL,2026.0,0.0,1.0,16.01,Blue,bot,Syzyfek,Bulldog Esports,0.0,Aphelios,Briar,Tristana,Varus,Braum,Bard,1552.0,1.0,0.0,0.0,8.0,20.0,2.0,0.0,0.0,0.0,0.0,1.0,0.7732,0.8505,0.0,0.0,10.0,9.0,1.0,28.0,13794.0,10352.0,400.2062,12275.0,264.0,256.0,8.0,10.2062,3944.0,3521.0,85.0,3065.0,3345.0,65.0,879.0,176.0,20.0,0.0,5.0,0.0,0.0,1.0,2.0,7086.0,5870.0,140.0,5615.0,5890.0,121.0,1471.0,-20.0,19.0,0.0,5.0,0.0,0.0,1.0,2.0,10088.0,8429.0,198.0,8218.0,8297.0,185.0,1870.0,132.0,13.0,0.0,5.0,0.0,0.0,1.0,2.0,13095.0,11121.0,256.0,10662.0,11578.0,266.0,2433.0,-457.0,-10.0,0.0,6.0,0.0,0.0,1.0,2.0
