gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_335312,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,top,Yuu,CAG OSAKA,0.0,Gnar,Qiyana,Varus,Jayce,Karma,Viego,1660.0,0.0,2.0,4.0,1.0,9.0,20.0,1.0,0.0,0.0,0.0,0.0,0.3253,1.0482,0.0,0.0,11.0,3.0,5.0,34.0,9936.0,6274.0,226.7711,9533.0,245.0,245.0,0.0,8.8554,3149.0,4976.0,83.0,3525.0,5149.0,89.0,-376.0,-173.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,4819.0,8334.0,133.0,5783.0,9890.0,151.0,-964.0,-1556.0,-18.0,0.0,0.0,1.0,1.0,0.0,0.0,6680.0,11805.0,187.0,8735.0,13913.0,208.0,-2055.0,-2108.0,-21.0,0.0,0.0,2.0,1.0,1.0,0.0,9455.0,15314.0,237.0,11401.0,17546.0,248.0,-1946.0,-2232.0,-11.0,2.0,0.0,3.0,3.0,2.0,0.0
LOLTMNT01_335312,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,jng,Racon,CAG OSAKA,0.0,Ambessa,Qiyana,Varus,Jayce,Karma,Viego,1660.0,0.0,5.0,2.0,3.0,9.0,20.0,1.0,1.0,0.0,0.0,0.0,0.3253,1.0482,0.0,1.0,6.0,10.0,5.0,34.0,10550.0,6888.0,248.9639,10225.0,185.0,15.0,170.0,6.6867,4756.0,3502.0,64.0,3753.0,3813.0,74.0,1003.0,-311.0,-10.0,4.0,1.0,0.0,2.0,1.0,1.0,6539.0,6215.0,114.0,5496.0,6409.0,117.0,1043.0,-194.0,-3.0,4.0,1.0,0.0,2.0,1.0,1.0,8312.0,9041.0,155.0,7870.0,9380.0,160.0,442.0,-339.0,-5.0,4.0,1.0,0.0,3.0,1.0,1.0,9995.0,11337.0,185.0,11022.0,13079.0,205.0,-1027.0,-1742.0,-20.0,4.0,3.0,1.0,6.0,3.0,1.0
LOLTMNT01_335312,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,mid,Alleycat,CAG OSAKA,0.0,Syndra,Qiyana,Varus,Jayce,Karma,Viego,1660.0,0.0,1.0,3.0,5.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3253,1.0482,0.0,0.0,11.0,4.0,5.0,31.0,10441.0,6779.0,245.0241,10225.0,259.0,258.0,1.0,9.3614,3691.0,5283.0,91.0,3540.0,4621.0,81.0,151.0,662.0,10.0,0.0,3.0,1.0,1.0,2.0,1.0,5514.0,8557.0,144.0,5086.0,7379.0,128.0,428.0,1178.0,16.0,0.0,3.0,1.0,1.0,2.0,1.0,7510.0,11694.0,207.0,6740.0,9840.0,177.0,770.0,1854.0,30.0,0.0,3.0,1.0,1.0,2.0,1.0,9554.0,13430.0,238.0,9188.0,15387.0,231.0,366.0,-1957.0,7.0,1.0,4.0,2.0,1.0,7.0,2.0
LOLTMNT01_335312,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,bot,TenT,CAG OSAKA,0.0,Corki,Qiyana,Varus,Jayce,Karma,Viego,1660.0,0.0,1.0,3.0,5.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3253,1.0482,0.0,0.0,6.0,6.0,0.0,15.0,10888.0,7226.0,261.1807,10458.0,248.0,248.0,0.0,8.9639,3700.0,3580.0,75.0,3780.0,3654.0,68.0,-80.0,-74.0,7.0,1.0,4.0,1.0,1.0,6.0,2.0,6047.0,6438.0,132.0,6276.0,6521.0,127.0,-229.0,-83.0,5.0,1.0,4.0,1.0,1.0,6.0,2.0,8160.0,9206.0,189.0,8713.0,9354.0,186.0,-553.0,-148.0,3.0,1.0,4.0,1.0,1.0,6.0,2.0,10210.0,11570.0,235.0,11417.0,12648.0,233.0,-1207.0,-1078.0,2.0,1.0,4.0,2.0,2.0,8.0,3.0
LOLTMNT01_335312,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,sup,OkerumoN,CAG OSAKA,0.0,Alistar,Qiyana,Varus,Jayce,Karma,Viego,1660.0,0.0,0.0,8.0,4.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3253,1.0482,0.0,0.0,58.0,6.0,14.0,103.0,5769.0,2107.0,76.1566,5550.0,19.0,19.0,0.0,0.6867,2277.0,1676.0,8.0,3006.0,1421.0,10.0,-729.0,255.0,-2.0,0.0,2.0,5.0,3.0,2.0,1.0,3174.0,2552.0,14.0,4061.0,2360.0,17.0,-887.0,192.0,-3.0,0.0,2.0,5.0,3.0,2.0,1.0,4186.0,4106.0,17.0,5235.0,3319.0,22.0,-1049.0,787.0,-5.0,0.0,2.0,5.0,3.0,2.0,1.0,5216.0,4881.0,19.0,6675.0,5417.0,27.0,-1459.0,-536.0,-8.0,0.0,3.0,7.0,3.0,5.0,2.0
LOLTMNT01_335312,complete,CBLOL,2026.0,0.0,1.0,16.02,Red,team,,CAG OSAKA,0.0,,Qiyana,Varus,Jayce,Karma,Viego,1660.0,0.0,9.0,20.0,18.0,9.0,20.0,2.0,1.0,0.0,0.0,0.0,0.3253,1.0482,0.0,1.0,92.0,29.0,29.0,217.0,47584.0,29274.0,1058.0964,45991.0,,785.0,171.0,34.5542,17573.0,19017.0,321.0,17604.0,18658.0,322.0,-31.0,359.0,-1.0,5.0,10.0,7.0,7.0,11.0,5.0,26093.0,32096.0,537.0,26702.0,32559.0,540.0,-609.0,-463.0,-3.0,5.0,10.0,8.0,8.0,11.0,5.0,34848.0,45852.0,755.0,37293.0,45806.0,753.0,-2445.0,46.0,2.0,5.0,10.0,9.0,9.0,12.0,5.0,44430.0,56532.0,914.0,49703.0,64077.0,944.0,-5273.0,-7545.0,-30.0,8.0,14.0,15.0,15.0,25.0,8.0
LOLTMNT01_335373,complete,LCS,2026.0,0.0,1.0,16.02,Red,top,Yuu,CAG OSAKA,0.0,Gnar,Qiyana,Varus,Jayce,Jarvan IV,Xin Zhao,1621.0,0.0,2.0,4.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.1851,1.3325,0.0,0.0,13.0,3.0,4.0,34.0,11866.0,8284.0,306.6255,11908.0,264.0,260.0,4.0,9.7717,3516.0,5558.0,94.0,2878.0,4963.0,68.0,638.0,595.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,5602.0,9333.0,149.0,4349.0,8705.0,109.0,1253.0,628.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,7548.0,11972.0,190.0,6731.0,12721.0,170.0,817.0,-749.0,20.0,1.0,0.0,2.0,1.0,0.0,0.0,10729.0,15124.0,236.0,8944.0,15483.0,217.0,1785.0,-359.0,19.0,2.0,1.0,3.0,3.0,0.0,0.0
LOLTMNT01_335373,complete,LCS,2026.0,0.0,1.0,16.02,Red,jng,Racon,CAG OSAKA,0.0,Ambessa,Qiyana,Varus,Jayce,Jarvan IV,Xin Zhao,1621.0,0.0,0.0,6.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.1851,1.3325,0.0,1.0,10.0,6.0,7.0,34.0,8299.0,4717.0,174.5959,8075.0,143.0,10.0,133.0,5.293,3825.0,4071.0,84.0,3798.0,4094.0,77.0,27.0,-23.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,5206.0,5697.0,112.0,6391.0,7717.0,119.0,-1185.0,-2020.0,-7.0,0.0,0.0,2.0,3.0,3.0,0.0,6515.0,7465.0,133.0,8665.0,10821.0,154.0,-2150.0,-3356.0,-21.0,0.0,1.0,3.0,5.0,5.0,0.0,7584.0,8502.0,142.0,11276.0,13612.0,184.0,-3692.0,-5110.0,-42.0,0.0,1.0,5.0,9.0,5.0,1.0
LOLTMNT01_335373,complete,LCS,2026.0,0.0,1.0,16.02,Red,mid,Alleycat,CAG OSAKA,0.0,Syndra,Qiyana,Varus,Jayce,Jarvan IV,Xin Zhao,1621.0,0.0,1.0,6.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.1851,1.3325,0.0,0.0,12.0,6.0,1.0,35.0,9779.0,6197.0,229.3769,8625.0,225.0,225.0,0.0,8.3282,3135.0,4612.0,80.0,3880.0,5454.0,103.0,-745.0,-842.0,-23.0,0.0,0.0,1.0,0.0,1.0,0.0,4279.0,6162.0,110.0,6898.0,9247.0,166.0,-2619.0,-3085.0,-56.0,0.0,0.0,3.0,3.0,2.0,0.0,6206.0,8960.0,166.0,10554.0,12956.0,223.0,-4348.0,-3996.0,-57.0,0.0,1.0,4.0,6.0,5.0,0.0,9123.0,11637.0,212.0,13163.0,16205.0,277.0,-4040.0,-4568.0,-65.0,1.0,1.0,5.0,8.0,9.0,1.0
LOLTMNT01_335373,complete,LCS,2026.0,0.0,1.0,16.02,Red,bot,TenT,CAG OSAKA,0.0,Corki,Qiyana,Varus,Jayce,Jarvan IV,Xin Zhao,1621.0,0.0,2.0,5.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.1851,1.3325,0.0,0.0,5.0,4.0,0.0,15.0,13333.0,9751.0,360.9254,13108.0,271.0,251.0,20.0,10.0308,3708.0,3498.0,98.0,3465.0,3460.0,77.0,243.0,38.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,6474.0,5632.0,142.0,6983.0,6286.0,129.0,-509.0,-654.0,13.0,1.0,0.0,2.0,2.0,2.0,0.0,8614.0,8617.0,204.0,10270.0,9887.0,184.0,-1656.0,-1270.0,20.0,1.0,1.0,3.0,4.0,4.0,0.0,12697.0,11528.0,261.0,13382.0,12657.0,229.0,-685.0,-1129.0,32.0,2.0,1.0,4.0,4.0,7.0,1.0
