gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_174037,complete,NLC,2026.0,0.0,1.0,16.01,Red,top,Drali,Caldya Esport,0.0,K'Sante,Jayce,Ambessa,Azir,Gnar,Aatrox,1552.0,0.0,0.0,2.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.1546,0.6572,0.0,0.0,7.0,1.0,2.0,16.0,8930.0,5488.0,212.1649,9575.0,234.0,234.0,0.0,9.0464,3292.0,5410.0,84.0,3833.0,5472.0,102.0,-541.0,-62.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,5097.0,8881.0,134.0,6205.0,10340.0,159.0,-1108.0,-1459.0,-25.0,0.0,0.0,1.0,1.0,0.0,0.0,6589.0,11972.0,181.0,8492.0,12944.0,206.0,-1903.0,-972.0,-25.0,0.0,0.0,1.0,1.0,0.0,0.0,8429.0,15020.0,234.0,11236.0,17057.0,266.0,-2807.0,-2037.0,-32.0,0.0,0.0,2.0,1.0,0.0,0.0
LOLTMNT05_174037,complete,NLC,2026.0,0.0,1.0,16.01,Red,jng,Kiki,Caldya Esport,0.0,Vi,Jayce,Ambessa,Azir,Gnar,Aatrox,1552.0,0.0,2.0,4.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,1.0,0.1546,0.6572,0.0,1.0,5.0,16.0,6.0,45.0,9357.0,5915.0,228.6727,8100.0,166.0,17.0,149.0,6.4175,3586.0,3869.0,74.0,3803.0,4281.0,82.0,-217.0,-412.0,-8.0,0.0,1.0,1.0,1.0,0.0,1.0,5542.0,6086.0,114.0,6332.0,7207.0,132.0,-790.0,-1121.0,-18.0,1.0,1.0,2.0,3.0,0.0,1.0,7185.0,8516.0,149.0,8519.0,10181.0,181.0,-1334.0,-1665.0,-32.0,1.0,1.0,2.0,3.0,0.0,1.0,8442.0,9726.0,165.0,10948.0,13837.0,222.0,-2506.0,-4111.0,-57.0,1.0,1.0,3.0,3.0,3.0,1.0
LOLTMNT05_174037,complete,NLC,2026.0,0.0,1.0,16.01,Red,mid,Nan0,Caldya Esport,0.0,Ryze,Jayce,Ambessa,Azir,Gnar,Aatrox,1552.0,0.0,2.0,2.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,1.0,0.1546,0.6572,0.0,0.0,9.0,1.0,3.0,19.0,10130.0,6688.0,258.5567,9875.0,256.0,252.0,4.0,9.8969,3925.0,5045.0,91.0,3512.0,5184.0,96.0,413.0,-139.0,-5.0,1.0,0.0,0.0,0.0,1.0,0.0,5711.0,7819.0,149.0,5409.0,8164.0,146.0,302.0,-345.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,8053.0,11805.0,209.0,7870.0,11099.0,205.0,183.0,706.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,9736.0,14067.0,256.0,11237.0,15677.0,260.0,-1501.0,-1610.0,-4.0,1.0,1.0,1.0,2.0,4.0,0.0
LOLTMNT05_174037,complete,NLC,2026.0,0.0,1.0,16.01,Red,bot,Mauki,Caldya Esport,0.0,Miss Fortune,Jayce,Ambessa,Azir,Gnar,Aatrox,1552.0,0.0,0.0,2.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.1546,0.6572,0.0,0.0,11.0,3.0,1.0,25.0,9952.0,6510.0,251.6753,9750.0,248.0,240.0,8.0,9.5876,3200.0,3301.0,83.0,3432.0,3625.0,88.0,-232.0,-324.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,5547.0,5224.0,125.0,6495.0,6699.0,146.0,-948.0,-1475.0,-21.0,0.0,0.0,1.0,1.0,2.0,0.0,7564.0,8023.0,190.0,9319.0,10275.0,224.0,-1755.0,-2252.0,-34.0,0.0,0.0,1.0,1.0,2.0,0.0,9759.0,10725.0,248.0,12953.0,14390.0,292.0,-3194.0,-3665.0,-44.0,0.0,0.0,1.0,3.0,2.0,0.0
LOLTMNT05_174037,complete,NLC,2026.0,0.0,1.0,16.01,Red,sup,Gordinho,Caldya Esport,0.0,Nautilus,Jayce,Ambessa,Azir,Gnar,Aatrox,1552.0,0.0,0.0,3.0,3.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.1546,0.6572,0.0,0.0,44.0,10.0,9.0,100.0,5917.0,2475.0,95.683,5395.0,32.0,32.0,0.0,1.2371,2072.0,2503.0,14.0,2313.0,2765.0,9.0,-241.0,-262.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3305.0,3576.0,24.0,3547.0,3574.0,16.0,-242.0,2.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,4437.0,4727.0,29.0,4767.0,4119.0,21.0,-330.0,608.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,5625.0,5701.0,32.0,6449.0,6033.0,31.0,-824.0,-332.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0
LOLTMNT05_174037,complete,NLC,2026.0,0.0,1.0,16.01,Red,team,,Caldya Esport,0.0,,Jayce,Ambessa,Azir,Gnar,Aatrox,1552.0,0.0,4.0,13.0,9.0,4.0,13.0,0.0,0.0,0.0,0.0,1.0,0.1546,0.6572,0.0,1.0,76.0,31.0,21.0,205.0,44286.0,27078.0,1046.8299,42695.0,,775.0,161.0,36.1856,16075.0,20128.0,346.0,16893.0,21327.0,377.0,-818.0,-1199.0,-31.0,1.0,1.0,1.0,1.0,2.0,1.0,25202.0,31586.0,546.0,27988.0,35984.0,599.0,-2786.0,-4398.0,-53.0,2.0,3.0,5.0,5.0,5.0,2.0,33828.0,45043.0,758.0,38967.0,48618.0,837.0,-5139.0,-3575.0,-79.0,2.0,3.0,5.0,5.0,5.0,2.0,41991.0,55239.0,935.0,52823.0,66994.0,1071.0,-10832.0,-11755.0,-136.0,2.0,3.0,9.0,9.0,12.0,2.0
LOLTMNT01_334295,complete,LCK,2026.0,0.0,1.0,16.02,Red,top,Drali,Caldya Esport,0.0,Gragas,Jayce,Aatrox,Tristana,Gwen,Rakan,2335.0,0.0,2.0,4.0,1.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2827,0.9507,0.0,0.0,10.0,12.0,2.0,48.0,16030.0,10991.0,282.424,15550.0,336.0,332.0,4.0,8.6338,2973.0,4604.0,71.0,3709.0,5410.0,97.0,-736.0,-806.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,4563.0,7992.0,124.0,6738.0,10447.0,161.0,-2175.0,-2455.0,-37.0,0.0,0.0,1.0,1.0,0.0,0.0,6403.0,11423.0,181.0,8821.0,13307.0,197.0,-2418.0,-1884.0,-16.0,0.0,0.0,2.0,2.0,2.0,0.0,9571.0,15536.0,237.0,11877.0,16251.0,240.0,-2306.0,-715.0,-3.0,0.0,0.0,2.0,3.0,7.0,0.0
LOLTMNT01_334295,complete,LCK,2026.0,0.0,1.0,16.02,Red,jng,Kiki,Caldya Esport,0.0,Jarvan IV,Jayce,Aatrox,Tristana,Gwen,Rakan,2335.0,0.0,2.0,6.0,6.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2827,0.9507,1.0,2.0,10.0,14.0,10.0,67.0,12224.0,7185.0,184.6253,11650.0,209.0,20.0,189.0,5.3704,3497.0,4079.0,75.0,3423.0,4037.0,80.0,74.0,42.0,-5.0,0.0,2.0,0.0,0.0,0.0,1.0,5607.0,6766.0,121.0,5717.0,7236.0,132.0,-110.0,-470.0,-11.0,1.0,2.0,1.0,1.0,0.0,1.0,7415.0,8631.0,144.0,7238.0,9267.0,158.0,177.0,-636.0,-14.0,2.0,4.0,2.0,1.0,3.0,3.0,9232.0,11212.0,173.0,9276.0,11703.0,183.0,-44.0,-491.0,-10.0,2.0,5.0,4.0,2.0,7.0,3.0
LOLTMNT01_334295,complete,LCK,2026.0,0.0,1.0,16.02,Red,mid,Nan0,Caldya Esport,0.0,Syndra,Jayce,Aatrox,Tristana,Gwen,Rakan,2335.0,0.0,4.0,2.0,5.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2827,0.9507,0.0,0.0,20.0,4.0,5.0,48.0,18654.0,13615.0,349.8501,17775.0,392.0,392.0,0.0,10.0728,4232.0,5184.0,95.0,3669.0,5042.0,98.0,563.0,142.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,6586.0,8412.0,162.0,5329.0,7700.0,152.0,1257.0,712.0,10.0,1.0,2.0,0.0,0.0,0.0,1.0,9190.0,11320.0,212.0,7765.0,11336.0,212.0,1425.0,-16.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,12212.0,14096.0,263.0,10204.0,16036.0,264.0,2008.0,-1940.0,-1.0,3.0,4.0,0.0,2.0,3.0,1.0
LOLTMNT01_334295,complete,LCK,2026.0,0.0,1.0,16.02,Red,bot,Mauki,Caldya Esport,0.0,Yunara,Jayce,Aatrox,Tristana,Gwen,Rakan,2335.0,0.0,2.0,7.0,3.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.2827,0.9507,0.0,0.0,17.0,15.0,2.0,68.0,17753.0,12714.0,326.6981,17350.0,378.0,364.0,14.0,9.7131,4047.0,3607.0,83.0,3807.0,3149.0,85.0,240.0,458.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,6220.0,6258.0,145.0,6065.0,5198.0,136.0,155.0,1060.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,9056.0,8709.0,200.0,9782.0,7953.0,188.0,-726.0,756.0,12.0,2.0,3.0,3.0,4.0,2.0,2.0,10877.0,11116.0,229.0,13299.0,10814.0,242.0,-2422.0,302.0,-13.0,2.0,3.0,5.0,8.0,5.0,2.0
