gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,The Mountain,Colossal Gaming,1.0,Cho'Gath,Ambessa,Zaahen,Aatrox,Neeko,Nautilus,2336.0,1.0,2.0,3.0,8.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.4623,0.6421,0.0,0.0,8.0,3.0,3.0,28.0,12293.0,7252.0,186.2671,11275.0,261.0,251.0,10.0,6.7038,3382.0,5057.0,95.0,3784.0,5534.0,105.0,-402.0,-477.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4940.0,8757.0,144.0,5267.0,8790.0,152.0,-327.0,-33.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,6460.0,11794.0,191.0,7478.0,12560.0,195.0,-1018.0,-766.0,-4.0,0.0,0.0,1.0,1.0,1.0,0.0,8021.0,13822.0,214.0,9329.0,14756.0,229.0,-1308.0,-934.0,-15.0,1.0,2.0,1.0,1.0,1.0,0.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Fragola,Colossal Gaming,1.0,Jayce,Ambessa,Zaahen,Aatrox,Neeko,Nautilus,2336.0,1.0,2.0,1.0,11.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.4623,0.6421,1.0,0.0,13.0,24.0,11.0,88.0,16572.0,11531.0,296.1729,15225.0,279.0,49.0,230.0,7.1661,3571.0,4133.0,78.0,3406.0,4049.0,76.0,165.0,84.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5493.0,6666.0,120.0,4972.0,6204.0,113.0,521.0,462.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,7391.0,8707.0,153.0,6788.0,9059.0,158.0,603.0,-352.0,-5.0,0.0,2.0,1.0,0.0,0.0,2.0,9821.0,11442.0,191.0,8370.0,10895.0,179.0,1451.0,547.0,12.0,1.0,4.0,1.0,0.0,0.0,3.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,Bisgaard,Colossal Gaming,1.0,Akali,Ambessa,Zaahen,Aatrox,Neeko,Nautilus,2336.0,1.0,5.0,0.0,9.0,18.0,7.0,1.0,0.0,0.0,0.0,1.0,0.4623,0.6421,1.0,0.0,9.0,4.0,4.0,40.0,16746.0,11705.0,300.6421,13200.0,282.0,278.0,4.0,7.2432,3786.0,5533.0,93.0,3323.0,5038.0,90.0,463.0,495.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,5820.0,8339.0,148.0,5234.0,7797.0,144.0,586.0,542.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,8256.0,11034.0,197.0,6937.0,9825.0,178.0,1319.0,1209.0,19.0,1.0,2.0,0.0,0.0,1.0,1.0,9918.0,13224.0,221.0,8520.0,11301.0,208.0,1398.0,1923.0,13.0,2.0,4.0,0.0,0.0,1.0,3.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,PiskHello,Colossal Gaming,1.0,Corki,Ambessa,Zaahen,Aatrox,Neeko,Nautilus,2336.0,1.0,8.0,1.0,7.0,18.0,7.0,1.0,0.0,0.0,0.0,1.0,0.4623,0.6421,0.0,0.0,16.0,15.0,2.0,47.0,20412.0,15371.0,394.8031,17433.0,427.0,406.0,21.0,10.9675,4036.0,3781.0,96.0,3344.0,4002.0,86.0,692.0,-221.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,6375.0,6495.0,165.0,5360.0,6306.0,140.0,1015.0,189.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,8614.0,8841.0,215.0,8375.0,9046.0,201.0,239.0,-205.0,14.0,2.0,1.0,0.0,2.0,0.0,0.0,10833.0,11377.0,272.0,10454.0,11442.0,262.0,379.0,-65.0,10.0,2.0,3.0,0.0,2.0,0.0,0.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Blue,sup,Centu,Colossal Gaming,1.0,Leona,Ambessa,Zaahen,Aatrox,Neeko,Nautilus,2336.0,1.0,1.0,2.0,15.0,18.0,7.0,0.0,0.0,0.0,0.0,1.0,0.4623,0.6421,0.0,0.0,79.0,23.0,11.0,186.0,10462.0,5421.0,139.238,9585.0,42.0,42.0,0.0,1.0788,2505.0,2925.0,17.0,2392.0,2392.0,12.0,113.0,533.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3658.0,3599.0,24.0,3516.0,3532.0,20.0,142.0,67.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4883.0,5115.0,31.0,4784.0,5046.0,27.0,99.0,69.0,4.0,0.0,3.0,1.0,0.0,2.0,0.0,6389.0,6922.0,34.0,5856.0,5371.0,31.0,533.0,1551.0,3.0,1.0,5.0,1.0,0.0,2.0,1.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Blue,team,,Colossal Gaming,1.0,,Ambessa,Zaahen,Aatrox,Neeko,Nautilus,2336.0,1.0,18.0,7.0,50.0,18.0,7.0,2.0,0.0,0.0,0.0,1.0,0.4623,0.6421,2.0,0.0,125.0,69.0,31.0,389.0,76485.0,51280.0,1317.1233,66718.0,,1026.0,265.0,33.1592,17280.0,21429.0,379.0,16249.0,21015.0,369.0,1031.0,414.0,10.0,2.0,5.0,0.0,0.0,0.0,2.0,26286.0,33856.0,601.0,24349.0,32629.0,569.0,1937.0,1227.0,32.0,2.0,5.0,0.0,0.0,0.0,2.0,35604.0,45491.0,787.0,34362.0,45536.0,759.0,1242.0,-45.0,28.0,3.0,8.0,3.0,3.0,4.0,3.0,44982.0,56787.0,932.0,42529.0,53765.0,909.0,2453.0,3022.0,23.0,7.0,18.0,3.0,3.0,4.0,7.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Red,top,The Mountain,Colossal Gaming,0.0,K'Sante,Ambessa,Diana,Corki,Smolder,Aphelios,1858.0,1.0,1.0,0.0,5.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6136,0.775,0.0,0.0,14.0,3.0,3.0,37.0,11880.0,7814.0,252.3358,11605.0,259.0,259.0,0.0,8.3638,3255.0,5276.0,79.0,3225.0,5038.0,84.0,30.0,238.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5204.0,9499.0,126.0,4919.0,8141.0,129.0,285.0,1358.0,-3.0,1.0,0.0,0.0,0.0,0.0,1.0,7788.0,13623.0,192.0,6720.0,11512.0,182.0,1068.0,2111.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,9499.0,16295.0,230.0,8267.0,13994.0,226.0,1232.0,2301.0,4.0,1.0,2.0,0.0,0.0,1.0,2.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Red,jng,Fragola,Colossal Gaming,0.0,Dr. Mundo,Ambessa,Diana,Corki,Smolder,Aphelios,1858.0,1.0,4.0,0.0,8.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6136,0.775,1.0,0.0,10.0,16.0,8.0,68.0,14744.0,10678.0,344.8224,13350.0,282.0,37.0,245.0,9.1066,3611.0,4515.0,88.0,3247.0,3533.0,70.0,364.0,982.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,6092.0,7150.0,125.0,5068.0,5946.0,107.0,1024.0,1204.0,18.0,2.0,1.0,0.0,1.0,0.0,0.0,8596.0,10477.0,171.0,6757.0,8209.0,138.0,1839.0,2268.0,33.0,3.0,3.0,0.0,1.0,0.0,2.0,11247.0,14436.0,234.0,7968.0,9955.0,157.0,3279.0,4481.0,77.0,3.0,4.0,0.0,1.0,0.0,3.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Red,mid,Bisgaard,Colossal Gaming,0.0,Syndra,Ambessa,Diana,Corki,Smolder,Aphelios,1858.0,1.0,8.0,1.0,6.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6136,0.775,0.0,0.0,10.0,3.0,3.0,15.0,13966.0,9900.0,319.6986,12450.0,282.0,282.0,0.0,9.1066,4082.0,5895.0,106.0,2960.0,4876.0,70.0,1122.0,1019.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,5898.0,8347.0,156.0,4980.0,8027.0,131.0,918.0,320.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,8820.0,12233.0,225.0,6811.0,10999.0,186.0,2009.0,1234.0,39.0,3.0,1.0,0.0,0.0,1.0,1.0,11136.0,14888.0,270.0,8331.0,14781.0,230.0,2805.0,107.0,40.0,5.0,2.0,0.0,0.0,1.0,1.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,PiskHello,Colossal Gaming,0.0,Yunara,Ambessa,Diana,Corki,Smolder,Aphelios,1858.0,1.0,4.0,3.0,6.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6136,0.775,0.0,0.0,15.0,7.0,4.0,40.0,14492.0,10426.0,336.6846,12650.0,292.0,276.0,16.0,9.4295,3402.0,3936.0,96.0,4042.0,3821.0,95.0,-640.0,115.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5911.0,5897.0,138.0,6240.0,5702.0,138.0,-329.0,195.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,8055.0,8217.0,191.0,9170.0,8164.0,192.0,-1115.0,53.0,-1.0,1.0,1.0,2.0,2.0,1.0,3.0,10613.0,11175.0,242.0,10727.0,9851.0,233.0,-114.0,1324.0,9.0,2.0,2.0,2.0,2.0,1.0,5.0
