gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Red,top,Kaplica,Crusaders,0.0,Rumble,Volibear,Bel'Veth,Wukong,Braum,Rell,1315.0,1.0,6.0,1.0,4.0,32.0,6.0,1.0,0.0,0.0,0.0,0.0,1.4601,1.7338,0.0,0.0,10.0,1.0,2.0,21.0,9980.0,7022.0,320.3954,9900.0,199.0,195.0,4.0,9.0798,4103.0,5178.0,83.0,3030.0,4432.0,54.0,1073.0,746.0,29.0,3.0,0.0,0.0,1.0,0.0,2.0,6116.0,9111.0,135.0,4711.0,7983.0,101.0,1405.0,1128.0,34.0,3.0,3.0,0.0,1.0,0.0,2.0,8959.0,12622.0,185.0,7289.0,12363.0,160.0,1670.0,259.0,25.0,5.0,4.0,0.0,2.0,0.0,3.0,,,,,,,,,,,,,,,
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Red,jng,Cape,Crusaders,0.0,Qiyana,Volibear,Bel'Veth,Wukong,Braum,Rell,1315.0,1.0,11.0,2.0,7.0,32.0,6.0,0.0,0.0,0.0,0.0,1.0,1.4601,1.7338,0.0,0.0,2.0,5.0,1.0,20.0,13203.0,10245.0,467.4525,11000.0,201.0,18.0,183.0,9.1711,5021.0,4566.0,83.0,2918.0,3054.0,50.0,2103.0,1512.0,33.0,4.0,1.0,1.0,0.0,1.0,4.0,7850.0,7874.0,131.0,4229.0,5257.0,78.0,3621.0,2617.0,53.0,7.0,4.0,1.0,0.0,1.0,7.0,11315.0,11859.0,190.0,5623.0,7642.0,108.0,5692.0,4217.0,82.0,9.0,6.0,2.0,0.0,1.0,8.0,,,,,,,,,,,,,,,
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Red,mid,hosto,Crusaders,0.0,Orianna,Volibear,Bel'Veth,Wukong,Braum,Rell,1315.0,1.0,3.0,0.0,9.0,32.0,6.0,0.0,0.0,0.0,0.0,1.0,1.4601,1.7338,0.0,0.0,5.0,2.0,1.0,12.0,10064.0,7106.0,324.2281,8325.0,212.0,212.0,0.0,9.673,4164.0,5264.0,93.0,3117.0,4529.0,74.0,1047.0,735.0,19.0,1.0,2.0,0.0,0.0,0.0,1.0,6137.0,8189.0,144.0,4932.0,7235.0,127.0,1205.0,954.0,17.0,2.0,4.0,0.0,0.0,0.0,2.0,8889.0,10908.0,196.0,6128.0,9006.0,160.0,2761.0,1902.0,36.0,3.0,5.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Red,bot,Flashpowa,Crusaders,0.0,Tristana,Volibear,Bel'Veth,Wukong,Braum,Rell,1315.0,1.0,8.0,2.0,8.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,1.4601,1.7338,1.0,0.0,8.0,1.0,1.0,12.0,14017.0,11059.0,504.5932,12225.0,209.0,199.0,10.0,9.5361,4599.0,3615.0,86.0,3416.0,3170.0,57.0,1183.0,445.0,29.0,3.0,2.0,2.0,1.0,2.0,3.0,9153.0,6247.0,137.0,4644.0,4440.0,76.0,4509.0,1807.0,61.0,5.0,5.0,2.0,1.0,2.0,5.0,12238.0,8741.0,191.0,6317.0,7028.0,116.0,5921.0,1713.0,75.0,6.0,6.0,2.0,1.0,2.0,6.0,,,,,,,,,,,,,,,
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Red,sup,Lostboy,Crusaders,0.0,Leona,Volibear,Bel'Veth,Wukong,Braum,Rell,1315.0,1.0,4.0,1.0,16.0,32.0,6.0,0.0,0.0,0.0,0.0,1.0,1.4601,1.7338,0.0,0.0,21.0,3.0,4.0,54.0,8640.0,5682.0,259.2548,7295.0,22.0,22.0,0.0,1.0038,3616.0,2750.0,14.0,3085.0,3082.0,15.0,531.0,-332.0,-1.0,1.0,6.0,1.0,2.0,1.0,2.0,5734.0,4664.0,20.0,4093.0,3837.0,20.0,1641.0,827.0,0.0,3.0,9.0,1.0,2.0,1.0,4.0,7408.0,6605.0,22.0,5070.0,5163.0,23.0,2338.0,1442.0,-1.0,3.0,14.0,1.0,2.0,1.0,6.0,,,,,,,,,,,,,,,
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Red,team,,Crusaders,0.0,,Volibear,Bel'Veth,Wukong,Braum,Rell,1315.0,1.0,32.0,6.0,44.0,32.0,6.0,1.0,0.0,0.0,0.0,1.0,1.4601,1.7338,1.0,0.0,46.0,12.0,9.0,119.0,55904.0,41113.0,1875.8783,48745.0,,646.0,197.0,38.4639,21503.0,21373.0,359.0,15566.0,18267.0,250.0,5937.0,3106.0,109.0,12.0,11.0,4.0,4.0,4.0,12.0,34990.0,36085.0,567.0,22609.0,28752.0,402.0,12381.0,7333.0,165.0,20.0,25.0,4.0,4.0,4.0,20.0,48809.0,50735.0,784.0,30427.0,41202.0,567.0,18382.0,9533.0,217.0,26.0,35.0,5.0,5.0,4.0,26.0,,,,,,,,,,,,,,,
LOLTMNT02_355562,complete,RL,2026.0,0.0,1.0,16.03,Red,top,Kaplica,Crusaders,0.0,Yorick,Gwen,Ambessa,Jayce,Syndra,Akshan,1360.0,1.0,3.0,2.0,4.0,17.0,5.0,1.0,0.0,0.0,0.0,0.0,0.75,0.9706,0.0,0.0,7.0,0.0,0.0,16.0,10021.0,6971.0,307.5441,8683.0,173.0,169.0,4.0,7.6324,3719.0,5286.0,93.0,2652.0,4821.0,56.0,1067.0,465.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,6066.0,8943.0,138.0,4306.0,8421.0,94.0,1760.0,522.0,44.0,0.0,1.0,1.0,1.0,0.0,0.0,8910.0,10529.0,156.0,7074.0,12184.0,133.0,1836.0,-1655.0,23.0,3.0,2.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,,,
LOLTMNT02_355562,complete,RL,2026.0,0.0,1.0,16.03,Red,jng,Cape,Crusaders,0.0,Aatrox,Gwen,Ambessa,Jayce,Syndra,Akshan,1360.0,1.0,7.0,1.0,6.0,17.0,5.0,0.0,0.0,0.0,0.0,1.0,0.75,0.9706,0.0,0.0,4.0,1.0,1.0,20.0,12140.0,9090.0,401.0294,8775.0,208.0,11.0,197.0,9.1765,3795.0,4711.0,86.0,3451.0,4124.0,79.0,344.0,587.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,6322.0,8305.0,139.0,5089.0,5437.0,100.0,1233.0,2868.0,39.0,1.0,3.0,0.0,1.0,0.0,1.0,9085.0,11767.0,184.0,6614.0,7252.0,126.0,2471.0,4515.0,58.0,2.0,5.0,1.0,1.0,0.0,2.0,,,,,,,,,,,,,,,
LOLTMNT02_355562,complete,RL,2026.0,0.0,1.0,16.03,Red,mid,hosto,Crusaders,0.0,Ryze,Gwen,Ambessa,Jayce,Syndra,Akshan,1360.0,1.0,3.0,1.0,7.0,17.0,5.0,0.0,0.0,0.0,0.0,1.0,0.75,0.9706,1.0,0.0,8.0,1.0,1.0,18.0,10359.0,7309.0,322.4559,8525.0,218.0,214.0,4.0,9.6176,4167.0,5632.0,104.0,3260.0,4859.0,88.0,907.0,773.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,6086.0,8208.0,145.0,4536.0,6690.0,114.0,1550.0,1518.0,31.0,2.0,2.0,1.0,0.0,1.0,3.0,8843.0,12378.0,189.0,6163.0,9003.0,158.0,2680.0,3375.0,31.0,3.0,4.0,1.0,0.0,1.0,5.0,,,,,,,,,,,,,,,
LOLTMNT02_355562,complete,RL,2026.0,0.0,1.0,16.03,Red,bot,Flashpowa,Crusaders,0.0,Jhin,Gwen,Ambessa,Jayce,Syndra,Akshan,1360.0,1.0,4.0,1.0,5.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.75,0.9706,0.0,0.0,9.0,2.0,2.0,15.0,11801.0,8751.0,386.0735,11450.0,215.0,210.0,5.0,9.4853,4002.0,3659.0,97.0,2827.0,3137.0,64.0,1175.0,522.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,6940.0,5934.0,151.0,4456.0,5039.0,102.0,2484.0,895.0,49.0,2.0,0.0,0.0,0.0,1.0,0.0,10254.0,9091.0,202.0,6211.0,7172.0,145.0,4043.0,1919.0,57.0,3.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
