gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176959,complete,LFL,2026.0,0.0,1.0,16.03,Blue,top,PmK,DOCISK,1.0,Renekton,Jax,Kayle,Jayce,Orianna,Gnar,1621.0,0.0,2.0,5.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2961,0.9254,0.0,0.0,9.0,2.0,1.0,18.0,8333.0,4751.0,175.8544,8150.0,187.0,187.0,0.0,6.9217,2819.0,4219.0,65.0,3719.0,4759.0,75.0,-900.0,-540.0,-10.0,0.0,0.0,2.0,1.0,1.0,0.0,4189.0,7312.0,105.0,5715.0,8832.0,138.0,-1526.0,-1520.0,-33.0,0.0,0.0,2.0,1.0,1.0,0.0,5918.0,9751.0,141.0,8263.0,11873.0,185.0,-2345.0,-2122.0,-44.0,1.0,0.0,3.0,2.0,3.0,1.0,7791.0,11811.0,175.0,11027.0,15174.0,229.0,-3236.0,-3363.0,-54.0,2.0,0.0,4.0,5.0,4.0,1.0
LOLTMNT05_176959,complete,LFL,2026.0,0.0,1.0,16.03,Blue,jng,FullClear,DOCISK,1.0,Ambessa,Jax,Kayle,Jayce,Orianna,Gnar,1621.0,0.0,2.0,4.0,4.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2961,0.9254,0.0,0.0,6.0,6.0,4.0,34.0,9703.0,6121.0,226.5638,9150.0,206.0,22.0,184.0,7.6249,3914.0,4523.0,87.0,3847.0,3988.0,75.0,67.0,535.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,6025.0,7147.0,129.0,5637.0,6634.0,123.0,388.0,513.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,7822.0,9905.0,170.0,7742.0,9341.0,163.0,80.0,564.0,7.0,2.0,3.0,2.0,1.0,4.0,1.0,9342.0,12199.0,203.0,9937.0,12710.0,203.0,-595.0,-511.0,0.0,2.0,4.0,3.0,1.0,9.0,1.0
LOLTMNT05_176959,complete,LFL,2026.0,0.0,1.0,16.03,Blue,mid,Birkyy,DOCISK,1.0,Ahri,Jax,Kayle,Jayce,Orianna,Gnar,1621.0,0.0,1.0,4.0,5.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2961,0.9254,0.0,0.0,5.0,4.0,0.0,19.0,10106.0,6524.0,241.4806,9400.0,272.0,272.0,0.0,10.0679,3797.0,5293.0,108.0,3472.0,5257.0,94.0,325.0,36.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,5814.0,8452.0,161.0,5158.0,7753.0,134.0,656.0,699.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,7742.0,11372.0,212.0,7401.0,10392.0,178.0,341.0,980.0,34.0,1.0,3.0,2.0,2.0,2.0,1.0,9392.0,13702.0,257.0,9476.0,13016.0,216.0,-84.0,686.0,41.0,1.0,5.0,3.0,3.0,6.0,1.0
LOLTMNT05_176959,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,Anyone,DOCISK,1.0,Lucian,Jax,Kayle,Jayce,Orianna,Gnar,1621.0,0.0,3.0,3.0,4.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2961,0.9254,0.0,0.0,7.0,9.0,2.0,25.0,12596.0,9014.0,333.6459,12500.0,264.0,264.0,0.0,9.7717,3656.0,3630.0,96.0,3199.0,3203.0,79.0,457.0,427.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,6756.0,5854.0,154.0,5559.0,5317.0,131.0,1197.0,537.0,23.0,1.0,2.0,0.0,0.0,1.0,2.0,9751.0,8336.0,214.0,8585.0,8013.0,178.0,1166.0,323.0,36.0,2.0,3.0,1.0,2.0,2.0,2.0,12238.0,10063.0,262.0,11552.0,10695.0,232.0,686.0,-632.0,30.0,3.0,4.0,2.0,3.0,5.0,3.0
LOLTMNT05_176959,complete,LFL,2026.0,0.0,1.0,16.03,Blue,sup,Huron,DOCISK,1.0,Nami,Jax,Kayle,Jayce,Orianna,Gnar,1621.0,0.0,0.0,1.0,7.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2961,0.9254,0.0,0.0,39.0,12.0,6.0,90.0,6385.0,2803.0,103.7508,5965.0,33.0,33.0,0.0,1.2215,2494.0,2903.0,16.0,2354.0,2842.0,17.0,140.0,61.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,3644.0,4491.0,23.0,3733.0,4396.0,22.0,-89.0,95.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,4705.0,6191.0,25.0,5174.0,6307.0,26.0,-469.0,-116.0,-1.0,0.0,5.0,0.0,1.0,4.0,1.0,5950.0,7987.0,31.0,6325.0,7714.0,27.0,-375.0,273.0,4.0,0.0,7.0,1.0,1.0,7.0,2.0
LOLTMNT05_176959,complete,LFL,2026.0,0.0,1.0,16.03,Blue,team,,DOCISK,1.0,,Jax,Kayle,Jayce,Orianna,Gnar,1621.0,0.0,8.0,17.0,20.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.2961,0.9254,0.0,0.0,66.0,33.0,13.0,186.0,47123.0,29211.0,1081.2215,45165.0,,778.0,184.0,35.6076,16680.0,20568.0,372.0,16591.0,20049.0,340.0,89.0,519.0,32.0,1.0,3.0,2.0,2.0,3.0,1.0,26428.0,33256.0,572.0,25802.0,32932.0,548.0,626.0,324.0,24.0,4.0,7.0,4.0,4.0,4.0,4.0,35938.0,45555.0,762.0,37165.0,45926.0,730.0,-1227.0,-371.0,32.0,6.0,14.0,8.0,8.0,15.0,6.0,44713.0,55762.0,928.0,48317.0,59309.0,907.0,-3604.0,-3547.0,21.0,8.0,20.0,13.0,13.0,31.0,8.0
LOLTMNT06_167055,complete,LIT,2026.0,0.0,1.0,16.03,Red,top,PmK,DOCISK,0.0,Kled,Rumble,Orianna,Varus,Sion,Sivir,1841.0,0.0,3.0,4.0,4.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.4237,1.0755,0.0,0.0,14.0,7.0,4.0,41.0,11047.0,7016.0,228.6583,10500.0,252.0,252.0,0.0,8.2129,3607.0,5365.0,88.0,3431.0,5224.0,93.0,176.0,141.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5878.0,8887.0,132.0,5321.0,8753.0,147.0,557.0,134.0,-15.0,2.0,1.0,0.0,0.0,0.0,0.0,8028.0,11819.0,179.0,9453.0,13088.0,206.0,-1425.0,-1269.0,-27.0,3.0,4.0,1.0,3.0,1.0,0.0,9617.0,14124.0,221.0,10954.0,15604.0,235.0,-1337.0,-1480.0,-14.0,3.0,4.0,2.0,3.0,2.0,0.0
LOLTMNT06_167055,complete,LIT,2026.0,0.0,1.0,16.03,Red,jng,FullClear,DOCISK,0.0,Ambessa,Rumble,Orianna,Varus,Sion,Sivir,1841.0,0.0,1.0,4.0,1.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.4237,1.0755,0.0,0.0,6.0,6.0,4.0,35.0,10834.0,6803.0,221.7165,9900.0,247.0,23.0,224.0,8.05,3429.0,4231.0,81.0,4097.0,3903.0,75.0,-668.0,328.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,5764.0,7912.0,137.0,5723.0,6140.0,114.0,41.0,1772.0,23.0,1.0,0.0,0.0,1.0,2.0,1.0,7634.0,10908.0,181.0,7435.0,8280.0,145.0,199.0,2628.0,36.0,1.0,1.0,1.0,1.0,5.0,2.0,9511.0,13655.0,226.0,9555.0,10717.0,180.0,-44.0,2938.0,46.0,1.0,1.0,1.0,1.0,6.0,3.0
LOLTMNT06_167055,complete,LIT,2026.0,0.0,1.0,16.03,Red,mid,Birkyy,DOCISK,0.0,Ahri,Rumble,Orianna,Varus,Sion,Sivir,1841.0,0.0,5.0,3.0,6.0,13.0,20.0,1.0,0.0,0.0,0.0,0.0,0.4237,1.0755,0.0,0.0,7.0,4.0,2.0,20.0,12211.0,8180.0,266.5942,12100.0,261.0,261.0,0.0,8.5062,4052.0,5310.0,98.0,3346.0,5073.0,88.0,706.0,237.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,6454.0,8230.0,152.0,4915.0,7254.0,126.0,1539.0,976.0,26.0,3.0,3.0,0.0,0.0,2.0,1.0,8991.0,10888.0,194.0,6804.0,9621.0,154.0,2187.0,1267.0,40.0,4.0,6.0,1.0,1.0,5.0,3.0,10993.0,13263.0,238.0,9010.0,14179.0,214.0,1983.0,-916.0,24.0,5.0,6.0,1.0,1.0,6.0,3.0
LOLTMNT06_167055,complete,LIT,2026.0,0.0,1.0,16.03,Red,bot,Anyone,DOCISK,0.0,Ezreal,Rumble,Orianna,Varus,Sion,Sivir,1841.0,0.0,2.0,5.0,5.0,13.0,20.0,0.0,0.0,0.0,0.0,1.0,0.4237,1.0755,0.0,1.0,9.0,3.0,2.0,16.0,13510.0,9479.0,308.9299,12825.0,271.0,267.0,4.0,8.8322,3433.0,3261.0,83.0,4178.0,3530.0,89.0,-745.0,-269.0,-6.0,0.0,1.0,2.0,2.0,0.0,2.0,5740.0,5277.0,123.0,6474.0,5580.0,137.0,-734.0,-303.0,-14.0,0.0,3.0,2.0,2.0,0.0,3.0,8930.0,7851.0,167.0,9216.0,8593.0,196.0,-286.0,-742.0,-29.0,2.0,4.0,3.0,2.0,2.0,4.0,11605.0,10081.0,227.0,12220.0,10883.0,257.0,-615.0,-802.0,-30.0,2.0,5.0,3.0,3.0,2.0,4.0
