gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_171027,complete,PRM,2026.0,0.0,1.0,16.04,Red,top,DFMA Potential,DetonatioN FocusMe Academy,0.0,Gwen,Azir,Varus,Neeko,K'Sante,Rumble,2468.0,0.0,3.0,4.0,2.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,0.2674,0.6321,0.0,0.0,11.0,22.0,5.0,71.0,16928.0,11618.0,282.4473,15875.0,373.0,369.0,4.0,9.0681,3489.0,5410.0,98.0,3249.0,5162.0,84.0,240.0,248.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4918.0,8423.0,138.0,5202.0,8835.0,127.0,-284.0,-412.0,11.0,0.0,0.0,2.0,0.0,2.0,0.0,7458.0,10607.0,170.0,7405.0,11443.0,171.0,53.0,-836.0,-1.0,2.0,0.0,2.0,1.0,2.0,0.0,9237.0,13481.0,221.0,9411.0,14636.0,229.0,-174.0,-1155.0,-8.0,2.0,0.0,2.0,1.0,2.0,0.0
LOLTMNT06_171027,complete,PRM,2026.0,0.0,1.0,16.04,Red,jng,DFMA Grit,DetonatioN FocusMe Academy,0.0,Jarvan IV,Azir,Varus,Neeko,K'Sante,Rumble,2468.0,0.0,2.0,4.0,8.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2674,0.6321,0.0,0.0,13.0,10.0,11.0,57.0,13456.0,8146.0,198.0389,12725.0,233.0,11.0,222.0,5.6645,3388.0,3229.0,61.0,3472.0,3584.0,63.0,-84.0,-355.0,-2.0,1.0,0.0,0.0,0.0,3.0,0.0,5235.0,6095.0,110.0,5822.0,6370.0,112.0,-587.0,-275.0,-2.0,1.0,0.0,0.0,1.0,3.0,0.0,6691.0,8134.0,137.0,7342.0,7889.0,134.0,-651.0,245.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,8226.0,10653.0,169.0,9543.0,11597.0,195.0,-1317.0,-944.0,-26.0,1.0,2.0,1.0,1.0,4.0,1.0
LOLTMNT06_171027,complete,PRM,2026.0,0.0,1.0,16.04,Red,mid,DFMA Ravvy,DetonatioN FocusMe Academy,0.0,Akali,Azir,Varus,Neeko,K'Sante,Rumble,2468.0,0.0,2.0,2.0,4.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2674,0.6321,0.0,0.0,24.0,5.0,8.0,64.0,14571.0,9261.0,225.1459,14150.0,319.0,314.0,5.0,7.7553,3325.0,5289.0,91.0,3193.0,4575.0,74.0,132.0,714.0,17.0,0.0,1.0,0.0,0.0,1.0,1.0,4855.0,7770.0,141.0,5138.0,7911.0,132.0,-283.0,-141.0,9.0,0.0,1.0,0.0,0.0,1.0,1.0,6196.0,9740.0,168.0,6853.0,10671.0,179.0,-657.0,-931.0,-11.0,0.0,3.0,0.0,0.0,1.0,1.0,7861.0,11886.0,211.0,8147.0,12730.0,211.0,-286.0,-844.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0
LOLTMNT06_171027,complete,PRM,2026.0,0.0,1.0,16.04,Red,bot,Damocles,DetonatioN FocusMe Academy,0.0,Jinx,Azir,Varus,Neeko,K'Sante,Rumble,2468.0,0.0,3.0,2.0,6.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2674,0.6321,1.0,0.0,16.0,14.0,2.0,52.0,19748.0,14438.0,351.0049,17700.0,415.0,391.0,24.0,10.0891,2853.0,3299.0,62.0,4234.0,3483.0,97.0,-1381.0,-184.0,-35.0,0.0,1.0,1.0,1.0,1.0,0.0,5194.0,5807.0,119.0,7375.0,5868.0,155.0,-2181.0,-61.0,-36.0,0.0,1.0,1.0,2.0,1.0,0.0,7433.0,7683.0,173.0,9670.0,7668.0,199.0,-2237.0,15.0,-26.0,0.0,2.0,1.0,2.0,2.0,1.0,9698.0,9919.0,239.0,12259.0,10366.0,264.0,-2561.0,-447.0,-25.0,0.0,2.0,1.0,2.0,2.0,1.0
LOLTMNT06_171027,complete,PRM,2026.0,0.0,1.0,16.04,Red,sup,Kurahuto,DetonatioN FocusMe Academy,0.0,Braum,Azir,Varus,Neeko,K'Sante,Rumble,2468.0,0.0,1.0,3.0,10.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.2674,0.6321,0.0,0.0,78.0,10.0,12.0,146.0,10560.0,5250.0,127.6337,10175.0,18.0,18.0,0.0,0.4376,2371.0,2446.0,10.0,3007.0,2749.0,16.0,-636.0,-303.0,-6.0,0.0,1.0,2.0,2.0,0.0,0.0,3370.0,3446.0,13.0,4406.0,4228.0,19.0,-1036.0,-782.0,-6.0,0.0,1.0,2.0,2.0,1.0,0.0,4465.0,5566.0,13.0,5661.0,5074.0,21.0,-1196.0,492.0,-8.0,0.0,3.0,2.0,2.0,2.0,0.0,5477.0,7204.0,13.0,6944.0,6010.0,25.0,-1467.0,1194.0,-12.0,0.0,3.0,2.0,2.0,2.0,0.0
LOLTMNT06_171027,complete,PRM,2026.0,0.0,1.0,16.04,Red,team,,DetonatioN FocusMe Academy,0.0,,Azir,Varus,Neeko,K'Sante,Rumble,2468.0,0.0,11.0,15.0,30.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,0.2674,0.6321,1.0,0.0,142.0,61.0,38.0,390.0,75263.0,48711.0,1184.222,70625.0,,1103.0,255.0,33.0146,15426.0,19673.0,322.0,17155.0,19553.0,334.0,-1729.0,120.0,-12.0,1.0,3.0,3.0,3.0,5.0,1.0,23572.0,31541.0,521.0,27943.0,33212.0,545.0,-4371.0,-1671.0,-24.0,1.0,3.0,5.0,5.0,8.0,1.0,32243.0,41730.0,661.0,36931.0,42745.0,704.0,-4688.0,-1015.0,-43.0,3.0,10.0,6.0,6.0,11.0,3.0,40499.0,53143.0,853.0,46304.0,55339.0,924.0,-5805.0,-2196.0,-71.0,3.0,10.0,6.0,6.0,11.0,3.0
LOLTMNT05_180072,complete,LEC,2026.0,1.0,1.0,16.04,Blue,top,Potential,DetonatioN FocusMe Academy,1.0,Zaahen,Orianna,Azir,Irelia,Ryze,LeBlanc,1893.0,0.0,3.0,5.0,4.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3487,1.0777,0.0,0.0,9.0,1.0,3.0,27.0,11754.0,7617.0,241.4263,11908.0,259.0,247.0,12.0,8.2092,3162.0,5069.0,76.0,3666.0,5116.0,90.0,-504.0,-47.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,4513.0,8046.0,115.0,6056.0,8736.0,135.0,-1543.0,-690.0,-20.0,0.0,0.0,1.0,0.0,1.0,0.0,7384.0,11729.0,157.0,7924.0,11365.0,170.0,-540.0,364.0,-13.0,2.0,3.0,2.0,1.0,2.0,2.0,9765.0,14942.0,212.0,10847.0,15333.0,209.0,-1082.0,-391.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0
LOLTMNT05_180072,complete,LEC,2026.0,1.0,1.0,16.04,Blue,jng,Grit,DetonatioN FocusMe Academy,1.0,Xin Zhao,Orianna,Azir,Irelia,Ryze,LeBlanc,1893.0,0.0,3.0,4.0,6.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3487,1.0777,0.0,1.0,11.0,8.0,8.0,47.0,11500.0,7363.0,233.3756,11350.0,209.0,10.0,199.0,6.6244,3485.0,4318.0,82.0,3484.0,4227.0,79.0,1.0,91.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5252.0,6464.0,115.0,5066.0,6394.0,116.0,186.0,70.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,7675.0,9466.0,155.0,7729.0,9211.0,157.0,-54.0,255.0,-2.0,2.0,3.0,1.0,2.0,2.0,1.0,9552.0,11745.0,186.0,9764.0,11807.0,179.0,-212.0,-62.0,7.0,2.0,5.0,2.0,3.0,4.0,2.0
LOLTMNT05_180072,complete,LEC,2026.0,1.0,1.0,16.04,Blue,mid,Ravvy,DetonatioN FocusMe Academy,1.0,Yone,Orianna,Azir,Irelia,Ryze,LeBlanc,1893.0,0.0,0.0,4.0,2.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3487,1.0777,0.0,0.0,12.0,7.0,4.0,37.0,10934.0,6797.0,215.4358,10950.0,275.0,265.0,10.0,8.7163,3722.0,5388.0,105.0,3638.0,5250.0,97.0,84.0,138.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5517.0,7938.0,155.0,6400.0,8470.0,155.0,-883.0,-532.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7430.0,10680.0,204.0,9336.0,11190.0,191.0,-1906.0,-510.0,13.0,0.0,2.0,1.0,3.0,3.0,0.0,9223.0,12589.0,241.0,11999.0,14343.0,226.0,-2776.0,-1754.0,15.0,0.0,2.0,2.0,5.0,4.0,0.0
LOLTMNT05_180072,complete,LEC,2026.0,1.0,1.0,16.04,Blue,bot,Damocles,DetonatioN FocusMe Academy,1.0,Jinx,Orianna,Azir,Irelia,Ryze,LeBlanc,1893.0,0.0,4.0,4.0,5.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.3487,1.0777,0.0,0.0,9.0,15.0,0.0,35.0,15423.0,11286.0,357.7179,15360.0,305.0,287.0,18.0,9.6672,3487.0,3351.0,90.0,3502.0,3525.0,92.0,-15.0,-174.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,6250.0,5506.0,143.0,5749.0,5793.0,143.0,501.0,-287.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9622.0,8373.0,193.0,7350.0,7570.0,181.0,2272.0,803.0,12.0,2.0,4.0,1.0,0.0,0.0,2.0,12130.0,10346.0,243.0,10010.0,11303.0,229.0,2120.0,-957.0,14.0,3.0,4.0,2.0,1.0,2.0,2.0
