gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163515,complete,LFL,2026.0,0.0,1.0,16.01,Blue,top,Vizicsacsi,E WIE EINFACH E-SPORTS,1.0,Sion,Taliyah,Orianna,Azir,Rell,Leona,2172.0,1.0,0.0,5.0,18.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,0.884,1.5193,0.0,0.0,28.0,11.0,10.0,81.0,12695.0,7989.0,220.6906,12650.0,257.0,257.0,0.0,7.0994,3658.0,5233.0,82.0,3247.0,4660.0,68.0,411.0,573.0,14.0,0.0,4.0,1.0,1.0,1.0,2.0,5300.0,8529.0,133.0,5392.0,8454.0,127.0,-92.0,75.0,6.0,0.0,5.0,1.0,1.0,1.0,2.0,7588.0,12074.0,176.0,7393.0,11192.0,167.0,195.0,882.0,9.0,0.0,10.0,1.0,2.0,1.0,3.0,8994.0,14434.0,203.0,8855.0,12802.0,186.0,139.0,1632.0,17.0,0.0,11.0,2.0,2.0,2.0,5.0
LOLTMNT06_163515,complete,LFL,2026.0,0.0,1.0,16.01,Blue,jng,Afroboi,E WIE EINFACH E-SPORTS,1.0,Viego,Taliyah,Orianna,Azir,Rell,Leona,2172.0,1.0,14.0,1.0,5.0,32.0,23.0,3.0,1.0,1.0,0.0,0.0,0.884,1.5193,0.0,0.0,7.0,12.0,7.0,54.0,19807.0,15101.0,417.1547,17375.0,299.0,41.0,258.0,8.2597,5810.0,5015.0,89.0,4242.0,4248.0,82.0,1568.0,767.0,7.0,6.0,0.0,0.0,1.0,1.0,2.0,7903.0,7567.0,137.0,6861.0,6752.0,120.0,1042.0,815.0,17.0,6.0,1.0,0.0,2.0,3.0,2.0,10529.0,10355.0,177.0,9487.0,9476.0,163.0,1042.0,879.0,14.0,7.0,3.0,0.0,3.0,5.0,3.0,13594.0,14794.0,241.0,12072.0,11035.0,179.0,1522.0,3759.0,62.0,8.0,4.0,0.0,5.0,6.0,4.0
LOLTMNT06_163515,complete,LFL,2026.0,0.0,1.0,16.01,Blue,mid,Relative,E WIE EINFACH E-SPORTS,1.0,Ryze,Taliyah,Orianna,Azir,Rell,Leona,2172.0,1.0,2.0,5.0,14.0,32.0,23.0,0.0,0.0,0.0,0.0,0.0,0.884,1.5193,0.0,0.0,16.0,5.0,3.0,39.0,17375.0,12669.0,349.9724,15325.0,351.0,335.0,16.0,9.6961,3736.0,5033.0,93.0,3419.0,4947.0,81.0,317.0,86.0,12.0,0.0,3.0,1.0,1.0,0.0,2.0,5374.0,7747.0,142.0,5164.0,7197.0,115.0,210.0,550.0,27.0,0.0,3.0,2.0,2.0,0.0,2.0,7554.0,10971.0,192.0,7235.0,10015.0,164.0,319.0,956.0,28.0,0.0,6.0,4.0,3.0,1.0,3.0,10212.0,16093.0,251.0,9256.0,14646.0,225.0,956.0,1447.0,26.0,0.0,9.0,4.0,3.0,2.0,3.0
LOLTMNT06_163515,complete,LFL,2026.0,0.0,1.0,16.01,Blue,bot,Noz2k,E WIE EINFACH E-SPORTS,1.0,Mel,Taliyah,Orianna,Azir,Rell,Leona,2172.0,1.0,11.0,5.0,8.0,32.0,23.0,2.0,1.0,0.0,0.0,1.0,0.884,1.5193,1.0,0.0,15.0,6.0,6.0,33.0,20343.0,15637.0,431.9613,18380.0,324.0,308.0,16.0,8.9503,4660.0,4450.0,92.0,3890.0,4285.0,81.0,770.0,165.0,11.0,3.0,1.0,2.0,2.0,0.0,2.0,7095.0,7161.0,149.0,6685.0,6511.0,126.0,410.0,650.0,23.0,3.0,1.0,3.0,3.0,1.0,2.0,10828.0,10100.0,199.0,8948.0,9432.0,174.0,1880.0,668.0,25.0,6.0,2.0,3.0,3.0,1.0,3.0,13939.0,12625.0,234.0,11801.0,11766.0,218.0,2138.0,859.0,16.0,9.0,3.0,4.0,4.0,1.0,4.0
LOLTMNT06_163515,complete,LFL,2026.0,0.0,1.0,16.01,Blue,sup,Wildenbruch,E WIE EINFACH E-SPORTS,1.0,Pyke,Taliyah,Orianna,Azir,Rell,Leona,2172.0,1.0,5.0,7.0,16.0,32.0,23.0,1.0,0.0,0.0,0.0,1.0,0.884,1.5193,0.0,0.0,67.0,23.0,11.0,170.0,11561.0,6855.0,189.3646,11130.0,31.0,31.0,0.0,0.8564,3483.0,3010.0,5.0,2361.0,1857.0,8.0,1122.0,1153.0,-3.0,1.0,7.0,1.0,0.0,2.0,2.0,4598.0,3756.0,5.0,3739.0,4009.0,23.0,859.0,-253.0,-18.0,2.0,7.0,2.0,0.0,4.0,3.0,6390.0,5101.0,10.0,5301.0,5335.0,26.0,1089.0,-234.0,-16.0,4.0,8.0,4.0,1.0,6.0,5.0,7920.0,5932.0,13.0,6641.0,6353.0,26.0,1279.0,-421.0,-13.0,5.0,9.0,5.0,1.0,8.0,6.0
LOLTMNT06_163515,complete,LFL,2026.0,0.0,1.0,16.01,Blue,team,,E WIE EINFACH E-SPORTS,1.0,,Taliyah,Orianna,Azir,Rell,Leona,2172.0,1.0,32.0,23.0,61.0,32.0,23.0,6.0,2.0,1.0,0.0,1.0,0.884,1.5193,1.0,0.0,133.0,57.0,37.0,377.0,81781.0,58249.0,1609.0884,74860.0,,972.0,290.0,34.8619,21347.0,22741.0,361.0,17159.0,19997.0,320.0,4188.0,2744.0,41.0,10.0,15.0,5.0,5.0,4.0,10.0,30270.0,34760.0,566.0,27841.0,32923.0,511.0,2429.0,1837.0,55.0,11.0,17.0,8.0,8.0,9.0,11.0,42889.0,48601.0,754.0,38364.0,45450.0,694.0,4525.0,3151.0,60.0,17.0,29.0,12.0,12.0,14.0,17.0,54659.0,63878.0,942.0,48625.0,56602.0,834.0,6034.0,7276.0,108.0,22.0,36.0,15.0,15.0,19.0,22.0
LOLTMNT03_339537,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,top,Vizicsacsi,E WIE EINFACH E-SPORTS,1.0,Cho'Gath,Sion,Ornn,Orianna,Braum,Neeko,1900.0,0.0,1.0,6.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1895,0.7895,0.0,0.0,15.0,7.0,4.0,54.0,9916.0,5764.0,182.0211,10050.0,233.0,233.0,0.0,7.3579,3180.0,4622.0,81.0,4037.0,5470.0,94.0,-857.0,-848.0,-13.0,0.0,0.0,1.0,1.0,0.0,0.0,4526.0,6738.0,117.0,6514.0,10338.0,155.0,-1988.0,-3600.0,-38.0,0.0,0.0,3.0,3.0,0.0,0.0,6457.0,10703.0,159.0,9309.0,13568.0,200.0,-2852.0,-2865.0,-41.0,1.0,0.0,4.0,4.0,0.0,0.0,8229.0,13342.0,203.0,10854.0,15857.0,227.0,-2625.0,-2515.0,-24.0,1.0,0.0,4.0,5.0,1.0,0.0
LOLTMNT03_339537,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,jng,Afroboi,E WIE EINFACH E-SPORTS,1.0,Ambessa,Sion,Ornn,Orianna,Braum,Neeko,1900.0,0.0,0.0,2.0,5.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1895,0.7895,0.0,0.0,5.0,10.0,2.0,41.0,12028.0,7876.0,248.7158,11550.0,244.0,25.0,219.0,7.7053,3445.0,4097.0,78.0,3335.0,3825.0,74.0,110.0,272.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5473.0,6930.0,123.0,5223.0,6383.0,111.0,250.0,547.0,12.0,0.0,1.0,0.0,1.0,0.0,1.0,7952.0,10331.0,175.0,7397.0,8651.0,138.0,555.0,1680.0,37.0,0.0,2.0,0.0,1.0,1.0,1.0,9617.0,12205.0,207.0,9656.0,10855.0,171.0,-39.0,1350.0,36.0,0.0,3.0,1.0,3.0,2.0,1.0
LOLTMNT03_339537,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,mid,Relative,E WIE EINFACH E-SPORTS,1.0,Ahri,Sion,Ornn,Orianna,Braum,Neeko,1900.0,0.0,2.0,1.0,1.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1895,0.7895,0.0,0.0,7.0,7.0,1.0,29.0,12618.0,8466.0,267.3474,12475.0,328.0,328.0,0.0,10.3579,3764.0,5343.0,110.0,3607.0,5597.0,105.0,157.0,-254.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5625.0,8121.0,174.0,5617.0,8140.0,158.0,8.0,-19.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,7643.0,11069.0,234.0,7725.0,10548.0,204.0,-82.0,521.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,10269.0,13722.0,285.0,9593.0,13035.0,253.0,676.0,687.0,32.0,1.0,0.0,0.0,0.0,4.0,1.0
LOLTMNT03_339537,complete,LCKC,2026.0,0.0,1.0,16.01,Blue,bot,Noz2k,E WIE EINFACH E-SPORTS,1.0,Aphelios,Sion,Ornn,Orianna,Braum,Neeko,1900.0,0.0,3.0,4.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1895,0.7895,0.0,1.0,14.0,7.0,4.0,35.0,14178.0,10026.0,316.6105,13075.0,326.0,314.0,12.0,10.2947,3672.0,4009.0,98.0,3282.0,3621.0,86.0,390.0,388.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6169.0,6386.0,150.0,6365.0,6603.0,144.0,-196.0,-217.0,6.0,1.0,0.0,2.0,1.0,1.0,0.0,8263.0,9468.0,216.0,9254.0,10091.0,220.0,-991.0,-623.0,-4.0,1.0,0.0,2.0,1.0,1.0,0.0,10833.0,12670.0,285.0,11758.0,12970.0,280.0,-925.0,-300.0,5.0,1.0,0.0,2.0,1.0,2.0,0.0
