gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176854,complete,LFL,2026.0,0.0,1.0,16.03,Red,top,Dreampull,Elegance,0.0,Rumble,Dr. Mundo,Viktor,Varus,Nautilus,Taric,2112.0,1.0,10.0,5.0,5.0,29.0,20.0,1.0,0.0,0.0,0.0,0.0,0.8239,1.392,0.0,0.0,11.0,1.0,1.0,32.0,15832.0,11248.0,319.5455,15725.0,268.0,260.0,8.0,7.6136,3817.0,5591.0,84.0,3082.0,5149.0,81.0,735.0,442.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,6375.0,10080.0,140.0,4968.0,9250.0,117.0,1407.0,830.0,23.0,3.0,0.0,1.0,1.0,0.0,2.0,8928.0,12561.0,165.0,6352.0,10928.0,143.0,2576.0,1633.0,22.0,6.0,2.0,2.0,1.0,0.0,4.0,10743.0,15961.0,222.0,8228.0,14290.0,194.0,2515.0,1671.0,28.0,6.0,2.0,3.0,1.0,1.0,4.0
LOLTMNT05_176854,complete,LFL,2026.0,0.0,1.0,16.03,Red,jng,ELG tomaspal,Elegance,0.0,Wukong,Dr. Mundo,Viktor,Varus,Nautilus,Taric,2112.0,1.0,2.0,2.0,13.0,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.8239,1.392,2.0,0.0,8.0,13.0,7.0,59.0,15067.0,10483.0,297.8125,14258.0,268.0,19.0,249.0,7.6136,3292.0,3634.0,71.0,3335.0,3661.0,71.0,-43.0,-27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5630.0,6685.0,112.0,4588.0,5380.0,95.0,1042.0,1305.0,17.0,1.0,1.0,0.0,0.0,1.0,2.0,7884.0,10085.0,149.0,6557.0,7574.0,114.0,1327.0,2511.0,35.0,1.0,7.0,0.0,1.0,2.0,4.0,10348.0,13137.0,200.0,9527.0,10519.0,157.0,821.0,2618.0,43.0,1.0,8.0,0.0,2.0,2.0,5.0
LOLTMNT05_176854,complete,LFL,2026.0,0.0,1.0,16.03,Red,mid,Nomanz,Elegance,0.0,Sylas,Dr. Mundo,Viktor,Varus,Nautilus,Taric,2112.0,1.0,12.0,4.0,7.0,29.0,20.0,1.0,1.0,1.0,0.0,0.0,0.8239,1.392,0.0,0.0,7.0,14.0,3.0,42.0,19131.0,14547.0,413.267,16675.0,315.0,311.0,4.0,8.9489,3237.0,4755.0,84.0,3749.0,5842.0,97.0,-512.0,-1087.0,-13.0,0.0,0.0,1.0,1.0,0.0,0.0,6546.0,8529.0,144.0,5245.0,7960.0,139.0,1301.0,569.0,5.0,2.0,3.0,1.0,1.0,0.0,2.0,9636.0,10911.0,183.0,7096.0,10837.0,188.0,2540.0,74.0,-5.0,6.0,5.0,1.0,1.0,1.0,3.0,11263.0,12980.0,224.0,8999.0,14078.0,232.0,2264.0,-1098.0,-8.0,6.0,6.0,2.0,1.0,3.0,3.0
LOLTMNT05_176854,complete,LFL,2026.0,0.0,1.0,16.03,Red,bot,Demonadc,Elegance,0.0,Lucian,Dr. Mundo,Viktor,Varus,Nautilus,Taric,2112.0,1.0,3.0,6.0,11.0,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.8239,1.392,0.0,0.0,7.0,10.0,0.0,25.0,16854.0,12270.0,348.5795,14250.0,331.0,327.0,4.0,9.4034,3366.0,3199.0,90.0,3670.0,3626.0,94.0,-304.0,-427.0,-4.0,0.0,0.0,1.0,0.0,1.0,0.0,5445.0,5296.0,136.0,6779.0,5892.0,148.0,-1334.0,-596.0,-12.0,0.0,0.0,2.0,1.0,1.0,0.0,8104.0,8688.0,191.0,9034.0,7862.0,193.0,-930.0,826.0,-2.0,1.0,3.0,3.0,2.0,1.0,3.0,11082.0,11422.0,259.0,12307.0,11562.0,263.0,-1225.0,-140.0,-4.0,2.0,3.0,3.0,3.0,1.0,3.0
LOLTMNT05_176854,complete,LFL,2026.0,0.0,1.0,16.03,Red,sup,Rozpier,Elegance,0.0,Braum,Dr. Mundo,Viktor,Varus,Nautilus,Taric,2112.0,1.0,2.0,3.0,16.0,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.8239,1.392,0.0,0.0,48.0,16.0,12.0,137.0,10577.0,5993.0,170.2557,8935.0,47.0,47.0,0.0,1.3352,2384.0,3183.0,25.0,2848.0,2838.0,20.0,-464.0,345.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,4058.0,4650.0,35.0,4188.0,4673.0,30.0,-130.0,-23.0,5.0,1.0,1.0,0.0,1.0,1.0,1.0,5500.0,6612.0,40.0,5317.0,5797.0,38.0,183.0,815.0,2.0,1.0,6.0,0.0,1.0,1.0,1.0,6592.0,8311.0,43.0,6582.0,7414.0,43.0,10.0,897.0,0.0,1.0,7.0,0.0,1.0,2.0,1.0
LOLTMNT05_176854,complete,LFL,2026.0,0.0,1.0,16.03,Red,team,,Elegance,0.0,,Dr. Mundo,Viktor,Varus,Nautilus,Taric,2112.0,1.0,29.0,20.0,52.0,29.0,20.0,2.0,1.0,1.0,0.0,0.0,0.8239,1.392,2.0,0.0,81.0,54.0,23.0,295.0,77461.0,54541.0,1549.4602,69843.0,,964.0,265.0,34.9148,16096.0,20362.0,354.0,16684.0,21116.0,363.0,-588.0,-754.0,-9.0,1.0,0.0,2.0,2.0,2.0,1.0,28054.0,35240.0,567.0,25768.0,33155.0,529.0,2286.0,2085.0,38.0,7.0,5.0,4.0,4.0,3.0,7.0,40052.0,48857.0,728.0,34356.0,42998.0,676.0,5696.0,5859.0,52.0,15.0,23.0,6.0,6.0,5.0,15.0,50028.0,61811.0,948.0,45643.0,57863.0,889.0,4385.0,3948.0,59.0,16.0,26.0,8.0,8.0,9.0,16.0
LOLTMNT02_355399,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,top,Dreampull,Elegance,0.0,Kennen,Ryze,Ahri,Jayce,Gwen,Varus,1508.0,0.0,2.0,3.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,0.1592,0.8753,0.0,0.0,3.0,3.0,0.0,11.0,10193.0,6841.0,272.1883,10000.0,255.0,255.0,0.0,10.1459,4508.0,4925.0,84.0,3297.0,4542.0,82.0,1211.0,383.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,6242.0,8538.0,143.0,4968.0,8112.0,135.0,1274.0,426.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,8415.0,12038.0,203.0,6807.0,11548.0,188.0,1608.0,490.0,15.0,2.0,0.0,0.0,0.0,1.0,2.0,10176.0,14961.0,255.0,9546.0,15757.0,231.0,630.0,-796.0,24.0,2.0,0.0,2.0,1.0,5.0,2.0
LOLTMNT02_355399,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,jng,ELG tomaspal,Elegance,0.0,Nocturne,Ryze,Ahri,Jayce,Gwen,Varus,1508.0,0.0,2.0,5.0,2.0,4.0,19.0,0.0,0.0,0.0,0.0,1.0,0.1592,0.8753,0.0,1.0,6.0,5.0,5.0,28.0,8403.0,5051.0,200.9682,8325.0,160.0,12.0,148.0,6.366,3611.0,3887.0,70.0,3811.0,4560.0,87.0,-200.0,-673.0,-17.0,0.0,2.0,1.0,0.0,3.0,0.0,5749.0,6372.0,105.0,5956.0,8163.0,149.0,-207.0,-1791.0,-44.0,2.0,2.0,1.0,0.0,3.0,0.0,7274.0,8757.0,141.0,8909.0,10912.0,193.0,-1635.0,-2155.0,-52.0,2.0,2.0,3.0,2.0,4.0,0.0,8385.0,10397.0,160.0,12140.0,15248.0,234.0,-3755.0,-4851.0,-74.0,2.0,2.0,5.0,2.0,10.0,0.0
LOLTMNT02_355399,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,mid,Nomanz,Elegance,0.0,Syndra,Ryze,Ahri,Jayce,Gwen,Varus,1508.0,0.0,0.0,3.0,2.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1592,0.8753,0.0,0.0,8.0,3.0,0.0,21.0,8115.0,4763.0,189.5093,7700.0,215.0,215.0,0.0,8.5544,3391.0,4795.0,86.0,3033.0,4606.0,76.0,358.0,189.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,5424.0,7943.0,138.0,4463.0,6802.0,116.0,961.0,1141.0,22.0,0.0,2.0,1.0,0.0,0.0,2.0,6906.0,10572.0,186.0,6363.0,9415.0,164.0,543.0,1157.0,22.0,0.0,2.0,2.0,0.0,2.0,2.0,8098.0,12121.0,215.0,8963.0,12809.0,199.0,-865.0,-688.0,16.0,0.0,2.0,3.0,1.0,4.0,2.0
LOLTMNT02_355399,complete,LPLOL,2026.0,0.0,1.0,16.03,Red,bot,Demonadc,Elegance,0.0,Tristana,Ryze,Ahri,Jayce,Gwen,Varus,1508.0,0.0,0.0,4.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1592,0.8753,0.0,0.0,5.0,1.0,0.0,9.0,8323.0,4971.0,197.7851,7925.0,186.0,186.0,0.0,7.4005,2927.0,3369.0,62.0,4541.0,3690.0,99.0,-1614.0,-321.0,-37.0,0.0,0.0,2.0,2.0,2.0,0.0,4392.0,5523.0,105.0,7173.0,5883.0,163.0,-2781.0,-360.0,-58.0,0.0,0.0,2.0,2.0,2.0,0.0,6880.0,7394.0,147.0,10933.0,9020.0,219.0,-4053.0,-1626.0,-72.0,0.0,0.0,3.0,5.0,4.0,0.0,8305.0,9356.0,186.0,15646.0,12726.0,278.0,-7341.0,-3370.0,-92.0,0.0,0.0,4.0,10.0,4.0,0.0
