gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151757,complete,CCWS,2026.0,0.0,1.0,16.02,Red,top,Davyyy,Epitomy Esports,0.0,Gnar,Rumble,Draven,Lee Sin,Nautilus,Rell,2073.0,1.0,2.0,1.0,4.0,23.0,15.0,1.0,0.0,0.0,0.0,0.0,0.6657,1.0999,0.0,0.0,8.0,5.0,3.0,37.0,16117.0,11612.0,336.0926,14558.0,350.0,337.0,13.0,10.1302,3387.0,5474.0,97.0,3306.0,5101.0,94.0,81.0,373.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5803.0,9262.0,155.0,4714.0,8337.0,139.0,1089.0,925.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7979.0,12280.0,211.0,6631.0,12344.0,208.0,1348.0,-64.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10403.0,16130.0,278.0,8564.0,15765.0,273.0,1839.0,365.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT04_151757,complete,CCWS,2026.0,0.0,1.0,16.02,Red,jng,EPT Fdes,Epitomy Esports,0.0,Gwen,Rumble,Draven,Lee Sin,Nautilus,Rell,2073.0,1.0,10.0,4.0,8.0,23.0,15.0,1.0,0.0,0.0,0.0,1.0,0.6657,1.0999,0.0,1.0,11.0,12.0,8.0,53.0,16331.0,11826.0,342.2865,14550.0,260.0,29.0,231.0,7.5253,4222.0,3866.0,75.0,4393.0,4634.0,84.0,-171.0,-768.0,-9.0,2.0,1.0,1.0,1.0,2.0,0.0,6342.0,7073.0,129.0,6436.0,6992.0,121.0,-94.0,81.0,8.0,2.0,1.0,1.0,2.0,2.0,0.0,9108.0,9973.0,163.0,8881.0,9827.0,163.0,227.0,146.0,0.0,5.0,3.0,2.0,3.0,4.0,1.0,11326.0,13966.0,219.0,10445.0,11930.0,196.0,881.0,2036.0,23.0,5.0,4.0,2.0,3.0,4.0,2.0
LOLTMNT04_151757,complete,CCWS,2026.0,0.0,1.0,16.02,Red,mid,EPT Valy1c,Epitomy Esports,0.0,Ryze,Rumble,Draven,Lee Sin,Nautilus,Rell,2073.0,1.0,8.0,3.0,8.0,23.0,15.0,0.0,0.0,0.0,0.0,1.0,0.6657,1.0999,0.0,0.0,20.0,9.0,7.0,51.0,15020.0,10515.0,304.3415,14325.0,289.0,277.0,12.0,8.3647,3599.0,4574.0,74.0,3717.0,4725.0,72.0,-118.0,-151.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,5630.0,8018.0,128.0,5411.0,7399.0,122.0,219.0,619.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,7925.0,10808.0,174.0,6850.0,9655.0,159.0,1075.0,1153.0,15.0,3.0,5.0,2.0,2.0,1.0,3.0,10442.0,15977.0,227.0,8859.0,12231.0,211.0,1583.0,3746.0,16.0,5.0,5.0,2.0,2.0,1.0,4.0
LOLTMNT04_151757,complete,CCWS,2026.0,0.0,1.0,16.02,Red,bot,EPT Deckard,Epitomy Esports,0.0,Sivir,Rumble,Draven,Lee Sin,Nautilus,Rell,2073.0,1.0,2.0,2.0,9.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6657,1.0999,0.0,0.0,17.0,7.0,5.0,40.0,15488.0,10983.0,317.8871,13225.0,330.0,326.0,4.0,9.5514,3549.0,3909.0,85.0,3325.0,3576.0,85.0,224.0,333.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5700.0,5654.0,128.0,5791.0,5686.0,138.0,-91.0,-32.0,-10.0,1.0,1.0,1.0,0.0,2.0,1.0,7897.0,8182.0,178.0,8421.0,7547.0,175.0,-524.0,635.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,10226.0,10496.0,242.0,10449.0,9923.0,237.0,-223.0,573.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0
LOLTMNT04_151757,complete,CCWS,2026.0,0.0,1.0,16.02,Red,sup,EPT Aledice,Epitomy Esports,0.0,Leona,Rumble,Draven,Lee Sin,Nautilus,Rell,2073.0,1.0,1.0,5.0,12.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6657,1.0999,0.0,0.0,50.0,15.0,4.0,117.0,9306.0,4801.0,138.958,8035.0,42.0,40.0,2.0,1.2156,2438.0,2460.0,17.0,2106.0,2018.0,14.0,332.0,442.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,3675.0,3995.0,32.0,3343.0,4087.0,27.0,332.0,-92.0,5.0,0.0,2.0,0.0,0.0,2.0,1.0,4780.0,5135.0,35.0,4534.0,5659.0,30.0,246.0,-524.0,5.0,0.0,4.0,2.0,0.0,5.0,4.0,5982.0,7377.0,40.0,5546.0,8113.0,32.0,436.0,-736.0,8.0,0.0,5.0,2.0,0.0,5.0,4.0
LOLTMNT04_151757,complete,CCWS,2026.0,0.0,1.0,16.02,Red,team,,Epitomy Esports,0.0,,Rumble,Draven,Lee Sin,Nautilus,Rell,2073.0,1.0,23.0,15.0,41.0,23.0,15.0,2.0,0.0,0.0,0.0,1.0,0.6657,1.0999,0.0,1.0,106.0,48.0,27.0,298.0,72262.0,49739.0,1439.6237,64693.0,,1009.0,262.0,36.7873,17195.0,20283.0,348.0,16847.0,20054.0,349.0,348.0,229.0,-1.0,4.0,6.0,3.0,3.0,4.0,4.0,27150.0,34002.0,572.0,25695.0,32501.0,547.0,1455.0,1501.0,25.0,5.0,6.0,4.0,4.0,6.0,5.0,37689.0,46378.0,761.0,35317.0,45032.0,735.0,2372.0,1346.0,26.0,10.0,14.0,7.0,7.0,13.0,10.0,48379.0,63946.0,1006.0,43863.0,57962.0,949.0,4516.0,5984.0,57.0,12.0,16.0,7.0,7.0,13.0,12.0
LOLTMNT04_151759,complete,LFL,2026.0,0.0,2.0,16.02,Blue,top,Davyyy,Epitomy Esports,1.0,Camille,Rumble,Draven,Lee Sin,Sylas,Jax,1748.0,1.0,6.0,3.0,11.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.9268,1.373,0.0,0.0,9.0,3.0,3.0,27.0,14438.0,10596.0,363.7071,12808.0,250.0,246.0,4.0,8.5812,3293.0,4469.0,72.0,3719.0,4927.0,80.0,-426.0,-458.0,-8.0,0.0,1.0,2.0,1.0,1.0,1.0,6197.0,8974.0,125.0,4999.0,7863.0,117.0,1198.0,1111.0,8.0,1.0,2.0,2.0,1.0,1.0,3.0,9570.0,12953.0,174.0,6818.0,11154.0,163.0,2752.0,1799.0,11.0,4.0,4.0,3.0,1.0,2.0,4.0,12011.0,16155.0,226.0,8037.0,13107.0,192.0,3974.0,3048.0,34.0,4.0,5.0,3.0,1.0,2.0,5.0
LOLTMNT04_151759,complete,LFL,2026.0,0.0,2.0,16.02,Blue,jng,EPT Fdes,Epitomy Esports,1.0,Kindred,Rumble,Draven,Lee Sin,Sylas,Jax,1748.0,1.0,11.0,1.0,7.0,27.0,13.0,1.0,1.0,0.0,0.0,0.0,0.9268,1.373,1.0,0.0,3.0,8.0,0.0,33.0,15130.0,11288.0,387.46,12650.0,222.0,25.0,197.0,7.6201,3716.0,4250.0,76.0,3856.0,3815.0,67.0,-140.0,435.0,9.0,1.0,0.0,0.0,2.0,0.0,1.0,5899.0,7524.0,120.0,5545.0,6174.0,102.0,354.0,1350.0,18.0,2.0,0.0,0.0,2.0,2.0,2.0,8825.0,10562.0,154.0,7794.0,8471.0,125.0,1031.0,2091.0,29.0,5.0,3.0,1.0,3.0,4.0,4.0,11005.0,13723.0,197.0,9399.0,10740.0,162.0,1606.0,2983.0,35.0,6.0,3.0,1.0,3.0,4.0,5.0
LOLTMNT04_151759,complete,LFL,2026.0,0.0,2.0,16.02,Blue,mid,EPT Valy1c,Epitomy Esports,1.0,Orianna,Rumble,Draven,Lee Sin,Sylas,Jax,1748.0,1.0,8.0,3.0,13.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.9268,1.373,0.0,0.0,14.0,6.0,5.0,31.0,13021.0,9179.0,315.0686,11125.0,229.0,221.0,8.0,7.8604,3586.0,5065.0,84.0,3325.0,5194.0,79.0,261.0,-129.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,5973.0,8222.0,131.0,5255.0,8172.0,135.0,718.0,50.0,-4.0,3.0,0.0,2.0,0.0,1.0,1.0,8269.0,10703.0,161.0,7726.0,10681.0,180.0,543.0,22.0,-19.0,5.0,5.0,3.0,2.0,4.0,3.0,10072.0,12689.0,194.0,9214.0,12703.0,220.0,858.0,-14.0,-26.0,6.0,6.0,3.0,2.0,4.0,3.0
LOLTMNT04_151759,complete,LFL,2026.0,0.0,2.0,16.02,Blue,bot,EPT Deckard,Epitomy Esports,1.0,Corki,Rumble,Draven,Lee Sin,Sylas,Jax,1748.0,1.0,2.0,3.0,12.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,0.9268,1.373,0.0,0.0,12.0,1.0,2.0,17.0,13375.0,9533.0,327.2197,10783.0,274.0,274.0,0.0,9.405,3227.0,3586.0,84.0,3769.0,4383.0,94.0,-542.0,-797.0,-10.0,0.0,0.0,1.0,1.0,0.0,0.0,5168.0,5663.0,132.0,6530.0,7244.0,150.0,-1362.0,-1581.0,-18.0,0.0,0.0,2.0,2.0,1.0,0.0,7490.0,8447.0,178.0,9398.0,8819.0,171.0,-1908.0,-372.0,7.0,0.0,5.0,3.0,4.0,4.0,2.0,9771.0,10984.0,244.0,11586.0,11354.0,231.0,-1815.0,-370.0,13.0,0.0,5.0,3.0,4.0,4.0,2.0
