gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Blue,top,Sinmivak,Forsaken,1.0,Rumble,Rakan,Aurora,Diana,Wukong,Ryze,1637.0,1.0,1.0,1.0,5.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.4765,0.8064,0.0,0.0,11.0,1.0,2.0,22.0,10423.0,6808.0,249.5296,9400.0,248.0,248.0,0.0,9.0898,3460.0,5008.0,93.0,3368.0,5348.0,94.0,92.0,-340.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,5048.0,7744.0,141.0,5442.0,8707.0,134.0,-394.0,-963.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,6762.0,11054.0,187.0,8492.0,13108.0,190.0,-1730.0,-2054.0,-3.0,0.0,0.0,1.0,3.0,2.0,0.0,9194.0,14868.0,232.0,9616.0,14243.0,207.0,-422.0,625.0,25.0,1.0,1.0,1.0,3.0,3.0,2.0
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Blue,jng,Cinkrof,Forsaken,1.0,Naafiri,Rakan,Aurora,Diana,Wukong,Ryze,1637.0,1.0,7.0,2.0,2.0,13.0,9.0,1.0,0.0,0.0,0.0,0.0,0.4765,0.8064,0.0,0.0,9.0,4.0,7.0,34.0,13081.0,9466.0,346.9517,10775.0,236.0,36.0,200.0,8.65,3712.0,4683.0,89.0,3386.0,4018.0,76.0,326.0,665.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,6329.0,8769.0,144.0,5533.0,6355.0,111.0,796.0,2414.0,33.0,2.0,0.0,0.0,2.0,0.0,1.0,8607.0,11605.0,192.0,7305.0,8971.0,147.0,1302.0,2634.0,45.0,3.0,0.0,1.0,2.0,1.0,1.0,10997.0,14684.0,225.0,9261.0,12205.0,197.0,1736.0,2479.0,28.0,4.0,2.0,1.0,2.0,2.0,1.0
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Blue,mid,Secrett,Forsaken,1.0,Orianna,Rakan,Aurora,Diana,Wukong,Ryze,1637.0,1.0,3.0,2.0,6.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.4765,0.8064,0.0,0.0,4.0,9.0,2.0,31.0,11380.0,7765.0,284.606,10930.0,249.0,249.0,0.0,9.1265,3781.0,5143.0,99.0,3152.0,4970.0,80.0,629.0,173.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6050.0,7706.0,144.0,5169.0,7367.0,123.0,881.0,339.0,21.0,1.0,1.0,2.0,1.0,1.0,2.0,7981.0,10076.0,191.0,7169.0,10577.0,181.0,812.0,-501.0,10.0,1.0,2.0,2.0,1.0,2.0,2.0,10235.0,13311.0,239.0,9047.0,13522.0,232.0,1188.0,-211.0,7.0,2.0,3.0,2.0,1.0,2.0,2.0
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Blue,bot,zamulek,Forsaken,1.0,Ezreal,Rakan,Aurora,Diana,Wukong,Ryze,1637.0,1.0,1.0,2.0,5.0,13.0,9.0,0.0,0.0,0.0,0.0,1.0,0.4765,0.8064,1.0,0.0,10.0,3.0,3.0,19.0,14420.0,10805.0,396.0293,12175.0,275.0,265.0,10.0,10.0794,4503.0,3702.0,96.0,3243.0,3522.0,77.0,1260.0,180.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,7396.0,5842.0,146.0,5630.0,5376.0,123.0,1766.0,466.0,23.0,1.0,0.0,1.0,0.0,0.0,1.0,10071.0,8369.0,207.0,7947.0,8432.0,181.0,2124.0,-63.0,26.0,1.0,0.0,2.0,1.0,0.0,1.0,12195.0,10751.0,242.0,10780.0,11296.0,245.0,1415.0,-545.0,-3.0,1.0,2.0,2.0,2.0,0.0,1.0
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Blue,sup,Kaseko,Forsaken,1.0,Nami,Rakan,Aurora,Diana,Wukong,Ryze,1637.0,1.0,1.0,2.0,9.0,13.0,9.0,0.0,0.0,0.0,0.0,1.0,0.4765,0.8064,0.0,0.0,38.0,15.0,8.0,101.0,8365.0,4750.0,174.099,7205.0,31.0,31.0,0.0,1.1362,3119.0,2986.0,15.0,2315.0,2298.0,9.0,804.0,688.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,4743.0,4148.0,20.0,3598.0,3770.0,11.0,1145.0,378.0,9.0,1.0,2.0,1.0,0.0,3.0,1.0,6047.0,5159.0,24.0,4639.0,5276.0,12.0,1408.0,-117.0,12.0,1.0,3.0,1.0,0.0,4.0,2.0,7400.0,7118.0,28.0,5666.0,5671.0,13.0,1734.0,1447.0,15.0,1.0,5.0,2.0,0.0,5.0,3.0
LOLTMNT05_176984,complete,TCL,2026.0,0.0,1.0,16.03,Blue,team,,Forsaken,1.0,,Rakan,Aurora,Diana,Wukong,Ryze,1637.0,1.0,13.0,9.0,27.0,13.0,9.0,1.0,0.0,0.0,0.0,1.0,0.4765,0.8064,1.0,0.0,72.0,32.0,22.0,207.0,57669.0,39594.0,1451.2156,50485.0,,829.0,210.0,38.0819,18575.0,21522.0,392.0,15464.0,20156.0,336.0,3111.0,1366.0,56.0,1.0,1.0,0.0,0.0,0.0,1.0,29566.0,34209.0,595.0,25372.0,31575.0,502.0,4194.0,2634.0,93.0,5.0,3.0,4.0,4.0,6.0,5.0,39468.0,46263.0,801.0,35552.0,46364.0,711.0,3916.0,-101.0,90.0,6.0,5.0,7.0,7.0,9.0,6.0,50021.0,60732.0,966.0,44370.0,56937.0,894.0,5651.0,3795.0,72.0,9.0,13.0,8.0,8.0,12.0,9.0
LOLTMNT03_344242,complete,LJL,2026.0,1.0,1.0,16.03,Blue,top,Sinmivak,Forsaken,1.0,Rumble,Yunara,Caitlyn,Syndra,Wukong,Xin Zhao,2224.0,1.0,1.0,0.0,4.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.3507,0.5665,0.0,0.0,18.0,0.0,5.0,31.0,15892.0,11079.0,298.8939,15125.0,306.0,280.0,26.0,8.2554,4057.0,5472.0,106.0,3449.0,4969.0,88.0,608.0,503.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,6109.0,9440.0,163.0,4968.0,8351.0,131.0,1141.0,1089.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,8794.0,12864.0,218.0,6597.0,10752.0,176.0,2197.0,2112.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,10690.0,15349.0,238.0,7937.0,12938.0,202.0,2753.0,2411.0,36.0,0.0,1.0,0.0,0.0,1.0,1.0
LOLTMNT03_344242,complete,LJL,2026.0,1.0,1.0,16.03,Blue,jng,Cinkrof,Forsaken,1.0,Trundle,Yunara,Caitlyn,Syndra,Wukong,Xin Zhao,2224.0,1.0,1.0,2.0,10.0,13.0,8.0,0.0,0.0,0.0,0.0,1.0,0.3507,0.5665,2.0,0.0,14.0,17.0,12.0,71.0,13344.0,8531.0,230.1529,12933.0,225.0,34.0,191.0,6.0701,3949.0,4290.0,79.0,3803.0,4283.0,80.0,146.0,7.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,5945.0,7072.0,126.0,6011.0,6694.0,121.0,-66.0,378.0,5.0,1.0,2.0,1.0,2.0,0.0,0.0,7477.0,9196.0,158.0,7909.0,9306.0,169.0,-432.0,-110.0,-11.0,1.0,2.0,1.0,2.0,0.0,0.0,9475.0,11934.0,185.0,9325.0,11022.0,200.0,150.0,912.0,-15.0,1.0,4.0,1.0,2.0,0.0,1.0
LOLTMNT03_344242,complete,LJL,2026.0,1.0,1.0,16.03,Blue,mid,Secrett,Forsaken,1.0,Ryze,Yunara,Caitlyn,Syndra,Wukong,Xin Zhao,2224.0,1.0,5.0,2.0,7.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.3507,0.5665,0.0,0.0,3.0,10.0,1.0,30.0,16291.0,11478.0,309.6583,14625.0,350.0,334.0,16.0,9.4424,3685.0,4729.0,90.0,3743.0,5102.0,96.0,-58.0,-373.0,-6.0,1.0,0.0,1.0,1.0,0.0,0.0,5838.0,7923.0,143.0,5616.0,8062.0,151.0,222.0,-139.0,-8.0,2.0,0.0,1.0,1.0,1.0,1.0,7982.0,11253.0,210.0,7623.0,11435.0,220.0,359.0,-182.0,-10.0,2.0,0.0,1.0,1.0,1.0,1.0,10763.0,16381.0,263.0,9477.0,14013.0,266.0,1286.0,2368.0,-3.0,3.0,1.0,1.0,1.0,1.0,1.0
LOLTMNT03_344242,complete,LJL,2026.0,1.0,1.0,16.03,Blue,bot,zamulek,Forsaken,1.0,Kai'Sa,Yunara,Caitlyn,Syndra,Wukong,Xin Zhao,2224.0,1.0,6.0,2.0,4.0,13.0,8.0,1.0,0.0,0.0,0.0,1.0,0.3507,0.5665,1.0,0.0,18.0,10.0,7.0,56.0,20776.0,15963.0,430.6565,19525.0,366.0,331.0,35.0,9.8741,3597.0,3773.0,92.0,3401.0,3379.0,80.0,196.0,394.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,6031.0,6170.0,151.0,5314.0,4922.0,118.0,717.0,1248.0,33.0,0.0,1.0,0.0,0.0,1.0,1.0,8780.0,9164.0,219.0,7122.0,7481.0,173.0,1658.0,1683.0,46.0,0.0,1.0,0.0,0.0,1.0,1.0,12341.0,11931.0,270.0,9281.0,9707.0,229.0,3060.0,2224.0,41.0,1.0,1.0,0.0,0.0,1.0,1.0
