gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,NuQ,Frites Esports Club,1.0,Rumble,Heimerdinger,Jarvan IV,Malphite,Syndra,Taliyah,1657.0,1.0,12.0,4.0,8.0,35.0,12.0,2.0,0.0,0.0,0.0,1.0,1.2674,1.7019,0.0,0.0,10.0,3.0,4.0,36.0,13980.0,10324.0,373.8322,12650.0,203.0,196.0,7.0,7.3506,3900.0,5366.0,89.0,2298.0,4002.0,34.0,1602.0,1364.0,55.0,1.0,0.0,0.0,0.0,0.0,1.0,6962.0,9635.0,134.0,4062.0,7083.0,66.0,2900.0,2552.0,68.0,4.0,1.0,1.0,1.0,0.0,4.0,10159.0,13340.0,168.0,7250.0,10163.0,102.0,2909.0,3177.0,66.0,8.0,2.0,2.0,3.0,0.0,6.0,12416.0,15669.0,190.0,9548.0,11752.0,106.0,2868.0,3917.0,84.0,11.0,5.0,4.0,6.0,1.0,8.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Cboi,Frites Esports Club,1.0,Wukong,Heimerdinger,Jarvan IV,Malphite,Syndra,Taliyah,1657.0,1.0,7.0,2.0,14.0,35.0,12.0,1.0,0.0,0.0,0.0,0.0,1.2674,1.7019,1.0,0.0,9.0,10.0,5.0,46.0,13483.0,9827.0,355.8358,11658.0,201.0,15.0,186.0,7.2782,3516.0,4334.0,86.0,3062.0,3289.0,62.0,454.0,1045.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6244.0,8246.0,141.0,4676.0,5972.0,95.0,1568.0,2274.0,46.0,1.0,2.0,0.0,0.0,1.0,2.0,9103.0,11359.0,179.0,7408.0,8821.0,124.0,1695.0,2538.0,55.0,3.0,6.0,1.0,2.0,3.0,3.0,11829.0,13821.0,190.0,10056.0,11359.0,149.0,1773.0,2462.0,41.0,6.0,11.0,2.0,3.0,5.0,6.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Wolorz,Frites Esports Club,1.0,Orianna,Heimerdinger,Jarvan IV,Malphite,Syndra,Taliyah,1657.0,1.0,6.0,1.0,13.0,35.0,12.0,1.0,0.0,0.0,0.0,0.0,1.2674,1.7019,0.0,0.0,17.0,3.0,7.0,27.0,12994.0,9338.0,338.1291,11775.0,272.0,264.0,8.0,9.8491,3431.0,5165.0,95.0,3452.0,5025.0,99.0,-21.0,140.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5711.0,8028.0,155.0,5045.0,7553.0,151.0,666.0,475.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,7962.0,11118.0,208.0,7068.0,10315.0,202.0,894.0,803.0,6.0,2.0,3.0,1.0,0.0,2.0,4.0,11599.0,13962.0,243.0,8797.0,12827.0,236.0,2802.0,1135.0,7.0,6.0,9.0,1.0,0.0,5.0,6.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,FlickeR,Frites Esports Club,1.0,Ezreal,Heimerdinger,Jarvan IV,Malphite,Syndra,Taliyah,1657.0,1.0,9.0,2.0,6.0,35.0,12.0,2.0,0.0,0.0,0.0,0.0,1.2674,1.7019,0.0,0.0,13.0,5.0,3.0,29.0,14763.0,11107.0,402.1847,12558.0,281.0,248.0,33.0,10.175,3566.0,3414.0,86.0,3905.0,3471.0,87.0,-339.0,-57.0,-1.0,0.0,1.0,1.0,2.0,0.0,0.0,6925.0,6872.0,147.0,6170.0,5581.0,137.0,755.0,1291.0,10.0,3.0,1.0,1.0,2.0,0.0,1.0,10138.0,10039.0,201.0,8222.0,8044.0,184.0,1916.0,1995.0,17.0,5.0,2.0,1.0,2.0,2.0,3.0,12728.0,13282.0,257.0,10669.0,10264.0,203.0,2059.0,3018.0,54.0,7.0,5.0,2.0,3.0,5.0,5.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Blue,sup,Seal,Frites Esports Club,1.0,Rakan,Heimerdinger,Jarvan IV,Malphite,Syndra,Taliyah,1657.0,1.0,1.0,3.0,17.0,35.0,12.0,0.0,0.0,0.0,0.0,0.0,1.2674,1.7019,0.0,0.0,57.0,10.0,16.0,119.0,8364.0,4708.0,170.4768,7010.0,32.0,32.0,0.0,1.1587,2539.0,2737.0,14.0,2558.0,2944.0,14.0,-19.0,-207.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3818.0,4392.0,20.0,3651.0,4188.0,24.0,167.0,204.0,-4.0,1.0,1.0,1.0,0.0,2.0,2.0,5436.0,6221.0,26.0,5057.0,5867.0,28.0,379.0,354.0,-2.0,1.0,6.0,2.0,0.0,5.0,3.0,7307.0,8274.0,29.0,6399.0,6920.0,32.0,908.0,1354.0,-3.0,1.0,13.0,3.0,0.0,7.0,6.0
LOLTMNT01_319633,complete,ROL,2026.0,0.0,1.0,16.01,Blue,team,,Frites Esports Club,1.0,,Heimerdinger,Jarvan IV,Malphite,Syndra,Taliyah,1657.0,1.0,35.0,12.0,58.0,35.0,12.0,6.0,0.0,0.0,0.0,1.0,1.2674,1.7019,1.0,0.0,106.0,31.0,35.0,257.0,63584.0,45305.0,1640.4949,55651.0,,755.0,234.0,35.8117,16952.0,21016.0,370.0,15275.0,18731.0,296.0,1677.0,2285.0,74.0,2.0,1.0,2.0,2.0,2.0,2.0,29660.0,37173.0,597.0,23604.0,30377.0,473.0,6056.0,6796.0,124.0,10.0,5.0,3.0,3.0,3.0,10.0,42798.0,52077.0,782.0,35005.0,43210.0,640.0,7793.0,8867.0,142.0,19.0,19.0,7.0,7.0,12.0,19.0,55879.0,65008.0,909.0,45469.0,53122.0,726.0,10410.0,11886.0,183.0,31.0,43.0,12.0,12.0,23.0,31.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,NuQ,Frites Esports Club,1.0,Rumble,Bel'Veth,Aphelios,Orianna,Nautilus,Leona,1891.0,1.0,7.0,1.0,8.0,26.0,12.0,0.0,0.0,0.0,0.0,1.0,0.825,1.2057,0.0,0.0,8.0,3.0,3.0,34.0,14498.0,10365.0,328.8736,13775.0,223.0,223.0,0.0,7.0756,3932.0,5458.0,84.0,2920.0,4888.0,70.0,1012.0,570.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,6663.0,9960.0,132.0,4094.0,7185.0,92.0,2569.0,2775.0,40.0,3.0,1.0,0.0,0.0,0.0,3.0,9208.0,13272.0,173.0,5922.0,10334.0,145.0,3286.0,2938.0,28.0,5.0,2.0,0.0,0.0,0.0,3.0,10991.0,16484.0,203.0,7528.0,13030.0,183.0,3463.0,3454.0,20.0,5.0,5.0,0.0,0.0,1.0,4.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Cboi,Frites Esports Club,1.0,Xin Zhao,Bel'Veth,Aphelios,Orianna,Nautilus,Leona,1891.0,1.0,2.0,5.0,8.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.825,1.2057,2.0,0.0,12.0,9.0,6.0,58.0,13081.0,8948.0,283.9133,11700.0,251.0,39.0,212.0,7.964,3396.0,4018.0,80.0,3607.0,3601.0,64.0,-211.0,417.0,16.0,0.0,0.0,2.0,1.0,2.0,0.0,5581.0,7379.0,136.0,5080.0,5190.0,85.0,501.0,2189.0,51.0,0.0,1.0,2.0,2.0,2.0,1.0,7285.0,9775.0,168.0,7128.0,8398.0,118.0,157.0,1377.0,50.0,0.0,4.0,4.0,3.0,3.0,3.0,9917.0,13105.0,207.0,8483.0,10114.0,143.0,1434.0,2991.0,64.0,1.0,7.0,4.0,3.0,4.0,4.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Wolorz,Frites Esports Club,1.0,Ryze,Bel'Veth,Aphelios,Orianna,Nautilus,Leona,1891.0,1.0,6.0,0.0,7.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.825,1.2057,0.0,0.0,18.0,8.0,6.0,48.0,14513.0,10380.0,329.3496,12950.0,321.0,297.0,24.0,10.1851,3608.0,5633.0,105.0,3967.0,5433.0,91.0,-359.0,200.0,14.0,0.0,0.0,0.0,1.0,3.0,0.0,5876.0,8762.0,161.0,5645.0,8542.0,145.0,231.0,220.0,16.0,1.0,1.0,0.0,1.0,3.0,0.0,8226.0,11700.0,216.0,7703.0,11016.0,198.0,523.0,684.0,18.0,2.0,4.0,0.0,1.0,3.0,0.0,10256.0,16282.0,249.0,9309.0,12810.0,234.0,947.0,3472.0,15.0,3.0,6.0,0.0,1.0,4.0,1.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,FlickeR,Frites Esports Club,1.0,Yunara,Bel'Veth,Aphelios,Orianna,Nautilus,Leona,1891.0,1.0,11.0,2.0,8.0,26.0,12.0,2.0,1.0,0.0,0.0,0.0,0.825,1.2057,0.0,0.0,14.0,10.0,2.0,38.0,18892.0,14759.0,468.2919,15700.0,351.0,313.0,38.0,11.137,3885.0,3497.0,81.0,3986.0,3379.0,82.0,-101.0,118.0,-1.0,2.0,0.0,1.0,2.0,2.0,1.0,6078.0,5882.0,145.0,7198.0,5606.0,142.0,-1120.0,276.0,3.0,2.0,0.0,2.0,3.0,3.0,1.0,9088.0,8572.0,196.0,9866.0,8245.0,198.0,-778.0,327.0,-2.0,4.0,3.0,2.0,4.0,4.0,3.0,12902.0,11777.0,256.0,12466.0,10134.0,257.0,436.0,1643.0,-1.0,7.0,4.0,2.0,5.0,4.0,4.0
