gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337841,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,top,Kiaya,GAM Esports,0.0,Rumble,Poppy,Orianna,Ezreal,Corki,Leona,2217.0,1.0,3.0,3.0,5.0,16.0,8.0,1.0,0.0,0.0,0.0,0.0,0.433,0.6495,0.0,0.0,27.0,8.0,11.0,76.0,14570.0,9772.0,264.4655,13025.0,313.0,313.0,0.0,8.4709,3586.0,5087.0,94.0,3387.0,4902.0,83.0,199.0,185.0,11.0,0.0,1.0,1.0,0.0,2.0,0.0,5354.0,8984.0,150.0,5086.0,8343.0,137.0,268.0,641.0,13.0,0.0,2.0,1.0,0.0,2.0,0.0,7380.0,12204.0,204.0,7018.0,12030.0,185.0,362.0,174.0,19.0,0.0,2.0,2.0,0.0,3.0,0.0,8701.0,14627.0,240.0,8612.0,14993.0,224.0,89.0,-366.0,16.0,0.0,2.0,3.0,0.0,3.0,0.0
LOLTMNT03_337841,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,jng,Draktharr,GAM Esports,0.0,Jarvan IV,Poppy,Orianna,Ezreal,Corki,Leona,2217.0,1.0,3.0,2.0,10.0,16.0,8.0,0.0,0.0,0.0,0.0,1.0,0.433,0.6495,2.0,0.0,20.0,22.0,16.0,96.0,15152.0,10354.0,280.2165,15000.0,262.0,26.0,236.0,7.0907,3458.0,3715.0,67.0,3513.0,3679.0,62.0,-55.0,36.0,5.0,0.0,3.0,1.0,1.0,0.0,1.0,5648.0,6587.0,115.0,5518.0,6556.0,108.0,130.0,31.0,7.0,1.0,4.0,1.0,1.0,0.0,2.0,8319.0,9257.0,152.0,7600.0,9252.0,154.0,719.0,5.0,-2.0,2.0,5.0,1.0,1.0,0.0,3.0,10117.0,11926.0,193.0,9534.0,11946.0,193.0,583.0,-20.0,0.0,2.0,5.0,1.0,1.0,1.0,3.0
LOLTMNT03_337841,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,mid,Aress,GAM Esports,0.0,Ryze,Poppy,Orianna,Ezreal,Corki,Leona,2217.0,1.0,6.0,1.0,4.0,16.0,8.0,0.0,0.0,0.0,0.0,1.0,0.433,0.6495,0.0,0.0,27.0,11.0,14.0,63.0,17633.0,12835.0,347.3613,15100.0,388.0,382.0,6.0,10.5007,4102.0,4639.0,88.0,4501.0,5151.0,94.0,-399.0,-512.0,-6.0,3.0,0.0,1.0,3.0,1.0,0.0,6368.0,7842.0,149.0,6277.0,7812.0,153.0,91.0,30.0,-4.0,4.0,0.0,1.0,3.0,1.0,0.0,8605.0,12516.0,213.0,8250.0,10787.0,216.0,355.0,1729.0,-3.0,4.0,2.0,1.0,3.0,1.0,0.0,10372.0,14807.0,264.0,10227.0,13324.0,262.0,145.0,1483.0,2.0,4.0,2.0,1.0,4.0,1.0,0.0
LOLTMNT03_337841,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,bot,Artemis,GAM Esports,0.0,Miss Fortune,Poppy,Orianna,Ezreal,Corki,Leona,2217.0,1.0,4.0,1.0,7.0,16.0,8.0,0.0,0.0,0.0,0.0,1.0,0.433,0.6495,0.0,0.0,17.0,23.0,6.0,74.0,19192.0,14394.0,389.5535,16450.0,417.0,397.0,20.0,11.2855,3619.0,3814.0,94.0,3630.0,4083.0,95.0,-11.0,-269.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,6345.0,6342.0,157.0,6752.0,6552.0,150.0,-407.0,-210.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,9214.0,9379.0,226.0,9559.0,9604.0,216.0,-345.0,-225.0,10.0,1.0,2.0,1.0,2.0,0.0,2.0,11449.0,11857.0,293.0,12284.0,12107.0,278.0,-835.0,-250.0,15.0,1.0,2.0,1.0,2.0,1.0,2.0
LOLTMNT03_337841,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,sup,Taki,GAM Esports,0.0,Rell,Poppy,Orianna,Ezreal,Corki,Leona,2217.0,1.0,0.0,1.0,14.0,16.0,8.0,0.0,0.0,0.0,0.0,1.0,0.433,0.6495,0.0,0.0,86.0,15.0,20.0,161.0,9714.0,4916.0,133.0447,8120.0,31.0,31.0,0.0,0.839,2457.0,2433.0,12.0,2473.0,2427.0,16.0,-16.0,6.0,-4.0,0.0,2.0,1.0,0.0,2.0,2.0,3715.0,3737.0,18.0,3590.0,3607.0,26.0,125.0,130.0,-8.0,0.0,4.0,1.0,0.0,2.0,2.0,4874.0,4925.0,21.0,4722.0,4402.0,29.0,152.0,523.0,-8.0,0.0,5.0,1.0,0.0,2.0,2.0,6001.0,6479.0,26.0,5940.0,6228.0,33.0,61.0,251.0,-7.0,0.0,5.0,1.0,0.0,3.0,2.0
LOLTMNT03_337841,complete,CBLOL,2026.0,0.0,1.0,16.01,Red,team,,GAM Esports,0.0,,Poppy,Orianna,Ezreal,Corki,Leona,2217.0,1.0,16.0,8.0,40.0,16.0,8.0,1.0,0.0,0.0,0.0,1.0,0.433,0.6495,2.0,0.0,177.0,79.0,67.0,470.0,76261.0,52270.0,1414.6143,67695.0,,1149.0,262.0,38.1867,17222.0,19688.0,355.0,17504.0,20242.0,350.0,-282.0,-554.0,5.0,3.0,7.0,4.0,4.0,5.0,3.0,27430.0,33492.0,589.0,27223.0,32870.0,574.0,207.0,622.0,15.0,5.0,12.0,5.0,5.0,5.0,5.0,38392.0,48281.0,816.0,37149.0,46075.0,800.0,1243.0,2206.0,16.0,7.0,16.0,6.0,6.0,6.0,7.0,46640.0,59696.0,1016.0,46597.0,58598.0,990.0,43.0,1098.0,26.0,7.0,16.0,7.0,7.0,9.0,7.0
LOLTMNT06_163258,complete,LEC,2026.0,0.0,2.0,16.01,Red,top,Kiaya,GAM Esports,0.0,Rek'Sai,Orianna,Ezreal,Qiyana,Leona,Alistar,2020.0,1.0,0.0,3.0,4.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5644,1.0099,0.0,0.0,24.0,3.0,10.0,54.0,13499.0,9103.0,270.3861,12450.0,370.0,359.0,11.0,10.9901,3693.0,5410.0,101.0,3337.0,5472.0,89.0,356.0,-62.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5164.0,8670.0,147.0,5253.0,9188.0,146.0,-89.0,-518.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7237.0,11947.0,206.0,7229.0,12573.0,191.0,8.0,-626.0,15.0,0.0,1.0,2.0,1.0,1.0,0.0,9446.0,16185.0,283.0,9014.0,15855.0,249.0,432.0,330.0,34.0,0.0,1.0,2.0,1.0,1.0,0.0
LOLTMNT06_163258,complete,LEC,2026.0,0.0,2.0,16.01,Red,jng,Draktharr,GAM Esports,0.0,Wukong,Orianna,Ezreal,Qiyana,Leona,Alistar,2020.0,1.0,4.0,4.0,10.0,19.0,15.0,1.0,0.0,0.0,0.0,1.0,0.5644,1.0099,0.0,0.0,13.0,17.0,11.0,79.0,13540.0,9144.0,271.604,12158.0,239.0,20.0,219.0,7.099,3637.0,3933.0,72.0,3877.0,4199.0,85.0,-240.0,-266.0,-13.0,0.0,3.0,1.0,1.0,0.0,2.0,5575.0,6597.0,117.0,6016.0,7095.0,130.0,-441.0,-498.0,-13.0,1.0,3.0,1.0,1.0,2.0,2.0,8225.0,9887.0,160.0,8226.0,9674.0,168.0,-1.0,213.0,-8.0,2.0,7.0,1.0,1.0,3.0,3.0,10029.0,12311.0,201.0,9800.0,11827.0,204.0,229.0,484.0,-3.0,2.0,7.0,1.0,1.0,3.0,3.0
LOLTMNT06_163258,complete,LEC,2026.0,0.0,2.0,16.01,Red,mid,Aress,GAM Esports,0.0,Ahri,Orianna,Ezreal,Qiyana,Leona,Alistar,2020.0,1.0,7.0,0.0,4.0,19.0,15.0,2.0,0.0,0.0,0.0,1.0,0.5644,1.0099,0.0,0.0,7.0,13.0,4.0,44.0,15926.0,11530.0,342.4752,14650.0,330.0,330.0,0.0,9.802,4365.0,5137.0,103.0,3289.0,4596.0,88.0,1076.0,541.0,15.0,2.0,0.0,0.0,0.0,1.0,0.0,6156.0,7801.0,150.0,5207.0,7436.0,151.0,949.0,365.0,-1.0,3.0,1.0,0.0,0.0,1.0,0.0,8901.0,10509.0,204.0,7362.0,10063.0,207.0,1539.0,446.0,-3.0,4.0,3.0,0.0,0.0,1.0,1.0,10869.0,12529.0,250.0,9384.0,12918.0,271.0,1485.0,-389.0,-21.0,4.0,3.0,0.0,0.0,1.0,1.0
LOLTMNT06_163258,complete,LEC,2026.0,0.0,2.0,16.01,Red,bot,Artemis,GAM Esports,0.0,Corki,Orianna,Ezreal,Qiyana,Leona,Alistar,2020.0,1.0,8.0,4.0,6.0,19.0,15.0,2.0,0.0,0.0,0.0,0.0,0.5644,1.0099,1.0,0.0,16.0,14.0,5.0,39.0,16241.0,11845.0,351.8317,15058.0,326.0,310.0,16.0,9.6832,3849.0,3730.0,84.0,3923.0,3504.0,79.0,-74.0,226.0,5.0,2.0,0.0,2.0,2.0,1.0,1.0,6207.0,6352.0,144.0,7269.0,5754.0,127.0,-1062.0,598.0,17.0,2.0,0.0,2.0,4.0,1.0,1.0,9732.0,9396.0,208.0,9458.0,8198.0,184.0,274.0,1198.0,24.0,6.0,2.0,2.0,4.0,1.0,2.0,11712.0,11537.0,270.0,11584.0,10490.0,239.0,128.0,1047.0,31.0,6.0,2.0,2.0,4.0,1.0,2.0
