gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,Diobello,GMBLERS Esports,1.0,Gnar,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,7.0,6.0,1.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.7517,1.7426,0.0,0.0,10.0,3.0,0.0,27.0,12087.0,8229.0,281.1731,10033.0,189.0,187.0,2.0,6.4579,2647.0,4230.0,57.0,4017.0,5185.0,85.0,-1370.0,-955.0,-28.0,0.0,0.0,2.0,2.0,0.0,0.0,5857.0,8207.0,109.0,7296.0,8799.0,123.0,-1439.0,-592.0,-14.0,1.0,0.0,2.0,5.0,1.0,2.0,8993.0,12371.0,147.0,9225.0,11307.0,158.0,-232.0,1064.0,-11.0,5.0,1.0,3.0,6.0,4.0,3.0,10372.0,13489.0,164.0,11475.0,14049.0,192.0,-1103.0,-560.0,-28.0,6.0,1.0,4.0,7.0,4.0,4.0
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Mario,GMBLERS Esports,1.0,Xin Zhao,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,5.0,7.0,3.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.7517,1.7426,0.0,1.0,3.0,5.0,2.0,26.0,11051.0,7193.0,245.7745,10850.0,180.0,6.0,174.0,6.1503,3798.0,3685.0,66.0,3865.0,4143.0,80.0,-67.0,-458.0,-14.0,2.0,0.0,2.0,1.0,1.0,1.0,5533.0,5956.0,104.0,5829.0,6597.0,120.0,-296.0,-641.0,-16.0,2.0,1.0,3.0,2.0,1.0,2.0,7434.0,7910.0,129.0,8344.0,9734.0,164.0,-910.0,-1824.0,-35.0,3.0,1.0,5.0,4.0,1.0,3.0,9356.0,10417.0,160.0,9942.0,12089.0,194.0,-586.0,-1672.0,-34.0,4.0,2.0,5.0,4.0,2.0,3.0
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,DejaVu,GMBLERS Esports,1.0,Ahri,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,1.0,6.0,5.0,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.7517,1.7426,0.0,0.0,11.0,13.0,2.0,45.0,9943.0,6085.0,207.9157,10010.0,226.0,226.0,0.0,7.7221,3373.0,4986.0,86.0,3784.0,5200.0,103.0,-411.0,-214.0,-17.0,0.0,2.0,0.0,1.0,0.0,0.0,5453.0,7073.0,127.0,5452.0,7277.0,143.0,1.0,-204.0,-16.0,1.0,2.0,2.0,2.0,1.0,2.0,7439.0,9601.0,165.0,7564.0,9792.0,165.0,-125.0,-191.0,0.0,1.0,4.0,4.0,5.0,3.0,5.0,9044.0,11959.0,213.0,9377.0,12766.0,221.0,-333.0,-807.0,-8.0,1.0,4.0,4.0,5.0,3.0,5.0
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Rharesh,GMBLERS Esports,1.0,Corki,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,8.0,6.0,5.0,22.0,29.0,1.0,0.0,0.0,0.0,1.0,0.7517,1.7426,0.0,0.0,10.0,6.0,0.0,24.0,15036.0,11178.0,381.9362,14483.0,266.0,262.0,4.0,9.0888,4422.0,3726.0,87.0,3468.0,3609.0,65.0,954.0,117.0,22.0,3.0,0.0,1.0,2.0,0.0,2.0,8051.0,6707.0,124.0,6051.0,5455.0,92.0,2000.0,1252.0,32.0,7.0,1.0,3.0,4.0,3.0,3.0,10664.0,9257.0,176.0,8390.0,8152.0,140.0,2274.0,1105.0,36.0,8.0,3.0,4.0,4.0,6.0,3.0,13164.0,12089.0,232.0,10523.0,10163.0,194.0,2641.0,1926.0,38.0,8.0,3.0,4.0,4.0,6.0,4.0
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,sup,Shredder,GMBLERS Esports,1.0,Leona,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,1.0,4.0,14.0,22.0,29.0,0.0,0.0,0.0,0.0,1.0,0.7517,1.7426,0.0,0.0,47.0,11.0,8.0,119.0,8354.0,4496.0,153.6219,7985.0,26.0,26.0,0.0,0.8884,2839.0,2810.0,13.0,2483.0,2024.0,13.0,356.0,786.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,4713.0,4670.0,18.0,3872.0,3831.0,18.0,841.0,839.0,0.0,1.0,7.0,3.0,0.0,5.0,3.0,6422.0,6258.0,25.0,5193.0,6034.0,21.0,1229.0,224.0,4.0,1.0,11.0,3.0,0.0,10.0,4.0,7421.0,7596.0,26.0,6285.0,7496.0,23.0,1136.0,100.0,3.0,1.0,12.0,3.0,0.0,11.0,4.0
LOLTMNT05_171038,complete,LIT,2026.0,0.0,1.0,16.01,Blue,team,,GMBLERS Esports,1.0,,Zyra,Lillia,Wukong,Veigar,Viktor,1756.0,0.0,22.0,29.0,28.0,22.0,29.0,1.0,0.0,0.0,0.0,1.0,0.7517,1.7426,0.0,1.0,81.0,38.0,12.0,241.0,56471.0,37182.0,1270.4556,53361.0,,707.0,180.0,30.3075,17079.0,19437.0,309.0,17617.0,20161.0,346.0,-538.0,-724.0,-37.0,5.0,6.0,6.0,6.0,2.0,5.0,29607.0,32613.0,482.0,28500.0,31959.0,496.0,1107.0,654.0,-14.0,12.0,11.0,13.0,13.0,11.0,12.0,40952.0,45397.0,642.0,38716.0,45019.0,648.0,2236.0,378.0,-6.0,18.0,20.0,19.0,19.0,24.0,18.0,49357.0,55550.0,795.0,47602.0,56563.0,824.0,1755.0,-1013.0,-29.0,20.0,22.0,20.0,20.0,26.0,20.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,Diobello,GMBLERS Esports,1.0,Sion,Kai'Sa,Akali,Jayce,Braum,Morgana,1858.0,0.0,0.0,3.0,3.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1615,0.775,0.0,0.0,9.0,0.0,0.0,20.0,10333.0,6267.0,202.3789,10150.0,258.0,258.0,0.0,8.3315,3225.0,5038.0,84.0,3255.0,5276.0,79.0,-30.0,-238.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4919.0,8141.0,129.0,5204.0,9499.0,126.0,-285.0,-1358.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,6720.0,11512.0,182.0,7788.0,13623.0,192.0,-1068.0,-2111.0,-10.0,0.0,1.0,1.0,1.0,1.0,0.0,8267.0,13994.0,226.0,9499.0,16295.0,230.0,-1232.0,-2301.0,-4.0,0.0,1.0,2.0,1.0,2.0,0.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,Mario,GMBLERS Esports,1.0,Wukong,Kai'Sa,Akali,Jayce,Braum,Morgana,1858.0,0.0,3.0,4.0,0.0,5.0,19.0,1.0,0.0,0.0,0.0,0.0,0.1615,0.775,0.0,1.0,5.0,10.0,6.0,41.0,11184.0,7118.0,229.8601,10933.0,175.0,20.0,155.0,5.6512,3247.0,3533.0,70.0,3611.0,4515.0,88.0,-364.0,-982.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,5068.0,5946.0,107.0,6092.0,7150.0,125.0,-1024.0,-1204.0,-18.0,1.0,0.0,0.0,2.0,1.0,0.0,6757.0,8209.0,138.0,8596.0,10477.0,171.0,-1839.0,-2268.0,-33.0,1.0,0.0,2.0,3.0,3.0,0.0,7968.0,9955.0,157.0,11247.0,14436.0,234.0,-3279.0,-4481.0,-77.0,1.0,0.0,3.0,3.0,4.0,0.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,DejaVu,GMBLERS Esports,1.0,Viktor,Kai'Sa,Akali,Jayce,Braum,Morgana,1858.0,0.0,0.0,3.0,3.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1615,0.775,0.0,0.0,15.0,6.0,9.0,31.0,10308.0,6242.0,201.5716,10375.0,264.0,264.0,0.0,8.5253,2960.0,4876.0,70.0,4082.0,5895.0,106.0,-1122.0,-1019.0,-36.0,0.0,0.0,1.0,1.0,0.0,0.0,4980.0,8027.0,131.0,5898.0,8347.0,156.0,-918.0,-320.0,-25.0,0.0,0.0,1.0,1.0,1.0,0.0,6811.0,10999.0,186.0,8820.0,12233.0,225.0,-2009.0,-1234.0,-39.0,0.0,1.0,1.0,3.0,1.0,0.0,8331.0,14781.0,230.0,11136.0,14888.0,270.0,-2805.0,-107.0,-40.0,0.0,1.0,1.0,5.0,2.0,0.0
LOLTMNT05_172032,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Rharesh,GMBLERS Esports,1.0,Caitlyn,Kai'Sa,Akali,Jayce,Braum,Morgana,1858.0,0.0,2.0,7.0,1.0,5.0,19.0,0.0,0.0,0.0,0.0,1.0,0.1615,0.775,0.0,0.0,8.0,8.0,0.0,31.0,13103.0,9037.0,291.8299,12400.0,280.0,276.0,4.0,9.042,4042.0,3821.0,95.0,3402.0,3936.0,96.0,640.0,-115.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,6240.0,5702.0,138.0,5911.0,5897.0,138.0,329.0,-195.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,9170.0,8164.0,192.0,8055.0,8217.0,191.0,1115.0,-53.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,10727.0,9851.0,233.0,10613.0,11175.0,242.0,114.0,-1324.0,-9.0,2.0,1.0,5.0,2.0,2.0,2.0
