gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_149143,complete,LEC,2026.0,0.0,1.0,16.01,Blue,top,SwiT,Galions Sharks,1.0,Sion,Galio,Cho'Gath,Cassiopeia,Kai'Sa,Aatrox,2307.0,0.0,1.0,9.0,10.0,28.0,37.0,0.0,0.0,0.0,0.0,0.0,0.7282,1.6905,0.0,0.0,15.0,6.0,8.0,55.0,12001.0,7019.0,182.5488,11830.0,229.0,225.0,4.0,5.9558,3117.0,4826.0,81.0,4031.0,5733.0,91.0,-914.0,-907.0,-10.0,0.0,0.0,2.0,1.0,1.0,0.0,4814.0,8548.0,138.0,5941.0,9820.0,154.0,-1127.0,-1272.0,-16.0,0.0,0.0,2.0,1.0,1.0,0.0,6475.0,11500.0,180.0,8306.0,12664.0,191.0,-1831.0,-1164.0,-11.0,0.0,1.0,2.0,3.0,1.0,1.0,8541.0,14057.0,208.0,10057.0,15692.0,213.0,-1516.0,-1635.0,-5.0,1.0,4.0,4.0,3.0,4.0,2.0
LOLTMNT04_149143,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,shibi,Galions Sharks,1.0,Jarvan IV,Galio,Cho'Gath,Cassiopeia,Kai'Sa,Aatrox,2307.0,0.0,2.0,8.0,21.0,28.0,37.0,0.0,0.0,0.0,0.0,0.0,0.7282,1.6905,1.0,2.0,11.0,11.0,14.0,59.0,13117.0,8135.0,211.5735,12500.0,169.0,18.0,151.0,4.3953,3662.0,4215.0,81.0,3970.0,4259.0,82.0,-308.0,-44.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,5003.0,6113.0,110.0,6124.0,7088.0,126.0,-1121.0,-975.0,-16.0,0.0,1.0,1.0,0.0,2.0,0.0,6908.0,8311.0,133.0,8708.0,10438.0,172.0,-1800.0,-2127.0,-39.0,0.0,5.0,1.0,0.0,4.0,1.0,8367.0,10467.0,146.0,11202.0,13810.0,211.0,-2835.0,-3343.0,-65.0,0.0,10.0,3.0,0.0,7.0,3.0
LOLTMNT04_149143,complete,LEC,2026.0,0.0,1.0,16.01,Blue,mid,Marty,Galions Sharks,1.0,Hwei,Galio,Cho'Gath,Cassiopeia,Kai'Sa,Aatrox,2307.0,0.0,10.0,5.0,13.0,28.0,37.0,1.0,1.0,0.0,0.0,0.0,0.7282,1.6905,0.0,0.0,14.0,5.0,1.0,33.0,18223.0,13241.0,344.3693,15675.0,323.0,323.0,0.0,8.4005,4004.0,5645.0,114.0,4166.0,5232.0,93.0,-162.0,413.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,5628.0,8203.0,160.0,6480.0,7804.0,141.0,-852.0,399.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,7454.0,10437.0,202.0,9447.0,11143.0,199.0,-1993.0,-706.0,3.0,0.0,3.0,2.0,5.0,0.0,0.0,9176.0,12755.0,234.0,12058.0,15911.0,237.0,-2882.0,-3156.0,-3.0,0.0,8.0,3.0,7.0,3.0,0.0
LOLTMNT04_149143,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,Dream,Galions Sharks,1.0,Jhin,Galio,Cho'Gath,Cassiopeia,Kai'Sa,Aatrox,2307.0,0.0,13.0,8.0,7.0,28.0,37.0,2.0,0.0,0.0,0.0,0.0,0.7282,1.6905,0.0,0.0,11.0,8.0,1.0,25.0,23230.0,18248.0,474.5904,24775.0,309.0,299.0,10.0,8.0364,3584.0,3905.0,85.0,4182.0,3716.0,102.0,-598.0,189.0,-17.0,1.0,0.0,2.0,1.0,2.0,0.0,5806.0,6342.0,137.0,6600.0,6169.0,163.0,-794.0,173.0,-26.0,1.0,0.0,2.0,1.0,2.0,0.0,9000.0,8796.0,174.0,8630.0,8805.0,209.0,370.0,-9.0,-35.0,3.0,1.0,3.0,1.0,2.0,0.0,13535.0,11718.0,216.0,12808.0,12397.0,248.0,727.0,-679.0,-32.0,7.0,2.0,4.0,6.0,4.0,1.0
LOLTMNT04_149143,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,J3rkie,Galions Sharks,1.0,Bard,Galio,Cho'Gath,Cassiopeia,Kai'Sa,Aatrox,2307.0,0.0,2.0,7.0,14.0,28.0,37.0,0.0,0.0,0.0,0.0,0.0,0.7282,1.6905,0.0,0.0,66.0,16.0,6.0,146.0,11007.0,6025.0,156.697,10700.0,29.0,29.0,0.0,0.7542,2360.0,2328.0,8.0,2948.0,2733.0,9.0,-588.0,-405.0,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,3466.0,3298.0,14.0,4266.0,4476.0,13.0,-800.0,-1178.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,5321.0,4818.0,18.0,5616.0,5317.0,19.0,-295.0,-499.0,-1.0,2.0,2.0,2.0,1.0,4.0,3.0,6747.0,6647.0,20.0,7722.0,7817.0,34.0,-975.0,-1170.0,-14.0,2.0,4.0,4.0,2.0,6.0,4.0
LOLTMNT04_149143,complete,LEC,2026.0,0.0,1.0,16.01,Blue,team,,Galions Sharks,1.0,,Galio,Cho'Gath,Cassiopeia,Kai'Sa,Aatrox,2307.0,0.0,28.0,37.0,65.0,28.0,37.0,3.0,1.0,0.0,0.0,0.0,0.7282,1.6905,1.0,2.0,117.0,46.0,30.0,318.0,77578.0,52669.0,1369.8049,75480.0,,894.0,165.0,27.5423,16727.0,20919.0,369.0,19297.0,21673.0,377.0,-2570.0,-754.0,-8.0,1.0,2.0,5.0,5.0,6.0,1.0,24717.0,32504.0,559.0,29411.0,35357.0,597.0,-4694.0,-2853.0,-38.0,1.0,2.0,7.0,7.0,8.0,1.0,35158.0,43862.0,707.0,40707.0,48367.0,790.0,-5549.0,-4505.0,-83.0,5.0,12.0,10.0,10.0,11.0,5.0,46366.0,55644.0,824.0,53847.0,65627.0,943.0,-7481.0,-9983.0,-119.0,10.0,28.0,18.0,18.0,24.0,10.0
LOLTMNT01_334841,complete,LCS,2026.0,0.0,1.0,16.02,Red,top,SwiT,Galions Sharks,0.0,K'Sante,Zoe,Jayce,Gwen,Gnar,Jax,2102.0,0.0,2.0,2.0,6.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5138,0.9134,0.0,0.0,14.0,6.0,7.0,46.0,12777.0,8213.0,234.4339,12875.0,271.0,271.0,0.0,7.7355,3451.0,5318.0,96.0,3339.0,5193.0,95.0,112.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4983.0,8812.0,145.0,4923.0,8779.0,145.0,60.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7823.0,13151.0,204.0,6605.0,11902.0,191.0,1218.0,1249.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,10026.0,15744.0,230.0,9069.0,13963.0,231.0,957.0,1781.0,-1.0,2.0,3.0,0.0,1.0,0.0,2.0
LOLTMNT01_334841,complete,LCS,2026.0,0.0,1.0,16.02,Red,jng,shibi,Galions Sharks,0.0,Jarvan IV,Zoe,Jayce,Gwen,Gnar,Jax,2102.0,0.0,5.0,2.0,11.0,18.0,14.0,1.0,0.0,0.0,0.0,1.0,0.5138,0.9134,1.0,0.0,9.0,18.0,9.0,73.0,14818.0,10254.0,292.6927,13075.0,253.0,29.0,224.0,7.2217,3794.0,4084.0,77.0,3374.0,3843.0,71.0,420.0,241.0,6.0,0.0,4.0,1.0,0.0,1.0,2.0,5611.0,6899.0,125.0,5115.0,6443.0,117.0,496.0,456.0,8.0,0.0,4.0,1.0,0.0,1.0,2.0,7651.0,9383.0,161.0,7060.0,9250.0,161.0,591.0,133.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,10257.0,13019.0,203.0,8714.0,11013.0,189.0,1543.0,2006.0,14.0,1.0,8.0,1.0,0.0,3.0,4.0
LOLTMNT01_334841,complete,LCS,2026.0,0.0,1.0,16.02,Red,mid,Marty,Galions Sharks,0.0,Ryze,Zoe,Jayce,Gwen,Gnar,Jax,2102.0,0.0,8.0,2.0,4.0,18.0,14.0,2.0,0.0,0.0,0.0,1.0,0.5138,0.9134,0.0,0.0,16.0,8.0,3.0,47.0,16371.0,11807.0,337.0219,15975.0,331.0,329.0,2.0,9.4481,4313.0,5202.0,102.0,3812.0,5200.0,97.0,501.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0,1.0,6302.0,8171.0,168.0,5738.0,7726.0,149.0,564.0,445.0,19.0,2.0,1.0,0.0,1.0,0.0,1.0,9400.0,11740.0,237.0,7862.0,10597.0,209.0,1538.0,1143.0,28.0,3.0,1.0,0.0,1.0,0.0,1.0,11875.0,16377.0,276.0,9876.0,12863.0,251.0,1999.0,3514.0,25.0,5.0,2.0,0.0,1.0,1.0,2.0
LOLTMNT01_334841,complete,LCS,2026.0,0.0,1.0,16.02,Red,bot,Dream,Galions Sharks,0.0,Yunara,Zoe,Jayce,Gwen,Gnar,Jax,2102.0,0.0,1.0,4.0,5.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5138,0.9134,0.0,0.0,19.0,6.0,8.0,52.0,14329.0,9765.0,278.7345,14050.0,300.0,299.0,1.0,8.5633,3748.0,3212.0,77.0,3216.0,3280.0,82.0,532.0,-68.0,-5.0,1.0,2.0,0.0,0.0,0.0,1.0,6691.0,5841.0,139.0,5447.0,5462.0,136.0,1244.0,379.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,8911.0,8187.0,196.0,8478.0,8088.0,192.0,433.0,99.0,4.0,1.0,2.0,0.0,2.0,0.0,1.0,10710.0,10608.0,230.0,10523.0,9905.0,232.0,187.0,703.0,-2.0,1.0,4.0,1.0,2.0,0.0,2.0
