gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_163319,complete,LEC,2026.0,0.0,1.0,16.01,Blue,top,Lot,GiantX,1.0,Rumble,Sylas,Qiyana,Malphite,Nautilus,Caitlyn,2125.0,1.0,4.0,6.0,10.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5365,1.1012,0.0,0.0,15.0,6.0,8.0,47.0,14348.0,9737.0,274.9271,12100.0,288.0,287.0,1.0,8.1318,3722.0,5496.0,107.0,3715.0,5410.0,106.0,7.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5218.0,8781.0,153.0,5570.0,9587.0,161.0,-352.0,-806.0,-8.0,0.0,0.0,1.0,0.0,1.0,0.0,6942.0,11595.0,201.0,7837.0,13527.0,212.0,-895.0,-1932.0,-11.0,0.0,0.0,2.0,1.0,1.0,0.0,9822.0,15235.0,244.0,9462.0,15684.0,229.0,360.0,-449.0,15.0,2.0,4.0,3.0,2.0,3.0,2.0
LOLTMNT06_163319,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,ISMA,GiantX,1.0,Xin Zhao,Sylas,Qiyana,Malphite,Nautilus,Caitlyn,2125.0,1.0,4.0,4.0,8.0,19.0,20.0,1.0,0.0,0.0,0.0,0.0,0.5365,1.1012,0.0,1.0,7.0,14.0,6.0,62.0,14139.0,9528.0,269.0259,12025.0,260.0,24.0,236.0,7.3412,3418.0,4272.0,81.0,3658.0,3603.0,70.0,-240.0,669.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,5205.0,6774.0,126.0,5475.0,6133.0,102.0,-270.0,641.0,24.0,0.0,0.0,1.0,2.0,0.0,0.0,6921.0,8879.0,164.0,7485.0,9095.0,143.0,-564.0,-216.0,21.0,0.0,1.0,2.0,2.0,2.0,0.0,9075.0,11663.0,203.0,9328.0,11657.0,179.0,-253.0,6.0,24.0,1.0,5.0,3.0,2.0,4.0,2.0
LOLTMNT06_163319,complete,LEC,2026.0,0.0,1.0,16.01,Blue,mid,Jackies,GiantX,1.0,Orianna,Sylas,Qiyana,Malphite,Nautilus,Caitlyn,2125.0,1.0,3.0,4.0,8.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5365,1.1012,0.0,0.0,18.0,14.0,6.0,60.0,14355.0,9744.0,275.1247,14625.0,308.0,308.0,0.0,8.6965,3335.0,4788.0,88.0,3536.0,5207.0,96.0,-201.0,-419.0,-8.0,0.0,0.0,0.0,0.0,1.0,0.0,5521.0,7750.0,153.0,5389.0,8006.0,151.0,132.0,-256.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6905.0,9481.0,191.0,8566.0,11207.0,212.0,-1661.0,-1726.0,-21.0,0.0,0.0,1.0,2.0,2.0,0.0,10288.0,13661.0,242.0,10631.0,13364.0,244.0,-343.0,297.0,-2.0,2.0,6.0,1.0,4.0,3.0,2.0
LOLTMNT06_163319,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,Noah,GiantX,1.0,Kai'Sa,Sylas,Qiyana,Malphite,Nautilus,Caitlyn,2125.0,1.0,8.0,3.0,7.0,19.0,20.0,1.0,1.0,0.0,0.0,0.0,0.5365,1.1012,0.0,0.0,14.0,10.0,4.0,49.0,21344.0,16733.0,472.4612,19380.0,363.0,351.0,12.0,10.2494,3686.0,4001.0,102.0,3542.0,3843.0,97.0,144.0,158.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6558.0,6908.0,165.0,6154.0,6673.0,164.0,404.0,235.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9279.0,9961.0,230.0,8593.0,9775.0,228.0,686.0,186.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,14377.0,13211.0,275.0,10769.0,12142.0,276.0,3608.0,1069.0,-1.0,5.0,4.0,1.0,1.0,0.0,1.0
LOLTMNT06_163319,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,Jun,GiantX,1.0,Rakan,Sylas,Qiyana,Malphite,Nautilus,Caitlyn,2125.0,1.0,0.0,3.0,14.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5365,1.1012,0.0,0.0,76.0,23.0,13.0,170.0,9033.0,4422.0,124.8565,8415.0,41.0,41.0,0.0,1.1576,2362.0,2652.0,11.0,2515.0,2642.0,7.0,-153.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3437.0,3612.0,18.0,3647.0,3885.0,17.0,-210.0,-273.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4594.0,4447.0,23.0,5045.0,5207.0,25.0,-451.0,-760.0,-2.0,0.0,1.0,0.0,0.0,3.0,1.0,6132.0,6985.0,27.0,6389.0,6654.0,33.0,-257.0,331.0,-6.0,0.0,8.0,1.0,0.0,5.0,3.0
LOLTMNT06_163319,complete,LEC,2026.0,0.0,1.0,16.01,Blue,team,,GiantX,1.0,,Sylas,Qiyana,Malphite,Nautilus,Caitlyn,2125.0,1.0,19.0,20.0,47.0,19.0,20.0,2.0,1.0,0.0,0.0,0.0,0.5365,1.1012,0.0,1.0,130.0,67.0,37.0,388.0,73219.0,50166.0,1416.4518,66545.0,,1011.0,249.0,35.5765,16523.0,21209.0,389.0,16966.0,20705.0,376.0,-443.0,504.0,13.0,0.0,0.0,1.0,1.0,2.0,0.0,25939.0,33825.0,615.0,26235.0,34284.0,595.0,-296.0,-459.0,20.0,0.0,0.0,2.0,2.0,4.0,0.0,34641.0,44363.0,809.0,37526.0,48811.0,820.0,-2885.0,-4448.0,-11.0,1.0,2.0,5.0,5.0,8.0,1.0,49694.0,60755.0,991.0,46579.0,59501.0,961.0,3115.0,1254.0,30.0,10.0,27.0,9.0,9.0,15.0,10.0
LOLTMNT05_171227,complete,CCWS,2026.0,0.0,1.0,16.01,Red,top,Lot,GiantX,1.0,Ambessa,Dr. Mundo,Malphite,Azir,Braum,Nautilus,2159.0,1.0,5.0,4.0,9.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.528,0.9171,0.0,0.0,15.0,7.0,6.0,54.0,14591.0,9911.0,275.4331,13275.0,329.0,326.0,3.0,9.1431,3569.0,4726.0,85.0,4103.0,4991.0,88.0,-534.0,-265.0,-3.0,1.0,0.0,1.0,2.0,0.0,0.0,5392.0,8467.0,142.0,5906.0,8317.0,135.0,-514.0,150.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,7584.0,11833.0,198.0,8601.0,10821.0,175.0,-1017.0,1012.0,23.0,2.0,2.0,2.0,3.0,1.0,1.0,8793.0,13292.0,221.0,9802.0,12130.0,189.0,-1009.0,1162.0,32.0,3.0,2.0,4.0,3.0,3.0,1.0
LOLTMNT05_171227,complete,CCWS,2026.0,0.0,1.0,16.01,Red,jng,ISMA,GiantX,1.0,Jarvan IV,Dr. Mundo,Malphite,Azir,Braum,Nautilus,2159.0,1.0,2.0,2.0,14.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.528,0.9171,0.0,1.0,9.0,11.0,8.0,47.0,13100.0,8420.0,233.9972,11700.0,231.0,29.0,202.0,6.4196,3445.0,4124.0,75.0,3334.0,3844.0,72.0,111.0,280.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,5230.0,6072.0,105.0,5506.0,6475.0,120.0,-276.0,-403.0,-15.0,1.0,2.0,1.0,1.0,1.0,1.0,7208.0,9010.0,148.0,7374.0,9124.0,162.0,-166.0,-114.0,-14.0,1.0,3.0,1.0,1.0,1.0,1.0,8621.0,10482.0,178.0,9294.0,11804.0,201.0,-673.0,-1322.0,-23.0,1.0,4.0,1.0,1.0,3.0,1.0
LOLTMNT05_171227,complete,CCWS,2026.0,0.0,1.0,16.01,Red,mid,Jackies,GiantX,1.0,Ryze,Dr. Mundo,Malphite,Azir,Braum,Nautilus,2159.0,1.0,3.0,1.0,13.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.528,0.9171,0.0,0.0,19.0,9.0,5.0,46.0,14917.0,10237.0,284.4928,14125.0,320.0,303.0,17.0,8.893,3602.0,5121.0,90.0,3519.0,5223.0,95.0,83.0,-102.0,-5.0,0.0,1.0,0.0,0.0,2.0,0.0,5743.0,7885.0,147.0,5376.0,8469.0,160.0,367.0,-584.0,-13.0,1.0,2.0,0.0,0.0,2.0,1.0,7670.0,10068.0,188.0,7450.0,11206.0,215.0,220.0,-1138.0,-27.0,1.0,3.0,0.0,0.0,2.0,1.0,9836.0,14459.0,247.0,9235.0,14995.0,244.0,601.0,-536.0,3.0,1.0,4.0,0.0,1.0,3.0,1.0
LOLTMNT05_171227,complete,CCWS,2026.0,0.0,1.0,16.01,Red,bot,Noah,GiantX,1.0,Varus,Dr. Mundo,Malphite,Azir,Braum,Nautilus,2159.0,1.0,8.0,1.0,9.0,19.0,14.0,2.0,1.0,0.0,0.0,1.0,0.528,0.9171,0.0,0.0,21.0,9.0,9.0,49.0,18805.0,14125.0,392.5428,16212.0,327.0,325.0,2.0,9.0875,3864.0,4137.0,98.0,3374.0,3754.0,89.0,490.0,383.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,6365.0,6991.0,156.0,5272.0,5747.0,130.0,1093.0,1244.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,8785.0,9431.0,215.0,7709.0,8792.0,195.0,1076.0,639.0,20.0,0.0,3.0,1.0,0.0,1.0,0.0,10813.0,11532.0,261.0,10215.0,10649.0,239.0,598.0,883.0,22.0,0.0,4.0,1.0,1.0,2.0,0.0
LOLTMNT05_171227,complete,CCWS,2026.0,0.0,1.0,16.01,Red,sup,Jun,GiantX,1.0,Bard,Dr. Mundo,Malphite,Azir,Braum,Nautilus,2159.0,1.0,1.0,6.0,12.0,19.0,14.0,0.0,0.0,0.0,0.0,1.0,0.528,0.9171,0.0,0.0,81.0,28.0,22.0,188.0,9678.0,4998.0,138.8976,9480.0,44.0,44.0,0.0,1.2228,2962.0,2512.0,14.0,2447.0,2445.0,16.0,515.0,67.0,-2.0,1.0,0.0,0.0,0.0,2.0,1.0,4105.0,3905.0,15.0,3488.0,3245.0,19.0,617.0,660.0,-4.0,1.0,2.0,0.0,0.0,2.0,1.0,5391.0,4725.0,22.0,4650.0,4766.0,21.0,741.0,-41.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,6480.0,5497.0,25.0,5677.0,5767.0,21.0,803.0,-270.0,4.0,1.0,4.0,0.0,0.0,5.0,3.0
LOLTMNT05_171227,complete,CCWS,2026.0,0.0,1.0,16.01,Red,team,,GiantX,1.0,,Dr. Mundo,Malphite,Azir,Braum,Nautilus,2159.0,1.0,19.0,14.0,57.0,19.0,14.0,2.0,1.0,0.0,0.0,1.0,0.528,0.9171,0.0,1.0,145.0,64.0,50.0,384.0,71091.0,47691.0,1325.3636,64792.0,,1027.0,224.0,34.7661,17442.0,20620.0,362.0,16777.0,20257.0,360.0,665.0,363.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,26835.0,33320.0,565.0,25548.0,32253.0,564.0,1287.0,1067.0,1.0,4.0,10.0,3.0,3.0,6.0,4.0,36638.0,45067.0,771.0,35784.0,44709.0,768.0,854.0,358.0,3.0,5.0,14.0,4.0,4.0,8.0,5.0,44543.0,55262.0,932.0,44223.0,55345.0,894.0,320.0,-83.0,38.0,6.0,18.0,6.0,6.0,16.0,6.0
LOLTMNT05_171236,complete,CCWS,2026.0,0.0,1.0,16.01,Red,top,Lot,GiantX,1.0,Aatrox,Jayce,Sylas,Rumble,Nautilus,Renekton,2507.0,0.0,2.0,5.0,1.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1915,0.6462,0.0,0.0,15.0,8.0,6.0,66.0,14983.0,9593.0,229.5892,14900.0,332.0,332.0,0.0,7.9458,3573.0,5380.0,103.0,3531.0,5410.0,98.0,42.0,-30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,8930.0,153.0,5616.0,9043.0,150.0,-216.0,-113.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7700.0,12173.0,207.0,8345.0,12263.0,200.0,-645.0,-90.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,9229.0,14458.0,237.0,10602.0,15602.0,248.0,-1373.0,-1144.0,-11.0,1.0,1.0,1.0,1.0,2.0,0.0
LOLTMNT05_171236,complete,CCWS,2026.0,0.0,1.0,16.01,Red,jng,ISMA,GiantX,1.0,Malphite,Jayce,Sylas,Rumble,Nautilus,Renekton,2507.0,0.0,2.0,2.0,3.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1915,0.6462,1.0,2.0,10.0,25.0,8.0,98.0,14329.0,8939.0,213.937,13850.0,252.0,45.0,207.0,6.0311,3823.0,4407.0,89.0,3718.0,4739.0,88.0,105.0,-332.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5716.0,6695.0,125.0,5662.0,7992.0,140.0,54.0,-1297.0,-15.0,1.0,0.0,0.0,0.0,1.0,0.0,7222.0,8503.0,159.0,7658.0,10449.0,181.0,-436.0,-1946.0,-22.0,1.0,0.0,0.0,0.0,3.0,0.0,9213.0,11363.0,192.0,9430.0,12893.0,218.0,-217.0,-1530.0,-26.0,1.0,1.0,0.0,0.0,4.0,0.0
LOLTMNT05_171236,complete,CCWS,2026.0,0.0,1.0,16.01,Red,mid,Jackies,GiantX,1.0,Azir,Jayce,Sylas,Rumble,Nautilus,Renekton,2507.0,0.0,3.0,7.0,2.0,8.0,19.0,1.0,0.0,0.0,0.0,0.0,0.1915,0.6462,0.0,0.0,16.0,6.0,2.0,59.0,17823.0,12433.0,297.5588,15950.0,393.0,393.0,0.0,9.4057,3550.0,5007.0,94.0,3707.0,5013.0,91.0,-157.0,-6.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,5540.0,8133.0,154.0,5144.0,7268.0,134.0,396.0,865.0,20.0,0.0,1.0,1.0,1.0,0.0,1.0,7234.0,10960.0,206.0,7669.0,10289.0,195.0,-435.0,671.0,11.0,0.0,1.0,2.0,2.0,1.0,1.0,8913.0,13757.0,247.0,9892.0,14617.0,247.0,-979.0,-860.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0
LOLTMNT05_171236,complete,CCWS,2026.0,0.0,1.0,16.01,Red,bot,Noah,GiantX,1.0,Jhin,Jayce,Sylas,Rumble,Nautilus,Renekton,2507.0,0.0,0.0,2.0,7.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1915,0.6462,0.0,0.0,21.0,17.0,9.0,55.0,18874.0,13484.0,322.7124,17775.0,417.0,413.0,4.0,9.9801,3277.0,3392.0,86.0,3535.0,3429.0,96.0,-258.0,-37.0,-10.0,0.0,0.0,0.0,0.0,1.0,0.0,5396.0,5603.0,135.0,6299.0,6417.0,168.0,-903.0,-814.0,-33.0,0.0,0.0,0.0,0.0,1.0,0.0,7847.0,8991.0,205.0,8400.0,8871.0,214.0,-553.0,120.0,-9.0,0.0,1.0,0.0,0.0,2.0,1.0,10678.0,12399.0,271.0,10510.0,11343.0,268.0,168.0,1056.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0
LOLTMNT05_171236,complete,CCWS,2026.0,0.0,1.0,16.01,Red,sup,Jun,GiantX,1.0,Alistar,Jayce,Sylas,Rumble,Nautilus,Renekton,2507.0,0.0,1.0,3.0,5.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.1915,0.6462,0.0,0.0,110.0,18.0,19.0,193.0,10619.0,5229.0,125.1456,10185.0,45.0,45.0,0.0,1.077,2474.0,2754.0,20.0,2433.0,2687.0,17.0,41.0,67.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3724.0,3660.0,33.0,3605.0,3401.0,25.0,119.0,259.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4751.0,3756.0,34.0,4837.0,4034.0,30.0,-86.0,-278.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,6457.0,6916.0,36.0,6576.0,6693.0,40.0,-119.0,223.0,-4.0,1.0,0.0,1.0,1.0,4.0,1.0
LOLTMNT05_171236,complete,CCWS,2026.0,0.0,1.0,16.01,Red,team,,GiantX,1.0,,Jayce,Sylas,Rumble,Nautilus,Renekton,2507.0,0.0,8.0,19.0,18.0,8.0,19.0,1.0,0.0,0.0,0.0,0.0,0.1915,0.6462,1.0,2.0,172.0,74.0,44.0,471.0,76628.0,49679.0,1188.9669,72660.0,,1228.0,211.0,34.4396,16697.0,20940.0,392.0,16924.0,21278.0,390.0,-227.0,-338.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,25776.0,33021.0,600.0,26326.0,34121.0,617.0,-550.0,-1100.0,-17.0,1.0,1.0,1.0,1.0,3.0,1.0,34754.0,44383.0,811.0,36909.0,45906.0,820.0,-2155.0,-1523.0,-9.0,2.0,2.0,3.0,3.0,9.0,2.0,44490.0,58893.0,983.0,47010.0,61148.0,1021.0,-2520.0,-2255.0,-38.0,3.0,5.0,5.0,5.0,14.0,3.0
LOLTMNT01_326647,complete,HW,2026.0,0.0,1.0,16.02,Blue,top,Lot,GiantX,0.0,Gnar,Sion,Orianna,Ryze,Nami,Alistar,1471.0,1.0,4.0,0.0,3.0,14.0,5.0,0.0,0.0,0.0,0.0,1.0,0.571,0.775,0.0,0.0,10.0,5.0,4.0,37.0,12056.0,8780.0,358.1237,11663.0,257.0,255.0,2.0,10.4827,4240.0,5771.0,107.0,3168.0,4644.0,82.0,1072.0,1127.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,6792.0,9802.0,170.0,5045.0,7975.0,130.0,1747.0,1827.0,40.0,1.0,2.0,0.0,0.0,0.0,1.0,8963.0,13211.0,220.0,6491.0,10502.0,170.0,2472.0,2709.0,50.0,2.0,2.0,0.0,0.0,0.0,2.0,12056.0,17215.0,257.0,7746.0,12434.0,203.0,4310.0,4781.0,54.0,4.0,3.0,0.0,0.0,0.0,4.0
