gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Red,top,APP,HMBLE,0.0,K'Sante,Sion,Ornn,Kai'Sa,Syndra,Aurora,2336.0,0.0,1.0,5.0,3.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.6421,0.0,0.0,10.0,3.0,4.0,39.0,12600.0,7559.0,194.1524,12400.0,272.0,272.0,0.0,6.9863,3784.0,5534.0,105.0,3382.0,5057.0,95.0,402.0,477.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5267.0,8790.0,152.0,4940.0,8757.0,144.0,327.0,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7478.0,12560.0,195.0,6460.0,11794.0,191.0,1018.0,766.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,9329.0,14756.0,229.0,8021.0,13822.0,214.0,1308.0,934.0,15.0,1.0,1.0,0.0,1.0,2.0,1.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Red,jng,adi1,HMBLE,0.0,Xin Zhao,Sion,Ornn,Kai'Sa,Syndra,Aurora,2336.0,0.0,2.0,5.0,1.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.6421,0.0,1.0,11.0,11.0,7.0,56.0,13916.0,8875.0,227.9538,12425.0,251.0,38.0,213.0,6.4469,3406.0,4049.0,76.0,3571.0,4133.0,78.0,-165.0,-84.0,-2.0,0.0,0.0,1.0,0.0,1.0,0.0,4972.0,6204.0,113.0,5493.0,6666.0,120.0,-521.0,-462.0,-7.0,0.0,0.0,1.0,0.0,1.0,0.0,6788.0,9059.0,158.0,7391.0,8707.0,153.0,-603.0,352.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,8370.0,10895.0,179.0,9821.0,11442.0,191.0,-1451.0,-547.0,-12.0,0.0,0.0,3.0,1.0,4.0,1.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Red,mid,Vigil,HMBLE,0.0,Orianna,Sion,Ornn,Kai'Sa,Syndra,Aurora,2336.0,0.0,2.0,3.0,3.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.6421,0.0,1.0,14.0,6.0,2.0,37.0,14970.0,9929.0,255.0257,15100.0,312.0,308.0,4.0,8.0137,3323.0,5038.0,90.0,3786.0,5533.0,93.0,-463.0,-495.0,-3.0,0.0,0.0,1.0,1.0,1.0,0.0,5234.0,7797.0,144.0,5820.0,8339.0,148.0,-586.0,-542.0,-4.0,0.0,0.0,1.0,1.0,1.0,0.0,6937.0,9825.0,178.0,8256.0,11034.0,197.0,-1319.0,-1209.0,-19.0,0.0,1.0,1.0,1.0,2.0,0.0,8520.0,11301.0,208.0,9918.0,13224.0,221.0,-1398.0,-1923.0,-13.0,0.0,1.0,3.0,2.0,4.0,0.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Red,bot,Tyrone,HMBLE,0.0,Yunara,Sion,Ornn,Kai'Sa,Syndra,Aurora,2336.0,0.0,2.0,2.0,3.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.6421,0.0,0.0,14.0,13.0,3.0,44.0,16604.0,11563.0,296.9949,16275.0,407.0,391.0,16.0,10.4538,3344.0,4002.0,86.0,4036.0,3781.0,96.0,-692.0,221.0,-10.0,0.0,0.0,0.0,1.0,1.0,0.0,5360.0,6306.0,140.0,6375.0,6495.0,165.0,-1015.0,-189.0,-25.0,0.0,0.0,0.0,1.0,1.0,0.0,8375.0,9046.0,201.0,8614.0,8841.0,215.0,-239.0,205.0,-14.0,2.0,0.0,0.0,2.0,1.0,0.0,10454.0,11442.0,262.0,10833.0,11377.0,272.0,-379.0,65.0,-10.0,2.0,0.0,0.0,2.0,3.0,0.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Red,sup,Click,HMBLE,0.0,Poppy,Sion,Ornn,Kai'Sa,Syndra,Aurora,2336.0,0.0,0.0,3.0,6.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.6421,0.0,0.0,84.0,23.0,13.0,177.0,9158.0,4117.0,105.7449,8930.0,42.0,42.0,0.0,1.0788,2392.0,2392.0,12.0,2505.0,2925.0,17.0,-113.0,-533.0,-5.0,0.0,0.0,0.0,0.0,2.0,0.0,3516.0,3532.0,20.0,3658.0,3599.0,24.0,-142.0,-67.0,-4.0,0.0,0.0,0.0,0.0,2.0,0.0,4784.0,5046.0,27.0,4883.0,5115.0,31.0,-99.0,-69.0,-4.0,0.0,2.0,0.0,0.0,3.0,1.0,5856.0,5371.0,31.0,6389.0,6922.0,34.0,-533.0,-1551.0,-3.0,0.0,2.0,1.0,1.0,5.0,1.0
LOLTMNT05_171051,complete,LIT,2026.0,0.0,1.0,16.01,Red,team,,HMBLE,0.0,,Sion,Ornn,Kai'Sa,Syndra,Aurora,2336.0,0.0,7.0,18.0,16.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.1798,0.6421,0.0,2.0,133.0,56.0,29.0,353.0,67248.0,42043.0,1079.8716,65130.0,,1051.0,233.0,32.9795,16249.0,21015.0,369.0,17280.0,21429.0,379.0,-1031.0,-414.0,-10.0,0.0,0.0,2.0,2.0,5.0,0.0,24349.0,32629.0,569.0,26286.0,33856.0,601.0,-1937.0,-1227.0,-32.0,0.0,0.0,2.0,2.0,5.0,0.0,34362.0,45536.0,759.0,35604.0,45491.0,787.0,-1242.0,45.0,-28.0,3.0,4.0,3.0,3.0,8.0,3.0,42529.0,53765.0,909.0,44982.0,56787.0,932.0,-2453.0,-3022.0,-23.0,3.0,4.0,7.0,7.0,18.0,3.0
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Blue,top,APP,HMBLE,1.0,Ambessa,Zoe,Sion,Jayce,Galio,Ahri,1451.0,1.0,7.0,0.0,6.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,0.703,0.827,0.0,0.0,10.0,2.0,4.0,29.0,11407.0,8171.0,337.8773,10430.0,207.0,203.0,4.0,8.5596,3971.0,5495.0,84.0,3262.0,4759.0,83.0,709.0,736.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,6911.0,9818.0,148.0,4569.0,6171.0,109.0,2342.0,3647.0,39.0,3.0,1.0,0.0,0.0,0.0,3.0,8740.0,12649.0,183.0,6173.0,9914.0,157.0,2567.0,2735.0,26.0,4.0,1.0,0.0,0.0,0.0,3.0,11407.0,15820.0,207.0,7000.0,11139.0,173.0,4407.0,4681.0,34.0,7.0,6.0,0.0,0.0,0.0,5.0
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Blue,jng,adi1,HMBLE,1.0,Jarvan IV,Zoe,Sion,Jayce,Galio,Ahri,1451.0,1.0,3.0,0.0,11.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.703,0.827,1.0,0.0,8.0,11.0,5.0,46.0,11245.0,8009.0,331.1785,9975.0,213.0,16.0,197.0,8.8077,4013.0,4615.0,91.0,3200.0,3620.0,64.0,813.0,995.0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,6093.0,7201.0,134.0,4776.0,5477.0,90.0,1317.0,1724.0,44.0,1.0,3.0,0.0,1.0,0.0,1.0,8550.0,10520.0,190.0,6965.0,7849.0,124.0,1585.0,2671.0,66.0,1.0,3.0,0.0,2.0,0.0,2.0,11245.0,13536.0,213.0,7987.0,9233.0,143.0,3258.0,4303.0,70.0,3.0,11.0,0.0,2.0,0.0,4.0
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Blue,mid,Vigil,HMBLE,1.0,Ryze,Zoe,Sion,Jayce,Galio,Ahri,1451.0,1.0,4.0,1.0,8.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.703,0.827,0.0,0.0,8.0,2.0,3.0,28.0,11759.0,8523.0,352.4328,10725.0,246.0,246.0,0.0,10.1723,3933.0,5608.0,106.0,3309.0,4923.0,91.0,624.0,685.0,15.0,0.0,2.0,0.0,0.0,0.0,1.0,6351.0,8651.0,166.0,5164.0,8077.0,154.0,1187.0,574.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,8498.0,11014.0,206.0,6579.0,10591.0,190.0,1919.0,423.0,16.0,2.0,2.0,1.0,0.0,1.0,2.0,11759.0,16042.0,246.0,7462.0,11465.0,208.0,4297.0,4577.0,38.0,4.0,8.0,1.0,0.0,1.0,4.0
LOLTMNT05_171066,complete,LIT,2026.0,0.0,1.0,16.01,Blue,bot,Tyrone,HMBLE,1.0,Lucian,Zoe,Sion,Jayce,Galio,Ahri,1451.0,1.0,2.0,0.0,6.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.703,0.827,0.0,0.0,14.0,5.0,5.0,42.0,10567.0,7331.0,303.1427,9325.0,238.0,238.0,0.0,9.8415,3548.0,3956.0,101.0,3350.0,3642.0,85.0,198.0,314.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5552.0,6545.0,150.0,5401.0,5625.0,133.0,151.0,920.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7546.0,9218.0,203.0,7692.0,8199.0,184.0,-146.0,1019.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,10567.0,12461.0,238.0,8863.0,9574.0,212.0,1704.0,2887.0,26.0,2.0,6.0,0.0,1.0,0.0,2.0
