gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Blue,top,Pinnnk,Inferno Drive Tokyo,1.0,Ambessa,Lee Sin,Jarvan IV,Nocturne,Orianna,Ahri,1405.0,1.0,1.0,1.0,4.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.726,0.8114,0.0,0.0,8.0,2.0,2.0,22.0,8654.0,5512.0,235.3879,7750.0,194.0,186.0,8.0,8.2847,3270.0,4901.0,77.0,3199.0,5118.0,83.0,71.0,-217.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,5371.0,8904.0,126.0,4510.0,7320.0,105.0,861.0,1584.0,21.0,1.0,1.0,0.0,0.0,0.0,2.0,7177.0,11774.0,176.0,6492.0,10247.0,157.0,685.0,1527.0,19.0,1.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Blue,jng,Imagine,Inferno Drive Tokyo,1.0,Taliyah,Lee Sin,Jarvan IV,Nocturne,Orianna,Ahri,1405.0,1.0,5.0,0.0,10.0,17.0,3.0,1.0,1.0,0.0,0.0,1.0,0.726,0.8114,1.0,0.0,9.0,7.0,7.0,42.0,12621.0,9479.0,404.7972,9775.0,225.0,32.0,193.0,9.6085,4157.0,4046.0,74.0,3332.0,3819.0,73.0,825.0,227.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,6913.0,7543.0,129.0,4790.0,5450.0,101.0,2123.0,2093.0,28.0,2.0,7.0,0.0,0.0,1.0,2.0,9840.0,11543.0,193.0,6157.0,6896.0,120.0,3683.0,4647.0,73.0,2.0,8.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Blue,mid,Enapon,Inferno Drive Tokyo,1.0,Galio,Lee Sin,Jarvan IV,Nocturne,Orianna,Ahri,1405.0,1.0,1.0,0.0,7.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.726,0.8114,0.0,0.0,12.0,6.0,5.0,38.0,9473.0,6331.0,270.363,7075.0,218.0,218.0,0.0,9.3096,3522.0,5487.0,98.0,3202.0,5260.0,86.0,320.0,227.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5501.0,8100.0,145.0,5305.0,7941.0,136.0,196.0,159.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,7351.0,11152.0,191.0,6855.0,10135.0,177.0,496.0,1017.0,14.0,0.0,3.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Blue,bot,wanan,Inferno Drive Tokyo,1.0,Caitlyn,Lee Sin,Jarvan IV,Nocturne,Orianna,Ahri,1405.0,1.0,7.0,1.0,5.0,17.0,3.0,1.0,0.0,0.0,0.0,1.0,0.726,0.8114,0.0,0.0,13.0,3.0,6.0,26.0,13803.0,10661.0,455.274,10350.0,223.0,223.0,0.0,9.5231,4774.0,3340.0,84.0,2865.0,2865.0,56.0,1909.0,475.0,28.0,3.0,2.0,1.0,0.0,0.0,2.0,8006.0,5869.0,125.0,4581.0,4965.0,95.0,3425.0,904.0,30.0,6.0,3.0,1.0,0.0,0.0,3.0,10870.0,8612.0,188.0,7144.0,7186.0,151.0,3726.0,1426.0,37.0,6.0,3.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Blue,sup,JustFocus,Inferno Drive Tokyo,1.0,Elise,Lee Sin,Jarvan IV,Nocturne,Orianna,Ahri,1405.0,1.0,3.0,1.0,11.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,0.726,0.8114,0.0,0.0,27.0,10.0,7.0,79.0,8604.0,5462.0,233.2527,7135.0,25.0,25.0,0.0,1.0676,3457.0,2545.0,15.0,2227.0,2503.0,14.0,1230.0,42.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,5302.0,3336.0,19.0,3413.0,3334.0,17.0,1889.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,4.0,6918.0,4755.0,23.0,4557.0,5199.0,18.0,2361.0,-444.0,5.0,3.0,6.0,1.0,0.0,1.0,4.0,,,,,,,,,,,,,,,
LOLTMNT04_151435,complete,LEC,2026.0,0.0,1.0,16.02,Blue,team,,Inferno Drive Tokyo,1.0,,Lee Sin,Jarvan IV,Nocturne,Orianna,Ahri,1405.0,1.0,17.0,3.0,37.0,17.0,3.0,2.0,1.0,0.0,0.0,1.0,0.726,0.8114,1.0,0.0,69.0,28.0,27.0,207.0,53155.0,37446.0,1599.1174,42085.0,,684.0,201.0,37.7936,19180.0,20319.0,348.0,14825.0,19565.0,312.0,4355.0,754.0,36.0,5.0,10.0,1.0,0.0,0.0,5.0,31093.0,33752.0,544.0,22599.0,29010.0,454.0,8494.0,4742.0,90.0,11.0,19.0,2.0,1.0,2.0,11.0,42156.0,47836.0,771.0,31205.0,39663.0,623.0,10951.0,8173.0,148.0,12.0,21.0,2.0,1.0,2.0,12.0,,,,,,,,,,,,,,,
LOLTMNT01_335433,complete,LCS,2026.0,0.0,1.0,16.02,Blue,top,Pinnnk,Inferno Drive Tokyo,1.0,Ambessa,Swain,Lee Sin,Jarvan IV,Renekton,Orianna,1531.0,1.0,4.0,3.0,4.0,29.0,7.0,1.0,1.0,0.0,0.0,0.0,1.1365,1.4108,0.0,0.0,8.0,2.0,2.0,27.0,9981.0,6582.0,257.9491,9000.0,191.0,187.0,4.0,7.4853,2940.0,4517.0,69.0,3063.0,4235.0,63.0,-123.0,282.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,5114.0,7135.0,102.0,4549.0,6961.0,96.0,565.0,174.0,6.0,3.0,2.0,2.0,0.0,2.0,3.0,7640.0,10660.0,151.0,6781.0,9545.0,131.0,859.0,1115.0,20.0,3.0,2.0,2.0,1.0,3.0,3.0,9374.0,14818.0,191.0,8393.0,11974.0,156.0,981.0,2844.0,35.0,3.0,3.0,2.0,1.0,5.0,4.0
LOLTMNT01_335433,complete,LCS,2026.0,0.0,1.0,16.02,Blue,jng,Imagine,Inferno Drive Tokyo,1.0,Nidalee,Swain,Lee Sin,Jarvan IV,Renekton,Orianna,1531.0,1.0,5.0,1.0,13.0,29.0,7.0,0.0,0.0,0.0,0.0,1.0,1.1365,1.4108,1.0,0.0,8.0,13.0,6.0,56.0,11507.0,8108.0,317.7531,9500.0,183.0,23.0,160.0,7.1718,4323.0,3354.0,63.0,2953.0,2827.0,40.0,1370.0,527.0,23.0,2.0,4.0,0.0,1.0,0.0,2.0,7008.0,6474.0,102.0,4642.0,5297.0,71.0,2366.0,1177.0,31.0,4.0,9.0,0.0,2.0,0.0,3.0,8798.0,9102.0,135.0,5969.0,7181.0,94.0,2829.0,1921.0,41.0,5.0,9.0,1.0,2.0,1.0,4.0,11185.0,12579.0,180.0,7396.0,9108.0,115.0,3789.0,3471.0,65.0,5.0,11.0,1.0,2.0,3.0,5.0
LOLTMNT01_335433,complete,LCS,2026.0,0.0,1.0,16.02,Blue,mid,Enapon,Inferno Drive Tokyo,1.0,Azir,Swain,Lee Sin,Jarvan IV,Renekton,Orianna,1531.0,1.0,7.0,1.0,6.0,29.0,7.0,1.0,0.0,0.0,0.0,0.0,1.1365,1.4108,0.0,0.0,13.0,5.0,7.0,34.0,12875.0,9476.0,371.3651,12075.0,245.0,241.0,4.0,9.6016,4407.0,5470.0,101.0,3019.0,4073.0,68.0,1388.0,1397.0,33.0,2.0,2.0,0.0,0.0,1.0,2.0,7444.0,9244.0,159.0,4571.0,6499.0,117.0,2873.0,2745.0,42.0,4.0,2.0,0.0,0.0,1.0,4.0,10413.0,11955.0,211.0,6347.0,9106.0,172.0,4066.0,2849.0,39.0,6.0,2.0,0.0,0.0,1.0,5.0,12290.0,14175.0,236.0,9139.0,11654.0,207.0,3151.0,2521.0,29.0,6.0,5.0,1.0,1.0,1.0,5.0
LOLTMNT01_335433,complete,LCS,2026.0,0.0,1.0,16.02,Blue,bot,wanan,Inferno Drive Tokyo,1.0,Caitlyn,Swain,Lee Sin,Jarvan IV,Renekton,Orianna,1531.0,1.0,8.0,0.0,7.0,29.0,7.0,1.0,1.0,0.0,0.0,0.0,1.1365,1.4108,0.0,0.0,13.0,5.0,4.0,30.0,15284.0,11885.0,465.774,12980.0,246.0,246.0,0.0,9.6408,3853.0,3816.0,88.0,3200.0,3522.0,75.0,653.0,294.0,13.0,1.0,1.0,0.0,0.0,0.0,2.0,8187.0,6650.0,138.0,5428.0,6041.0,129.0,2759.0,609.0,9.0,3.0,4.0,0.0,0.0,0.0,4.0,10547.0,9518.0,204.0,8769.0,8979.0,195.0,1778.0,539.0,9.0,3.0,4.0,0.0,1.0,1.0,4.0,14055.0,12049.0,240.0,11585.0,12024.0,249.0,2470.0,25.0,-9.0,6.0,5.0,0.0,2.0,2.0,4.0
