gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Blue,top,IPS Vifas,Instituto Politécnico de Santarém,1.0,Sion,Lee Sin,Pantheon,Ambessa,Varus,Yunara,1315.0,0.0,3.0,3.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2738,1.7338,0.0,0.0,8.0,1.0,0.0,17.0,8584.0,5626.0,256.6996,8500.0,162.0,162.0,0.0,7.3916,3030.0,4432.0,54.0,4103.0,5178.0,83.0,-1073.0,-746.0,-29.0,1.0,0.0,2.0,3.0,0.0,0.0,4711.0,7983.0,101.0,6116.0,9111.0,135.0,-1405.0,-1128.0,-34.0,1.0,0.0,2.0,3.0,3.0,0.0,7289.0,12363.0,160.0,8959.0,12622.0,185.0,-1670.0,-259.0,-25.0,2.0,0.0,3.0,5.0,4.0,0.0,,,,,,,,,,,,,,,
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Blue,jng,IPS Pato1109,Instituto Politécnico de Santarém,1.0,Jarvan IV,Lee Sin,Pantheon,Ambessa,Varus,Yunara,1315.0,0.0,0.0,10.0,2.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2738,1.7338,0.0,0.0,3.0,3.0,1.0,22.0,6067.0,3109.0,141.8555,5975.0,108.0,10.0,98.0,4.9278,2918.0,3054.0,50.0,5021.0,4566.0,83.0,-2103.0,-1512.0,-33.0,0.0,1.0,4.0,4.0,1.0,1.0,4229.0,5257.0,78.0,7850.0,7874.0,131.0,-3621.0,-2617.0,-53.0,0.0,1.0,7.0,7.0,4.0,1.0,5623.0,7642.0,108.0,11315.0,11859.0,190.0,-5692.0,-4217.0,-82.0,0.0,1.0,8.0,9.0,6.0,2.0,,,,,,,,,,,,,,,
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Blue,mid,IPS Idrk1,Instituto Politécnico de Santarém,1.0,Ryze,Lee Sin,Pantheon,Ambessa,Varus,Yunara,1315.0,0.0,0.0,5.0,0.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2738,1.7338,0.0,0.0,7.0,2.0,0.0,18.0,6591.0,3633.0,165.7643,6450.0,172.0,172.0,0.0,7.8479,3117.0,4529.0,74.0,4164.0,5264.0,93.0,-1047.0,-735.0,-19.0,0.0,0.0,1.0,1.0,2.0,0.0,4932.0,7235.0,127.0,6137.0,8189.0,144.0,-1205.0,-954.0,-17.0,0.0,0.0,2.0,2.0,4.0,0.0,6128.0,9006.0,160.0,8889.0,10908.0,196.0,-2761.0,-1902.0,-36.0,0.0,0.0,3.0,3.0,5.0,0.0,,,,,,,,,,,,,,,
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,IPS Baymaxed,Instituto Politécnico de Santarém,1.0,Smolder,Lee Sin,Pantheon,Ambessa,Varus,Yunara,1315.0,0.0,1.0,7.0,2.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2738,1.7338,0.0,1.0,5.0,1.0,0.0,13.0,6844.0,3886.0,177.308,6250.0,128.0,128.0,0.0,5.8403,3416.0,3170.0,57.0,4599.0,3615.0,86.0,-1183.0,-445.0,-29.0,1.0,2.0,3.0,3.0,2.0,2.0,4644.0,4440.0,76.0,9153.0,6247.0,137.0,-4509.0,-1807.0,-61.0,1.0,2.0,5.0,5.0,5.0,2.0,6317.0,7028.0,116.0,12238.0,8741.0,191.0,-5921.0,-1713.0,-75.0,1.0,2.0,6.0,6.0,6.0,2.0,,,,,,,,,,,,,,,
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Blue,sup,IPS Scarface1,Instituto Politécnico de Santarém,1.0,Nautilus,Lee Sin,Pantheon,Ambessa,Varus,Yunara,1315.0,0.0,2.0,7.0,1.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2738,1.7338,0.0,0.0,21.0,3.0,4.0,38.0,5408.0,2450.0,111.7871,5095.0,23.0,23.0,0.0,1.0494,3085.0,3082.0,15.0,3616.0,2750.0,14.0,-531.0,332.0,1.0,2.0,1.0,2.0,1.0,6.0,1.0,4093.0,3837.0,20.0,5734.0,4664.0,20.0,-1641.0,-827.0,0.0,2.0,1.0,4.0,3.0,9.0,1.0,5070.0,5163.0,23.0,7408.0,6605.0,22.0,-2338.0,-1442.0,1.0,2.0,1.0,6.0,3.0,14.0,1.0,,,,,,,,,,,,,,,
LOLTMNT05_176943,complete,LFL,2026.0,0.0,1.0,16.03,Blue,team,,Instituto Politécnico de Santarém,1.0,,Lee Sin,Pantheon,Ambessa,Varus,Yunara,1315.0,0.0,6.0,32.0,5.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.2738,1.7338,0.0,1.0,44.0,10.0,5.0,108.0,33494.0,18703.0,853.3688,32270.0,,495.0,98.0,27.057,15566.0,18267.0,250.0,21503.0,21373.0,359.0,-5937.0,-3106.0,-109.0,4.0,4.0,12.0,12.0,11.0,4.0,22609.0,28752.0,402.0,34990.0,36085.0,567.0,-12381.0,-7333.0,-165.0,4.0,4.0,20.0,20.0,25.0,4.0,30427.0,41202.0,567.0,48809.0,50735.0,784.0,-18382.0,-9533.0,-217.0,5.0,4.0,26.0,26.0,35.0,5.0,,,,,,,,,,,,,,,
LOLTMNT05_175926,complete,LFL,2026.0,0.0,1.0,16.03,Blue,top,IPS Paulao,Instituto Politécnico de Santarém,1.0,Yorick,Talon,Xin Zhao,Orianna,Zaahen,Syndra,1749.0,0.0,0.0,6.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.1715,0.6861,0.0,0.0,11.0,1.0,2.0,21.0,11433.0,7589.0,260.3431,11333.0,229.0,229.0,0.0,7.8559,2972.0,4591.0,68.0,4180.0,5258.0,80.0,-1208.0,-667.0,-12.0,0.0,0.0,2.0,2.0,0.0,0.0,4157.0,7093.0,95.0,7193.0,10415.0,131.0,-3036.0,-3322.0,-36.0,0.0,0.0,5.0,6.0,0.0,0.0,6681.0,9786.0,140.0,9003.0,13842.0,179.0,-2322.0,-4056.0,-39.0,0.0,0.0,5.0,6.0,0.0,0.0,9301.0,13243.0,192.0,11560.0,18385.0,239.0,-2259.0,-5142.0,-47.0,0.0,0.0,5.0,7.0,0.0,0.0
LOLTMNT05_175926,complete,LFL,2026.0,0.0,1.0,16.03,Blue,jng,IPS Pato1109,Instituto Politécnico de Santarém,1.0,Volibear,Talon,Xin Zhao,Orianna,Zaahen,Syndra,1749.0,0.0,0.0,2.0,4.0,5.0,15.0,0.0,0.0,0.0,0.0,1.0,0.1715,0.6861,0.0,0.0,6.0,7.0,3.0,28.0,9247.0,5403.0,185.3516,9158.0,193.0,14.0,179.0,6.6209,3389.0,3710.0,69.0,3247.0,3602.0,71.0,142.0,108.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,4831.0,5445.0,99.0,5016.0,6238.0,111.0,-185.0,-793.0,-12.0,0.0,2.0,1.0,0.0,1.0,0.0,6758.0,8734.0,150.0,6731.0,8447.0,146.0,27.0,287.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,8186.0,10799.0,176.0,8881.0,11655.0,180.0,-695.0,-856.0,-4.0,0.0,3.0,1.0,0.0,3.0,0.0
LOLTMNT05_175926,complete,LFL,2026.0,0.0,1.0,16.03,Blue,mid,IPS Idrk1,Instituto Politécnico de Santarém,1.0,Aurora,Talon,Xin Zhao,Orianna,Zaahen,Syndra,1749.0,0.0,0.0,3.0,2.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.1715,0.6861,0.0,0.0,9.0,2.0,0.0,21.0,8966.0,5122.0,175.7118,8450.0,221.0,213.0,8.0,7.5815,3145.0,5171.0,74.0,3064.0,4904.0,78.0,81.0,267.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4833.0,7845.0,120.0,5090.0,8355.0,131.0,-257.0,-510.0,-11.0,0.0,0.0,1.0,1.0,0.0,0.0,6505.0,10426.0,169.0,6874.0,11266.0,184.0,-369.0,-840.0,-15.0,0.0,0.0,1.0,1.0,0.0,0.0,7606.0,11845.0,189.0,9057.0,13774.0,204.0,-1451.0,-1929.0,-15.0,0.0,1.0,2.0,3.0,1.0,0.0
LOLTMNT05_175926,complete,LFL,2026.0,0.0,1.0,16.03,Blue,bot,IPS Baymaxed,Instituto Politécnico de Santarém,1.0,Varus,Talon,Xin Zhao,Orianna,Zaahen,Syndra,1749.0,0.0,5.0,2.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,1.0,0.1715,0.6861,0.0,1.0,5.0,2.0,0.0,12.0,14756.0,10912.0,374.3396,15150.0,294.0,290.0,4.0,10.0858,4424.0,3937.0,95.0,3003.0,3270.0,70.0,1421.0,667.0,25.0,2.0,0.0,0.0,0.0,0.0,2.0,7040.0,6118.0,151.0,5288.0,5235.0,119.0,1752.0,883.0,32.0,2.0,0.0,0.0,0.0,0.0,2.0,10249.0,8823.0,218.0,7192.0,7449.0,167.0,3057.0,1374.0,51.0,3.0,0.0,0.0,0.0,0.0,3.0,12466.0,10519.0,254.0,9715.0,9919.0,208.0,2751.0,600.0,46.0,4.0,0.0,1.0,0.0,2.0,3.0
