gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Red,top,PerfecT,KT Rolster,1.0,K'Sante,Neeko,Vi,Sylas,Rakan,Aphelios,1888.0,0.0,0.0,2.0,1.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2542,0.8581,0.0,0.0,15.0,4.0,6.0,36.0,10882.0,6755.0,214.6716,10750.0,284.0,284.0,0.0,9.0254,3368.0,5100.0,89.0,3733.0,5586.0,105.0,-365.0,-486.0,-16.0,0.0,0.0,0.0,0.0,1.0,0.0,5115.0,8875.0,147.0,5426.0,9375.0,162.0,-311.0,-500.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,6937.0,12157.0,201.0,7979.0,13869.0,223.0,-1042.0,-1712.0,-22.0,0.0,0.0,1.0,1.0,1.0,0.0,8606.0,15273.0,246.0,10015.0,17408.0,283.0,-1409.0,-2135.0,-37.0,0.0,1.0,1.0,1.0,1.0,0.0
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Red,jng,Cuzz,KT Rolster,1.0,Malphite,Neeko,Vi,Sylas,Rakan,Aphelios,1888.0,0.0,4.0,6.0,3.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2542,0.8581,0.0,1.0,15.0,17.0,11.0,65.0,11310.0,7183.0,228.2733,10875.0,170.0,20.0,150.0,5.4025,3712.0,3525.0,69.0,4597.0,4419.0,82.0,-885.0,-894.0,-13.0,1.0,0.0,1.0,3.0,0.0,0.0,5633.0,6125.0,112.0,6340.0,6945.0,129.0,-707.0,-820.0,-17.0,1.0,2.0,1.0,3.0,0.0,1.0,7705.0,7319.0,126.0,9366.0,10387.0,171.0,-1661.0,-3068.0,-45.0,3.0,2.0,3.0,5.0,4.0,1.0,9126.0,8640.0,142.0,11651.0,12610.0,211.0,-2525.0,-3970.0,-69.0,4.0,2.0,4.0,6.0,5.0,1.0
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Red,mid,Bdd,KT Rolster,1.0,Taliyah,Neeko,Vi,Sylas,Rakan,Aphelios,1888.0,0.0,1.0,2.0,6.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2542,0.8581,0.0,0.0,21.0,7.0,7.0,51.0,11479.0,7352.0,233.6441,11275.0,300.0,288.0,12.0,9.5339,3466.0,5073.0,93.0,3857.0,5759.0,98.0,-391.0,-686.0,-5.0,0.0,1.0,1.0,0.0,2.0,0.0,5199.0,8174.0,147.0,5820.0,8777.0,159.0,-621.0,-603.0,-12.0,0.0,3.0,1.0,0.0,2.0,0.0,6877.0,10938.0,196.0,9627.0,12137.0,218.0,-2750.0,-1199.0,-22.0,0.0,4.0,2.0,4.0,3.0,0.0,9222.0,14009.0,252.0,11587.0,14544.0,262.0,-2365.0,-535.0,-10.0,1.0,5.0,2.0,4.0,5.0,0.0
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Red,bot,Aiming,KT Rolster,1.0,Yunara,Neeko,Vi,Sylas,Rakan,Aphelios,1888.0,0.0,1.0,4.0,4.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2542,0.8581,0.0,0.0,11.0,15.0,1.0,40.0,14629.0,10502.0,333.75,14425.0,323.0,312.0,11.0,10.2648,3349.0,3405.0,82.0,3582.0,3269.0,97.0,-233.0,136.0,-15.0,0.0,1.0,1.0,0.0,1.0,0.0,6229.0,5965.0,135.0,5919.0,6251.0,150.0,310.0,-286.0,-15.0,0.0,1.0,1.0,0.0,1.0,0.0,8878.0,8853.0,200.0,8406.0,8882.0,194.0,472.0,-29.0,6.0,0.0,3.0,2.0,0.0,5.0,2.0,11234.0,11369.0,265.0,10761.0,11772.0,256.0,473.0,-403.0,9.0,0.0,4.0,2.0,0.0,6.0,2.0
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Red,sup,Pollu,KT Rolster,1.0,Alistar,Neeko,Vi,Sylas,Rakan,Aphelios,1888.0,0.0,2.0,5.0,6.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2542,0.8581,0.0,0.0,60.0,10.0,14.0,122.0,8612.0,4485.0,142.5318,8000.0,25.0,25.0,0.0,0.7945,2477.0,2876.0,16.0,2582.0,2526.0,14.0,-105.0,350.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,4449.0,3561.0,19.0,3634.0,3240.0,17.0,815.0,321.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,5670.0,5083.0,20.0,5098.0,5140.0,22.0,572.0,-57.0,-2.0,2.0,3.0,2.0,0.0,5.0,2.0,7003.0,6330.0,22.0,6572.0,6026.0,25.0,431.0,304.0,-3.0,2.0,5.0,3.0,1.0,5.0,4.0
LOLTMNT03_337058,complete,LCK,2026.0,0.0,1.0,16.01,Red,team,,KT Rolster,1.0,,Neeko,Vi,Sylas,Rakan,Aphelios,1888.0,0.0,8.0,19.0,20.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.2542,0.8581,0.0,1.0,122.0,53.0,39.0,314.0,56912.0,36276.0,1152.839,55325.0,,929.0,173.0,35.0212,16372.0,19979.0,349.0,18351.0,21559.0,396.0,-1979.0,-1580.0,-47.0,1.0,3.0,3.0,3.0,5.0,1.0,26625.0,32700.0,560.0,27139.0,34588.0,617.0,-514.0,-1888.0,-57.0,3.0,7.0,3.0,3.0,5.0,3.0,36067.0,44350.0,743.0,40476.0,50415.0,828.0,-4409.0,-6065.0,-85.0,5.0,12.0,10.0,10.0,18.0,5.0,45191.0,55621.0,927.0,50586.0,62360.0,1037.0,-5395.0,-6739.0,-110.0,7.0,17.0,12.0,12.0,22.0,7.0
LOLTMNT03_337069,complete,LCK,2026.0,0.0,2.0,16.01,Red,top,PerfecT,KT Rolster,1.0,Renekton,Neeko,Vi,Cassiopeia,Renata Glasc,Lulu,1650.0,1.0,2.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5091,0.5091,0.0,0.0,12.0,6.0,6.0,38.0,12546.0,8904.0,323.7818,11550.0,300.0,299.0,1.0,10.9091,3508.0,5344.0,91.0,3708.0,5410.0,100.0,-200.0,-66.0,-9.0,0.0,1.0,0.0,0.0,0.0,0.0,5729.0,9290.0,150.0,5450.0,9078.0,153.0,279.0,212.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,7739.0,12871.0,216.0,7390.0,12589.0,218.0,349.0,282.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,10548.0,16580.0,271.0,9097.0,15255.0,269.0,1451.0,1325.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0
LOLTMNT03_337069,complete,LCK,2026.0,0.0,2.0,16.01,Red,jng,Cuzz,KT Rolster,1.0,Sylas,Neeko,Vi,Cassiopeia,Renata Glasc,Lulu,1650.0,1.0,2.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5091,0.5091,1.0,0.0,11.0,13.0,7.0,58.0,13502.0,9860.0,358.5455,11725.0,251.0,20.0,231.0,9.1273,4204.0,4485.0,85.0,3814.0,4953.0,97.0,390.0,-468.0,-12.0,1.0,0.0,0.0,0.0,0.0,0.0,6109.0,6866.0,125.0,5474.0,7503.0,138.0,635.0,-637.0,-13.0,1.0,1.0,0.0,0.0,0.0,0.0,8617.0,10221.0,179.0,7279.0,9578.0,175.0,1338.0,643.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,11419.0,14060.0,237.0,8646.0,11148.0,200.0,2773.0,2912.0,37.0,2.0,6.0,0.0,0.0,0.0,1.0
LOLTMNT03_337069,complete,LCK,2026.0,0.0,2.0,16.01,Red,mid,Bdd,KT Rolster,1.0,Ryze,Neeko,Vi,Cassiopeia,Renata Glasc,Lulu,1650.0,1.0,7.0,0.0,4.0,14.0,0.0,2.0,0.0,0.0,0.0,1.0,0.5091,0.5091,0.0,0.0,12.0,4.0,4.0,26.0,14433.0,10791.0,392.4,11800.0,320.0,320.0,0.0,11.6364,3938.0,5315.0,106.0,3355.0,4826.0,94.0,583.0,489.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,6171.0,8410.0,167.0,5145.0,7871.0,155.0,1026.0,539.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,8711.0,11655.0,237.0,7099.0,10843.0,216.0,1612.0,812.0,21.0,1.0,1.0,0.0,0.0,0.0,1.0,11611.0,16627.0,292.0,8801.0,15155.0,270.0,2810.0,1472.0,22.0,3.0,3.0,0.0,0.0,0.0,2.0
LOLTMNT03_337069,complete,LCK,2026.0,0.0,2.0,16.01,Red,bot,Aiming,KT Rolster,1.0,Lucian,Neeko,Vi,Cassiopeia,Renata Glasc,Lulu,1650.0,1.0,3.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091,0.5091,0.0,0.0,14.0,11.0,4.0,48.0,14897.0,11255.0,409.2727,11900.0,290.0,286.0,4.0,10.5455,3192.0,3282.0,79.0,3552.0,3626.0,97.0,-360.0,-344.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,5528.0,5421.0,136.0,5564.0,5515.0,139.0,-36.0,-94.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,8810.0,8556.0,200.0,7391.0,7857.0,189.0,1419.0,699.0,11.0,1.0,0.0,0.0,0.0,0.0,2.0,11990.0,11753.0,260.0,9414.0,9552.0,242.0,2576.0,2201.0,18.0,2.0,3.0,0.0,0.0,0.0,3.0
