gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164335,complete,LEC,2026.0,0.0,1.0,16.01,Blue,top,Devost,Leviatan,0.0,K'Sante,Jayce,Rumble,Gwen,Orianna,Cassiopeia,1909.0,0.0,1.0,4.0,1.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.1572,0.8486,0.0,0.0,17.0,1.0,7.0,34.0,9868.0,5698.0,179.0885,9425.0,231.0,231.0,0.0,7.2603,3523.0,5211.0,96.0,3618.0,5118.0,96.0,-95.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4912.0,8287.0,137.0,6657.0,9308.0,154.0,-1745.0,-1021.0,-17.0,0.0,0.0,1.0,1.0,0.0,0.0,6649.0,11149.0,167.0,7853.0,11409.0,186.0,-1204.0,-260.0,-19.0,1.0,1.0,1.0,1.0,0.0,2.0,8231.0,13872.0,211.0,10348.0,15556.0,256.0,-2117.0,-1684.0,-45.0,1.0,1.0,1.0,1.0,0.0,2.0
LOLTMNT06_164335,complete,LEC,2026.0,0.0,1.0,16.01,Blue,jng,Booki,Leviatan,0.0,Wukong,Jayce,Rumble,Gwen,Orianna,Cassiopeia,1909.0,0.0,1.0,5.0,3.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,0.1572,0.8486,0.0,0.0,8.0,16.0,9.0,55.0,10455.0,6285.0,197.538,9983.0,214.0,29.0,185.0,6.726,3553.0,4202.0,83.0,3346.0,3892.0,74.0,207.0,310.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5165.0,6375.0,122.0,5588.0,6742.0,111.0,-423.0,-367.0,11.0,0.0,1.0,1.0,1.0,2.0,0.0,7246.0,9116.0,161.0,7887.0,10462.0,163.0,-641.0,-1346.0,-2.0,1.0,2.0,2.0,1.0,5.0,0.0,8552.0,10943.0,189.0,9854.0,13539.0,213.0,-1302.0,-2596.0,-24.0,1.0,2.0,2.0,1.0,5.0,0.0
LOLTMNT06_164335,complete,LEC,2026.0,0.0,1.0,16.01,Blue,mid,Enga,Leviatan,0.0,Ryze,Jayce,Rumble,Gwen,Orianna,Cassiopeia,1909.0,0.0,1.0,3.0,4.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,0.1572,0.8486,0.0,0.0,12.0,1.0,6.0,25.0,12377.0,8207.0,257.9466,12300.0,312.0,312.0,0.0,9.8062,3478.0,5378.0,97.0,3588.0,5189.0,104.0,-110.0,189.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,5036.0,7864.0,147.0,6172.0,7976.0,159.0,-1136.0,-112.0,-12.0,0.0,1.0,1.0,1.0,1.0,0.0,6640.0,10574.0,189.0,8705.0,11045.0,213.0,-2065.0,-471.0,-24.0,0.0,3.0,1.0,2.0,3.0,0.0,8569.0,13338.0,248.0,10734.0,14057.0,273.0,-2165.0,-719.0,-25.0,0.0,3.0,1.0,2.0,3.0,0.0
LOLTMNT06_164335,complete,LEC,2026.0,0.0,1.0,16.01,Blue,bot,ceo,Leviatan,0.0,Yunara,Jayce,Rumble,Gwen,Orianna,Cassiopeia,1909.0,0.0,2.0,6.0,1.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,0.1572,0.8486,0.0,0.0,19.0,8.0,7.0,45.0,12886.0,8716.0,273.9445,12875.0,286.0,286.0,0.0,8.989,4056.0,3520.0,93.0,3539.0,4074.0,97.0,517.0,-554.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,5768.0,5778.0,143.0,6628.0,7158.0,159.0,-860.0,-1380.0,-16.0,1.0,0.0,1.0,1.0,2.0,0.0,7548.0,7601.0,181.0,9537.0,10323.0,217.0,-1989.0,-2722.0,-36.0,1.0,1.0,3.0,2.0,4.0,0.0,9857.0,10482.0,245.0,11979.0,13188.0,282.0,-2122.0,-2706.0,-37.0,1.0,1.0,3.0,2.0,4.0,0.0
LOLTMNT06_164335,complete,LEC,2026.0,0.0,1.0,16.01,Blue,sup,TopLop,Leviatan,0.0,Bard,Jayce,Rumble,Gwen,Orianna,Cassiopeia,1909.0,0.0,0.0,4.0,4.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,0.1572,0.8486,0.0,1.0,51.0,18.0,13.0,132.0,7488.0,3318.0,104.285,7330.0,30.0,30.0,0.0,0.9429,2431.0,3110.0,17.0,2249.0,2351.0,17.0,182.0,759.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3503.0,3941.0,20.0,3804.0,3260.0,21.0,-301.0,681.0,-1.0,0.0,1.0,0.0,0.0,3.0,1.0,4658.0,4992.0,24.0,5338.0,3835.0,25.0,-680.0,1157.0,-1.0,0.0,3.0,0.0,1.0,4.0,1.0,5715.0,6590.0,29.0,6425.0,5199.0,30.0,-710.0,1391.0,-1.0,0.0,3.0,0.0,1.0,4.0,1.0
LOLTMNT06_164335,complete,LEC,2026.0,0.0,1.0,16.01,Blue,team,,Leviatan,0.0,,Jayce,Rumble,Gwen,Orianna,Cassiopeia,1909.0,0.0,5.0,22.0,13.0,5.0,22.0,0.0,0.0,0.0,0.0,1.0,0.1572,0.8486,0.0,1.0,107.0,44.0,42.0,291.0,53074.0,32224.0,1012.8025,51913.0,,888.0,185.0,33.7245,17041.0,21421.0,386.0,16340.0,20624.0,388.0,701.0,797.0,-2.0,1.0,3.0,0.0,0.0,0.0,1.0,24384.0,32245.0,569.0,28849.0,34444.0,604.0,-4465.0,-2199.0,-35.0,1.0,3.0,4.0,4.0,8.0,1.0,32741.0,43432.0,722.0,39320.0,47074.0,804.0,-6579.0,-3642.0,-82.0,3.0,10.0,7.0,7.0,16.0,3.0,40924.0,55225.0,922.0,49340.0,61539.0,1054.0,-8416.0,-6314.0,-132.0,3.0,10.0,7.0,7.0,16.0,3.0
LOLTMNT06_163462,complete,AL,2026.0,0.0,1.0,16.01,Blue,top,Devost,Leviatan,0.0,Renekton,Jayce,Rumble,Ambessa,Akali,Orianna,2649.0,0.0,3.0,5.0,7.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3851,1.0193,0.0,0.0,18.0,7.0,11.0,54.0,16590.0,10910.0,247.1121,16300.0,377.0,377.0,0.0,8.5391,3886.0,5614.0,98.0,3261.0,4952.0,89.0,625.0,662.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,5867.0,9757.0,157.0,4818.0,7998.0,129.0,1049.0,1759.0,28.0,1.0,1.0,0.0,0.0,0.0,2.0,7550.0,12515.0,202.0,6780.0,11782.0,195.0,770.0,733.0,7.0,1.0,1.0,1.0,0.0,0.0,2.0,9892.0,15777.0,263.0,8946.0,15411.0,248.0,946.0,366.0,15.0,2.0,1.0,2.0,1.0,0.0,2.0
LOLTMNT06_163462,complete,AL,2026.0,0.0,1.0,16.01,Blue,jng,Booki,Leviatan,0.0,Pantheon,Jayce,Rumble,Ambessa,Akali,Orianna,2649.0,0.0,6.0,7.0,5.0,17.0,28.0,1.0,0.0,0.0,0.0,1.0,0.3851,1.0193,1.0,1.0,19.0,22.0,17.0,89.0,16224.0,10544.0,238.8222,15175.0,265.0,37.0,228.0,6.0023,3773.0,3766.0,77.0,3804.0,4252.0,80.0,-31.0,-486.0,-3.0,1.0,1.0,0.0,1.0,0.0,1.0,5740.0,6524.0,117.0,5500.0,6710.0,123.0,240.0,-186.0,-6.0,2.0,1.0,0.0,1.0,0.0,1.0,7493.0,8601.0,153.0,7099.0,9199.0,157.0,394.0,-598.0,-4.0,2.0,1.0,0.0,1.0,0.0,1.0,9167.0,10818.0,192.0,9681.0,12066.0,192.0,-514.0,-1248.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0
LOLTMNT06_163462,complete,AL,2026.0,0.0,1.0,16.01,Blue,mid,Enga,Leviatan,0.0,Taliyah,Jayce,Rumble,Ambessa,Akali,Orianna,2649.0,0.0,1.0,6.0,7.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3851,1.0193,0.0,0.0,13.0,13.0,10.0,60.0,15308.0,9628.0,218.0747,15000.0,359.0,350.0,9.0,8.1314,3682.0,5481.0,110.0,3550.0,5109.0,103.0,132.0,372.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5189.0,7860.0,157.0,5820.0,8456.0,164.0,-631.0,-596.0,-7.0,0.0,0.0,1.0,1.0,0.0,0.0,6960.0,10380.0,204.0,8542.0,12127.0,218.0,-1582.0,-1747.0,-14.0,0.0,0.0,1.0,2.0,0.0,0.0,8535.0,12618.0,245.0,10462.0,14672.0,267.0,-1927.0,-2054.0,-22.0,0.0,0.0,1.0,2.0,3.0,0.0
LOLTMNT06_163462,complete,AL,2026.0,0.0,1.0,16.01,Blue,bot,ceo,Leviatan,0.0,Ezreal,Jayce,Rumble,Ambessa,Akali,Orianna,2649.0,0.0,7.0,3.0,5.0,17.0,28.0,2.0,0.0,0.0,0.0,1.0,0.3851,1.0193,0.0,0.0,26.0,16.0,7.0,68.0,23061.0,17381.0,393.6806,23108.0,429.0,410.0,19.0,9.7169,4072.0,3510.0,84.0,3292.0,3177.0,83.0,780.0,333.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,6580.0,6221.0,144.0,5587.0,5807.0,142.0,993.0,414.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,9476.0,9014.0,205.0,7811.0,8789.0,203.0,1665.0,225.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,11473.0,11038.0,250.0,10584.0,11532.0,256.0,889.0,-494.0,-6.0,2.0,1.0,1.0,1.0,3.0,2.0
