gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_340232,complete,LCK,2026.0,0.0,1.0,16.01,Red,top,Addusto,Lille Esport,0.0,Rumble,Sion,Ryze,Malphite,Alistar,Poppy,2044.0,0.0,0.0,6.0,5.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3523,0.9687,0.0,0.0,17.0,4.0,7.0,43.0,11639.0,7194.0,211.1742,11225.0,266.0,266.0,0.0,7.8082,3325.0,5224.0,88.0,3439.0,5224.0,91.0,-114.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,5461.0,9171.0,146.0,5348.0,9005.0,149.0,113.0,166.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,7401.0,12118.0,192.0,6881.0,11567.0,181.0,520.0,551.0,11.0,0.0,1.0,1.0,0.0,2.0,0.0,8450.0,12913.0,204.0,9047.0,14285.0,216.0,-597.0,-1372.0,-12.0,0.0,1.0,3.0,0.0,6.0,0.0
LOLTMNT03_340232,complete,LCK,2026.0,0.0,1.0,16.01,Red,jng,KKT,Lille Esport,0.0,Naafiri,Sion,Ryze,Malphite,Alistar,Poppy,2044.0,0.0,3.0,4.0,6.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3523,0.9687,0.0,1.0,10.0,3.0,8.0,34.0,11749.0,7304.0,214.4031,10500.0,184.0,10.0,174.0,5.4012,3510.0,3977.0,75.0,4069.0,4201.0,83.0,-559.0,-224.0,-8.0,0.0,2.0,0.0,1.0,0.0,1.0,5585.0,6007.0,108.0,6571.0,7544.0,143.0,-986.0,-1537.0,-35.0,2.0,2.0,0.0,1.0,2.0,1.0,7087.0,8189.0,132.0,9154.0,10504.0,186.0,-2067.0,-2315.0,-54.0,2.0,3.0,2.0,2.0,3.0,2.0,8050.0,9179.0,144.0,11952.0,12924.0,225.0,-3902.0,-3745.0,-81.0,2.0,3.0,3.0,4.0,4.0,2.0
LOLTMNT03_340232,complete,LCK,2026.0,0.0,1.0,16.01,Red,mid,Koussay,Lille Esport,0.0,Orianna,Sion,Ryze,Malphite,Alistar,Poppy,2044.0,0.0,2.0,1.0,4.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3523,0.9687,0.0,0.0,14.0,6.0,2.0,31.0,12911.0,8466.0,248.5127,12750.0,331.0,331.0,0.0,9.7162,3251.0,4696.0,83.0,3514.0,5349.0,94.0,-263.0,-653.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,5061.0,7515.0,139.0,5315.0,8250.0,148.0,-254.0,-735.0,-9.0,0.0,0.0,0.0,0.0,1.0,0.0,7436.0,10201.0,186.0,8645.0,11754.0,214.0,-1209.0,-1553.0,-28.0,2.0,0.0,0.0,2.0,2.0,0.0,9251.0,13127.0,246.0,11109.0,15219.0,258.0,-1858.0,-2092.0,-12.0,2.0,0.0,0.0,4.0,2.0,0.0
LOLTMNT03_340232,complete,LCK,2026.0,0.0,1.0,16.01,Red,bot,Vespa,Lille Esport,0.0,Tristana,Sion,Ryze,Malphite,Alistar,Poppy,2044.0,0.0,7.0,6.0,2.0,12.0,21.0,1.0,0.0,0.0,0.0,0.0,0.3523,0.9687,0.0,0.0,17.0,8.0,6.0,48.0,16241.0,11796.0,346.2622,15850.0,327.0,296.0,31.0,9.5988,4883.0,3829.0,86.0,3130.0,3237.0,69.0,1753.0,592.0,17.0,4.0,0.0,0.0,0.0,1.0,1.0,6988.0,5843.0,130.0,6642.0,5978.0,128.0,346.0,-135.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,9190.0,8269.0,184.0,9734.0,9058.0,189.0,-544.0,-789.0,-5.0,4.0,2.0,3.0,2.0,3.0,1.0,11222.0,10640.0,241.0,12755.0,12356.0,251.0,-1533.0,-1716.0,-10.0,4.0,2.0,4.0,3.0,4.0,1.0
LOLTMNT03_340232,complete,LCK,2026.0,0.0,1.0,16.01,Red,sup,Seneca,Lille Esport,0.0,Rell,Sion,Ryze,Malphite,Alistar,Poppy,2044.0,0.0,0.0,4.0,10.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.3523,0.9687,0.0,0.0,59.0,17.0,11.0,124.0,8199.0,3754.0,110.1957,7765.0,46.0,46.0,0.0,1.3503,2695.0,3032.0,24.0,2309.0,1908.0,12.0,386.0,1124.0,12.0,0.0,4.0,1.0,0.0,1.0,2.0,4000.0,4375.0,34.0,4435.0,3412.0,20.0,-435.0,963.0,14.0,0.0,6.0,2.0,2.0,2.0,4.0,5196.0,5146.0,41.0,5947.0,5316.0,24.0,-751.0,-170.0,17.0,0.0,6.0,2.0,2.0,4.0,5.0,6200.0,6388.0,43.0,7060.0,6128.0,27.0,-860.0,260.0,16.0,0.0,6.0,3.0,2.0,5.0,5.0
LOLTMNT03_340232,complete,LCK,2026.0,0.0,1.0,16.01,Red,team,,Lille Esport,0.0,,Sion,Ryze,Malphite,Alistar,Poppy,2044.0,0.0,12.0,21.0,27.0,12.0,21.0,1.0,0.0,0.0,0.0,0.0,0.3523,0.9687,0.0,1.0,117.0,38.0,34.0,280.0,60739.0,38512.0,1130.4892,58090.0,,949.0,205.0,33.8748,17664.0,20758.0,356.0,16461.0,19919.0,349.0,1203.0,839.0,7.0,4.0,6.0,1.0,1.0,2.0,4.0,27095.0,32911.0,557.0,28311.0,34189.0,588.0,-1216.0,-1278.0,-31.0,6.0,10.0,4.0,4.0,7.0,6.0,36310.0,43923.0,735.0,40361.0,48199.0,794.0,-4051.0,-4276.0,-59.0,8.0,12.0,8.0,8.0,14.0,8.0,43173.0,52247.0,878.0,51923.0,60912.0,977.0,-8750.0,-8665.0,-99.0,8.0,12.0,13.0,13.0,21.0,8.0
LOLTMNT01_334295,complete,LCK,2026.0,0.0,1.0,16.02,Blue,top,Addusto,Lille Esport,1.0,Rumble,Akali,Azir,Orianna,Sion,K'Sante,2335.0,1.0,4.0,0.0,12.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6681,0.9507,0.0,0.0,16.0,3.0,9.0,48.0,17707.0,12668.0,325.5161,16675.0,313.0,290.0,23.0,8.0428,3709.0,5410.0,97.0,2973.0,4604.0,71.0,736.0,806.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,6738.0,10447.0,161.0,4563.0,7992.0,124.0,2175.0,2455.0,37.0,1.0,0.0,0.0,0.0,0.0,1.0,8821.0,13307.0,197.0,6403.0,11423.0,181.0,2418.0,1884.0,16.0,2.0,2.0,0.0,0.0,0.0,2.0,11877.0,16251.0,240.0,9571.0,15536.0,237.0,2306.0,715.0,3.0,3.0,7.0,0.0,0.0,0.0,2.0
LOLTMNT01_334295,complete,LCK,2026.0,0.0,1.0,16.02,Blue,jng,KKT,Lille Esport,1.0,Wukong,Akali,Azir,Orianna,Sion,K'Sante,2335.0,1.0,3.0,4.0,10.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6681,0.9507,2.0,1.0,12.0,17.0,10.0,70.0,14065.0,9026.0,231.9315,12233.0,253.0,33.0,220.0,6.5011,3423.0,4037.0,80.0,3497.0,4079.0,75.0,-74.0,-42.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,5717.0,7236.0,132.0,5607.0,6766.0,121.0,110.0,470.0,11.0,1.0,0.0,1.0,1.0,2.0,1.0,7238.0,9267.0,158.0,7415.0,8631.0,144.0,-177.0,636.0,14.0,1.0,3.0,3.0,2.0,4.0,2.0,9276.0,11703.0,183.0,9232.0,11212.0,173.0,44.0,491.0,10.0,2.0,7.0,3.0,2.0,5.0,4.0
LOLTMNT01_334295,complete,LCK,2026.0,0.0,1.0,16.02,Blue,mid,Koussay,Lille Esport,1.0,Ryze,Akali,Azir,Orianna,Sion,K'Sante,2335.0,1.0,5.0,3.0,9.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6681,0.9507,0.0,0.0,21.0,11.0,5.0,66.0,16680.0,11641.0,299.1263,14875.0,373.0,361.0,12.0,9.5846,3669.0,5042.0,98.0,4232.0,5184.0,95.0,-563.0,-142.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5329.0,7700.0,152.0,6586.0,8412.0,162.0,-1257.0,-712.0,-10.0,0.0,0.0,1.0,1.0,2.0,0.0,7765.0,11336.0,212.0,9190.0,11320.0,212.0,-1425.0,16.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,10204.0,16036.0,264.0,12212.0,14096.0,263.0,-2008.0,1940.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0
LOLTMNT01_334295,complete,LCK,2026.0,0.0,1.0,16.02,Blue,bot,Vespa,Lille Esport,1.0,Jinx,Akali,Azir,Orianna,Sion,K'Sante,2335.0,1.0,13.0,2.0,9.0,26.0,11.0,3.0,1.0,1.0,0.0,1.0,0.6681,0.9507,0.0,0.0,22.0,9.0,9.0,53.0,23538.0,18499.0,475.349,20705.0,414.0,365.0,49.0,10.6381,3807.0,3149.0,85.0,4047.0,3607.0,83.0,-240.0,-458.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6065.0,5198.0,136.0,6220.0,6258.0,145.0,-155.0,-1060.0,-9.0,1.0,1.0,1.0,1.0,1.0,1.0,9782.0,7953.0,188.0,9056.0,8709.0,200.0,726.0,-756.0,-12.0,4.0,2.0,2.0,2.0,3.0,3.0,13299.0,10814.0,242.0,10877.0,11116.0,229.0,2422.0,-302.0,13.0,8.0,5.0,2.0,2.0,3.0,5.0
