gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT01_319628,complete,ROL,2026.0,0.0,1.0,16.01,Blue,top,Sprotte,Myth Esports,1.0,Mordekaiser,Aatrox,Viktor,Syndra,Corki,Tristana,1745.0,0.0,4.0,4.0,1.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2407,0.9284,0.0,0.0,8.0,2.0,3.0,21.0,11644.0,7809.0,268.5043,11175.0,246.0,246.0,0.0,8.4585,3573.0,5501.0,104.0,3255.0,5286.0,86.0,318.0,215.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5834.0,9768.0,156.0,4500.0,8354.0,116.0,1334.0,1414.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,7660.0,12270.0,196.0,6949.0,12623.0,183.0,711.0,-353.0,13.0,1.0,0.0,1.0,1.0,1.0,1.0,9941.0,16253.0,245.0,8164.0,14687.0,205.0,1777.0,1566.0,40.0,2.0,0.0,2.0,1.0,3.0,2.0
LOLTMNT01_319628,complete,ROL,2026.0,0.0,1.0,16.01,Blue,jng,Ferrari,Myth Esports,1.0,Jarvan IV,Aatrox,Viktor,Syndra,Corki,Tristana,1745.0,0.0,0.0,5.0,3.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2407,0.9284,0.0,1.0,9.0,4.0,7.0,30.0,9059.0,5224.0,179.6218,8375.0,188.0,9.0,179.0,6.4642,3420.0,4366.0,79.0,3816.0,3774.0,69.0,-396.0,592.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,5008.0,6640.0,119.0,5458.0,6110.0,111.0,-450.0,530.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,6545.0,8746.0,148.0,8229.0,9501.0,157.0,-1684.0,-755.0,-9.0,0.0,1.0,2.0,3.0,1.0,1.0,8139.0,11274.0,182.0,10100.0,12059.0,195.0,-1961.0,-785.0,-13.0,0.0,1.0,3.0,3.0,4.0,1.0
LOLTMNT01_319628,complete,ROL,2026.0,0.0,1.0,16.01,Blue,mid,Franky,Myth Esports,1.0,Orianna,Aatrox,Viktor,Syndra,Corki,Tristana,1745.0,0.0,3.0,4.0,1.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2407,0.9284,0.0,0.0,11.0,5.0,3.0,25.0,11826.0,7991.0,274.7622,10825.0,262.0,256.0,6.0,9.0086,3148.0,4946.0,83.0,4134.0,5533.0,106.0,-986.0,-587.0,-23.0,0.0,0.0,1.0,1.0,1.0,0.0,5100.0,8304.0,146.0,6230.0,8610.0,167.0,-1130.0,-306.0,-21.0,0.0,0.0,1.0,1.0,1.0,0.0,7151.0,10518.0,189.0,8692.0,11738.0,214.0,-1541.0,-1220.0,-25.0,1.0,0.0,2.0,2.0,5.0,0.0,9118.0,13207.0,243.0,11313.0,14976.0,277.0,-2195.0,-1769.0,-34.0,1.0,0.0,2.0,3.0,7.0,0.0
LOLTMNT01_319628,complete,ROL,2026.0,0.0,1.0,16.01,Blue,bot,BunnyBeast,Myth Esports,1.0,Kai'Sa,Aatrox,Viktor,Syndra,Corki,Tristana,1745.0,0.0,0.0,3.0,3.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2407,0.9284,0.0,0.0,10.0,10.0,2.0,38.0,13004.0,9169.0,315.2665,12550.0,301.0,301.0,0.0,10.3496,3778.0,3863.0,103.0,3497.0,3438.0,91.0,281.0,425.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6304.0,5565.0,150.0,6022.0,5795.0,150.0,282.0,-230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8804.0,8523.0,218.0,8854.0,8521.0,207.0,-50.0,2.0,11.0,0.0,1.0,1.0,1.0,2.0,0.0,10940.0,10948.0,274.0,11989.0,10901.0,260.0,-1049.0,47.0,14.0,0.0,1.0,1.0,3.0,3.0,0.0
LOLTMNT01_319628,complete,ROL,2026.0,0.0,1.0,16.01,Blue,sup,Dovendyr,Myth Esports,1.0,Leona,Aatrox,Viktor,Syndra,Corki,Tristana,1745.0,0.0,0.0,4.0,4.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2407,0.9284,0.0,0.0,35.0,14.0,9.0,107.0,6514.0,2679.0,92.1146,6130.0,43.0,43.0,0.0,1.4785,2138.0,2623.0,19.0,2336.0,3228.0,14.0,-198.0,-605.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3220.0,3989.0,32.0,3386.0,4504.0,22.0,-166.0,-515.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4393.0,5082.0,39.0,4875.0,6347.0,28.0,-482.0,-1265.0,11.0,0.0,1.0,1.0,0.0,5.0,0.0,5445.0,6267.0,43.0,6280.0,8060.0,29.0,-835.0,-1793.0,14.0,0.0,1.0,2.0,0.0,8.0,0.0
LOLTMNT01_319628,complete,ROL,2026.0,0.0,1.0,16.01,Blue,team,,Myth Esports,1.0,,Aatrox,Viktor,Syndra,Corki,Tristana,1745.0,0.0,7.0,20.0,12.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2407,0.9284,0.0,1.0,73.0,35.0,24.0,221.0,52047.0,32870.0,1130.2006,49055.0,,855.0,185.0,35.7593,16057.0,21299.0,388.0,17038.0,21259.0,366.0,-981.0,40.0,22.0,0.0,0.0,2.0,2.0,3.0,0.0,25466.0,34266.0,603.0,25596.0,33373.0,566.0,-130.0,893.0,37.0,1.0,0.0,2.0,2.0,3.0,1.0,34553.0,45139.0,790.0,37599.0,48730.0,789.0,-3046.0,-3591.0,1.0,2.0,3.0,7.0,7.0,14.0,2.0,43583.0,57949.0,987.0,47846.0,60683.0,966.0,-4263.0,-2734.0,21.0,3.0,3.0,10.0,10.0,25.0,3.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Red,top,Sprotte,Myth Esports,0.0,K'Sante,Jayce,Ambessa,Azir,Poppy,Braum,1891.0,0.0,0.0,5.0,3.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3808,1.2057,0.0,0.0,10.0,2.0,2.0,20.0,9084.0,4951.0,157.0915,9250.0,211.0,211.0,0.0,6.6949,2920.0,4888.0,70.0,3932.0,5458.0,84.0,-1012.0,-570.0,-14.0,0.0,0.0,1.0,1.0,0.0,0.0,4094.0,7185.0,92.0,6663.0,9960.0,132.0,-2569.0,-2775.0,-40.0,0.0,0.0,3.0,3.0,1.0,0.0,5922.0,10334.0,145.0,9208.0,13272.0,173.0,-3286.0,-2938.0,-28.0,0.0,0.0,3.0,5.0,2.0,0.0,7528.0,13030.0,183.0,10991.0,16484.0,203.0,-3463.0,-3454.0,-20.0,0.0,1.0,4.0,5.0,5.0,0.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Red,jng,Ferrari,Myth Esports,0.0,Wukong,Jayce,Ambessa,Azir,Poppy,Braum,1891.0,0.0,3.0,6.0,7.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3808,1.2057,0.0,2.0,9.0,15.0,5.0,57.0,10659.0,6526.0,207.065,9958.0,184.0,43.0,141.0,5.8382,3607.0,3601.0,64.0,3396.0,4018.0,80.0,211.0,-417.0,-16.0,1.0,2.0,0.0,0.0,0.0,2.0,5080.0,5190.0,85.0,5581.0,7379.0,136.0,-501.0,-2189.0,-51.0,2.0,2.0,1.0,0.0,1.0,2.0,7128.0,8398.0,118.0,7285.0,9775.0,168.0,-157.0,-1377.0,-50.0,3.0,3.0,3.0,0.0,4.0,4.0,8483.0,10114.0,143.0,9917.0,13105.0,207.0,-1434.0,-2991.0,-64.0,3.0,4.0,4.0,1.0,7.0,4.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Red,mid,Franky,Myth Esports,0.0,Taliyah,Jayce,Ambessa,Azir,Poppy,Braum,1891.0,0.0,2.0,3.0,6.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3808,1.2057,0.0,0.0,13.0,6.0,4.0,34.0,12287.0,8154.0,258.7203,11900.0,301.0,293.0,8.0,9.5505,3967.0,5433.0,91.0,3608.0,5633.0,105.0,359.0,-200.0,-14.0,1.0,3.0,0.0,0.0,0.0,0.0,5645.0,8542.0,145.0,5876.0,8762.0,161.0,-231.0,-220.0,-16.0,1.0,3.0,0.0,1.0,1.0,0.0,7703.0,11016.0,198.0,8226.0,11700.0,216.0,-523.0,-684.0,-18.0,1.0,3.0,0.0,2.0,4.0,0.0,9309.0,12810.0,234.0,10256.0,16282.0,249.0,-947.0,-3472.0,-15.0,1.0,4.0,1.0,3.0,6.0,0.0
LOLTMNT01_319643,complete,ROL,2026.0,0.0,1.0,16.01,Red,bot,BunnyBeast,Myth Esports,0.0,Kai'Sa,Jayce,Ambessa,Azir,Poppy,Braum,1891.0,0.0,7.0,6.0,5.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,0.3808,1.2057,0.0,0.0,11.0,11.0,2.0,37.0,16746.0,12613.0,400.201,16350.0,322.0,318.0,4.0,10.2168,3986.0,3379.0,82.0,3885.0,3497.0,81.0,101.0,-118.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,7198.0,5606.0,142.0,6078.0,5882.0,145.0,1120.0,-276.0,-3.0,3.0,3.0,1.0,2.0,0.0,2.0,9866.0,8245.0,198.0,9088.0,8572.0,196.0,778.0,-327.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,12466.0,10134.0,257.0,12902.0,11777.0,256.0,-436.0,-1643.0,1.0,5.0,4.0,4.0,7.0,4.0,2.0
