gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164300,complete,LEC,2026.0,0.0,1.0,16.01,Red,top,Maynter,Natus Vincere,0.0,K'Sante,Jayce,Ambessa,Vi,Aphelios,Neeko,1954.0,1.0,5.0,1.0,4.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4913,0.6448,0.0,0.0,12.0,11.0,7.0,54.0,12819.0,8557.0,262.7533,12550.0,239.0,239.0,0.0,7.3388,3989.0,5259.0,90.0,3898.0,5432.0,98.0,91.0,-173.0,-8.0,2.0,0.0,0.0,1.0,0.0,1.0,5999.0,8817.0,145.0,5546.0,8648.0,142.0,453.0,169.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,7874.0,11502.0,175.0,6938.0,11113.0,181.0,936.0,389.0,-6.0,4.0,1.0,0.0,1.0,0.0,2.0,10022.0,14477.0,219.0,9362.0,14161.0,228.0,660.0,316.0,-9.0,5.0,2.0,0.0,2.0,0.0,3.0
LOLTMNT06_164300,complete,LEC,2026.0,0.0,1.0,16.01,Red,jng,Rhilech,Natus Vincere,0.0,Qiyana,Jayce,Ambessa,Vi,Aphelios,Neeko,1954.0,1.0,5.0,2.0,9.0,16.0,5.0,1.0,1.0,0.0,0.0,0.0,0.4913,0.6448,1.0,0.0,11.0,13.0,8.0,66.0,17255.0,12993.0,398.9662,14150.0,291.0,51.0,240.0,8.9355,3895.0,4539.0,79.0,3361.0,3773.0,71.0,534.0,766.0,8.0,0.0,2.0,1.0,0.0,1.0,1.0,6611.0,7371.0,127.0,5033.0,6245.0,112.0,1578.0,1126.0,15.0,1.0,2.0,1.0,0.0,1.0,1.0,9727.0,11089.0,184.0,6691.0,8433.0,148.0,3036.0,2656.0,36.0,2.0,5.0,1.0,0.0,2.0,2.0,11747.0,13206.0,217.0,8253.0,10486.0,176.0,3494.0,2720.0,41.0,2.0,7.0,2.0,0.0,3.0,3.0
LOLTMNT06_164300,complete,LEC,2026.0,0.0,1.0,16.01,Red,mid,Poby,Natus Vincere,0.0,Azir,Jayce,Ambessa,Vi,Aphelios,Neeko,1954.0,1.0,2.0,0.0,8.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4913,0.6448,0.0,0.0,21.0,6.0,10.0,45.0,14646.0,10384.0,318.8536,13550.0,361.0,341.0,20.0,11.085,3439.0,4889.0,94.0,3509.0,4932.0,98.0,-70.0,-43.0,-4.0,0.0,1.0,0.0,0.0,1.0,0.0,5510.0,7935.0,157.0,5409.0,7591.0,158.0,101.0,344.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,8063.0,10896.0,215.0,7229.0,9944.0,204.0,834.0,952.0,11.0,0.0,4.0,0.0,1.0,1.0,0.0,10022.0,13477.0,268.0,8871.0,12308.0,248.0,1151.0,1169.0,20.0,1.0,5.0,0.0,1.0,2.0,0.0
LOLTMNT06_164300,complete,LEC,2026.0,0.0,1.0,16.01,Red,bot,SamD,Natus Vincere,0.0,Yunara,Jayce,Ambessa,Vi,Aphelios,Neeko,1954.0,1.0,4.0,1.0,6.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4913,0.6448,0.0,0.0,17.0,18.0,6.0,58.0,18071.0,13809.0,424.0225,17500.0,366.0,359.0,7.0,11.2385,4151.0,3884.0,104.0,3566.0,3634.0,99.0,585.0,250.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7307.0,7097.0,171.0,6148.0,6016.0,149.0,1159.0,1081.0,22.0,1.0,1.0,0.0,0.0,0.0,1.0,10043.0,9841.0,233.0,8626.0,8608.0,209.0,1417.0,1233.0,24.0,2.0,3.0,0.0,0.0,1.0,1.0,12891.0,12643.0,289.0,10729.0,11301.0,271.0,2162.0,1342.0,18.0,3.0,4.0,0.0,0.0,1.0,1.0
LOLTMNT06_164300,complete,LEC,2026.0,0.0,1.0,16.01,Red,sup,Parus,Natus Vincere,0.0,Rakan,Jayce,Ambessa,Vi,Aphelios,Neeko,1954.0,1.0,0.0,1.0,12.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.4913,0.6448,0.0,0.0,68.0,28.0,17.0,182.0,8709.0,4447.0,136.5507,8025.0,47.0,47.0,0.0,1.4432,2534.0,2773.0,19.0,2282.0,2873.0,19.0,252.0,-100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3716.0,3387.0,25.0,3472.0,3346.0,26.0,244.0,41.0,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,4961.0,4634.0,31.0,4486.0,3819.0,27.0,475.0,815.0,4.0,0.0,5.0,1.0,0.0,1.0,3.0,6101.0,6187.0,35.0,5563.0,4277.0,34.0,538.0,1910.0,1.0,0.0,7.0,1.0,0.0,1.0,4.0
LOLTMNT06_164300,complete,LEC,2026.0,0.0,1.0,16.01,Red,team,,Natus Vincere,0.0,,Jayce,Ambessa,Vi,Aphelios,Neeko,1954.0,1.0,16.0,5.0,39.0,16.0,5.0,1.0,1.0,0.0,0.0,0.0,0.4913,0.6448,1.0,0.0,129.0,76.0,48.0,405.0,71500.0,50191.0,1541.1771,65775.0,,1037.0,267.0,40.0409,18008.0,21344.0,386.0,16616.0,20644.0,385.0,1392.0,700.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,29143.0,34607.0,625.0,25608.0,31846.0,587.0,3535.0,2761.0,38.0,4.0,6.0,1.0,1.0,2.0,4.0,40668.0,47962.0,838.0,33970.0,41917.0,769.0,6698.0,6045.0,69.0,8.0,18.0,2.0,2.0,5.0,8.0,50783.0,59990.0,1028.0,42778.0,52533.0,957.0,8005.0,7457.0,71.0,11.0,25.0,3.0,3.0,7.0,11.0
LOLTMNT04_148328,complete,TCL,2026.0,0.0,1.0,16.01,Red,top,Maynter,Natus Vincere,0.0,K'Sante,Jayce,Pantheon,Varus,Bard,Poppy,1841.0,1.0,4.0,3.0,14.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.717,1.0755,0.0,0.0,10.0,4.0,4.0,26.0,11651.0,7620.0,248.3433,11500.0,202.0,202.0,0.0,6.5834,3323.0,4997.0,86.0,3583.0,5224.0,100.0,-260.0,-227.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,5227.0,8599.0,133.0,5414.0,9214.0,159.0,-187.0,-615.0,-26.0,1.0,0.0,0.0,0.0,0.0,0.0,6803.0,11223.0,162.0,8251.0,12993.0,217.0,-1448.0,-1770.0,-55.0,1.0,5.0,1.0,1.0,0.0,1.0,8964.0,14653.0,193.0,10544.0,15112.0,249.0,-1580.0,-459.0,-56.0,2.0,8.0,1.0,1.0,2.0,1.0
LOLTMNT04_148328,complete,TCL,2026.0,0.0,1.0,16.01,Red,jng,Rhilech,Natus Vincere,0.0,Ambessa,Jayce,Pantheon,Varus,Bard,Poppy,1841.0,1.0,4.0,1.0,11.0,22.0,11.0,1.0,0.0,0.0,0.0,0.0,0.717,1.0755,2.0,0.0,12.0,12.0,9.0,51.0,14513.0,10482.0,341.6187,12325.0,262.0,60.0,202.0,8.5388,3828.0,4213.0,79.0,3418.0,3910.0,77.0,410.0,303.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5745.0,6773.0,123.0,4932.0,6249.0,114.0,813.0,524.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,8224.0,9596.0,171.0,6665.0,8455.0,155.0,1559.0,1141.0,16.0,2.0,4.0,0.0,0.0,0.0,2.0,11240.0,13303.0,222.0,9274.0,10939.0,182.0,1966.0,2364.0,40.0,2.0,6.0,0.0,1.0,1.0,2.0
LOLTMNT04_148328,complete,TCL,2026.0,0.0,1.0,16.01,Red,mid,Poby,Natus Vincere,0.0,Taliyah,Jayce,Pantheon,Varus,Bard,Poppy,1841.0,1.0,6.0,1.0,13.0,22.0,11.0,1.0,1.0,0.0,0.0,0.0,0.717,1.0755,0.0,0.0,20.0,10.0,11.0,54.0,14152.0,10121.0,329.8533,12475.0,297.0,284.0,13.0,9.6795,3592.0,5149.0,101.0,3529.0,4910.0,86.0,63.0,239.0,15.0,0.0,1.0,1.0,0.0,1.0,1.0,5290.0,7896.0,155.0,5594.0,7900.0,154.0,-304.0,-4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,8632.0,11388.0,213.0,7230.0,9843.0,190.0,1402.0,1545.0,23.0,4.0,3.0,1.0,0.0,1.0,3.0,11005.0,14370.0,254.0,8975.0,12232.0,238.0,2030.0,2138.0,16.0,4.0,7.0,1.0,0.0,1.0,4.0
LOLTMNT04_148328,complete,TCL,2026.0,0.0,1.0,16.01,Red,bot,SamD,Natus Vincere,0.0,Yunara,Jayce,Pantheon,Varus,Bard,Poppy,1841.0,1.0,8.0,2.0,6.0,22.0,11.0,2.0,0.0,0.0,0.0,0.0,0.717,1.0755,0.0,0.0,13.0,15.0,4.0,41.0,19307.0,15276.0,497.8599,18725.0,337.0,325.0,12.0,10.9832,3694.0,4240.0,105.0,3166.0,3476.0,80.0,528.0,764.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6559.0,6853.0,163.0,5730.0,5967.0,135.0,829.0,886.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,10132.0,10349.0,230.0,8048.0,8485.0,191.0,2084.0,1864.0,39.0,1.0,4.0,0.0,1.0,0.0,1.0,13845.0,13067.0,276.0,11029.0,11427.0,247.0,2816.0,1640.0,29.0,4.0,4.0,1.0,2.0,1.0,2.0
