gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT05_176988,complete,PRM,2026.0,0.0,1.0,16.03,Red,top,HeSSZero,Orbit Anonymo Esports,0.0,Rumble,Jayce,Naafiri,Ryze,Dr. Mundo,Ambessa,2655.0,0.0,3.0,3.0,3.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3164,0.7684,0.0,0.0,23.0,3.0,11.0,50.0,15415.0,9723.0,219.7288,15375.0,336.0,332.0,4.0,7.5932,3559.0,5348.0,98.0,3531.0,5224.0,102.0,28.0,124.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5279.0,8027.0,133.0,5131.0,8292.0,146.0,148.0,-265.0,-13.0,1.0,0.0,0.0,0.0,2.0,0.0,6827.0,10899.0,180.0,7023.0,11577.0,201.0,-196.0,-678.0,-21.0,1.0,0.0,0.0,0.0,2.0,0.0,8854.0,14708.0,239.0,9090.0,15228.0,260.0,-236.0,-520.0,-21.0,1.0,0.0,0.0,0.0,2.0,0.0
LOLTMNT05_176988,complete,PRM,2026.0,0.0,1.0,16.03,Red,jng,Joki37,Orbit Anonymo Esports,0.0,Aatrox,Jayce,Naafiri,Ryze,Dr. Mundo,Ambessa,2655.0,0.0,1.0,5.0,7.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3164,0.7684,0.0,2.0,8.0,14.0,7.0,69.0,14777.0,9085.0,205.3107,14675.0,281.0,33.0,248.0,6.3503,4000.0,4511.0,84.0,3437.0,4055.0,76.0,563.0,456.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,5645.0,6743.0,122.0,6179.0,6273.0,117.0,-534.0,470.0,5.0,1.0,2.0,1.0,2.0,0.0,1.0,7291.0,9030.0,158.0,8271.0,8392.0,144.0,-980.0,638.0,14.0,1.0,4.0,1.0,3.0,1.0,2.0,9489.0,12052.0,196.0,10218.0,10975.0,186.0,-729.0,1077.0,10.0,1.0,5.0,1.0,3.0,1.0,2.0
LOLTMNT05_176988,complete,PRM,2026.0,0.0,1.0,16.03,Red,mid,Sobek,Orbit Anonymo Esports,0.0,Ahri,Jayce,Naafiri,Ryze,Dr. Mundo,Ambessa,2655.0,0.0,3.0,4.0,10.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3164,0.7684,0.0,0.0,4.0,12.0,2.0,33.0,15823.0,10131.0,228.9492,14950.0,342.0,340.0,2.0,7.7288,3683.0,5199.0,100.0,3475.0,4754.0,94.0,208.0,445.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,5486.0,7703.0,143.0,5038.0,7287.0,141.0,448.0,416.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,7515.0,10180.0,187.0,7135.0,10028.0,196.0,380.0,152.0,-9.0,2.0,4.0,1.0,1.0,3.0,3.0,9435.0,12413.0,231.0,9227.0,12112.0,242.0,208.0,301.0,-11.0,2.0,5.0,1.0,1.0,3.0,4.0
LOLTMNT05_176988,complete,PRM,2026.0,0.0,1.0,16.03,Red,bot,ejsner,Orbit Anonymo Esports,0.0,Ezreal,Jayce,Naafiri,Ryze,Dr. Mundo,Ambessa,2655.0,0.0,7.0,2.0,4.0,14.0,20.0,1.0,0.0,0.0,0.0,0.0,0.3164,0.7684,0.0,0.0,23.0,7.0,8.0,48.0,20023.0,14331.0,323.8644,19733.0,396.0,388.0,8.0,8.9492,3574.0,3622.0,86.0,3860.0,3638.0,94.0,-286.0,-16.0,-8.0,1.0,0.0,0.0,1.0,0.0,0.0,5389.0,5631.0,126.0,5853.0,5719.0,137.0,-464.0,-88.0,-11.0,1.0,2.0,0.0,1.0,0.0,0.0,7825.0,8743.0,185.0,8024.0,8039.0,187.0,-199.0,704.0,-2.0,2.0,3.0,0.0,1.0,0.0,0.0,10367.0,11365.0,234.0,10056.0,10771.0,244.0,311.0,594.0,-10.0,3.0,3.0,0.0,1.0,0.0,0.0
LOLTMNT05_176988,complete,PRM,2026.0,0.0,1.0,16.03,Red,sup,Raxxo,Orbit Anonymo Esports,0.0,Bard,Jayce,Naafiri,Ryze,Dr. Mundo,Ambessa,2655.0,0.0,0.0,6.0,13.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.3164,0.7684,0.0,0.0,82.0,25.0,18.0,193.0,10858.0,5166.0,116.7458,10720.0,47.0,47.0,0.0,1.0621,2519.0,2729.0,20.0,2386.0,2974.0,18.0,133.0,-245.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,3643.0,3583.0,24.0,3541.0,4008.0,25.0,102.0,-425.0,-1.0,0.0,3.0,2.0,0.0,3.0,1.0,4872.0,4898.0,30.0,4552.0,5440.0,30.0,320.0,-542.0,0.0,0.0,5.0,3.0,0.0,4.0,1.0,6005.0,6889.0,33.0,5689.0,6873.0,31.0,316.0,16.0,2.0,0.0,6.0,3.0,0.0,4.0,1.0
LOLTMNT05_176988,complete,PRM,2026.0,0.0,1.0,16.03,Red,team,,Orbit Anonymo Esports,0.0,,Jayce,Naafiri,Ryze,Dr. Mundo,Ambessa,2655.0,0.0,14.0,20.0,37.0,14.0,20.0,1.0,0.0,0.0,0.0,0.0,0.3164,0.7684,0.0,2.0,140.0,61.0,46.0,393.0,76896.0,48437.0,1094.6215,75453.0,,1140.0,262.0,31.6836,17335.0,21409.0,388.0,16689.0,20645.0,384.0,646.0,764.0,4.0,2.0,5.0,1.0,1.0,1.0,2.0,25442.0,31687.0,548.0,25742.0,31579.0,566.0,-300.0,108.0,-18.0,4.0,10.0,3.0,3.0,7.0,4.0,34330.0,43750.0,740.0,35005.0,43476.0,758.0,-675.0,274.0,-18.0,6.0,16.0,5.0,5.0,10.0,6.0,44150.0,57427.0,933.0,44280.0,55959.0,963.0,-130.0,1468.0,-30.0,7.0,19.0,5.0,5.0,10.0,7.0
LOLTMNT05_177003,complete,AL,2026.0,1.0,1.0,16.03,Red,top,HeSSZero,Orbit Anonymo Esports,0.0,Gnar,Aurora,Diana,Rumble,Varus,K'Sante,1798.0,1.0,10.0,0.0,6.0,21.0,0.0,2.0,1.0,0.0,0.0,1.0,0.7008,0.7008,0.0,0.0,9.0,7.0,3.0,31.0,17051.0,13107.0,437.386,15458.0,291.0,287.0,4.0,9.7108,4090.0,5809.0,97.0,3205.0,4703.0,87.0,885.0,1106.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,7301.0,10071.0,150.0,4720.0,8050.0,134.0,2581.0,2021.0,16.0,3.0,1.0,0.0,0.0,0.0,2.0,11873.0,14696.0,200.0,6387.0,10245.0,168.0,5486.0,4451.0,32.0,9.0,1.0,0.0,0.0,0.0,3.0,14515.0,18408.0,244.0,8237.0,12775.0,216.0,6278.0,5633.0,28.0,9.0,3.0,0.0,0.0,0.0,3.0
LOLTMNT05_177003,complete,AL,2026.0,1.0,1.0,16.03,Red,jng,Joki37,Orbit Anonymo Esports,0.0,Neeko,Aurora,Diana,Rumble,Varus,K'Sante,1798.0,1.0,4.0,0.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008,0.7008,2.0,0.0,7.0,7.0,5.0,50.0,13346.0,9402.0,313.7486,11875.0,249.0,21.0,228.0,8.3092,3722.0,4621.0,89.0,3300.0,3866.0,75.0,422.0,755.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6197.0,8055.0,138.0,4787.0,5914.0,110.0,1410.0,2141.0,28.0,1.0,2.0,0.0,0.0,0.0,1.0,8588.0,11126.0,182.0,6009.0,7597.0,132.0,2579.0,3529.0,50.0,2.0,3.0,0.0,0.0,0.0,3.0,10597.0,14270.0,211.0,7346.0,9334.0,153.0,3251.0,4936.0,58.0,2.0,5.0,0.0,0.0,0.0,5.0
LOLTMNT05_177003,complete,AL,2026.0,1.0,1.0,16.03,Red,mid,Sobek,Orbit Anonymo Esports,0.0,Ryze,Aurora,Diana,Rumble,Varus,K'Sante,1798.0,1.0,3.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008,0.7008,0.0,0.0,3.0,4.0,1.0,18.0,12648.0,8704.0,290.4561,11325.0,283.0,269.0,14.0,9.4438,3271.0,4874.0,88.0,3485.0,5162.0,100.0,-214.0,-288.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,5441.0,8170.0,152.0,4900.0,7482.0,145.0,541.0,688.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,7707.0,11243.0,205.0,6156.0,9049.0,174.0,1551.0,2194.0,31.0,0.0,2.0,0.0,0.0,0.0,3.0,10104.0,15658.0,250.0,8154.0,12394.0,233.0,1950.0,3264.0,17.0,2.0,2.0,0.0,0.0,0.0,3.0
LOLTMNT05_177003,complete,AL,2026.0,1.0,1.0,16.03,Red,bot,ejsner,Orbit Anonymo Esports,0.0,Ezreal,Aurora,Diana,Rumble,Varus,K'Sante,1798.0,1.0,4.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008,0.7008,0.0,0.0,15.0,1.0,4.0,27.0,14423.0,10479.0,349.6885,11650.0,283.0,279.0,4.0,9.4438,3432.0,3713.0,96.0,3422.0,3619.0,91.0,10.0,94.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5656.0,6335.0,150.0,6379.0,6206.0,153.0,-723.0,129.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,8245.0,8727.0,196.0,8342.0,8823.0,206.0,-97.0,-96.0,-10.0,1.0,1.0,0.0,0.0,0.0,1.0,11135.0,11564.0,244.0,10433.0,11442.0,268.0,702.0,122.0,-24.0,2.0,2.0,0.0,0.0,0.0,2.0
