gameid,datacompleteness,league,year,playoffs,game,patch,side,position,playername,teamname,firstPick,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,barons,opp_barons,wardsplaced,wardskilled,controlwardsbought,visionscore,totalgold,earnedgold,earned gpm,goldspent,total cs,minionkills,monsterkills,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT03_338569,complete,HLL,2026.0,0.0,1.0,16.01,Red,top,Ersin,PCIFIC Esports,0.0,Gnar,Caitlyn,Orianna,Rumble,Wukong,Trundle,1542.0,0.0,0.0,4.0,1.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2335,1.0895,0.0,0.0,12.0,3.0,1.0,32.0,8365.0,4944.0,192.3735,8208.0,205.0,199.0,6.0,7.9767,3005.0,4387.0,72.0,3265.0,4590.0,80.0,-260.0,-203.0,-8.0,0.0,0.0,0.0,0.0,1.0,0.0,4716.0,8013.0,127.0,4776.0,7898.0,122.0,-60.0,115.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,6604.0,10376.0,167.0,7472.0,11835.0,183.0,-868.0,-1459.0,-16.0,0.0,0.0,1.0,1.0,1.0,0.0,8217.0,12459.0,204.0,9994.0,15652.0,216.0,-1777.0,-3193.0,-12.0,0.0,0.0,3.0,2.0,4.0,0.0
LOLTMNT03_338569,complete,HLL,2026.0,0.0,1.0,16.01,Red,jng,Kurama,PCIFIC Esports,0.0,Malphite,Caitlyn,Orianna,Rumble,Wukong,Trundle,1542.0,0.0,1.0,4.0,3.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2335,1.0895,0.0,1.0,7.0,5.0,4.0,32.0,9213.0,5792.0,225.3696,8450.0,168.0,16.0,152.0,6.537,3375.0,4104.0,76.0,4048.0,4279.0,85.0,-673.0,-175.0,-9.0,0.0,0.0,1.0,1.0,1.0,0.0,5172.0,6292.0,106.0,6597.0,6605.0,124.0,-1425.0,-313.0,-18.0,0.0,2.0,2.0,3.0,1.0,0.0,6881.0,8678.0,143.0,8859.0,10060.0,173.0,-1978.0,-1382.0,-30.0,0.0,2.0,2.0,4.0,3.0,0.0,8310.0,10397.0,165.0,12017.0,13657.0,208.0,-3707.0,-3260.0,-43.0,0.0,2.0,3.0,4.0,6.0,0.0
LOLTMNT03_338569,complete,HLL,2026.0,0.0,1.0,16.01,Red,mid,FireAscept,PCIFIC Esports,0.0,Azir,Caitlyn,Orianna,Rumble,Wukong,Trundle,1542.0,0.0,3.0,5.0,2.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2335,1.0895,0.0,0.0,12.0,6.0,3.0,35.0,9387.0,5966.0,232.1401,8435.0,195.0,195.0,0.0,7.5875,3686.0,5236.0,91.0,4199.0,5093.0,102.0,-513.0,143.0,-11.0,1.0,0.0,0.0,2.0,1.0,1.0,5525.0,7218.0,124.0,5858.0,7252.0,136.0,-333.0,-34.0,-12.0,2.0,0.0,1.0,2.0,2.0,2.0,7429.0,9400.0,166.0,8241.0,9892.0,182.0,-812.0,-492.0,-16.0,2.0,1.0,2.0,4.0,4.0,3.0,8859.0,10523.0,195.0,11714.0,14785.0,220.0,-2855.0,-4262.0,-25.0,2.0,1.0,4.0,7.0,6.0,3.0
LOLTMNT03_338569,complete,HLL,2026.0,0.0,1.0,16.01,Red,bot,Kakarot,PCIFIC Esports,0.0,Kai'Sa,Caitlyn,Orianna,Rumble,Wukong,Trundle,1542.0,0.0,2.0,3.0,2.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2335,1.0895,0.0,0.0,10.0,5.0,1.0,22.0,9762.0,6341.0,246.7315,9575.0,205.0,197.0,8.0,7.9767,2894.0,3601.0,67.0,3227.0,3729.0,90.0,-333.0,-128.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,4830.0,5328.0,97.0,6265.0,6436.0,143.0,-1435.0,-1108.0,-46.0,1.0,0.0,1.0,1.0,2.0,0.0,7357.0,7707.0,148.0,8843.0,9237.0,206.0,-1486.0,-1530.0,-58.0,2.0,0.0,1.0,1.0,3.0,0.0,9314.0,9738.0,199.0,12640.0,12700.0,253.0,-3326.0,-2962.0,-54.0,2.0,0.0,2.0,3.0,4.0,0.0
LOLTMNT03_338569,complete,HLL,2026.0,0.0,1.0,16.01,Red,sup,Joexy,PCIFIC Esports,0.0,Alistar,Caitlyn,Orianna,Rumble,Wukong,Trundle,1542.0,0.0,0.0,6.0,4.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2335,1.0895,0.0,0.0,33.0,12.0,3.0,79.0,6298.0,2877.0,111.9455,6265.0,24.0,24.0,0.0,0.9339,2394.0,2604.0,15.0,2560.0,2957.0,12.0,-166.0,-353.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,3500.0,3427.0,17.0,4384.0,4654.0,25.0,-884.0,-1227.0,-8.0,0.0,1.0,3.0,1.0,5.0,1.0,4919.0,5320.0,24.0,5736.0,6112.0,29.0,-817.0,-792.0,-5.0,0.0,2.0,5.0,1.0,9.0,1.0,6066.0,7250.0,24.0,7625.0,8137.0,33.0,-1559.0,-887.0,-9.0,0.0,2.0,5.0,1.0,12.0,1.0
LOLTMNT03_338569,complete,HLL,2026.0,0.0,1.0,16.01,Red,team,,PCIFIC Esports,0.0,,Caitlyn,Orianna,Rumble,Wukong,Trundle,1542.0,0.0,6.0,22.0,12.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.2335,1.0895,0.0,1.0,74.0,31.0,12.0,200.0,43025.0,25919.0,1008.5214,40933.0,,631.0,166.0,31.0117,15354.0,19932.0,321.0,17299.0,20648.0,369.0,-1945.0,-716.0,-48.0,1.0,0.0,3.0,3.0,5.0,1.0,23743.0,30278.0,471.0,27880.0,32845.0,550.0,-4137.0,-2567.0,-79.0,3.0,3.0,7.0,7.0,11.0,3.0,33190.0,41481.0,648.0,39151.0,47136.0,773.0,-5961.0,-5655.0,-125.0,4.0,5.0,11.0,11.0,20.0,4.0,40766.0,50367.0,787.0,53990.0,64931.0,930.0,-13224.0,-14564.0,-143.0,4.0,5.0,17.0,17.0,32.0,4.0
LOLTMNT04_147348,complete,TCL,2026.0,0.0,2.0,16.01,Red,top,Ersin,PCIFIC Esports,0.0,Gwen,Caitlyn,Orianna,Rumble,Karma,Bard,1790.0,0.0,3.0,1.0,4.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4022,1.0391,0.0,0.0,18.0,1.0,6.0,39.0,12198.0,8271.0,277.2402,11950.0,271.0,267.0,4.0,9.0838,3596.0,4976.0,98.0,3207.0,5100.0,85.0,389.0,-124.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5070.0,8157.0,138.0,5289.0,9659.0,143.0,-219.0,-1502.0,-5.0,0.0,0.0,1.0,1.0,0.0,0.0,6762.0,11410.0,190.0,7344.0,13339.0,208.0,-582.0,-1929.0,-18.0,0.0,0.0,1.0,1.0,0.0,0.0,10206.0,15271.0,240.0,9102.0,16173.0,240.0,1104.0,-902.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0
LOLTMNT04_147348,complete,TCL,2026.0,0.0,2.0,16.01,Red,jng,Kurama,PCIFIC Esports,0.0,Jarvan IV,Caitlyn,Orianna,Rumble,Karma,Bard,1790.0,0.0,2.0,4.0,8.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4022,1.0391,0.0,2.0,7.0,7.0,7.0,37.0,9919.0,5992.0,200.8492,9575.0,169.0,7.0,162.0,5.6648,3981.0,3640.0,67.0,4311.0,4425.0,82.0,-330.0,-785.0,-15.0,2.0,1.0,0.0,1.0,1.0,1.0,5360.0,5489.0,96.0,6733.0,7497.0,136.0,-1373.0,-2008.0,-40.0,2.0,2.0,0.0,2.0,2.0,1.0,6903.0,8227.0,131.0,9503.0,10648.0,186.0,-2600.0,-2421.0,-55.0,2.0,2.0,0.0,2.0,2.0,1.0,8882.0,11532.0,160.0,12098.0,13682.0,220.0,-3216.0,-2150.0,-60.0,2.0,7.0,2.0,3.0,5.0,3.0
LOLTMNT04_147348,complete,TCL,2026.0,0.0,2.0,16.01,Red,mid,FireAscept,PCIFIC Esports,0.0,Galio,Caitlyn,Orianna,Rumble,Karma,Bard,1790.0,0.0,1.0,3.0,7.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4022,1.0391,0.0,0.0,12.0,6.0,5.0,37.0,10299.0,6372.0,213.5866,9425.0,273.0,273.0,0.0,9.1508,3387.0,5074.0,91.0,4014.0,5441.0,107.0,-627.0,-367.0,-16.0,0.0,1.0,0.0,0.0,0.0,0.0,4956.0,7647.0,140.0,6573.0,8415.0,163.0,-1617.0,-768.0,-23.0,0.0,2.0,1.0,1.0,0.0,0.0,6730.0,10670.0,199.0,9328.0,11834.0,231.0,-2598.0,-1164.0,-32.0,0.0,2.0,1.0,1.0,0.0,0.0,8893.0,13846.0,246.0,12982.0,15516.0,282.0,-4089.0,-1670.0,-36.0,1.0,5.0,1.0,4.0,0.0,0.0
LOLTMNT04_147348,complete,TCL,2026.0,0.0,2.0,16.01,Red,bot,Kakarot,PCIFIC Esports,0.0,Varus,Caitlyn,Orianna,Rumble,Karma,Bard,1790.0,0.0,3.0,5.0,5.0,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4022,1.0391,0.0,0.0,11.0,4.0,1.0,28.0,10887.0,6960.0,233.2961,10975.0,234.0,230.0,4.0,7.8436,3664.0,3634.0,77.0,3762.0,3632.0,79.0,-98.0,2.0,-2.0,1.0,2.0,1.0,1.0,1.0,1.0,5514.0,5110.0,116.0,6537.0,6579.0,140.0,-1023.0,-1469.0,-24.0,2.0,2.0,2.0,1.0,3.0,1.0,7722.0,8053.0,186.0,9578.0,9452.0,206.0,-1856.0,-1399.0,-20.0,2.0,2.0,2.0,1.0,3.0,1.0,9402.0,10544.0,222.0,11812.0,12164.0,227.0,-2410.0,-1620.0,-5.0,2.0,4.0,3.0,2.0,6.0,2.0
LOLTMNT04_147348,complete,TCL,2026.0,0.0,2.0,16.01,Red,sup,Joexy,PCIFIC Esports,0.0,Neeko,Caitlyn,Orianna,Rumble,Karma,Bard,1790.0,0.0,3.0,6.0,6.0,12.0,19.0,1.0,0.0,0.0,0.0,0.0,0.4022,1.0391,0.0,0.0,39.0,14.0,8.0,94.0,9184.0,5257.0,176.2123,8650.0,49.0,49.0,0.0,1.6425,2696.0,2567.0,20.0,2365.0,2307.0,15.0,331.0,260.0,5.0,0.0,3.0,1.0,0.0,0.0,1.0,3850.0,4321.0,31.0,3622.0,3777.0,21.0,228.0,544.0,10.0,0.0,4.0,1.0,0.0,2.0,2.0,4889.0,6477.0,35.0,4897.0,4611.0,24.0,-8.0,1866.0,11.0,0.0,4.0,1.0,0.0,2.0,2.0,6992.0,7226.0,45.0,6468.0,6456.0,28.0,524.0,770.0,17.0,2.0,4.0,3.0,0.0,6.0,3.0
LOLTMNT04_147348,complete,TCL,2026.0,0.0,2.0,16.01,Red,team,,PCIFIC Esports,0.0,,Caitlyn,Orianna,Rumble,Karma,Bard,1790.0,0.0,12.0,19.0,30.0,12.0,19.0,1.0,0.0,0.0,0.0,0.0,0.4022,1.0391,0.0,2.0,87.0,32.0,27.0,235.0,52487.0,32851.0,1101.1508,50575.0,,826.0,170.0,33.3855,17324.0,19891.0,353.0,17659.0,20905.0,368.0,-335.0,-1014.0,-15.0,3.0,7.0,2.0,2.0,2.0,3.0,24750.0,30724.0,521.0,28754.0,35927.0,603.0,-4004.0,-5203.0,-82.0,4.0,10.0,5.0,5.0,7.0,4.0,33006.0,44837.0,741.0,40650.0,49884.0,855.0,-7644.0,-5047.0,-114.0,4.0,10.0,5.0,5.0,7.0,4.0,44375.0,58419.0,913.0,52462.0,63991.0,997.0,-8087.0,-5572.0,-84.0,9.0,23.0,10.0,10.0,17.0,9.0
LOLTMNT01_333999,complete,LJL,2026.0,0.0,1.0,16.02,Red,top,Ersin,PCIFIC Esports,0.0,Ornn,Akali,Ryze,Jayce,Nautilus,Leona,1751.0,1.0,1.0,0.0,5.0,16.0,5.0,0.0,0.0,0.0,0.0,1.0,0.5483,0.7196,0.0,0.0,15.0,4.0,1.0,31.0,11602.0,7754.0,265.6996,9925.0,288.0,287.0,1.0,9.8686,3777.0,5017.0,87.0,3403.0,4976.0,86.0,374.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5486.0,8899.0,145.0,5199.0,8722.0,142.0,287.0,177.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,7333.0,12234.0,194.0,7790.0,11763.0,196.0,-457.0,471.0,-2.0,1.0,1.0,0.0,1.0,0.0,2.0,9805.0,15705.0,261.0,9679.0,14920.0,256.0,126.0,785.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0
